Time Lapsed,Absolute_Acceleration
0.000,1.425
0.003,1.424
0.005,1.425
0.006,1.424
0.006,1.424
0.008,1.425
0.008,1.424
0.010,1.424
0.092,1.424
0.179,1.424
0.278,1.424
0.378,1.425
0.486,1.424
0.584,1.425
0.689,1.424
0.788,1.424
0.898,1.424
0.996,1.424
1.096,1.424
1.199,1.425
1.271,1.424
1.391,1.425
1.474,1.424
1.574,1.425
1.648,1.425
1.810,1.425
1.932,1.424
1.959,1.424
2.109,1.424
2.219,1.424
2.253,1.424
2.356,1.425
2.452,1.424
2.552,1.424
2.660,1.424
2.758,1.425
2.859,1.424
2.962,1.424
3.065,1.424
3.143,1.424
3.244,1.424
3.359,1.424
3.451,1.424
3.552,1.424
3.655,1.424
3.770,1.424
3.864,1.424
3.961,1.424
4.059,1.425
4.167,1.424
4.271,1.425
4.371,1.424
4.459,1.424
4.577,1.425
4.680,1.425
4.780,1.424
4.891,1.424
4.988,1.425
5.087,1.424
5.195,1.424
5.293,1.424
5.395,1.424
5.493,1.424
5.606,1.424
5.702,1.424
5.805,1.425
5.930,1.424
5.947,1.425
6.043,1.425
6.143,1.424
6.243,1.424
6.341,1.424
6.442,1.424
6.545,1.424
6.636,1.424
56.734,1.425
56.861,1.424
56.947,1.424
57.057,1.424
57.153,1.424
57.238,1.424
57.336,1.424
57.449,1.425
57.545,1.425
57.643,1.424
57.741,1.424
57.861,1.424
57.957,1.424
58.057,1.425
58.180,1.424
58.273,1.424
58.396,1.424
58.471,1.424
58.570,1.424
58.673,1.424
58.768,1.425
58.869,1.424
59.008,1.424
59.082,1.424
59.185,1.424
59.287,1.424
59.393,1.424
59.494,1.425
59.606,1.424
59.699,1.425
59.728,1.425
59.900,1.424
59.929,1.425
60.040,1.425
60.141,1.424
60.238,1.424
60.339,1.425
60.447,1.424
60.547,1.425
60.623,1.424
60.729,1.425
60.837,1.424
60.925,1.424
61.027,1.424
61.131,1.424
61.233,1.424
61.327,1.425
61.442,1.424
61.552,1.424
61.648,1.424
61.744,1.424
61.854,1.424
61.951,1.424
62.052,1.424
62.177,1.425
62.270,1.424
62.364,1.424
62.461,1.424
62.589,1.424
62.667,1.425
62.771,1.424
62.912,1.424
62.984,1.425
63.079,1.424
63.187,1.424
63.290,1.424
63.320,1.424
63.415,1.424
63.594,1.424
63.623,1.425
63.724,1.424
63.824,1.425
63.925,1.425
64.015,1.424
64.128,1.424
64.226,1.424
64.327,1.424
64.425,1.424
64.533,1.424
64.633,1.424
64.751,1.424
64.831,1.425
64.935,1.425
65.055,1.424
65.130,1.424
65.231,1.424
65.332,1.424
65.432,1.425
65.530,1.424
65.635,1.424
65.739,1.424
65.854,1.425
65.942,1.424
66.043,1.425
66.146,1.424
66.263,1.424
66.364,1.424
66.459,1.424
66.557,1.424
66.658,1.424
116.761,1.424
116.864,1.424
116.966,1.425
117.070,1.425
117.192,1.424
117.229,1.425
117.376,1.424
117.407,1.424
117.505,1.424
117.619,1.425
117.712,1.424
117.810,1.424
117.912,1.424
118.008,1.424
118.125,1.425
118.219,1.424
118.322,1.424
118.427,1.425
118.506,1.425
118.609,1.424
118.707,1.425
118.815,1.424
118.913,1.424
119.015,1.424
119.109,1.425
119.229,1.424
119.326,1.425
119.423,1.424
119.528,1.425
119.636,1.425
119.739,1.425
119.842,1.425
119.939,1.425
120.045,1.425
120.150,1.424
