Time Lapsed,Absolute_Magnetic_Field
0.000,41.73
0.003,41.923
0.005,41.91
0.006,41.823
0.006,41.955
0.008,42.006
0.008,41.943
0.010,41.984
0.092,41.904
0.179,41.917
0.278,41.793
0.378,42.075
0.486,41.841
0.584,41.908
0.689,41.947
0.788,41.827
0.898,41.889
0.996,41.976
1.096,41.907
1.199,41.916
1.271,41.906
1.391,41.84
1.474,42.013
1.574,41.964
1.648,42.028
1.810,41.859
1.932,41.884
1.959,42.027
2.109,41.866
2.219,41.912
2.253,41.91
2.356,41.936
2.452,41.937
2.552,41.887
2.660,41.849
2.758,41.926
2.859,41.93
2.962,41.998
3.065,42.07
3.143,41.95
3.244,41.905
3.359,41.914
3.451,41.945
3.552,41.954
3.655,41.86
3.770,41.94
3.864,41.837
3.961,42.087
4.059,42.079
4.167,42.112
4.271,41.965
4.371,41.689
4.459,41.984
4.577,41.935
4.680,41.966
4.780,41.975
4.891,41.837
4.988,41.914
5.087,41.83
5.195,42.011
5.293,41.869
5.395,41.682
5.493,41.839
5.606,41.856
5.702,41.977
5.805,41.97
5.930,41.9
5.947,41.992
6.043,41.965
6.143,41.953
6.243,41.93
6.341,41.897
6.442,41.826
6.545,42.04
6.636,41.906
56.734,41.87
56.861,41.932
56.947,42.068
57.057,42.017
57.153,41.868
57.238,42.004
57.336,41.945
57.449,41.793
57.545,41.837
57.643,41.997
57.741,41.839
57.861,42.136
57.957,41.903
58.057,41.94
58.180,41.775
58.273,41.944
58.396,42.104
58.471,41.869
58.570,41.966
58.673,42.054
58.768,42.071
58.869,42.039
59.008,41.786
59.082,41.848
59.185,41.781
59.287,42.004
59.393,41.946
59.494,41.792
59.606,41.975
59.699,41.934
59.728,41.849
59.900,41.971
59.929,41.773
60.040,41.827
60.141,41.905
60.238,42.052
60.339,42.001
60.447,41.768
60.547,41.848
60.623,42.054
60.729,41.997
60.837,41.929
60.925,41.968
61.027,41.858
61.131,42.0
61.233,42.141
61.327,42.109
61.442,42.03
61.552,41.856
61.648,42.073
61.744,42.003
61.854,41.854
61.951,41.954
62.052,41.831
62.177,42.087
62.270,41.808
62.364,41.891
62.461,41.98
62.589,41.858
62.667,42.111
62.771,41.988
62.912,41.919
62.984,41.92
63.079,41.783
63.187,41.86
63.290,41.95
63.320,41.941
63.415,41.87
63.594,41.794
63.623,41.814
63.724,42.054
63.824,42.027
63.925,41.977
64.015,41.971
64.128,41.948
64.226,42.047
64.327,41.986
64.425,42.058
64.533,41.952
64.633,41.851
64.751,41.991
64.831,42.065
64.935,41.942
65.055,42.034
65.130,41.883
65.231,41.996
65.332,41.825
65.432,41.76
65.530,41.893
65.635,41.645
65.739,42.07
65.854,41.991
65.942,42.173
66.043,41.959
66.146,41.8
66.263,41.845
66.364,41.946
66.459,41.903
66.557,41.887
66.658,41.962
116.761,41.856
116.864,41.796
116.966,42.061
117.070,41.972
117.192,41.946
117.229,41.908
117.376,41.836
117.407,41.886
117.505,42.09
117.619,41.937
117.712,41.878
117.810,41.83
117.912,42.062
118.008,42.069
118.125,42.011
118.219,42.076
118.322,41.965
118.427,42.143
118.506,41.992
118.609,42.018
118.707,41.905
118.815,41.87
118.913,41.864
119.015,42.042
119.109,42.026
119.229,41.946
119.326,41.787
119.423,41.885
119.528,41.895
119.636,41.995
119.739,42.012
119.842,41.763
119.939,41.845
120.045,42.026
120.150,41.963
120.263,42.001
120.353,41.663
120.457,42.023
120.559,41.955
120.675,41.869
120.756,41.934
120.856,41.892
120.962,41.926
120.998,41.955
121.165,41.888
121.195,41.923
121.295,41.917
121.398,41.968
121.496,41.87
121.599,41.866
121.699,41.91
121.804,41.969
121.905,41.844
122.008,41.989
122.101,42.143
122.212,41.966
122.293,41.979
122.396,41.806
122.511,41.998
122.597,41.995
122.721,41.891
122.834,41.879
122.908,41.823
123.011,41.961
123.111,42.033
123.212,41.963
123.315,41.843
123.420,41.847
123.521,41.854
123.614,41.951
123.726,42.003
123.827,41.921
123.939,42.022
124.032,41.784
124.136,42.07
124.238,41.937
124.349,41.899
124.445,41.833
124.543,41.714
124.648,41.952
124.746,42.035
124.851,42.025
124.883,41.955
125.038,41.836
125.160,41.983
125.187,41.854
125.285,41.826
125.408,42.008
125.494,42.057
125.591,41.884
125.689,41.946
125.798,42.042
125.881,42.025
125.984,41.932
126.109,41.879
126.187,42.012
126.298,41.886
126.402,41.939
126.510,41.916
126.601,42.068
126.702,41.996
176.800,41.819
176.908,42.024
177.011,42.043
177.109,41.834
177.214,42.035
177.317,42.018
177.420,41.81
177.521,41.882
177.621,41.898
177.726,41.957
177.824,41.977
177.930,42.025
178.027,41.885
178.128,41.687
178.229,41.781
178.346,42.114
178.435,41.993
178.538,41.813
178.641,42.048
178.758,41.935
178.788,41.897
178.875,41.891
179.084,41.89
179.160,41.739
179.187,42.007
179.285,41.883
179.381,42.011
179.472,41.962
179.592,41.873
179.690,41.901
179.790,41.759
179.891,41.784
179.972,41.768
180.077,41.962
180.185,42.106
180.278,41.944
180.385,41.949
180.511,41.687
180.597,41.996
180.687,41.922
180.792,42.033
180.891,42.008
180.996,41.858
181.121,41.791
181.201,41.981
181.302,41.881
181.398,41.854
181.508,41.972
181.611,41.81
181.724,41.923
181.798,41.905
181.918,41.909
182.025,41.962
182.123,41.87
182.244,42.018
182.315,42.12
182.434,41.917
182.462,42.095
182.635,41.759
182.662,41.827
182.782,41.787
182.866,41.928
182.964,41.813
183.062,41.796
183.158,41.949
183.261,42.028
183.373,41.9
183.464,41.831
183.562,41.804
183.660,41.96
183.768,41.986
183.861,42.017
183.994,41.793
184.076,41.829
184.179,41.858
184.280,41.905
184.403,41.902
184.484,41.758
184.597,41.763
184.685,41.752
184.788,41.717
184.888,41.872
185.006,41.912
185.099,41.91
185.199,41.98
185.258,41.883
185.402,42.007
185.464,41.993
185.564,42.01
