Time Lapsed,Acceleration_Z
0.000,1.002
0.003,1.001
0.005,1.001
0.006,1.001
0.006,1.004
0.008,1.001
0.008,1.001
0.010,1.002
0.092,1.002
0.179,1.001
0.278,1.001
0.378,1.002
0.486,1.002
0.584,1.003
0.689,1.001
0.788,1.002
0.898,1.002
0.996,1.001
1.096,1.002
1.199,1.001
1.271,1.001
1.391,1.003
1.474,1.001
1.574,1.003
1.648,1.002
1.810,1.002
1.932,1.002
1.959,1.001
2.109,1.002
2.219,1.002
2.253,1.002
2.356,1.002
2.452,1.002
2.552,1.002
2.660,1.002
2.758,1.002
2.859,1.002
2.962,1.002
3.065,1.001
3.143,1.001
3.244,1.002
3.359,1.002
3.451,1.0
3.552,1.003
3.655,1.001
3.770,1.002
3.864,1.001
3.961,1.002
4.059,1.001
4.167,1.001
4.271,1.001
4.371,1.001
4.459,1.003
4.577,1.001
4.680,1.001
4.780,1.002
4.891,1.001
4.988,1.001
5.087,1.001
5.195,1.001
5.293,1.001
5.395,1.001
5.493,1.002
5.606,1.001
5.702,1.002
5.805,1.002
5.930,1.001
5.947,1.002
6.043,1.002
6.143,1.003
6.243,1.002
6.341,1.002
6.442,1.002
6.545,1.001
6.636,1.002
56.734,1.002
56.861,1.001
56.947,1.001
57.057,1.001
57.153,1.001
57.238,1.002
57.336,1.001
57.449,1.002
57.545,1.001
57.643,1.001
57.741,1.002
57.861,1.001
57.957,1.002
58.057,1.003
58.180,1.001
58.273,1.002
58.396,1.003
58.471,1.002
58.570,1.0
58.673,1.001
58.768,1.002
58.869,1.001
59.008,1.001
59.082,1.002
59.185,1.001
59.287,1.002
59.393,1.001
59.494,1.002
59.606,1.001
59.699,1.003
59.728,1.002
59.900,1.002
59.929,1.001
60.040,1.001
60.141,1.001
60.238,1.001
60.339,1.002
60.447,1.003
60.547,1.003
60.623,1.001
60.729,1.001
60.837,1.0
60.925,1.001
61.027,1.001
61.131,1.003
61.233,1.002
61.327,1.001
61.442,1.001
61.552,1.0
61.648,1.002
61.744,1.0
61.854,1.002
61.951,1.0
62.052,1.002
62.177,1.002
62.270,1.001
62.364,1.001
62.461,1.003
62.589,1.001
62.667,1.001
62.771,1.001
62.912,1.001
62.984,1.002
63.079,1.002
63.187,1.001
63.290,1.001
63.320,1.001
63.415,1.0
63.594,1.001
63.623,1.001
63.724,1.001
63.824,1.002
63.925,1.001
64.015,1.001
64.128,1.002
64.226,1.0
64.327,1.001
64.425,1.0
64.533,1.001
64.633,1.002
64.751,1.0
64.831,1.002
64.935,1.002
65.055,1.001
65.130,1.002
65.231,1.0
65.332,1.003
65.432,1.001
65.530,1.002
65.635,1.002
65.739,1.0
65.854,1.003
65.942,1.001
66.043,1.002
66.146,1.001
66.263,1.002
66.364,1.003
66.459,1.001
66.557,1.002
66.658,1.001
116.761,1.001
116.864,1.002
116.966,1.002
117.070,1.002
117.192,1.002
117.229,1.0
117.376,1.002
117.407,1.0
117.505,1.001
117.619,1.001
117.712,1.001
117.810,1.002
117.912,1.0
118.008,1.001
118.125,1.002
118.219,1.001
118.322,1.001
118.427,1.001
118.506,1.0
118.609,1.002
118.707,1.002
118.815,1.001
118.913,1.001
119.015,1.0
119.109,1.001
119.229,1.003
119.326,1.002
119.423,1.0
119.528,1.002
119.636,1.001
119.739,1.002
119.842,1.001
119.939,1.001
120.045,1.0
120.150,1.001
120.263,1.002
120.353,1.0
120.457,1.002
120.559,1.001
120.675,1.001
120.756,1.001
120.856,1.0
120.962,1.0
120.998,1.001
121.165,1.002
121.195,1.002
121.295,1.002
121.398,1.002
121.496,1.001
121.599,1.003
121.699,1.004
121.804,1.003
121.905,1.001
122.008,1.001
122.101,1.001
122.212,1.002
122.293,1.002
122.396,1.001
122.511,1.001
122.597,1.002
122.721,1.001
122.834,1.001
122.908,1.001
123.011,1.002
123.111,1.0
123.212,1.002
123.315,1.0
123.420,1.0
123.521,1.001
123.614,1.001
123.726,1.001
123.827,1.001
123.939,1.001
124.032,1.002
124.136,1.0
124.238,1.002
124.349,1.001
124.445,1.002
124.543,1.001
124.648,1.0
124.746,1.002
124.851,1.002
