Time Lapsed,Angle_Z
0.000,-70.291
0.003,-70.291
0.005,-70.291
0.006,-70.291
0.006,-70.291
0.008,-70.291
0.008,-70.291
0.010,-70.291
0.092,-70.291
0.179,-70.291
0.278,-70.291
0.378,-70.291
0.486,-70.291
0.584,-70.291
0.689,-70.291
0.788,-70.291
0.898,-70.291
0.996,-70.291
1.096,-70.291
1.199,-70.291
1.271,-70.291
1.391,-70.291
1.474,-70.291
1.574,-70.291
1.648,-70.291
1.810,-70.291
1.932,-70.291
1.959,-70.291
2.109,-70.291
2.219,-70.291
2.253,-70.291
2.356,-70.291
2.452,-70.291
2.552,-70.291
2.660,-70.291
2.758,-70.291
2.859,-70.291
2.962,-70.291
3.065,-70.291
3.143,-70.291
3.244,-70.291
3.359,-70.291
3.451,-70.291
3.552,-70.291
3.655,-70.291
3.770,-70.291
3.864,-70.291
3.961,-70.291
4.059,-70.291
4.167,-70.291
4.271,-70.291
4.371,-70.291
4.459,-70.291
4.577,-70.291
4.680,-70.291
4.780,-70.291
4.891,-70.291
4.988,-70.291
5.087,-70.291
5.195,-70.291
5.293,-70.291
5.395,-70.291
5.493,-70.291
5.606,-70.291
5.702,-70.291
5.805,-70.291
5.930,-70.291
5.947,-70.291
6.043,-70.291
6.143,-70.291
6.243,-70.291
6.341,-70.291
6.442,-70.291
6.545,-70.291
6.636,-70.291
56.734,-70.291
56.861,-70.291
56.947,-70.291
57.057,-70.291
57.153,-70.291
57.238,-70.291
57.336,-70.291
57.449,-70.291
57.545,-70.291
57.643,-70.291
57.741,-70.291
57.861,-70.291
57.957,-70.291
58.057,-70.291
58.180,-70.291
58.273,-70.291
58.396,-70.291
58.471,-70.291
58.570,-70.291
58.673,-70.291
58.768,-70.291
58.869,-70.291
59.008,-70.291
59.082,-70.291
59.185,-70.291
59.287,-70.291
59.393,-70.291
59.494,-70.291
59.606,-70.291
59.699,-70.291
59.728,-70.291
59.900,-70.291
59.929,-70.291
60.040,-70.291
60.141,-70.291
60.238,-70.291
60.339,-70.291
60.447,-70.291
60.547,-70.291
60.623,-70.291
60.729,-70.291
60.837,-70.291
60.925,-70.291
61.027,-70.291
61.131,-70.291
61.233,-70.291
61.327,-70.291
61.442,-70.291
61.552,-70.291
61.648,-70.291
61.744,-70.291
61.854,-70.291
61.951,-70.291
62.052,-70.291
62.177,-70.291
62.270,-70.291
62.364,-70.291
62.461,-70.291
62.589,-70.291
62.667,-70.291
62.771,-70.291
62.912,-70.291
62.984,-70.291
63.079,-70.291
63.187,-70.291
63.290,-70.291
63.320,-70.291
63.415,-70.291
63.594,-70.291
63.623,-70.291
63.724,-70.291
63.824,-70.291
63.925,-70.291
64.015,-70.291
64.128,-70.291
64.226,-70.291
64.327,-70.291
64.425,-70.291
64.533,-70.291
64.633,-70.291
64.751,-70.291
64.831,-70.291
64.935,-70.291
65.055,-70.291
65.130,-70.291
65.231,-70.291
65.332,-70.291
65.432,-70.291
65.530,-70.291
65.635,-70.291
65.739,-70.291
65.854,-70.291
65.942,-70.291
66.043,-70.291
66.146,-70.291
66.263,-70.291
66.364,-70.291
66.459,-70.291
66.557,-70.291
66.658,-70.291
116.761,-70.291
116.864,-70.291
116.966,-70.291
117.070,-70.291
117.192,-70.291
117.229,-70.291
117.376,-70.291
117.407,-70.291
117.505,-70.291
117.619,-70.291
117.712,-70.291
117.810,-70.291
117.912,-70.291
118.008,-70.291
118.125,-70.291
118.219,-70.291
118.322,-70.291
118.427,-70.291
118.506,-70.291
118.609,-70.291
118.707,-70.291
118.815,-70.291
118.913,-70.291
119.015,-70.291
119.109,-70.291
119.229,-70.291
119.326,-70.291
119.423,-70.291
119.528,-70.291
119.636,-70.291
119.739,-70.291
119.842,-70.291
119.939,-70.291
120.045,-70.291
120.150,-70.291
120.263,-70.291
120.353,-70.291
120.457,-70.291
120.559,-70.291
120.675,-70.291
120.756,-70.291
120.856,-70.291
120.962,-70.291
120.998,-70.291
121.165,-70.291
121.195,-70.291
121.295,-70.291
121.398,-70.291
121.496,-70.291
121.599,-70.291
121.699,-70.291
121.804,-70.291
121.905,-70.291
122.008,-70.291
122.101,-70.291
122.212,-70.291
122.293,-70.291
122.396,-70.291
122.511,-70.291
122.597,-70.291
122.721,-70.291
122.834,-70.291
122.908,-70.291
123.011,-70.291
123.111,-70.291
123.212,-70.291
123.315,-70.291
123.420,-70.291
123.521,-70.291
123.614,-70.291
123.726,-70.291
123.827,-70.291
123.939,-70.291
124.032,-70.291
124.136,-70.291
124.238,-70.291
124.349,-70.291
124.445,-70.291
124.543,-70.291
124.648,-70.291
124.746,-70.291
124.851,-70.291
124.883,-70.291
125.038,-70.291
125.160,-70.291
125.187,-70.291
125.285,-70.291
125.408,-70.291
125.494,-70.291
125.591,-70.291
125.689,-70.291
125.798,-70.291
125.881,-70.291
125.984,-70.291
126.109,-70.291
126.187,-70.291
126.298,-70.291
126.402,-70.291
126.510,-70.291
126.601,-70.291
126.702,-70.291
176.800,-70.291
176.908,-70.291
177.011,-70.291
177.109,-70.291
177.214,-70.291
177.317,-70.291
177.420,-70.291
177.521,-70.291
177.621,-70.291
177.726,-70.291
177.824,-70.291
177.930,-70.291
178.027,-70.291
178.128,-70.291
178.229,-70.291
178.346,-70.291
178.435,-70.291
178.538,-70.291
178.641,-70.291
178.758,-70.291
178.788,-70.291
178.875,-70.291
179.084,-70.291
179.160,-70.291
179.187,-70.291
179.285,-70.291
179.381,-70.291
179.472,-70.291
179.592,-70.291
179.690,-70.291
179.790,-70.291
179.891,-70.291
179.972,-70.291
180.077,-70.291
180.185,-70.291
180.278,-70.291
180.385,-70.291
180.511,-70.291
180.597,-70.291
180.687,-70.291
180.792,-70.291
180.891,-70.291
180.996,-70.291
181.121,-70.291
181.201,-70.291
181.302,-70.291
181.398,-70.291
181.508,-70.291
181.611,-70.291
181.724,-70.291
181.798,-70.291
181.918,-70.291
182.025,-70.291
182.123,-70.291
182.244,-70.291
182.315,-70.291
182.434,-70.291
182.462,-70.291
182.635,-70.291
182.662,-70.291
182.782,-70.291
182.866,-70.291
182.964,-70.291
183.062,-70.291
183.158,-70.291
183.261,-70.291
183.373,-70.291
183.464,-70.291
183.562,-70.291
183.660,-70.291
183.768,-70.291
183.861,-70.291
183.994,-70.291
184.076,-70.291
184.179,-70.291
184.280,-70.291
184.403,-70.291
184.484,-70.291
184.597,-70.291
184.685,-70.291
184.788,-70.291
184.888,-70.291
185.006,-70.291
185.099,-70.291
185.199,-70.291
185.258,-70.291
185.402,-70.291
185.464,-70.291
185.564,-70.291
185.668,-70.291
185.809,-70.291
185.915,-70.291
185.952,-70.291
186.116,-70.291
186.153,-70.291
186.253,-70.291
186.351,-70.291
186.459,-70.291
186.555,-70.291
186.655,-70.291
476.755,-70.291
476.869,-70.291
476.966,-70.291
477.062,-70.291
477.168,-70.291
477.248,-70.291
477.371,-70.291
477.447,-70.291
477.552,-70.291
477.653,-70.291
477.756,-70.291
477.856,-70.291
477.967,-70.291
478.060,-70.291
478.182,-70.291
478.271,-70.291
478.385,-70.291
478.469,-70.291
478.572,-70.291
