Time Lapsed,Magnetic field X
0.000,-36.047
0.003,-36.1
0.005,-36.093
0.006,-36.04
0.006,-36.16
0.008,-36.16
0.008,-36.107
0.010,-36.147
0.092,-36.107
0.179,-36.093
0.278,-36.013
0.378,-36.167
0.486,-36.013
0.584,-36.107
0.689,-36.08
0.788,-36.087
0.898,-36.207
0.996,-36.2
1.096,-36.14
1.199,-36.1
1.271,-36.08
1.391,-36.047
1.474,-36.113
1.574,-36.16
1.648,-36.16
1.810,-36.107
1.932,-36.127
1.959,-36.147
2.109,-36.027
2.219,-36.067
2.253,-36.1
2.356,-36.12
2.452,-36.12
2.552,-36.027
2.660,-36.033
2.758,-36.207
2.859,-36.093
2.962,-36.113
3.065,-36.193
3.143,-36.147
3.244,-36.087
3.359,-36.107
3.451,-36.08
3.552,-36.12
3.655,-35.987
3.770,-36.14
3.864,-36.06
3.961,-36.147
4.059,-36.133
4.167,-36.167
4.271,-36.153
4.371,-36.007
4.459,-36.127
4.577,-36.12
4.680,-36.073
4.780,-36.08
4.891,-36.087
4.988,-36.067
5.087,-36.08
5.195,-36.153
5.293,-36.0
5.395,-35.927
5.493,-36.013
5.606,-36.06
5.702,-36.053
5.805,-36.113
5.930,-36.087
5.947,-36.1
6.043,-36.12
6.143,-36.167
6.243,-36.14
6.341,-36.127
6.442,-36.06
6.545,-36.173
6.636,-36.14
56.734,-36.1
56.861,-36.18
56.947,-36.173
57.057,-36.133
57.153,-36.073
57.238,-36.133
57.336,-36.173
57.449,-36.073
57.545,-36.007
57.643,-36.1
57.741,-36.1
57.861,-36.227
57.957,-36.047
58.057,-36.027
58.180,-36.007
58.273,-36.127
58.396,-36.267
58.471,-36.04
58.570,-36.107
58.673,-36.14
58.768,-36.16
58.869,-36.18
59.008,-35.94
59.082,-36.08
59.185,-36.0
59.287,-36.14
59.393,-36.087
59.494,-36.02
59.606,-36.173
59.699,-36.107
59.728,-36.14
59.900,-36.16
59.929,-35.987
60.040,-36.093
60.141,-36.013
60.238,-36.22
60.339,-36.1
60.447,-35.947
60.547,-36.047
60.623,-36.113
60.729,-36.087
60.837,-36.06
60.925,-36.127
61.027,-36.04
61.131,-36.12
61.233,-36.267
61.327,-36.173
61.442,-36.24
61.552,-36.08
61.648,-36.16
61.744,-36.107
61.854,-36.047
61.951,-36.127
62.052,-36.013
62.177,-36.127
62.270,-35.993
62.364,-36.053
62.461,-36.087
62.589,-36.087
62.667,-36.2
62.771,-36.04
62.912,-36.053
62.984,-36.047
63.079,-35.987
63.187,-36.047
63.290,-36.16
63.320,-36.12
63.415,-36.053
63.594,-36.06
63.623,-36.127
63.724,-36.227
63.824,-36.187
63.925,-36.133
64.015,-36.073
64.128,-36.113
64.226,-36.113
64.327,-36.053
64.425,-36.14
64.533,-36.133
64.633,-36.053
64.751,-36.08
64.831,-36.147
64.935,-36.073
65.055,-36.133
65.130,-36.127
65.231,-36.167
65.332,-36.007
65.432,-36.06
65.530,-36.133
65.635,-35.973
65.739,-36.113
65.854,-36.1
65.942,-36.213
66.043,-36.1
66.146,-36.04
66.263,-36.053
66.364,-36.093
66.459,-36.08
66.557,-36.06
66.658,-36.147
116.761,-36.18
116.864,-36.027
116.966,-36.153
117.070,-36.08
117.192,-36.087
117.229,-36.073
117.376,-35.987
117.407,-36.02
117.505,-36.22
117.619,-36.12
117.712,-36.073
117.810,-36.0
117.912,-36.14
118.008,-36.187
118.125,-36.147
118.219,-36.253
118.322,-36.12
118.427,-36.24
118.506,-36.167
118.609,-36.187
118.707,-36.033
118.815,-36.1
118.913,-36.073
119.015,-36.18
119.109,-36.133
119.229,-36.113
119.326,-36.04
119.423,-36.087
119.528,-36.14
119.636,-36.133
119.739,-36.173
119.842,-36.027
119.939,-36.093
120.045,-36.187
120.150,-36.1
120.263,-36.187
120.353,-35.973
120.457,-36.12
120.559,-36.167
120.675,-36.013
120.756,-36.133
120.856,-36.08
120.962,-36.06
120.998,-36.067
121.165,-36.033
121.195,-36.073
121.295,-36.08
121.398,-36.187
121.496,-36.047
121.599,-36.107
121.699,-36.06
121.804,-36.14
121.905,-36.007
122.008,-36.173
122.101,-36.287
122.212,-36.2
122.293,-36.173
122.396,-36.073
122.511,-36.073
122.597,-36.06
122.721,-36.033
122.834,-36.087
122.908,-36.007
123.011,-36.1
123.111,-36.147
123.212,-36.1
123.315,-36.06
123.420,-36.007
123.521,-36.04
123.614,-36.067
123.726,-36.113
123.827,-36.093
123.939,-36.167
124.032,-35.987
124.136,-36.167
124.238,-36.087
124.349,-36.08
