Time Lapsed,Magnetic field Z
0.000,16.66
0.003,17.04
0.005,17.053
0.006,17.0
0.006,17.067
0.008,17.113
0.008,17.133
0.010,17.14
0.092,16.947
0.179,17.1
0.278,16.933
0.378,17.373
0.486,17.027
0.584,17.033
0.689,17.16
0.788,16.753
0.898,16.727
0.996,16.993
1.096,17.0
1.199,17.047
1.271,17.04
1.391,17.027
1.474,17.213
1.574,17.04
1.648,17.22
1.810,16.867
1.932,16.887
1.959,17.26
2.109,17.1
2.219,17.113
2.253,17.013
2.356,17.1
2.452,17.087
2.552,17.12
2.660,17.08
2.758,16.88
2.859,17.113
2.962,17.28
3.065,17.24
3.143,17.047
3.244,17.067
3.359,17.047
3.451,17.147
3.552,17.093
3.655,17.253
3.770,17.067
3.864,16.893
3.961,17.327
4.059,17.347
4.167,17.347
4.271,17.027
4.371,16.68
4.459,17.133
4.577,16.993
4.680,17.167
4.780,17.253
4.891,16.9
4.988,17.187
5.087,16.873
5.195,17.12
5.293,17.093
5.395,16.793
5.493,17.053
5.606,17.113
5.702,17.36
5.805,17.173
5.930,17.067
5.947,17.193
6.043,17.06
6.143,17.027
6.243,17.073
6.341,16.96
6.442,16.82
6.545,17.193
6.636,16.953
56.734,17.02
56.861,16.86
56.947,17.26
57.057,17.24
57.153,17.027
57.238,17.14
57.336,16.96
57.449,16.807
57.545,17.18
57.643,17.26
57.741,16.933
57.861,17.387
57.957,17.127
58.057,17.32
58.180,16.907
58.273,17.06
58.396,17.187
58.471,17.0
58.570,17.1
58.673,17.287
58.768,17.28
58.869,17.14
59.008,17.047
59.082,16.933
59.185,16.967
59.287,17.193
59.393,17.173
59.494,16.933
59.606,17.087
59.699,17.087
59.728,16.847
59.900,17.027
59.929,16.92
60.040,16.847
60.141,17.193
60.238,17.087
60.339,17.26
60.447,16.987
60.547,17.007
60.623,17.42
60.729,17.307
60.837,17.273
60.925,17.133
61.027,17.127
61.131,17.22
61.233,17.287
61.327,17.36
61.442,17.02
61.552,16.953
61.648,17.28
61.744,17.247
61.854,17.007
61.951,17.04
62.052,16.953
62.177,17.36
62.270,17.093
62.364,17.12
62.461,17.233
62.589,16.927
62.667,17.373
62.771,17.38
62.912,17.193
62.984,17.273
63.079,17.0
63.187,17.113
63.290,17.02
63.320,17.147
63.415,17.02
63.594,16.847
63.623,16.813
63.724,17.173
63.824,17.147
63.925,17.053
64.015,17.22
64.128,17.073
64.226,17.413
64.327,17.313
64.425,17.267
64.533,17.047
64.633,16.947
64.751,17.267
64.831,17.373
64.935,17.193
65.055,17.247
65.130,16.94
65.231,17.087
65.332,17.06
65.432,16.827
65.530,16.92
65.635,16.653
65.739,17.4
65.854,17.247
65.942,17.5
66.043,17.287
66.146,16.86
66.263,17.013
66.364,17.107
66.459,17.073
66.557,17.08
66.658,17.08
116.761,16.793
116.864,16.893
116.966,17.307
117.070,17.28
117.192,17.133
117.229,17.06
117.376,17.1
117.407,17.087
117.505,17.26
117.619,17.027
117.712,17.087
117.810,17.093
117.912,17.34
118.008,17.273
118.125,17.28
118.219,17.2
118.322,17.18
118.427,17.347
118.506,17.153
118.609,17.227
118.707,17.28
118.815,16.98
118.913,16.967
119.015,17.247
119.109,17.287
119.229,17.133
119.326,16.907
119.423,17.053
119.528,16.98
119.636,17.24
119.739,17.213
119.842,16.82
119.939,16.913
120.045,17.207
120.150,17.233
120.263,17.087
120.353,16.687
120.457,17.227
120.559,17.007
120.675,17.16
120.756,17.087
120.856,17.04
120.962,17.207
120.998,17.267
121.165,17.08
121.195,17.153
121.295,17.107
121.398,16.98
121.496,17.093
121.599,16.92
121.699,17.187
121.804,17.093
121.905,17.107
122.008,17.113
122.101,17.253
122.212,17.067
122.293,17.127
122.396,16.873
122.511,17.393
122.597,17.28
122.721,17.173
122.834,17.02
122.908,17.04
123.011,17.187
123.111,17.28
123.212,17.227
123.315,16.987
123.420,17.14
123.521,17.027
123.614,17.233
123.726,17.273
123.827,17.0
123.939,17.127
124.032,17.027
124.136,17.2
124.238,17.087
124.349,17.127
124.445,17.073
124.543,16.833
124.648,17.407
124.746,17.187
124.851,17.207
124.883,17.027
125.038,16.887
125.160,17.073
125.187,17.153
125.285,16.987
125.408,17.187
125.494,17.24
125.591,17.2
125.689,17.2
125.798,17.307
125.881,17.273
125.984,17.233
126.109,17.02
126.187,17.167
126.298,17.193
126.402,17.207
126.510,17.113
126.601,17.293
126.702,17.02
176.800,17.06
176.908,17.233
