Time,Magnetic field Z
 22:40:20.908,16.660
 22:40:23.289,17.040
 22:40:23.293,17.053
 22:40:23.294,17.000
 22:40:23.294,16.980
 22:40:23.294,16.820
 22:40:23.294,16.927
 22:40:23.295,17.067
 22:40:23.296,17.113
 22:40:23.296,17.027
 22:40:23.296,16.993
 22:40:23.296,16.860
 22:40:23.297,17.133
 22:40:23.297,17.413
 22:40:23.297,17.187
 22:40:23.297,17.167
 22:40:23.298,17.140
 22:40:23.298,17.033
 22:40:23.298,17.000
 22:40:23.298,16.760
 22:40:23.298,16.980
 22:40:23.299,16.947
 22:40:23.299,17.307
 22:40:23.299,17.153
 22:40:23.299,17.087
 22:40:23.382,17.100
 22:40:23.468,16.933
 22:40:23.567,17.373
 22:40:23.667,17.027
 22:40:23.776,17.033
 22:40:23.874,17.160
 22:40:23.978,16.753
 22:40:24.077,16.727
 22:40:24.187,16.993
 22:40:24.285,17.000
 22:40:24.385,17.047
 22:40:24.488,17.040
 22:40:24.560,17.027
 22:40:24.681,17.213
 22:40:24.763,17.040
 22:40:24.863,17.220
 22:40:24.938,16.867
 22:40:25.100,16.887
 22:40:25.222,17.260
 22:40:25.248,17.100
 22:40:25.399,17.113
 22:40:25.509,17.013
 22:40:25.543,17.100
 22:40:25.646,17.087
 22:40:25.742,17.120
 22:40:25.841,17.080
 22:40:25.949,16.880
 22:40:26.048,17.113
 22:40:26.148,17.280
 22:40:26.252,17.240
 22:40:26.354,17.047
 22:40:26.433,17.067
 22:40:26.534,17.047
 22:40:26.648,17.147
 22:40:26.740,17.093
 22:40:26.841,17.253
 22:40:26.945,17.067
 22:40:27.059,16.893
 22:40:27.154,17.327
 22:40:27.250,17.347
 22:40:27.348,17.347
 22:40:27.456,17.027
 22:40:27.561,16.680
 22:40:27.661,17.133
 22:40:27.749,16.993
 22:40:27.867,17.167
 22:40:27.970,17.253
 22:40:28.070,16.900
 22:40:28.180,17.187
 22:40:28.277,16.873
 22:40:28.377,17.120
 22:40:28.485,17.093
 22:40:28.583,16.793
 22:40:28.684,17.053
 22:40:28.782,17.113
 22:40:28.896,17.360
 22:40:28.992,17.173
 22:40:29.095,17.067
 22:40:29.219,17.193
 22:40:29.237,17.060
 22:40:29.333,17.027
 22:40:29.432,17.073
 22:40:29.532,16.960
 22:40:29.630,16.820
 22:40:29.732,17.193
 22:40:29.835,16.953
 22:40:29.925,17.020
 22:40:30.023,16.860
 22:40:30.150,17.260
 22:40:30.236,17.240
 22:40:30.346,17.027
 22:40:30.442,17.140
 22:40:30.527,16.960
 22:40:30.625,16.807
 22:40:30.739,17.180
 22:40:30.835,17.260
 22:40:30.932,16.933
 22:40:31.030,17.387
 22:40:31.150,17.127
 22:40:31.246,17.320
 22:40:31.347,16.907
 22:40:31.469,17.060
 22:40:31.563,17.187
 22:40:31.686,17.000
 22:40:31.760,17.100
 22:40:31.860,17.287
 22:40:31.962,17.280
 22:40:32.057,17.140
 22:40:32.159,17.047
 22:40:32.297,16.933
 22:40:32.371,16.967
 22:40:32.474,17.193
 22:40:32.576,17.173
 22:40:32.682,16.933
 22:40:32.783,17.087
 22:40:32.895,17.087
 22:40:32.989,16.847
 22:40:33.017,17.027
 22:40:33.190,16.920
 22:40:33.218,16.847
 22:40:33.330,17.193
 22:40:33.430,17.087
 22:40:33.527,17.260
 22:40:33.629,16.987
 22:40:33.736,17.007
 22:40:33.836,17.420
 22:40:33.913,17.307
 22:40:34.019,17.273
 22:40:34.127,17.133
 22:40:34.215,17.127
 22:40:34.316,17.220
 22:40:34.420,17.287
 22:40:34.522,17.360
 22:40:34.617,17.020
 22:40:34.731,16.953
 22:40:34.841,17.280
 22:40:34.937,17.247
 22:40:35.034,17.007
 22:40:35.144,17.040
 22:40:35.240,16.953
 22:40:35.342,17.360
 22:40:35.467,17.093
 22:40:35.559,17.120
 22:40:35.653,17.233
 22:40:35.750,16.927
 22:40:35.878,17.373
 22:40:35.956,17.380
 22:40:36.060,17.193
 22:40:36.201,17.273
 22:40:36.273,17.000
 22:40:36.368,17.113
 22:40:36.476,17.020
 22:40:36.579,17.147
 22:40:36.609,17.020
 22:40:36.705,16.847
 22:40:36.884,16.813
 22:40:36.912,17.173
 22:40:37.014,17.147
 22:40:37.113,17.053
 22:40:37.215,17.220
 22:40:37.304,17.073
 22:40:37.418,17.413
 22:40:37.516,17.313
 22:40:37.617,17.267
 22:40:37.715,17.047
 22:40:37.823,16.947
 22:40:37.923,17.267
 22:40:38.040,17.373
 22:40:38.120,17.193
 22:40:38.224,17.247
 22:40:38.344,16.940
 22:40:38.419,17.087
 22:40:38.521,17.060
 22:40:38.621,16.827
 22:40:38.721,16.920
 22:40:38.820,16.653
 22:40:38.924,17.400
 22:40:39.028,17.247
 22:40:39.143,17.500
 22:40:39.231,17.287
 22:40:39.333,16.860
 22:40:39.436,17.013
 22:40:39.553,17.107
 22:40:39.653,17.073
 22:40:39.749,17.080
 22:40:39.847,17.080
 22:40:39.948,16.793
 22:40:40.050,16.893
 22:40:40.154,17.307
 22:40:40.255,17.280
 22:40:40.359,17.133
 22:40:40.481,17.060
 22:40:40.519,17.100
 22:40:40.666,17.087
 22:40:40.696,17.260
 22:40:40.794,17.027
 22:40:40.908,17.087
 22:40:41.001,17.093
 22:40:41.099,17.340
 22:40:41.201,17.273
 22:40:41.297,17.280
 22:40:41.414,17.200
 22:40:41.508,17.180
 22:40:41.612,17.347
 22:40:41.716,17.153
 22:40:41.795,17.227
 22:40:41.899,17.280
 22:40:41.997,16.980
 22:40:42.104,16.967
 22:40:42.202,17.247
 22:40:42.304,17.287
 22:40:42.398,17.133
 22:40:42.519,16.907
 22:40:42.615,17.053
 22:40:42.713,16.980
 22:40:42.817,17.240
 22:40:42.925,17.213
 22:40:43.028,16.820
 22:40:43.132,16.913
 22:40:43.228,17.207
 22:40:43.335,17.233
 22:40:43.439,17.087
 22:40:43.553,16.687
 22:40:43.642,17.227
 22:40:43.746,17.007
 22:40:43.848,17.160
 22:40:43.964,17.087
 22:40:44.045,17.040
 22:40:44.145,17.207
 22:40:44.251,17.267
 22:40:44.287,17.080
 22:40:44.454,17.153
 22:40:44.484,17.107
 22:40:44.584,16.980
 22:40:44.688,17.093
 22:40:44.785,16.920
 22:40:44.889,17.187
 22:40:44.989,17.093
 22:40:45.093,17.107
 22:40:45.194,17.113
 22:40:45.298,17.253
 22:40:45.390,17.067
 22:40:45.502,17.127
 22:40:45.583,16.873
 22:40:45.685,17.393
 22:40:45.801,17.280
 22:40:45.886,17.173
 22:40:46.010,17.020
 22:40:46.124,17.040
 22:40:46.197,17.187
 22:40:46.300,17.280
 22:40:46.401,17.227
 22:40:46.502,16.987
 22:40:46.605,17.140
 22:40:46.709,17.027
 22:40:46.811,17.233
 22:40:46.904,17.273
 22:40:47.016,17.000
 22:40:47.116,17.127
 22:40:47.228,17.027
 22:40:47.321,17.200
 22:40:47.425,17.087
 22:40:47.527,17.127
 22:40:47.639,17.073
 22:40:47.735,16.833
 22:40:47.833,17.407
 22:40:47.937,17.187
 22:40:48.036,17.207
 22:40:48.140,17.027
 22:40:48.172,16.887
 22:40:48.328,17.073
 22:40:48.449,17.153
 22:40:48.477,16.987
 22:40:48.575,17.187
 22:40:48.697,17.240
 22:40:48.784,17.200
 22:40:48.880,17.200
 22:40:48.978,17.307
 22:40:49.088,17.273
 22:40:49.171,17.233
 22:40:49.273,17.020
 22:40:49.399,17.167
 22:40:49.477,17.193
 22:40:49.587,17.207
 22:40:49.691,17.113
 22:40:49.799,17.293
 22:40:49.891,17.020
 22:40:49.991,17.060
 22:40:50.089,17.233
 22:40:50.197,17.227
 22:40:50.301,16.953
 22:40:50.398,17.287
 22:40:50.504,17.273
 22:40:50.606,17.073
 22:40:50.710,17.067
 22:40:50.811,16.927
 22:40:50.911,17.053
 22:40:51.015,17.220
 22:40:51.113,17.440
 22:40:51.220,17.120
 22:40:51.316,16.880
 22:40:51.418,16.893
 22:40:51.519,17.427
 22:40:51.635,17.220
 22:40:51.725,17.040
 22:40:51.827,17.307
 22:40:51.930,17.053
 22:40:52.048,17.033
 22:40:52.078,17.047
 22:40:52.164,16.960
 22:40:52.373,16.907
 22:40:52.449,16.940
 22:40:52.477,17.053
 22:40:52.575,17.340
 22:40:52.670,17.207
 22:40:52.762,17.153
 22:40:52.882,17.153
 22:40:52.980,16.787
 22:40:53.079,16.887
 22:40:53.181,16.733
 22:40:53.261,17.147
 22:40:53.366,17.300
 22:40:53.475,17.267
 22:40:53.567,17.093
 22:40:53.674,16.873
 22:40:53.800,17.113
 22:40:53.887,16.933
 22:40:53.977,17.180
 22:40:54.081,17.160
 22:40:54.181,17.067
 22:40:54.285,16.960
 22:40:54.410,17.073
 22:40:54.490,17.013
 22:40:54.592,17.007
 22:40:54.687,17.273
 22:40:54.798,17.053
 22:40:54.901,17.100
 22:40:55.014,17.240
 22:40:55.087,17.060
 22:40:55.208,17.213
 22:40:55.315,17.033
 22:40:55.413,17.260
 22:40:55.533,17.267
 22:40:55.605,17.013
 22:40:55.723,17.160
 22:40:55.752,16.820
 22:40:55.924,16.993
 22:40:55.951,17.020
 22:40:56.071,17.060
 22:40:56.155,16.940
 22:40:56.253,17.007
 22:40:56.351,17.193
 22:40:56.448,17.147
 22:40:56.550,17.033
 22:40:56.662,16.927
 22:40:56.754,16.913
 22:40:56.852,17.113
 22:40:56.950,17.240
 22:40:57.058,17.147
 22:40:57.151,16.987
 22:40:57.284,17.267
 22:40:57.365,17.040
 22:40:57.468,17.040
 22:40:57.569,17.067
 22:40:57.693,16.960
 22:40:57.774,16.840
