Time,Acceleration_X
0.000,-0.008
0.112,-0.008
0.182,-0.008
50.283,-0.008
50.386,-0.008
50.489,-0.008
50.592,-0.008
50.694,-0.008
50.796,-0.008
50.882,-0.008
51.003,-0.009
51.104,-0.008
51.207,-0.008
51.315,-0.007
51.413,-0.008
51.510,-0.008
51.616,-0.008
51.717,-0.007
51.820,-0.008
51.940,-0.008
52.030,-0.008
52.128,-0.008
52.229,-0.008
52.352,-0.008
52.434,-0.008
52.461,-0.009
52.560,-0.007
52.676,-0.008
52.771,-0.008
52.868,-0.008
52.970,-0.009
53.072,-0.008
53.176,-0.008
53.278,-0.008
53.356,-0.007
53.459,-0.008
53.560,-0.007
53.684,-0.009
53.778,-0.009
53.869,-0.008
53.970,-0.009
54.072,-0.008
54.189,-0.008
54.258,-0.008
54.380,-0.008
54.514,-0.009
54.553,-0.008
54.687,-0.008
54.790,-0.008
54.880,-0.008
54.994,-0.008
55.096,-0.008
55.198,-0.008
55.303,-0.008
55.405,-0.008
55.506,-0.008
55.614,-0.008
55.712,-0.008
55.813,-0.009
55.916,-0.008
56.050,-0.009
56.052,-0.008
56.150,-0.008
56.250,-0.008
56.351,-0.008
56.453,-0.008
56.557,-0.008
56.657,-0.008
56.760,-0.008
56.860,-0.008
56.964,-0.009
57.048,-0.008
57.170,-0.008
57.249,-0.008
57.351,-0.008
57.452,-0.008
57.554,-0.008
57.659,-0.008
57.761,-0.008
57.864,-0.008
57.963,-0.008
58.067,-0.008
58.186,-0.008
58.274,-0.009
58.375,-0.008
58.476,-0.008
58.599,-0.008
58.681,-0.008
58.785,-0.008
58.887,-0.009
58.991,-0.009
59.089,-0.008
59.193,-0.008
59.296,-0.008
59.402,-0.008
59.499,-0.008
59.603,-0.008
59.706,-0.008
59.809,-0.008
59.915,-0.008
59.944,-0.008
60.050,-0.008
60.137,-0.008
110.239,-0.008
110.342,-0.008
110.460,-0.008
110.552,-0.008
110.650,-0.008
110.760,-0.009
110.859,-0.008
110.938,-0.008
111.036,-0.008
111.139,-0.008
111.241,-0.007
111.366,-0.009
111.445,-0.008
111.548,-0.008
111.666,-0.008
111.784,-0.008
111.864,-0.008
111.980,-0.009
112.060,-0.008
112.163,-0.009
112.274,-0.008
112.369,-0.009
112.436,-0.008
112.537,-0.008
112.641,-0.009
112.742,-0.008
112.855,-0.009
112.981,-0.008
113.087,-0.008
113.188,-0.008
113.291,-0.008
113.393,-0.008
113.494,-0.008
113.597,-0.008
113.700,-0.009
113.803,-0.009
113.830,-0.008
113.928,-0.009
114.029,-0.008
114.132,-0.008
114.233,-0.008
114.338,-0.008
114.435,-0.008
114.548,-0.008
114.645,-0.009
114.747,-0.008
114.847,-0.008
114.927,-0.008
115.035,-0.008
115.134,-0.008
115.239,-0.008
115.337,-0.008
115.444,-0.008
115.542,-0.008
115.652,-0.008
115.748,-0.008
115.849,-0.008
115.951,-0.008
116.055,-0.009
116.156,-0.009
116.273,-0.007
116.361,-0.008
116.464,-0.008
116.565,-0.008
116.685,-0.008
116.777,-0.008
116.875,-0.008
116.975,-0.009
117.079,-0.008
117.180,-0.008
117.283,-0.008
117.386,-0.008
117.418,-0.008
117.516,-0.008
117.693,-0.008
117.717,-0.008
117.819,-0.009
117.921,-0.008
118.024,-0.008
118.134,-0.008
118.231,-0.009
118.334,-0.008
118.432,-0.009
118.521,-0.009
118.619,-0.008
118.716,-0.008
118.845,-0.008
118.922,-0.008
119.023,-0.008
119.146,-0.008
119.235,-0.009
119.331,-0.008
119.433,-0.008
119.536,-0.008
119.623,-0.008
119.739,-0.008
119.842,-0.008
119.949,-0.008
120.037,-0.008
120.151,-0.008
410.252,-0.008
410.359,-0.008
410.455,-0.008
410.560,-0.008
410.657,-0.009
410.764,-0.008
410.864,-0.008
410.969,-0.008
411.048,-0.008
411.173,-0.008
411.277,-0.009
411.378,-0.008
411.416,-0.009
411.510,-0.008
411.608,-0.008
