Time Lapsed,Acceleration_Z
0.000,1.003
0.112,1.003
0.182,1.002
50.283,1.002
50.386,1.002
50.489,1.002
50.592,1.002
50.694,1.002
50.796,1.002
50.882,1.002
51.003,1.002
51.104,1.001
51.207,1.002
51.315,1.001
51.413,1.001
51.510,1.003
51.616,1.003
51.717,1.001
51.820,1.002
51.940,1.002
52.030,1.002
52.128,1.001
52.229,1.001
52.352,1.001
52.434,1.001
52.461,1.001
52.560,1.003
52.676,1.002
52.771,1.002
52.868,1.003
52.970,1.001
53.072,1.002
53.176,1.001
53.278,1.002
53.356,1.003
53.459,1.001
53.560,1.004
53.684,1.0
53.778,1.003
53.869,1.002
53.970,1.002
54.072,1.003
54.189,1.002
54.258,1.004
54.380,1.002
54.514,1.002
54.553,1.002
54.687,1.001
54.790,1.002
54.880,1.002
54.994,1.002
55.096,1.002
55.198,1.002
55.303,1.002
55.405,1.002
55.506,1.001
55.614,1.003
55.712,1.002
55.813,1.001
55.916,1.001
56.050,1.001
56.052,1.003
56.150,1.001
56.250,1.002
56.351,1.004
56.453,1.002
56.557,1.002
56.657,1.002
56.760,1.002
56.860,1.004
56.964,1.0
57.048,1.002
57.170,1.003
57.249,1.002
57.351,1.003
57.452,1.0
57.554,1.003
57.659,1.001
57.761,1.001
57.864,1.002
57.963,1.002
58.067,1.001
58.186,1.001
58.274,1.004
58.375,1.001
58.476,1.001
58.599,1.001
58.681,1.002
58.785,1.003
58.887,1.001
58.991,1.002
59.089,1.001
59.193,1.003
59.296,1.002
59.402,1.002
59.499,1.002
59.603,1.002
59.706,1.002
59.809,1.002
59.915,1.002
59.944,1.001
60.050,1.002
60.137,1.0
110.239,1.002
110.342,1.001
110.460,1.001
110.552,1.002
110.650,1.002
110.760,1.001
110.859,1.001
110.938,1.002
111.036,1.001
111.139,1.001
111.241,1.002
111.366,1.001
111.445,1.002
111.548,1.002
111.666,1.002
111.784,1.002
111.864,1.002
111.980,1.0
112.060,1.003
112.163,1.0
112.274,1.001
112.369,1.003
112.436,1.001
112.537,1.003
112.641,1.002
112.742,1.001
112.855,1.002
112.981,1.001
113.087,1.002
113.188,1.001
113.291,1.002
113.393,1.002
113.494,1.002
113.597,1.002
