Time Lapsed,Angle_Z
0.000,-70.532
0.112,-70.532
0.182,-70.532
50.283,-70.532
50.386,-70.532
50.489,-70.532
50.592,-70.532
50.694,-70.532
50.796,-70.532
50.882,-70.532
51.003,-70.532
51.104,-70.532
51.207,-70.532
51.315,-70.532
51.413,-70.532
51.510,-70.532
51.616,-70.532
51.717,-70.532
51.820,-70.532
51.940,-70.532
52.030,-70.532
52.128,-70.532
52.229,-70.532
52.352,-70.532
52.434,-70.532
52.461,-70.532
52.560,-70.532
52.676,-70.532
52.771,-70.532
52.868,-70.532
52.970,-70.532
53.072,-70.532
53.176,-70.532
53.278,-70.532
53.356,-70.532
53.459,-70.532
53.560,-70.532
53.684,-70.532
53.778,-70.532
53.869,-70.532
53.970,-70.532
54.072,-70.532
54.189,-70.532
54.258,-70.532
54.380,-70.532
54.514,-70.532
54.553,-70.532
54.687,-70.532
54.790,-70.532
54.880,-70.532
54.994,-70.532
55.096,-70.532
55.198,-70.532
55.303,-70.532
55.405,-70.532
55.506,-70.532
55.614,-70.532
55.712,-70.532
55.813,-70.532
55.916,-70.532
56.050,-70.532
56.052,-70.532
56.150,-70.532
56.250,-70.532
56.351,-70.532
56.453,-70.532
56.557,-70.532
56.657,-70.532
56.760,-70.532
56.860,-70.532
56.964,-70.532
57.048,-70.532
57.170,-70.532
57.249,-70.532
57.351,-70.532
57.452,-70.532
57.554,-70.532
57.659,-70.532
57.761,-70.532
57.864,-70.532
57.963,-70.532
58.067,-70.532
58.186,-70.532
58.274,-70.532
58.375,-70.532
58.476,-70.532
58.599,-70.532
58.681,-70.532
58.785,-70.532
58.887,-70.532
58.991,-70.532
59.089,-70.532
59.193,-70.532
59.296,-70.532
59.402,-70.532
59.499,-70.532
59.603,-70.532
59.706,-70.532
59.809,-70.532
59.915,-70.532
59.944,-70.532
60.050,-70.532
60.137,-70.532
110.239,-70.532
110.342,-70.532
110.460,-70.532
110.552,-70.532
110.650,-70.532
110.760,-70.532
110.859,-70.532
110.938,-70.532
111.036,-70.532
111.139,-70.532
111.241,-70.532
111.366,-70.532
111.445,-70.532
111.548,-70.532
111.666,-70.532
111.784,-70.532
111.864,-70.532
111.980,-70.532
112.060,-70.532
112.163,-70.532
112.274,-70.532
112.369,-70.532
112.436,-70.532
112.537,-70.532
112.641,-70.532
112.742,-70.532
112.855,-70.532
112.981,-70.532
113.087,-70.532
113.188,-70.532
113.291,-70.532
113.393,-70.532
113.494,-70.532
113.597,-70.532
113.700,-70.532
113.803,-70.532
113.830,-70.532
113.928,-70.532
114.029,-70.532
114.132,-70.532
114.233,-70.532
114.338,-70.532
114.435,-70.532
114.548,-70.532
114.645,-70.532
114.747,-70.532
114.847,-70.532
114.927,-70.532
115.035,-70.532
115.134,-70.532
115.239,-70.532
115.337,-70.532
115.444,-70.532
115.542,-70.532
115.652,-70.532
115.748,-70.532
115.849,-70.532
115.951,-70.532
116.055,-70.532
116.156,-70.532
116.273,-70.532
116.361,-70.532
116.464,-70.532
116.565,-70.532
116.685,-70.532
116.777,-70.532
116.875,-70.532
116.975,-70.532
117.079,-70.532
117.180,-70.532
117.283,-70.532
117.386,-70.532
117.418,-70.532
117.516,-70.532
117.693,-70.532
117.717,-70.532
117.819,-70.532
117.921,-70.532
118.024,-70.532
118.134,-70.532
118.231,-70.532
118.334,-70.532
118.432,-70.532
118.521,-70.532
118.619,-70.532
118.716,-70.532
118.845,-70.532
118.922,-70.532
119.023,-70.532
119.146,-70.532
119.235,-70.532
119.331,-70.532
119.433,-70.532
119.536,-70.532
119.623,-70.532
119.739,-70.532
119.842,-70.532
119.949,-70.532
120.037,-70.532
120.151,-70.532
410.252,-70.532
410.359,-70.532
410.455,-70.532
410.560,-70.532
410.657,-70.532
410.764,-70.532
410.864,-70.532
410.969,-70.532
411.048,-70.532
411.173,-70.532
411.277,-70.532
411.378,-70.532
411.416,-70.532
411.510,-70.532
411.608,-70.532
411.711,-70.532
411.812,-70.532
411.914,-70.532
412.016,-70.532
412.119,-70.532
412.222,-70.532
412.324,-70.532
412.403,-70.532
412.519,-70.532
412.611,-70.532
412.710,-70.532
412.813,-70.532
412.932,-70.532
413.016,-70.532
413.137,-70.532
413.255,-70.532
413.325,-70.532
413.428,-70.532
413.531,-70.532
413.632,-70.532
413.759,-70.532
413.836,-70.532
413.900,-70.532
414.006,-70.532
414.143,-70.532
414.247,-70.532
414.356,-70.532
414.429,-70.532
414.553,-70.532
414.655,-70.532
414.743,-70.532
414.864,-70.532
414.961,-70.532
415.067,-70.532
415.172,-70.532
415.198,-70.532
415.298,-70.532
415.396,-70.532
415.507,-70.532
415.603,-70.532
415.703,-70.532
415.872,-70.532
415.900,-70.532
416.011,-70.532
416.113,-70.532
416.195,-70.532
416.293,-70.532
416.396,-70.532
416.499,-70.532
416.606,-70.532
416.703,-70.532
416.805,-70.532
416.930,-70.532
417.011,-70.532
417.113,-70.532
417.216,-70.532
417.319,-70.532
417.421,-70.532
417.540,-70.532
417.665,-70.532
417.728,-70.532
417.830,-70.532
417.890,-70.532
418.034,-70.532
418.139,-70.532
418.198,-70.532
418.298,-70.532
418.444,-70.532
418.507,-70.532
418.614,-70.532
418.717,-70.532
418.820,-70.532
418.957,-70.532
418.985,-70.532
419.179,-70.532
419.183,-70.532
419.302,-70.532
419.390,-70.532
419.504,-70.532
419.602,-70.532
419.699,-70.532
419.798,-70.532
419.902,-70.532
419.981,-70.532
420.083,-70.532
420.185,-70.532
470.296,-70.532
470.391,-70.532
470.493,-70.532
470.604,-70.532
470.687,-70.532
470.795,-70.532
470.896,-70.532
471.016,-70.532
471.112,-70.532
471.209,-70.532
471.313,-70.532
471.415,-70.532
471.518,-70.532
471.618,-70.532
471.744,-70.532
471.824,-70.532
471.927,-70.532
472.027,-70.532
472.131,-70.532
472.232,-70.532
472.335,-70.532
472.443,-70.532
472.541,-70.532
472.643,-70.532
472.744,-70.532
472.773,-70.532
472.879,-70.532
473.054,-70.532
473.080,-70.532
473.177,-70.532
473.280,-70.532
473.384,-70.532
473.485,-70.532
473.587,-70.532
473.690,-70.532
473.793,-70.532
473.872,-70.532
473.975,-70.532
474.077,-70.532
474.179,-70.532
474.281,-70.532
474.378,-70.532
474.487,-70.532
474.589,-70.532
474.692,-70.532
474.793,-70.532
474.896,-70.532
475.014,-70.532
475.101,-70.532
475.203,-70.532
475.307,-70.532
475.428,-70.532
475.511,-70.532
475.611,-70.532
475.716,-70.532
475.820,-70.532
475.918,-70.532
476.021,-70.532
476.125,-70.532
476.227,-70.532
476.329,-70.532
476.433,-70.532
476.534,-70.532
476.562,-70.532
476.737,-70.532
476.765,-70.532
476.878,-70.532
476.974,-70.532
477.070,-70.532
477.176,-70.532
477.264,-70.532
477.377,-70.532
477.479,-70.532
477.589,-70.532
477.662,-70.532
477.763,-70.532
477.866,-70.532
477.969,-70.532
478.070,-70.532
478.173,-70.532
478.274,-70.532
478.391,-70.532
478.487,-70.532
478.584,-70.532
478.690,-70.532
478.782,-70.532
478.889,-70.532
