Time Lapsed,Magnetic field Z
0.000,9.127
0.112,9.353
0.182,9.4
50.283,9.227
50.386,8.933
50.489,9.233
50.592,9.133
50.694,9.227
50.796,9.38
50.882,9.607
51.003,9.02
51.104,9.527
51.207,9.36
51.315,9.42
51.413,9.467
51.510,9.267
51.616,9.26
51.717,9.273
51.820,9.54
51.940,9.507
52.030,9.127
52.128,9.307
52.229,9.42
52.352,9.273
52.434,9.44
52.461,9.353
52.560,9.427
52.676,9.42
52.771,9.173
52.868,9.347
52.970,9.52
53.072,9.5
53.176,9.193
53.278,9.427
53.356,8.933
53.459,9.36
53.560,9.547
53.684,9.16
53.778,9.467
53.869,9.413
53.970,9.16
54.072,9.247
54.189,9.22
54.258,9.08
54.380,9.393
54.514,9.213
54.553,9.28
54.687,9.153
54.790,9.62
54.880,9.42
54.994,9.54
55.096,9.48
55.198,8.96
55.303,9.38
55.405,9.413
55.506,9.28
55.614,9.113
55.712,8.973
55.813,9.067
55.916,9.533
56.050,9.147
56.052,9.307
56.150,9.22
56.250,9.173
56.351,9.407
56.453,9.433
56.557,9.327
56.657,9.533
56.760,9.253
56.860,9.48
56.964,9.653
57.048,9.473
57.170,9.387
57.249,9.173
57.351,9.42
57.452,9.493
57.554,9.2
57.659,9.36
57.761,9.207
57.864,9.513
57.963,9.573
58.067,9.4
58.186,9.433
58.274,9.36
58.375,9.493
58.476,9.32
58.599,9.187
58.681,9.313
58.785,8.887
58.887,9.613
58.991,9.327
59.089,9.327
59.193,9.207
59.296,9.033
59.402,9.42
59.499,9.327
59.603,9.26
59.706,9.493
59.809,9.367
59.915,9.24
59.944,9.44
60.050,9.613
60.137,9.573
110.239,9.267
110.342,9.1
110.460,9.32
110.552,9.447
110.650,9.307
110.760,9.293
110.859,9.227
110.938,9.347
111.036,9.14
111.139,9.38
111.241,9.4
111.366,9.46
111.445,9.407
111.548,9.453
111.666,9.4
111.784,9.513
111.864,9.347
111.980,9.493
112.060,9.247
112.163,9.453
112.274,9.387
112.369,9.28
112.436,9.173
112.537,9.353
112.641,9.387
112.742,9.373
112.855,8.98
112.981,9.247
113.087,9.24
113.188,9.24
113.291,9.407
113.393,9.107
113.494,9.42
113.597,9.493
113.700,9.413
113.803,9.327
113.830,9.5
113.928,9.427
114.029,9.38
114.132,9.567
114.233,9.227
114.338,9.36
114.435,9.08
114.548,9.487
114.645,9.313
114.747,9.133
114.847,9.347
114.927,9.34
115.035,9.293
115.134,9.287
115.239,9.553
115.337,9.527
115.444,9.167
115.542,9.347
115.652,9.433
115.748,9.173
115.849,9.607
115.951,9.207
116.055,9.427
116.156,9.42
116.273,9.44
116.361,9.267
116.464,9.013
116.565,9.387
116.685,9.547
116.777,9.227
116.875,9.28
116.975,9.387
117.079,9.44
117.180,9.12
117.283,9.347
117.386,9.427
117.418,9.32
117.516,9.62
117.693,9.233
117.717,9.28
117.819,9.353
117.921,9.387
118.024,9.28
118.134,9.42
118.231,9.36
118.334,9.42
118.432,9.36
118.521,9.2
