Time Lapsed,Temperature
0.000,30.25
0.112,30.25
0.182,30.25
50.283,30.28
50.386,30.29
50.489,30.28
50.592,30.22
50.694,30.23
50.796,30.26
50.882,30.25
51.003,30.28
51.104,30.25
51.207,30.28
51.315,30.25
51.413,30.28
51.510,30.26
51.616,30.25
51.717,30.28
51.820,30.26
51.940,30.25
52.030,30.26
52.128,30.25
52.229,30.29
52.352,30.28
52.434,30.26
52.461,30.25
52.560,30.29
52.676,30.22
52.771,30.26
52.868,30.23
52.970,30.23
53.072,30.26
53.176,30.25
53.278,30.26
53.356,30.22
53.459,30.28
53.560,30.26
53.684,30.25
53.778,30.28
53.869,30.25
53.970,30.26
54.072,30.26
54.189,30.22
54.258,30.26
54.380,30.25
54.514,30.23
54.553,30.26
54.687,30.28
54.790,30.26
54.880,30.23
54.994,30.23
55.096,30.26
55.198,30.22
55.303,30.25
55.405,30.25
55.506,30.29
55.614,30.28
55.712,30.25
55.813,30.25
55.916,30.22
56.050,30.25
56.052,30.23
56.150,30.25
56.250,30.25
56.351,30.25
56.453,30.23
56.557,30.22
56.657,30.29
56.760,30.22
56.860,30.23
56.964,30.23
57.048,30.22
57.170,30.26
57.249,30.22
57.351,30.25
57.452,30.26
57.554,30.25
57.659,30.23
57.761,30.25
57.864,30.26
57.963,30.23
58.067,30.23
58.186,30.25
58.274,30.22
58.375,30.2
58.476,30.22
58.599,30.22
58.681,30.23
58.785,30.22
58.887,30.23
58.991,30.18
59.089,30.18
59.193,30.22
59.296,30.22
59.402,30.22
59.499,30.26
59.603,30.25
59.706,30.23
59.809,30.26
59.915,30.22
59.944,30.26
60.050,30.22
60.137,30.22
110.239,30.22
110.342,30.22
110.460,30.25
110.552,30.25
110.650,30.22
110.760,30.23
110.859,30.25
110.938,30.23
111.036,30.23
111.139,30.22
111.241,30.23
111.366,30.22
111.445,30.18
111.548,30.25
111.666,30.22
111.784,30.18
111.864,30.22
111.980,30.23
112.060,30.22
112.163,30.22
112.274,30.22
112.369,30.25
112.436,30.22
112.537,30.23
112.641,30.2
112.742,30.2
112.855,30.25
112.981,30.17
113.087,30.22
113.188,30.23
113.291,30.2
113.393,30.22
113.494,30.2
113.597,30.2
113.700,30.18
113.803,30.2
113.830,30.17
113.928,30.25
114.029,30.2
114.132,30.22
114.233,30.17
114.338,30.22
114.435,30.2
114.548,30.18
114.645,30.22
114.747,30.2
114.847,30.18
114.927,30.2
115.035,30.18
115.134,30.23
115.239,30.2
115.337,30.2
115.444,30.18
115.542,30.18
115.652,30.2
115.748,30.15
115.849,30.22
115.951,30.18
116.055,30.2
116.156,30.17
116.273,30.22
116.361,30.18
116.464,30.18
116.565,30.17
116.685,30.2
116.777,30.15
116.875,30.2
116.975,30.2
117.079,30.18
117.180,30.2
117.283,30.17
117.386,30.18
117.418,30.17
117.516,30.18
117.693,30.15
117.717,30.25
117.819,30.22
117.921,30.2
118.024,30.2
118.134,30.18
118.231,30.17
118.334,30.17
118.432,30.15
118.521,30.18
118.619,30.22
118.716,30.17
118.845,30.18
118.922,30.18
119.023,30.2
119.146,30.18
119.235,30.14
119.331,30.18
119.433,30.2
119.536,30.2
119.623,30.18
119.739,30.22
119.842,30.22
119.949,30.18
120.037,30.15
120.151,30.18
410.252,30.17
410.359,30.18
410.455,30.17
410.560,30.15
410.657,30.18
410.764,30.15
410.864,30.22
410.969,30.18
411.048,30.18
411.173,30.17
411.277,30.17
411.378,30.15
411.416,30.18
411.510,30.17
411.608,30.2
411.711,30.18
411.812,30.18
411.914,30.18
412.016,30.15
412.119,30.17
412.222,30.17
412.324,30.18
412.403,30.15
412.519,30.17
412.611,30.18
412.710,30.15
412.813,30.17
412.932,30.18
413.016,30.15
413.137,30.15
413.255,30.17
413.325,30.15
413.428,30.15
413.531,30.2
413.632,30.18
413.759,30.15
413.836,30.18
413.900,30.14
414.006,30.17
414.143,30.17
414.247,30.17
414.356,30.18
414.429,30.15
414.553,30.15
414.655,30.17
414.743,30.14
414.864,30.15
414.961,30.14
415.067,30.18
415.172,30.15
415.198,30.15
415.298,30.15
415.396,30.12
415.507,30.12
415.603,30.14
415.703,30.18
415.872,30.14
415.900,30.18
416.011,30.14
416.113,30.14
416.195,30.15
416.293,30.14
416.396,30.15
416.499,30.15
416.606,30.18
416.703,30.15
416.805,30.17
416.930,30.14
417.011,30.15
417.113,30.15
417.216,30.14
417.319,30.12
417.421,30.14
417.540,30.15
417.665,30.15
417.728,30.15
417.830,30.15
417.890,30.12
418.034,30.17
418.139,30.12
418.198,30.12
418.298,30.12
418.444,30.11
418.507,30.12
418.614,30.14
418.717,30.15
418.820,30.11
418.957,30.14
418.985,30.14
419.179,30.12
419.183,30.15
419.302,30.12
419.390,30.14
419.504,30.15
419.602,30.15
419.699,30.15
419.798,30.14
419.902,30.15
419.981,30.15
420.083,30.14
420.185,30.12
470.296,30.12
470.391,30.12
470.493,30.14
470.604,30.15
470.687,30.17
470.795,30.12
470.896,30.15
471.016,30.14
471.112,30.11
471.209,30.11
471.313,30.14
471.415,30.14
471.518,30.17
471.618,30.15
471.744,30.15
471.824,30.14
471.927,30.12
472.027,30.12
472.131,30.12
472.232,30.12
472.335,30.12
472.443,30.12
472.541,30.12
472.643,30.14
472.744,30.09
472.773,30.15
472.879,30.11
473.054,30.09
473.080,30.14
473.177,30.09
473.280,30.14
473.384,30.11
473.485,30.14
473.587,30.12
473.690,30.11
473.793,30.11
473.872,30.11
473.975,30.07
474.077,30.11
474.179,30.12
474.281,30.09
474.378,30.09
474.487,30.11
474.589,30.12
474.692,30.12
474.793,30.11
474.896,30.11
475.014,30.12
475.101,30.12
475.203,30.12
475.307,30.12
475.428,30.12
475.511,30.11
475.611,30.09
475.716,30.11
475.820,30.09
475.918,30.12
476.021,30.11
476.125,30.09
476.227,30.07
476.329,30.11
476.433,30.09
476.534,30.12
476.562,30.09
476.737,30.09
476.765,30.09
476.878,30.06
476.974,30.07
477.070,30.09
477.176,30.09
477.264,30.07
477.377,30.11
477.479,30.12
477.589,30.14
477.662,30.07
477.763,30.07
477.866,30.12
477.969,30.09
