Time,Device name,Chip Time(),Acceleration X(g),Acceleration Y(g),Acceleration Z(g),Angular velocity X(°/s),Angular velocity Y(°/s),Angular velocity Z(°/s),Angle X(°),Angle Y(°),Angle Z(°),Magnetic field X(ʯt),Magnetic field Y(ʯt),Magnetic field Z(ʯt),Temperature(℃),Pressure(Pa),Height(m),Longitude(),Latitude(),GPS ground speed(km),Angle of course(°),GPS height(m),Number of satellites(),Position location(),Horizontal position(),Vertical position(),Quaternions 0(),Quaternions 1(),Quaternions 2(),Quaternions 3()
 20:07:50.491,COM3,, -0.013, -0.012, 1.001, 0.000, 0.000, 0.000, 0.005, 0.231, -70.532, -32.260, 12.080, 9.240, 27.68,,,,,,,,,,,,,,,,
 20:07:50.553,COM3,, -0.014, -0.012, 1.002, 0.000, 0.000, 0.000, 0.005, 0.231, -70.532, -32.260, 11.987, 9.227, 27.69,,,,,,,,,,,,,,,,
 20:07:50.638,COM3,, -0.014, -0.012, 1.002, 0.000, 0.000, 0.000, 0.005, 0.231, -70.532, -32.173, 11.967, 9.193, 27.63,,,,,,,,,,,,,,,,
 20:07:50.739,COM3,, -0.013, -0.012, 1.001, 0.000, 0.000, 0.000, 0.005, 0.231, -70.532, -31.960, 11.993, 8.933, 27.71,,,,,,,,,,,,,,,,
 20:07:50.845,COM3,, -0.014, -0.012, 1.002, 0.000, 0.000, 0.000, 0.005, 0.231, -70.532, -32.153, 12.060, 8.993, 27.64,,,,,,,,,,,,,,,,
 20:07:50.947,COM3,, -0.014, -0.012, 1.001, 0.000, 0.000, 0.000, 0.005, 0.231, -70.532, -32.207, 11.947, 9.280, 27.68,,,,,,,,,,,,,,,,
 20:07:51.036,COM3,, -0.013, -0.011, 1.001, 0.000, 0.000, 0.000, 0.005, 0.231, -70.532, -32.153, 12.073, 9.447, 27.64,,,,,,,,,,,,,,,,
 20:07:51.164,COM3,, -0.014, -0.012, 1.001, 0.000, 0.000, 0.000, 0.005, 0.231, -70.532, -32.300, 12.160, 9.313, 27.68,,,,,,,,,,,,,,,,
 20:07:51.272,COM3,, -0.014, -0.012, 1.002, 0.000, 0.000, 0.000, 0.005, 0.231, -70.532, -32.047, 11.920, 9.133, 27.69,,,,,,,,,,,,,,,,
 20:07:51.358,COM3,, -0.014, -0.012, 1.002, 0.000, 0.000, 0.000, 0.005, 0.231, -70.532, -32.153, 11.940, 9.220, 27.66,,,,,,,,,,,,,,,,
 20:07:51.478,COM3,, -0.014, -0.012, 1.001, 0.000, 0.000, 0.000, 0.000, 0.231, -70.532, -32.140, 12.087, 8.973, 27.66,,,,,,,,,,,,,,,,
 20:07:51.574,COM3,, -0.014, -0.012, 1.002, 0.000, 0.000, 0.000, 0.000, 0.231, -70.532, -32.127, 12.007, 9.353, 27.64,,,,,,,,,,,,,,,,
 20:07:51.683,COM3,, -0.014, -0.012, 1.002, 0.000, 0.000, 0.000, 0.000, 0.231, -70.532, -32.173, 11.987, 9.340, 27.69,,,,,,,,,,,,,,,,
 20:07:51.780,COM3,, -0.014, -0.013, 1.001, 0.000, 0.000, 0.000, 0.000, 0.231, -70.532, -32.080, 11.993, 8.860, 27.71,,,,,,,,,,,,,,,,
 20:07:51.876,COM3,, -0.014, -0.012, 1.003, 0.000, 0.000, 0.000, 0.000, 0.231, -70.532, -32.153, 12.100, 8.940, 27.71,,,,,,,,,,,,,,,,
