Time (s),Linear Acceleration x (m/s^2)
3.374166659E-2,1.671280414E-3
4.367866658E-2,5.638086330E-3
5.361466657E-2,-1.295439664E-2
6.355166656E-2,-1.458533127E-3
7.348766667E-2,-2.940473389E-3
8.342466666E-2,8.591204323E-4
9.336166666E-2,-4.655114561E-4
1.032976666E-1,-6.003336310E-3
1.132346666E-1,-5.855712388E-3
1.231706666E-1,-6.841534674E-3
1.331076666E-1,-1.081325591E-2
1.430436666E-1,-7.709608655E-3
1.529806666E-1,-2.602211963E-3
1.629166666E-1,8.930160105E-4
1.728536666E-1,-6.893629711E-3
1.827896666E-1,3.263440691E-3
1.927266666E-1,-5.679126475E-3
2.026636666E-1,5.513193458E-3
2.125996667E-1,3.250558544E-3
2.225366667E-1,-3.548291456E-3
2.324726667E-1,2.418408394E-3
2.424096667E-1,-4.816826619E-3
2.523456666E-1,-6.402207781E-3
2.622826666E-1,-1.216714215E-3
2.722186666E-1,-2.693172712E-3
2.821556666E-1,-7.950221580E-3
2.920916666E-1,-4.586811773E-3
3.020286666E-1,-5.414631329E-3
3.119656666E-1,-1.162718832E-2
3.219016666E-1,-7.601928525E-4
3.318386666E-1,-2.732495237E-3
3.417746666E-1,-6.901395544E-3
3.517116666E-1,-1.324282883E-2
3.616476667E-1,-3.074630443E-3
3.715846667E-1,-5.366702434E-3
3.815206666E-1,7.567393407E-4
3.914576666E-1,-4.712782726E-3
4.013936666E-1,2.272301093E-3
4.113306666E-1,-5.119346939E-3
4.212676666E-1,-7.661204673E-3
4.312036666E-1,-5.544128884E-3
4.411406666E-1,2.507048529E-3
4.510766666E-1,4.547160342E-3
4.610130417E-1,3.667300567E-5
4.709490417E-1,3.087147139E-4
4.808860417E-1,1.116434466E-3
4.908220416E-1,9.839767590E-4
5.007590416E-1,-5.085104182E-3
5.106950416E-1,2.838074025E-3
5.206320416E-1,-6.064110808E-4
5.305680416E-1,3.212643005E-3
5.405050416E-1,1.722553186E-3
5.504420416E-1,-1.126100644E-3
5.603780416E-1,-2.440463360E-3
5.703150416E-1,1.783090141E-3
5.802510416E-1,-7.076135930E-3
5.901880416E-1,-2.743075043E-4
6.001240417E-1,-2.989571728E-4
6.100610417E-1,-6.687149908E-3
6.199970416E-1,-7.510967776E-3
6.299340416E-1,-1.199075723E-2
6.398700416E-1,-5.040135439E-3
6.498070416E-1,-6.842009760E-3
6.597440416E-1,-1.345298141E-2
6.696800416E-1,-2.920300495E-3
6.796170416E-1,-3.791553900E-5
6.895530416E-1,6.892588176E-4
6.994900416E-1,-1.129451830E-2
7.094260416E-1,-2.255033534E-3
7.193630416E-1,8.576951735E-4
7.292990417E-1,-2.697576396E-3
7.392360417E-1,-2.300057095E-3
7.491720417E-1,-2.652041204E-3
7.591090417E-1,-2.189270630E-3
7.690460416E-1,-1.169147115E-2
7.789820416E-1,-2.892873399E-3
7.889190416E-1,-4.572906364E-3
7.988550416E-1,-4.603384975E-3
8.087920416E-1,-1.593183540E-4
8.187280416E-1,-5.262859538E-4
8.286650416E-1,4.778234996E-3
8.386010416E-1,2.025164869E-3
8.485380416E-1,-6.493058894E-3
8.584740416E-1,-4.593810160E-3
8.684110416E-1,-7.145114802E-4
8.783470417E-1,-2.144393250E-3
8.882840417E-1,-3.555618748E-3
8.982210417E-1,-9.170206580E-3
9.081570416E-1,-1.111078782E-2
9.180940416E-1,-6.710392591E-3
9.280300416E-1,-2.496413905E-3
9.379670416E-1,-5.012288075E-3
9.479030416E-1,-4.922039956E-3
9.578400416E-1,-2.155265417E-3
9.677760416E-1,-3.307057265E-3
9.777130416E-1,1.828186791E-3
9.876490416E-1,3.188011609E-4
9.975860416E-1,-2.882183958E-3
1.007523042E0,1.986554973E-3
1.017459042E0,2.901333589E-3
1.027396042E0,-6.031384673E-3
1.037332042E0,-1.824203376E-3
1.047269042E0,-6.072169002E-3
1.057205042E0,-4.143154286E-3
1.067142042E0,-9.927640278E-3
1.077078042E0,-2.892964762E-3
1.087015042E0,-8.737750165E-4
1.096951042E0,-2.463103049E-3
1.106888042E0,1.464435160E-3
1.116825042E0,-1.074681692E-2
1.126761042E0,-7.539308500E-3
1.136698042E0,-7.720700093E-3
1.146634042E0,-6.667817552E-3
1.156571042E0,1.171087660E-3
1.166507042E0,-1.400311304E-2
1.176444042E0,-3.114208784E-3
1.186380042E0,-1.693664286E-3
1.196317042E0,-8.561895154E-3
1.206253042E0,-9.624315966E-3
1.216190042E0,-6.554911472E-3
1.226126042E0,-3.932672795E-3
1.236063042E0,-3.647237308E-3
1.246000042E0,-1.144618046E-2
1.255936042E0,-3.828482721E-3
1.265873042E0,-3.224337436E-3
1.275809042E0,-3.719596602E-3
1.285746042E0,-8.097041510E-3
1.295682042E0,-5.519625396E-3
1.305619042E0,-7.357167732E-3
1.315555042E0,-1.127397995E-3
1.325492042E0,-9.179123584E-3
1.335428042E0,-7.999502644E-3
1.345365042E0,8.670324460E-4
1.355301042E0,-4.899802264E-3
1.365238042E0,-3.295344561E-3
1.375175042E0,-4.333097432E-3
1.385111042E0,-1.176388526E-2
1.395048042E0,-6.836052909E-3
1.404984042E0,-3.687016647E-3
1.414921042E0,8.089257404E-5
1.424857042E0,-9.467135500E-3
1.434794042E0,-1.000710759E-2
1.444730042E0,-5.875264015E-3
1.454667375E0,5.286431126E-4
1.464603375E0,-7.601124533E-3
1.474540375E0,-7.417430598E-3
1.484477375E0,8.337033167E-4
1.494413375E0,7.638656348E-4
1.504350375E0,5.850650892E-3
1.514286375E0,-9.915434215E-3
1.524223375E0,-2.768473886E-3
1.534159375E0,-5.772444382E-3
1.544096375E0,-1.184750045E-2
1.554032375E0,-8.466475904E-3
1.563969375E0,-3.529836182E-3
1.573905375E0,-4.677534979E-3
1.583842375E0,-3.902925085E-3
1.593778375E0,-1.538548619E-3
1.603715375E0,-2.816877868E-3
1.613651375E0,-1.089603055E-2
1.623588375E0,-2.599251810E-3
1.633525375E0,-5.739846155E-3
1.643461375E0,-8.615287542E-3
1.653398375E0,-4.670171142E-3
1.663334375E0,-1.017647585E-2
1.673271375E0,-4.247252997E-3
1.683207375E0,-3.328363057E-3
1.693144375E0,-4.730397463E-4
1.703080375E0,2.263256181E-3
1.713017375E0,-2.628250346E-3
1.722953375E0,-1.340620369E-3
1.732890375E0,5.152931884E-3
1.742826375E0,-7.103453390E-4
1.752763375E0,-5.331198871E-3
1.762700375E0,-3.528319560E-3
1.772636375E0,-2.882768679E-3
1.782573375E0,-1.018376660E-2
1.792509375E0,-3.909119479E-3
1.802446375E0,-7.001108844E-3
1.812382375E0,1.664172392E-3
1.822319375E0,-6.524542496E-3
1.832255375E0,-3.351733647E-3
1.842192375E0,8.978034183E-4
1.852128375E0,-4.185784142E-3
1.862065375E0,-6.852845382E-3
1.872001375E0,-7.629739344E-3
1.881938375E0,2.389355041E-3
1.891875375E0,-2.439641096E-3
1.901811375E0,5.033338051E-3
1.911748375E0,1.387142278E-3
1.921684375E0,7.049366646E-4
1.931621375E0,-9.551061317E-4
1.941557375E0,-5.459746253E-3
1.951494375E0,-5.043168683E-3
1.961430375E0,-9.825697728E-3
1.971367375E0,-3.471309207E-3
1.981303375E0,-2.119432949E-3
1.991240375E0,-4.675196093E-3
2.001176375E0,-9.017557707E-3
2.011113375E0,-9.895297866E-3
2.021049375E0,-6.784889773E-3
2.030986375E0,-7.413648181E-3
2.040923375E0,2.326278202E-4
2.050859375E0,-6.246087123E-3
2.060796375E0,-6.419310886E-3
2.070732375E0,-4.144561272E-3
2.080669375E0,-3.859180603E-3
2.090605375E0,-9.385585114E-3
2.100542375E0,-3.450113051E-3
2.110478375E0,-1.577037916E-2
2.120415375E0,-2.269194759E-3
2.130351375E0,-5.162488427E-3
2.140288375E0,-7.068351824E-3
2.150224375E0,-1.023193303E-2
2.160161375E0,1.635173857E-3
2.170098375E0,-5.150081366E-3
2.180034375E0,-7.196131758E-3
2.189971375E0,-4.554652087E-3
2.199907375E0,1.026131529E-3
2.209844375E0,-2.321819700E-3
2.219780375E0,-7.821363565E-3
2.229717375E0,-2.521776203E-3
2.239653375E0,-9.553802200E-4
2.249590375E0,-3.950305805E-3
2.259526375E0,3.573836479E-3
2.269463375E0,-3.166596182E-3
2.279399375E0,-4.369039536E-3
2.289336375E0,-6.460076943E-3
2.299272375E0,-4.279430956E-3
2.309209375E0,-5.276381224E-3
2.319146375E0,4.952317569E-3
2.329082375E0,-4.251346048E-3
2.339019375E0,-5.669917110E-3
2.348955375E0,-1.187105376E-2
2.358892375E0,-9.184495714E-3
2.368828375E0,-2.912936658E-3
2.378765375E0,1.132971123E-3
2.388701375E0,3.268995546E-3
2.398638375E0,1.923057865E-3
2.408574375E0,2.962802444E-3
2.418511375E0,-5.336552728E-3
2.428447375E0,-6.623305622E-3
2.438384375E0,-3.365803510E-3
2.448321375E0,3.305504099E-5
2.458257875E0,-8.154088408E-3
2.468194875E0,-5.891234223E-3
2.478130875E0,-6.065097526E-3
2.488067875E0,-4.392574579E-3
2.498003875E0,5.347461440E-4
2.507940875E0,-1.724362168E-3
2.517876875E0,-5.467347633E-3
2.527813875E0,-4.360433165E-3
2.537749875E0,-7.866515033E-3
2.547686875E0,-6.451452300E-3
2.557622875E0,-4.804218560E-3
2.567559875E0,-4.242556952E-3
2.577495875E0,-3.367283586E-3
2.587432875E0,-5.939985383E-3
2.597368875E0,-5.386509877E-3
2.607305875E0,-5.947678126E-3
2.617242875E0,-2.872207146E-3
2.627178875E0,1.635356583E-3
2.637115875E0,-1.008977260E-2
2.647051875E0,-5.571026076E-3
2.656988875E0,-1.350714125E-2
2.666924875E0,-6.581918299E-3
2.676861875E0,-4.878770560E-5
2.686797875E0,-7.846396957E-3
2.696734875E0,-7.011140473E-3
2.706670875E0,-2.785467356E-3
2.716607875E0,-1.004091181E-2
2.726543875E0,-1.357445732E-2
2.736480875E0,-7.960472479E-3
2.746416875E0,-1.159886587E-2
2.756353875E0,-8.540863451E-3
2.766290875E0,-2.944401987E-3
2.776226875E0,3.597334977E-3
2.786163875E0,-5.673352350E-3
2.796099875E0,-6.334380079E-3
2.806036875E0,-7.498615533E-3
2.815972875E0,-5.650054850E-4
2.825909875E0,-6.153152939E-3
2.835845875E0,-1.128724582E-2
2.845782875E0,-5.786934514E-3
2.855718875E0,-9.246768560E-3
2.865655875E0,-1.154854327E-2
2.875591875E0,-1.331041899E-2
2.885528875E0,-1.313165864E-2
2.895464875E0,-3.468074966E-3
2.905401875E0,-7.293688897E-3
2.915337875E0,-4.394712467E-3
2.925274875E0,-1.110660341E-3
2.935211875E0,6.638051569E-4
2.945147875E0,-4.411614574E-3
2.955084875E0,-1.002686022E-2
2.965020875E0,-8.186284639E-3
2.974957875E0,-9.655945748E-3
2.984893875E0,-5.721463971E-3
2.994830875E0,-8.712333050E-3
3.004766875E0,-1.052723570E-2
3.014703875E0,-7.219465803E-3
3.024639875E0,-4.703335818E-3
3.034576875E0,-6.668128185E-3
3.044512875E0,-5.603679121E-3
3.054449875E0,-3.816020843E-3
3.064385875E0,-5.990344528E-3
3.074322875E0,2.756066825E-3
3.084258875E0,-3.874547817E-3
3.094195875E0,6.401239336E-4
3.104132875E0,1.750108190E-3
3.114068875E0,-4.270587042E-3
3.124005875E0,-2.734450400E-3
3.133941875E0,3.472697921E-4
3.143878875E0,1.742908806E-3
3.153814875E0,-1.409599241E-3
3.163751875E0,-1.093666870E-2
3.173687875E0,-1.988875587E-3
3.183624875E0,-5.890503321E-3
3.193560875E0,-9.219505917E-3
3.203497875E0,-1.190054566E-3
3.213433875E0,-1.624064147E-4
3.223370875E0,-5.397272408E-3
3.233306875E0,-5.175334029E-3
3.243243875E0,3.117845021E-4
3.253179875E0,2.963277530E-3
3.263116875E0,-5.297613926E-3
3.273052875E0,-1.152049491E-2
3.282989875E0,-6.303645652E-3
3.292926875E0,-6.075311881E-3
3.302862875E0,1.457582954E-3
3.312799875E0,3.499942292E-3
3.322735875E0,-7.018979397E-3
3.332672875E0,-7.967288140E-3
3.342608875E0,-4.657343812E-3
3.352545875E0,-4.572595730E-3
3.362481875E0,1.275698002E-3
3.372418875E0,-1.540412419E-3
3.382354875E0,4.892109521E-4
3.392291875E0,-3.970332518E-3
3.402227875E0,-1.048816899E-2
3.412164875E0,-1.730644271E-2
3.422100875E0,-6.827793717E-3
3.432037875E0,-1.235262679E-2
3.441973875E0,-7.570335288E-3
3.451910875E0,-1.021587146E-2
3.461847792E0,-1.428842062E-2
3.471783792E0,2.751498688E-3
3.481720792E0,2.171509713E-4
3.491656792E0,-3.490897380E-3
3.501593792E0,-2.151227184E-4
3.511529792E0,-1.611912902E-3
3.521466792E0,-7.890324164E-3
3.531402792E0,-2.804178447E-3
3.541339792E0,-1.267402265E-3
3.551275792E0,-1.056628413E-3
3.561212792E0,-1.338034803E-2
3.571148792E0,8.111184463E-5
3.581085792E0,-5.020949263E-3
3.591021792E0,-6.336262152E-3
3.600958792E0,-1.532463860E-3
3.610894792E0,-9.218866378E-3
3.620831792E0,-6.104164235E-3
3.630767792E0,-6.786954571E-3
3.640704792E0,-4.946817532E-3
3.650641792E0,-1.886238679E-3
3.660577792E0,4.454957061E-3
3.670514792E0,-7.102813851E-3
3.680450792E0,-5.644938536E-3
3.690387792E0,-5.729887616E-3
3.700323792E0,2.075597104E-3
3.710260792E0,-1.941896863E-3
3.720196792E0,-1.102784872E-3
3.730133792E0,-6.563389935E-3
3.740069792E0,-7.746610567E-3
3.750006792E0,-7.106450088E-3
3.759942792E0,-5.647058152E-3
3.769879792E0,-4.385430012E-3
3.779815792E0,-9.051983189E-3
3.789752792E0,-1.233340407E-2
3.799688792E0,-7.449974008E-3
3.809625792E0,-3.555271570E-3
3.819561792E0,-8.610646315E-3
3.829498792E0,-9.029946495E-3
3.839434792E0,-1.639743822E-2
3.849371792E0,-3.116620760E-3
3.859307792E0,3.133851774E-3
3.869244792E0,-4.126599357E-3
3.879181792E0,-1.771117967E-2
3.889117792E0,-1.211205041E-2
3.899054792E0,-6.072333455E-3
3.908990792E0,-1.184481438E-2
3.918927792E0,-3.117552660E-3
3.928863792E0,-5.481125135E-3
3.938800792E0,-3.648644295E-3
3.948736792E0,-5.064967833E-3
3.958673792E0,-7.837881949E-3
3.968609792E0,-8.703032322E-4
3.978546792E0,-3.136117570E-3
3.988482792E0,-7.653109934E-3
3.998419792E0,-6.324512903E-3
4.008355792E0,-1.621781906E-2
4.018292792E0,-1.158216476E-2
4.028228792E0,-5.605926644E-3
4.038165792E0,-4.415579718E-3
4.048101792E0,-3.455010094E-3
4.058038792E0,-4.605705589E-3
4.067974792E0,-5.589517895E-3
4.077911792E0,-5.111179110E-3
4.087848792E0,-7.129034959E-3
4.097784792E0,-3.268776275E-4
4.107721792E0,-9.999159034E-3
4.117657792E0,-1.842506988E-2
4.127594792E0,-1.710950118E-3
4.137530792E0,-7.828142680E-4
4.147467792E0,-1.206636904E-2
4.157403792E0,-4.109678976E-4
4.167340792E0,-6.437619980E-3
4.177276792E0,-7.961733285E-3
4.187213792E0,4.855162427E-3
4.197149792E0,9.062453359E-4
4.207086792E0,-9.685181826E-3
4.217022792E0,-8.125236053E-3
4.226959792E0,-1.956734173E-3
4.236895792E0,4.038032312E-3
4.246832792E0,1.441375203E-3
4.256768792E0,-3.519238103E-3
4.266705792E0,-1.453361996E-3
4.276641792E0,-1.625142228E-3
4.286578792E0,-2.043199874E-3
4.296514792E0,-8.989015985E-3
4.306451792E0,1.566596981E-3
4.316388792E0,-4.246174917E-4
4.326324792E0,-3.570638783E-3
4.336261792E0,-1.723357178E-3
4.346197792E0,4.672290757E-5
4.356134792E0,-1.982681192E-3
4.366070792E0,-2.475016750E-3
4.376007792E0,-1.946976632E-3
4.385943792E0,-7.829787210E-5
4.395880792E0,2.327539008E-3
4.405816792E0,-1.128254978E-2
4.415753792E0,-2.466538288E-3
4.425689792E0,-2.441504896E-3
4.435626792E0,-7.187982202E-3
4.445562792E0,-6.274957750E-3
4.455499250E0,-1.239620682E-2
4.465435250E0,-2.582313158E-3
4.475372250E0,-3.704540022E-3
4.485308250E0,2.216642909E-3
4.495245250E0,-4.216774385E-3
4.505181250E0,-5.559276827E-3
4.515118250E0,-1.361915197E-2
4.525054250E0,-1.044687303E-2
4.534991250E0,-1.647398192E-3
4.544927250E0,-3.854393195E-3
4.554864250E0,-1.099342324E-2
4.564801250E0,-5.942762811E-3
4.574737250E0,-5.089599229E-3
4.584674250E0,9.589433670E-4
4.594610250E0,-2.059517261E-3
4.604547250E0,-4.838972948E-3
4.614483250E0,-3.565321472E-3
4.624420250E0,-4.127275441E-3
4.634356250E0,-5.689377375E-3
4.644293250E0,-1.162053712E-2
4.654229250E0,-8.283914868E-3
4.664166250E0,-9.532971494E-3
4.674102250E0,-1.280547537E-2
4.684039250E0,-9.248650633E-4
4.693975250E0,-6.306550987E-3
4.703912250E0,-1.260990428E-2
4.713848250E0,-9.921263158E-4
4.723785250E0,5.518309772E-6
4.733721250E0,-2.618949618E-3
4.743658250E0,1.738998480E-4
4.753594250E0,-4.432207737E-3
4.763531250E0,-8.384121526E-3
4.773467250E0,-1.412184807E-2
4.783404250E0,-3.897388503E-3
4.793340250E0,-6.226553768E-3
4.803277250E0,-9.172655102E-3
4.813213250E0,-4.131916668E-3
4.823150250E0,-1.122153774E-2
4.833087250E0,-2.759776153E-3
4.843023250E0,-2.899579424E-3
4.852959250E0,-6.441731304E-3
4.862896250E0,-1.825190093E-3
4.872833250E0,-8.967235107E-3
4.882769250E0,-5.664161257E-3
4.892706250E0,-5.608064532E-3
4.902642250E0,-4.345285222E-3
4.912579250E0,3.725827541E-3
4.922515250E0,5.077959616E-3
4.932452250E0,8.188477345E-4
4.942388250E0,-1.048844308E-2
4.952325250E0,-1.592142005E-3
4.962261250E0,-9.230067451E-3
4.972198250E0,-7.157083321E-3
4.982134250E0,-7.365536559E-3
4.992071250E0,-8.392015267E-3
5.002007250E0,-7.509323247E-3
5.011944250E0,-5.268542301E-3
5.021880250E0,-1.004732547E-2
5.031817250E0,-1.338283310E-2
5.041753250E0,-8.963489234E-3
5.051690250E0,-1.086849382E-2
5.061626250E0,-7.333541326E-3
5.071563250E0,9.764850140E-5
5.081499250E0,-9.725618977E-3
5.091436250E0,-7.536732070E-3
5.101372250E0,-4.178548213E-3
5.111309250E0,7.556064427E-4
5.121245250E0,-5.371234026E-3
5.131182250E0,4.207784291E-3
5.141119250E0,-3.577454444E-3
5.151055250E0,1.691307127E-4
5.160992250E0,-5.156897027E-3
5.170928250E0,-5.387021508E-3
5.180865250E0,1.295998804E-3
5.190801250E0,-1.348420920E-2
5.200738250E0,-9.472525902E-3
5.210674250E0,-3.522636797E-3
5.220611250E0,-3.312447667E-4
5.230547250E0,-9.384543579E-3
5.240484250E0,-1.305131424E-2
5.250420250E0,-3.812439423E-3
5.260357250E0,-1.046794128E-2
5.270293250E0,-4.682139661E-3
5.280230250E0,-1.029011283E-2
5.290166250E0,-5.745583735E-3
5.300103250E0,-6.373775695E-3
5.310039250E0,1.600510832E-3
5.319976250E0,-3.927666117E-3
5.329912250E0,-2.588434462E-3
5.339849250E0,-2.402292006E-3
5.349785250E0,-6.163312476E-3
5.359722250E0,-2.924594544E-3
5.369658250E0,-8.763971273E-3
5.379595250E0,-7.397641428E-3
5.389531250E0,4.067469388E-4
5.399468250E0,-8.038605899E-3
5.409404250E0,-3.387017939E-3
5.419341250E0,-7.959796395E-3
5.429277250E0,-8.832365423E-3
5.439214250E0,-4.058351386E-3
5.449150250E0,-6.470309570E-3
5.459087750E0,5.353674106E-4
5.469023750E0,-1.022623200E-2
5.478960750E0,-8.055599369E-3
5.488896750E0,3.429026529E-3
5.498833750E0,-6.596773881E-3
5.508769750E0,-2.473079860E-3
5.518706750E0,-1.004241016E-3
5.528643750E0,-7.328041289E-3
5.538579750E0,5.728663355E-3
5.548516750E0,-1.121495962E-2
5.558452750E0,-8.929374386E-3
5.568389750E0,-8.063621018E-3
5.578325750E0,-1.183745055E-2
5.588262750E0,1.426921617E-3
5.598198750E0,-1.156842381E-2
5.608135750E0,-6.194357537E-3
5.618071750E0,-8.840916976E-3
5.628008750E0,-2.389958035E-3
5.637944750E0,1.434632633E-3
5.647881750E0,-3.979395702E-4
5.657817750E0,-3.724968731E-3
5.667754750E0,-8.022124059E-3
5.677690750E0,-6.197463870E-3
5.687627750E0,-3.104743604E-3
5.697563750E0,-8.547898382E-4
5.707500750E0,-4.385521375E-3
5.717436750E0,-5.030798167E-3
5.727373750E0,-3.341135569E-3
5.737309750E0,-7.332280520E-3
5.747246750E0,-3.734616637E-3
5.757182750E0,2.906705718E-3
5.767119750E0,4.725116696E-3
5.777055750E0,-2.240086589E-3
5.786992750E0,-4.473850876E-3
5.796928750E0,-2.979138102E-3
5.806865750E0,-2.925782260E-3
5.816801750E0,-9.782428332E-3
5.826738750E0,-9.174427539E-3
5.836674750E0,4.495302849E-3
5.846611750E0,-1.162539762E-2
5.856547750E0,-8.329029791E-3
5.866484750E0,-4.493968952E-3
5.876420750E0,3.308445979E-3
5.886357750E0,-2.472732682E-3
5.896293750E0,-5.687586665E-3
5.906230750E0,1.628778465E-3
5.916166750E0,-9.377289377E-4
5.926103750E0,-3.853552658E-3
5.936039750E0,-1.241309065E-3
5.945976750E0,-1.106731743E-3
5.955912750E0,2.428165935E-3
5.965849750E0,3.914656062E-3
5.975785750E0,8.594310656E-4
5.985722750E0,-9.627806023E-3
5.995658750E0,-8.972735144E-3
6.005595750E0,-2.790291309E-3
6.015532750E0,-2.225231007E-3
6.025468750E0,-1.296336846E-2
6.035405750E0,-2.126760241E-3
6.045341750E0,2.824936062E-4
6.055278750E0,-2.229324058E-3
6.065214750E0,-6.338747218E-4
6.075151750E0,-1.628230289E-3
6.085087750E0,-3.937551565E-4
6.095024750E0,1.493232697E-4
6.104960750E0,-3.531261440E-3
6.114897750E0,2.934077997E-3
6.124833750E0,-5.604062844E-3
6.134770750E0,-6.772720255E-3
6.144706750E0,-6.006223373E-3
6.154643750E0,6.013313122E-3
6.164579750E0,-5.748178437E-4
6.174516750E0,-2.854555864E-3
6.184452750E0,-2.497364078E-3
6.194389750E0,2.918802146E-3
6.204325750E0,7.408805955E-3
6.214262750E0,-4.692646377E-3
6.224198750E0,-8.440656792E-3
6.234135750E0,-2.637825161E-3
6.244071750E0,-6.215169970E-3
6.254008750E0,-3.610162307E-3
6.263944750E0,-4.636001475E-3
6.273881750E0,-2.109529227E-3
6.283817750E0,-6.163202841E-3
6.293754750E0,-1.473406982E-3
6.303690750E0,1.364776678E-4
6.313627750E0,-5.641649477E-3
6.323563750E0,-9.961079042E-3
6.333500750E0,7.276128978E-4
6.343436750E0,3.263659962E-3
6.353373750E0,-4.024601988E-3
6.363309750E0,-5.485145096E-3
6.373246750E0,-6.909910552E-3
6.383182750E0,2.069165166E-3
6.393119750E0,-1.047848454E-2
6.403055750E0,-9.659691621E-3
6.412992750E0,1.253697854E-3
6.422928750E0,2.280998826E-3
6.432865750E0,-4.276233260E-3
6.442801750E0,1.047620047E-3
6.452738750E0,-2.557700034E-3
6.462674000E0,-6.477600317E-3
6.472611000E0,1.340876184E-3
6.482547000E0,-6.911957078E-3
6.492484000E0,-1.094251592E-3
6.502420000E0,-7.982892897E-3
6.512357000E0,-3.099462837E-3
6.522293000E0,3.479879033E-3
6.532230000E0,-7.703213263E-3
6.542166000E0,3.389649186E-3
6.552103000E0,4.528705068E-3
6.562039000E0,-1.832024027E-3
6.571976000E0,5.046000928E-3
6.581912000E0,2.344696932E-3
6.591849000E0,-3.512714803E-4
6.601785000E0,-2.927024793E-3
6.611722000E0,-4.386014733E-3
6.621658000E0,-2.001392283E-4
6.631595000E0,2.419267204E-3
6.641531000E0,-5.451742876E-3
6.651468000E0,6.416277643E-3
6.661404000E0,-4.290485848E-3
6.671341000E0,-1.351163629E-3
6.681277000E0,4.355079308E-4
6.691214000E0,4.278736599E-3
6.701150000E0,-1.043600086E-3
6.711087000E0,-4.900825527E-3
6.721023000E0,-1.446400154E-3
6.730960000E0,-6.859697588E-4
6.740896000E0,1.389426347E-3
6.750833000E0,-4.676146265E-3
6.760769000E0,-1.971023306E-3
6.770706000E0,-2.885235474E-3
6.780642000E0,-3.737065159E-3
6.790579000E0,-5.735935830E-3
6.800515000E0,-7.592262346E-3
6.810452000E0,-1.114899572E-3
6.820388000E0,4.169156123E-3
6.830325000E0,-9.325395338E-4
6.840261000E0,-1.946519818E-3
6.850198000E0,-2.698289026E-3
6.860134000E0,-2.539336123E-3
6.870071000E0,-1.119792961E-2
6.880007000E0,1.368157100E-3
6.889944000E0,1.955692638E-3
6.899880000E0,-8.654061891E-4
6.909817000E0,-6.526881382E-3
6.919753000E0,-1.464489978E-3
6.929690000E0,2.880283613E-3
6.939626000E0,-8.761924747E-3
6.949563000E0,-5.064236932E-4
6.959500000E0,-8.635661434E-3
6.969436000E0,-1.157527601E-2
6.979373000E0,-7.333760597E-3
6.989309000E0,-3.945536669E-3
6.999246000E0,4.454079978E-3
7.009182000E0,-8.480874673E-3
7.019118000E0,-3.741505388E-3
7.029055000E0,-7.368204352E-3
7.038991000E0,8.337764069E-3
7.048928000E0,-1.758933831E-3
7.058864000E0,-5.759434327E-3
7.068801000E0,-2.122192103E-3
7.078738000E0,-2.550372742E-3
7.088674000E0,-3.122614156E-3
7.098610000E0,-4.680074863E-3
7.108547000E0,-4.640021436E-3
7.118483000E0,-1.183147542E-4
7.128420000E0,2.144941427E-3
7.138356000E0,-5.080371592E-3
7.148293000E0,-7.145114802E-3
7.158229000E0,-4.814341553E-3
7.168166000E0,-1.987157967E-3
7.178102000E0,-5.211605038E-3
7.188039000E0,-1.328107327E-2
7.197975000E0,-3.440209329E-3
7.207912000E0,1.796081923E-3
7.217849000E0,-2.290518824E-3
7.227785000E0,-6.824760474E-3
7.237721000E0,-8.482957743E-3
7.247658000E0,-3.911385275E-3
7.257594000E0,-5.531831458E-4
7.267531000E0,-1.872808356E-3
7.277467000E0,-4.915078115E-3
7.287404000E0,-8.880915586E-3
7.297341000E0,-4.293354638E-3
7.307277000E0,-1.832407750E-3
7.317213000E0,3.860806860E-3
7.327150000E0,1.390047614E-3
7.337086000E0,-3.456928711E-3
7.347023000E0,-5.780995935E-3
7.356959000E0,-7.141588200E-3
7.366896000E0,-2.107117251E-3
7.376832000E0,-1.860163752E-3
7.386769000E0,-7.617789097E-3
7.396705000E0,2.259400673E-4
7.406642000E0,-3.720491957E-3
7.416578000E0,-3.402915057E-3
7.426515000E0,2.179988176E-3
7.436451000E0,1.760304272E-3
7.446388000E0,3.774560429E-3
7.456324000E0,-5.427805837E-3
7.466261042E0,-6.644501779E-3
7.476197042E0,-3.144413307E-3
7.486134042E0,-4.411084671E-3
7.496070042E0,-5.125486515E-3
7.506007042E0,8.631952107E-4
7.515943042E0,1.345809773E-3
7.525880042E0,-1.540087167E-2
7.535816042E0,-1.272986356E-2
7.545753042E0,-7.379460242E-3
7.555689042E0,-5.538921207E-3
7.565626042E0,-2.067009006E-3
7.575562042E0,-8.721853048E-3
7.585499042E0,2.553442530E-3
7.595435042E0,-2.121114023E-3
7.605372042E0,-1.194147617E-2
7.615308042E0,-3.951128069E-3
7.625245042E0,-4.319612291E-3
7.635181042E0,-5.752582122E-3
7.645118042E0,-8.437093645E-3
7.655054042E0,4.231337607E-3
7.664991042E0,-5.409058202E-3
7.674927042E0,-3.788063843E-3
7.684864042E0,4.286739975E-5
