Time (s),Linear Acceleration y (m/s^2)
3.374166659E-2,9.819850512E-4
4.367866658E-2,1.673363484E-3
5.361466657E-2,-8.796382206E-3
6.355166656E-2,-4.129856438E-3
7.348766667E-2,-2.769204788E-3
8.342466666E-2,-5.919067883E-3
9.336166666E-2,-3.703302057E-3
1.032976666E-1,6.137155322E-4
1.132346666E-1,-8.316618162E-3
1.231706666E-1,-1.502939989E-3
1.331076666E-1,-1.004638444E-3
1.430436666E-1,1.056281235E-3
1.529806666E-1,-9.235718236E-3
1.629166666E-1,-1.000618483E-2
1.728536666E-1,6.300470796E-3
1.827896666E-1,-2.676786804E-3
1.927266666E-1,-5.033740047E-3
2.026636666E-1,-7.227546838E-3
2.125996667E-1,-1.078097745E-2
2.225366667E-1,-8.418236375E-3
2.324726667E-1,-5.658939877E-3
2.424096667E-1,4.030901450E-3
2.523456666E-1,-2.285982664E-3
2.622826666E-1,-1.215018979E-2
2.722186666E-1,-5.470303218E-3
2.821556666E-1,-9.476650930E-3
2.920916666E-1,-9.935634518E-3
3.020286666E-1,-4.583193809E-3
3.119656666E-1,-6.625443511E-3
3.219016666E-1,1.182416640E-3
3.318386666E-1,-4.308118857E-4
3.417746666E-1,3.390393793E-3
3.517116666E-1,-1.517728876E-2
3.616476667E-1,-9.772547451E-3
3.715846667E-1,1.739925812E-3
3.815206666E-1,4.735034122E-3
3.914576666E-1,-9.446176887E-4
4.013936666E-1,-2.628245777E-3
4.113306666E-1,-9.764146646E-3
4.212676666E-1,-7.296260758E-3
4.312036666E-1,-4.156388179E-3
4.411406666E-1,-3.977901922E-3
4.510766666E-1,-2.477670838E-3
4.610130417E-1,1.140435459E-3
4.709490417E-1,6.523971478E-3
4.808860417E-1,1.019247347E-3
4.908220416E-1,-1.234794902E-3
5.007590416E-1,-4.921158305E-3
5.106950416E-1,2.076008236E-3
5.206320416E-1,-9.165510535E-4
5.305680416E-1,4.142679200E-3
5.405050416E-1,-8.260014374E-4
5.504420416E-1,1.906032418E-3
5.603780416E-1,-2.407623022E-3
5.703150416E-1,-4.597140332E-3
5.802510416E-1,-2.265622476E-3
5.901880416E-1,2.520172787E-3
6.001240417E-1,-9.879706814E-3
6.100610417E-1,4.465025235E-3
6.199970416E-1,4.479145347E-3
6.299340416E-1,1.531970501E-4
6.398700416E-1,1.627152208E-3
6.498070416E-1,-6.394190700E-3
6.597440416E-1,-7.649039724E-3
6.696800416E-1,-3.729244508E-4
6.796170416E-1,-2.695680619E-3
6.895530416E-1,3.917351263E-3
6.994900416E-1,6.222661715E-3
7.094260416E-1,-2.821103395E-3
7.193630416E-1,-3.433594666E-4
7.292990417E-1,3.075996316E-3
7.392360417E-1,-3.847810510E-3
7.491720417E-1,2.350841076E-3
7.591090417E-1,-1.025775215E-4
7.690460416E-1,-1.914583971E-3
7.789820416E-1,-1.184691573E-2
7.889190416E-1,-3.104085792E-3
7.988550416E-1,-2.934932238E-3
8.087920416E-1,2.913640151E-3
8.187280416E-1,-6.357385218E-4
8.286650416E-1,3.234538087E-3
8.386010416E-1,2.191513586E-3
8.485380416E-1,-1.150220409E-3
8.584740416E-1,9.268416963E-3
8.684110416E-1,2.216428206E-3
8.783470417E-1,-1.122941778E-2
8.882840417E-1,-6.578848511E-3
8.982210417E-1,-6.666922197E-4
9.081570416E-1,5.367958671E-3
9.180940416E-1,2.990654376E-3
9.280300416E-1,2.134146919E-3
9.379670416E-1,-4.426917834E-3
9.479030416E-1,4.090734911E-3
9.578400416E-1,2.228287091E-3
9.677760416E-1,2.446004511E-3
9.777130416E-1,-6.254273225E-3
9.876490416E-1,-6.981936372E-3
9.975860416E-1,-1.104015071E-2
1.007523042E0,-6.125332983E-3
1.017459042E0,-3.641116004E-3
1.027396042E0,1.192630995E-3
1.037332042E0,-4.267133530E-3
1.047269042E0,-5.477635078E-3
1.057205042E0,-3.921690993E-3
1.067142042E0,3.205251759E-3
1.077078042E0,-3.659155578E-3
1.087015042E0,-2.886171942E-3
1.096951042E0,-4.674899164E-3
1.106888042E0,-5.889411536E-3
1.116825042E0,-3.188980054E-3
1.126761042E0,-3.379370878E-4
1.136698042E0,2.578009972E-3
1.146634042E0,-5.352344778E-3
1.156571042E0,1.802121000E-3
1.166507042E0,-3.737622472E-3
1.176444042E0,4.970818525E-4
1.186380042E0,-4.023236115E-3
1.196317042E0,-4.864856014E-3
1.206253042E0,-3.279922530E-5
1.216190042E0,3.383939015E-4
1.226126042E0,-1.448871517E-3
1.236063042E0,-7.516458677E-4
1.246000042E0,-1.183659174E-3
1.255936042E0,-4.339182191E-4
1.265873042E0,6.175600765E-3
1.275809042E0,5.341682746E-3
1.285746042E0,3.025710261E-3
1.295682042E0,-1.402651104E-3
1.305619042E0,-5.062729446E-4
1.315555042E0,1.634040959E-3
1.325492042E0,4.308447763E-3
1.335428042E0,4.137265957E-3
1.345365042E0,2.679861160E-3
1.355301042E0,1.890043938E-3
1.365238042E0,1.629148484E-3
1.375175042E0,-3.895748542E-3
1.385111042E0,-4.523022305E-3
1.395048042E0,-3.187372070E-3
1.404984042E0,3.501262483E-3
1.414921042E0,-2.328397818E-3
1.424857042E0,2.193669747E-3
1.434794042E0,-4.404401486E-3
1.444730042E0,1.937602814E-3
1.454667375E0,3.648269707E-3
1.464603375E0,-6.003473355E-3
1.474540375E0,-1.023979023E-2
1.484477375E0,-9.764219737E-3
1.494413375E0,-1.299543679E-3
1.504350375E0,1.573586231E-4
1.514286375E0,-5.319038490E-3
1.524223375E0,-5.815531053E-3
1.534159375E0,-6.984225009E-4
1.544096375E0,3.351084972E-3
1.554032375E0,2.345121768E-3
1.563969375E0,4.762767283E-3
1.573905375E0,-1.593055632E-3
1.583842375E0,1.495429971E-3
1.593778375E0,4.912940226E-4
1.603715375E0,1.962275323E-3
1.613651375E0,5.345574799E-3
1.623588375E0,-7.405009833E-3
1.633525375E0,-7.300760373E-3
1.643461375E0,-1.020604083E-3
1.653398375E0,6.255424395E-4
1.663334375E0,4.436063245E-3
1.673271375E0,-5.075702956E-3
1.683207375E0,3.289652662E-4
1.693144375E0,-3.929004581E-3
1.703080375E0,3.672010317E-3
1.713017375E0,-2.049896764E-3
1.722953375E0,-1.115979936E-2
1.732890375E0,-4.721439346E-3
1.742826375E0,1.861127629E-3
1.752763375E0,-3.581926650E-3
1.762700375E0,1.113328133E-3
1.772636375E0,2.158444840E-3
1.782573375E0,3.264262956E-3
1.792509375E0,1.474224678E-3
1.802446375E0,-3.453991399E-3
1.812382375E0,-1.268480346E-4
1.822319375E0,-9.842106476E-3
1.832255375E0,3.119197190E-3
1.842192375E0,-2.172126411E-3
1.852128375E0,3.180200094E-4
1.862065375E0,1.793030407E-3
1.872001375E0,1.056724344E-3
1.881938375E0,-1.232414902E-3
1.891875375E0,-9.133949275E-3
1.901811375E0,-2.313857437E-3
1.911748375E0,2.834917442E-3
1.921684375E0,4.821938365E-3
1.931621375E0,-8.795125969E-4
1.941557375E0,-1.032357444E-2
1.951494375E0,-7.507139677E-4
1.961430375E0,1.700087087E-3
1.971367375E0,4.647353296E-3
1.981303375E0,-1.347883707E-3
1.991240375E0,7.888076641E-4
2.001176375E0,4.552468518E-4
2.011113375E0,-5.666728551E-4
2.021049375E0,-2.351265913E-3
2.030986375E0,-5.963397087E-3
2.040923375E0,-9.249016084E-3
2.050859375E0,-5.966590215E-3
2.060796375E0,1.526557258E-3
2.070732375E0,-5.979079502E-3
2.080669375E0,1.236361773E-3
2.090605375E0,-2.543164222E-3
2.100542375E0,-8.875429253E-3
2.110478375E0,-4.767965823E-3
2.120415375E0,-1.688223635E-3
2.130351375E0,-1.707930579E-3
2.140288375E0,-1.393444480E-2
2.150224375E0,-8.020315077E-3
2.160161375E0,-4.198565790E-3
2.170098375E0,-5.313565861E-4
2.180034375E0,-3.978258236E-3
2.189971375E0,3.579688263E-3
2.199907375E0,-3.916264046E-4
2.209844375E0,6.550708786E-4
2.219780375E0,-7.172432262E-3
2.229717375E0,-7.000496713E-3
2.239653375E0,2.605628930E-3
2.249590375E0,6.332580233E-4
2.259526375E0,7.906988729E-4
2.269463375E0,-2.829673220E-3
2.279399375E0,2.066323785E-3
2.289336375E0,-3.658579993E-3
2.299272375E0,3.886571154E-4
2.309209375E0,-2.263621632E-3
2.319146375E0,-4.544063145E-3
2.329082375E0,3.277040035E-3
2.339019375E0,-2.035607630E-3
2.348955375E0,-2.196200495E-3
2.358892375E0,-9.044267605E-3
2.368828375E0,-7.938773828E-3
2.378765375E0,6.678616628E-6
2.388701375E0,-4.459237405E-3
2.398638375E0,-6.125415210E-3
2.408574375E0,-3.891934147E-3
2.418511375E0,-3.220066228E-3
2.428447375E0,-2.357844030E-4
2.438384375E0,-7.019851911E-3
2.448321375E0,-6.836372679E-3
2.458257875E0,-7.961116587E-3
2.468194875E0,-7.671158644E-3
2.478130875E0,-2.302697478E-3
2.488067875E0,-2.539655892E-3
2.498003875E0,2.406279990E-3
2.507940875E0,-2.133109951E-3
2.517876875E0,3.481587516E-3
2.527813875E0,-3.867659066E-3
2.537749875E0,3.202414946E-3
2.547686875E0,-2.711737622E-4
2.557622875E0,-6.054426357E-3
2.567559875E0,-7.446292089E-4
2.577495875E0,-4.653022354E-3
2.587432875E0,6.288680434E-4
2.597368875E0,-1.784072290E-3
2.607305875E0,6.164267217E-3
2.617242875E0,2.984332074E-3
2.627178875E0,7.069694856E-4
2.637115875E0,-4.076724434E-3
2.647051875E0,-2.792822057E-3
2.656988875E0,8.951995801E-4
2.666924875E0,1.514670965E-3
2.676861875E0,-7.039517742E-3
2.686797875E0,-6.405601907E-3
