Time (s),Linear Acceleration z (m/s^2)
3.374166659E-2,7.358896315E-2
4.367866658E-2,8.077226758E-2
5.361466657E-2,8.751118362E-2
6.355166656E-2,8.152597368E-2
7.348766667E-2,7.973087847E-2
8.342466666E-2,8.437532187E-2
9.336166666E-2,8.257964194E-2
1.032976666E-1,6.207228720E-2
1.132346666E-1,6.536660850E-2
1.231706666E-1,8.093306601E-2
1.331076666E-1,6.775870442E-2
1.430436666E-1,7.539165974E-2
1.529806666E-1,7.614127278E-2
1.629166666E-1,7.479524374E-2
1.728536666E-1,7.808839560E-2
1.827896666E-1,7.554661095E-2
1.927266666E-1,7.509812951E-2
2.026636666E-1,7.958703697E-2
2.125996667E-1,7.779311121E-2
2.225366667E-1,8.213291466E-2
2.324726667E-1,8.393268764E-2
2.424096667E-1,8.677794278E-2
2.523456666E-1,8.663293183E-2
2.622826666E-1,7.241250336E-2
2.722186666E-1,7.855032563E-2
2.821556666E-1,7.226222992E-2
2.920916666E-1,7.675289154E-2
3.020286666E-1,7.315802336E-2
3.119656666E-1,7.255634487E-2
3.219016666E-1,7.780012786E-2
3.318386666E-1,7.450931489E-2
3.417746666E-1,7.076709688E-2
3.517116666E-1,6.941872895E-2
3.616476667E-1,7.480986178E-2
3.715846667E-1,7.720312715E-2
3.815206666E-1,7.525658906E-2
3.914576666E-1,7.885087252E-2
4.013936666E-1,8.229195893E-2
4.113306666E-1,7.929701507E-2
4.212676666E-1,7.705168426E-2
4.312036666E-1,7.495896578E-2
4.411406666E-1,7.840122163E-2
4.510766666E-1,7.630441010E-2
4.610130417E-1,8.289012909E-2
4.709490417E-1,8.319301486E-2
4.808860417E-1,8.034892917E-2
4.908220416E-1,7.061565399E-2
5.007590416E-1,7.286215425E-2
5.106950416E-1,7.914849579E-2
5.206320416E-1,7.555596650E-2
5.305680416E-1,8.244047821E-2
5.405050416E-1,7.585417449E-2
5.504420416E-1,7.989635468E-2
5.603780416E-1,7.106179655E-2
5.703150416E-1,9.051899135E-2
5.802510416E-1,7.704993010E-2
5.901880416E-1,7.495604217E-2
6.001240417E-1,7.465608001E-2
6.100610417E-1,7.345915496E-2
6.199970416E-1,6.702078581E-2
6.299340416E-1,6.821829557E-2
6.398700416E-1,7.809599698E-2
6.498070416E-1,6.896498501E-2
6.597440416E-1,7.255926847E-2
6.696800416E-1,7.525132656E-2
6.796170416E-1,7.779661953E-2
6.895530416E-1,8.453202724E-2
6.994900416E-1,7.749607265E-2
7.094260416E-1,8.243404627E-2
7.193630416E-1,7.240490198E-2
7.292990417E-1,6.731607020E-2
7.392360417E-1,8.513136685E-2
7.491720417E-1,8.004019618E-2
7.591090417E-1,7.599509239E-2
7.690460416E-1,7.764108360E-2
7.789820416E-1,7.794396937E-2
7.889190416E-1,7.524898767E-2
7.988550416E-1,7.180556238E-2
8.087920416E-1,8.542606652E-2
8.187280416E-1,8.003493369E-2
8.286650416E-1,7.808664143E-2
8.386010416E-1,6.970524251E-2
8.485380416E-1,7.360065758E-2
