Time (s),Absolute acceleration (m/s^2)
9.694702000E-3,0.000000000E0
1.453428500E-2,2.510158469E-2
1.937454600E-2,4.339447724E-2
2.421470200E-2,9.180197037E-2
2.905485800E-2,7.774974465E-3
3.389501400E-2,4.164027457E-2
3.873517100E-2,5.202959829E-2
4.357532700E-2,4.917227887E-2
4.841548300E-2,2.074013808E-2
5.325563900E-2,3.163178850E-2
5.809579600E-2,7.025058872E-2
6.293595200E-2,9.971934390E-2
6.777610800E-2,2.258246908E-2
7.261626400E-2,2.623253197E-2
7.745642100E-2,4.903696186E-2
8.229657700E-2,3.712827759E-2
8.713673300E-2,1.792942310E-2
9.197688900E-2,2.092363143E-2
9.681704600E-2,3.444321481E-2
1.016572020E-1,4.549425712E-2
1.064973580E-1,4.340211666E-2
1.113375140E-1,1.278324976E-2
1.161776710E-1,8.510868167E-3
1.210178270E-1,3.623339926E-2
1.258579830E-1,2.220235012E-2
1.306981390E-1,2.795058941E-2
1.355382440E-1,1.063556041E-2
1.403784000E-1,1.947296297E-2
1.452185560E-1,3.397526399E-2
1.500587120E-1,2.055867916E-2
1.548988690E-1,1.167641804E-2
1.597390250E-1,1.337522594E-2
1.645791810E-1,3.311607108E-2
1.694193370E-1,4.062505424E-2
1.742594940E-1,3.009918643E-2
1.790996500E-1,1.528362511E-2
1.839398060E-1,3.117458613E-2
1.887799620E-1,2.323250340E-2
1.936201190E-1,1.512887089E-2
1.984602750E-1,2.435523859E-2
2.033004310E-1,1.062652125E-2
2.081405870E-1,2.819811352E-3
2.129807440E-1,1.832455684E-2
2.178209000E-1,1.419529151E-2
2.226610560E-1,2.293105092E-2
2.275012120E-1,1.627793734E-2
2.323413690E-1,1.343595132E-2
2.371815250E-1,1.492008598E-2
2.420216810E-1,2.231023572E-2
2.468618370E-1,1.202809824E-2
2.516090770E-1,3.757267492E-3
2.563543370E-1,7.980480940E-3
2.610995980E-1,2.042412148E-2
2.658448580E-1,7.863129262E-3
2.705901190E-1,1.378339779E-2
2.753353790E-1,1.795281496E-2
2.800806390E-1,1.980447524E-2
2.848259000E-1,9.180389247E-3
2.895711600E-1,2.239663727E-2
2.943164210E-1,2.181345788E-2
2.990616810E-1,1.832309468E-2
3.038069420E-1,9.859909977E-3
3.085522020E-1,2.091006878E-2
3.132974620E-1,2.890044835E-2
3.180427230E-1,1.170606075E-2
3.227879830E-1,1.075537490E-2
3.275332440E-1,1.597609826E-2
3.322784520E-1,1.702844573E-2
3.370237120E-1,1.501262704E-2
3.417690250E-1,1.866421817E-2
3.465142330E-1,8.335377706E-3
3.512594940E-1,1.471482506E-2
3.560047540E-1,1.769966424E-2
3.607500140E-1,1.412389765E-2
3.654952750E-1,1.285544489E-2
3.702405350E-1,1.457572984E-2
3.749857960E-1,9.600590174E-3
3.797310560E-1,1.019145680E-2
3.844763170E-1,7.049679373E-3
3.892215770E-1,1.337047056E-2
3.939668370E-1,1.874735673E-2
3.987120980E-1,2.727942073E-2
4.034573580E-1,4.682962947E-3
4.082026190E-1,1.184106819E-2
4.129478790E-1,1.302990409E-2
4.176930870E-1,2.757502670E-2
4.224383480E-1,8.754478310E-3
4.271836080E-1,1.360779157E-2
4.319288690E-1,6.838817202E-3
4.366741290E-1,1.373474569E-2
4.414193890E-1,2.755330393E-2
4.461646500E-1,1.149739912E-2
4.509099100E-1,1.052188302E-2
4.556551710E-1,1.829866874E-2
4.604004310E-1,6.404165964E-3
4.651456920E-1,1.720754314E-2
4.698909520E-1,8.474989891E-3
4.746362120E-1,1.249651163E-2
4.793814730E-1,1.330203840E-2
4.841267330E-1,1.532825020E-2
4.888719940E-1,8.975170892E-3
4.936172020E-1,5.268680389E-3
4.983625140E-1,7.220437604E-3
5.031077230E-1,7.408666430E-3
5.078529830E-1,1.420290986E-2
5.125982440E-1,3.925403452E-3
5.173435040E-1,1.818796439E-2
5.220887640E-1,1.401739841E-2
5.268340250E-1,1.620799949E-2
5.315792850E-1,8.075570076E-3
5.363245460E-1,2.048091291E-2
5.410698060E-1,1.601265008E-2
5.458150670E-1,1.871539356E-2
5.505603270E-1,5.923156328E-3
5.553055870E-1,1.336139052E-2
5.600508480E-1,1.653951276E-2
5.647960560E-1,2.433815091E-2
5.695413170E-1,1.377745571E-2
5.742865770E-1,1.643676093E-2
5.790318370E-1,2.255740778E-2
5.837770980E-1,6.211754326E-3
5.885223580E-1,1.902267773E-2
5.932676190E-1,1.061827699E-2
5.980128790E-1,8.728536620E-3
6.027581390E-1,8.833914031E-3
6.075034000E-1,1.077543465E-2
6.122486600E-1,1.905780160E-2
6.169939210E-1,1.498275604E-2
6.217391810E-1,1.346883085E-2
6.264844420E-1,1.694692328E-2
6.312296500E-1,3.604324504E-2
6.359749100E-1,1.320427000E-2
6.407201710E-1,2.027999420E-2
6.454654310E-1,1.655043187E-2
6.502106920E-1,7.190815828E-3
6.549559520E-1,1.331355485E-2
6.597012120E-1,6.742772354E-3
6.644464730E-1,2.609841255E-2
6.691917330E-1,1.235988479E-2
6.739369940E-1,2.789135131E-2
6.786822540E-1,5.856587733E-3
6.834275140E-1,1.438766774E-2
6.881727750E-1,2.718839006E-2
6.929179830E-1,1.911188507E-2
6.976632440E-1,1.230813084E-2
7.024085040E-1,5.937405740E-3
7.071537640E-1,1.195137869E-3
7.118990250E-1,1.207862885E-2
7.166442850E-1,1.161641818E-2
7.213895460E-1,1.549550704E-2
7.261348060E-1,5.120082089E-3
7.308800670E-1,1.371355776E-2
7.356253270E-1,2.246579481E-2
7.403705870E-1,1.685969682E-2
7.451157960E-1,1.082509287E-2
7.498610560E-1,1.333415185E-2
7.546063170E-1,3.431170218E-3
7.593515770E-1,2.723281771E-2
7.640968370E-1,1.162635503E-2
7.688420980E-1,2.211857727E-2
7.735873580E-1,4.554904839E-3
7.783326190E-1,1.318982504E-2
7.830778790E-1,5.877574181E-3
7.878231390E-1,7.658558683E-3
7.925684000E-1,3.113862666E-3
7.973136600E-1,1.327620702E-2
8.020589210E-1,1.069001213E-2
8.068041290E-1,7.049787628E-3
8.115493890E-1,6.931305381E-3
8.162946500E-1,1.034346270E-2
8.210399100E-1,1.601012367E-2
8.257851710E-1,8.092354627E-3
8.305304310E-1,2.292119050E-2
8.352756920E-1,1.897117787E-2
8.400209520E-1,8.528648677E-3
8.447662120E-1,1.672017510E-2
8.495114730E-1,1.896189786E-2
8.542567330E-1,1.457494736E-2
8.590019940E-1,2.136486193E-2
8.637472540E-1,1.040968287E-2
8.684924620E-1,9.765891373E-3
8.732377230E-1,9.775643243E-3
8.779829830E-1,7.170278517E-3
8.827282440E-1,2.142205961E-2
8.874735040E-1,9.934463894E-3
8.922187640E-1,1.110301225E-2
8.969640250E-1,1.980901626E-2
9.017092850E-1,1.545512014E-2
9.064545460E-1,1.118440737E-2
9.111997540E-1,6.042593224E-3
9.159450140E-1,1.163027909E-2
