Time (s),Linear Acceleration z (m/s^2)
9.694702000E-3,0.000000000E0
1.453428500E-2,-1.44E-02
1.937454600E-2,-3.99E-02
2.421470200E-2,-8.55E-02
2.905485800E-2,-5.22E-03
3.389501400E-2,4.153060913E-2
3.873517100E-2,4.790306091E-2
4.357532700E-2,4.189586639E-2
4.841548300E-2,2.019405365E-2
5.325563900E-2,-2.71E-02
5.809579600E-2,-6.38E-02
6.293595200E-2,-9.57E-02
6.777610800E-2,-1.99E-02
7.261626400E-2,2.156162262E-2
7.745642100E-2,4.023265839E-2
8.229657700E-2,2.425289154E-2
8.713673300E-2,1.605319977E-2
9.197688900E-2,-5.20E-03
9.681704600E-2,-2.08E-02
1.016572020E-1,-4.48E-02
1.064973580E-1,-3.58E-02
1.113375140E-1,-6.74E-03
1.161776710E-1,2.720832825E-3
1.210178270E-1,3.242397308E-2
1.258579830E-1,2.193355560E-2
1.306981390E-1,2.337741852E-2
1.355382440E-1,8.671760559E-3
1.403784000E-1,-1.47E-02
1.452185560E-1,-3.04E-02
1.500587120E-1,-2.01E-02
1.548988690E-1,-7.88E-03
1.597390250E-1,1.092338562E-2
1.645791810E-1,2.684116364E-2
1.694193370E-1,3.301811218E-2
1.742594940E-1,2.974224091E-2
1.790996500E-1,3.314971924E-3
1.839398060E-1,8.878707886E-4
1.887799620E-1,-2.24E-02
1.936201190E-1,-1.49E-02
1.984602750E-1,-1.68E-02
2.033004310E-1,-4.73E-03
2.081405870E-1,2.399444580E-3
2.129807440E-1,1.636695862E-2
2.178209000E-1,1.131439209E-2
2.226610560E-1,4.036903381E-3
2.275012120E-1,3.942489624E-3
2.323413690E-1,-1.02E-02
2.371815250E-1,-1.47E-02
2.420216810E-1,-2.14E-02
2.468618370E-1,-9.24E-03
2.516090770E-1,3.299713135E-4
2.563543370E-1,5.020141602E-3
2.610995980E-1,2.288818359E-4
2.658448580E-1,4.916191101E-3
2.705901190E-1,7.170677185E-3
2.753353790E-1,-2.36E-03
2.800806390E-1,-2.32E-03
2.848259000E-1,-6.98E-03
2.895711600E-1,-1.86E-02
2.943164210E-1,5.130767822E-4
2.990616810E-1,9.922027588E-3
3.038069420E-1,3.461837769E-4
3.085522020E-1,9.756088257E-3
3.132974620E-1,4.889488220E-3
3.180427230E-1,-6.97E-03
3.227879830E-1,-4.51E-03
3.275332440E-1,-2.08E-03
3.322784520E-1,-1.38E-02
3.370237120E-1,-1.13E-02
3.417690250E-1,-1.58E-02
