Time (s),Linear Acceleration x (m/s^2),Linear Acceleration y (m/s^2),Linear Acceleration z (m/s^2),Absolute acceleration (m/s^2)
9.694702000E-3,0.000000000E0,0.000000000E0,0.000000000E0,0.000000000E0
1.453428500E-2,-2.06E-02,7.757842541E-4,-1.44E-02,2.510158469E-2
1.937454600E-2,-1.71E-02,5.778372288E-4,-3.99E-02,4.339447724E-2
2.421470200E-2,-2.29E-02,2.424579859E-2,-8.55E-02,9.180197037E-2
2.905485800E-2,3.414377570E-3,4.641070962E-3,-5.22E-03,7.774974465E-3
3.389501400E-2,2.079576254E-3,2.190053463E-3,4.153060913E-2,4.164027457E-2
3.873517100E-2,2.022212744E-2,1.855105162E-3,4.790306091E-2,5.202959829E-2
4.357532700E-2,2.474263310E-2,-7.10E-03,4.189586639E-2,4.917227887E-2
4.841548300E-2,-2.10E-04,-4.72E-03,2.019405365E-2,2.074013808E-2
5.325563900E-2,-1.42E-02,8.177191019E-3,-2.71E-02,3.163178850E-2
5.809579600E-2,-1.90E-02,2.247925848E-2,-6.38E-02,7.025058872E-2
6.293595200E-2,-2.25E-02,1.651424170E-2,-9.57E-02,9.971934390E-2
6.777610800E-2,-8.59E-03,-6.41E-03,-1.99E-02,2.258246908E-2
7.261626400E-2,1.108497381E-2,-1.00E-02,2.156162262E-2,2.623253197E-2
7.745642100E-2,2.558021247E-2,-1.15E-02,4.023265839E-2,4.903696186E-2
8.229657700E-2,2.190795541E-2,-1.76E-02,2.425289154E-2,3.712827759E-2
8.713673300E-2,-1.19E-03,-7.90E-03,1.605319977E-2,1.792942310E-2
9.197688900E-2,1.108679175E-2,1.696547866E-2,-5.20E-03,2.092363143E-2
9.681704600E-2,-2.73E-02,-2.36E-03,-2.08E-02,3.444321481E-2
1.016572020E-1,-7.70E-03,-2.27E-03,-4.48E-02,4.549425712E-2
1.064973580E-1,-2.16E-02,1.173904538E-2,-3.58E-02,4.340211666E-2
1.113375140E-1,8.326753974E-3,6.972491741E-3,-6.74E-03,1.278324976E-2
1.161776710E-1,-4.14E-03,6.922110915E-3,2.720832825E-3,8.510868167E-3
1.210178270E-1,-8.79E-03,1.357260346E-2,3.242397308E-2,3.623339926E-2
1.258579830E-1,-1.38E-03,-3.16E-03,2.193355560E-2,2.220235012E-2
1.306981390E-1,1.528945565E-2,-9.82E-04,2.337741852E-2,2.795058941E-2
1.355382440E-1,6.071150303E-3,1.028031111E-3,8.671760559E-3,1.063556041E-2
1.403784000E-1,-1.22E-02,-3.84E-03,-1.47E-02,1.947296297E-2
1.452185560E-1,-1.39E-02,-6.07E-03,-3.04E-02,3.397526399E-2
1.500587120E-1,2.429991961E-3,3.468453884E-3,-2.01E-02,2.055867916E-2
1.548988690E-1,6.458029151E-3,-5.71E-03,-7.88E-03,1.167641804E-2
1.597390250E-1,1.066282392E-3,-7.64E-03,1.092338562E-2,1.337522594E-2
1.645791810E-1,1.929473877E-2,1.984730363E-3,2.684116364E-2,3.311607108E-2
1.694193370E-1,1.881824434E-2,-1.44E-02,3.301811218E-2,4.062505424E-2
1.742594940E-1,-4.62E-03,-1.35E-04,2.974224091E-2,3.009918643E-2
1.790996500E-1,-1.33E-02,6.681576371E-3,3.314971924E-3,1.528362511E-2
1.839398060E-1,3.691017628E-3,-3.09E-02,8.878707886E-4,3.117458613E-2
1.887799620E-1,-5.52E-03,2.409666777E-3,-2.24E-02,2.323250340E-2
1.936201190E-1,1.481443644E-3,2.380222082E-3,-1.49E-02,1.512887089E-2
1.984602750E-1,-1.06E-02,1.410230994E-2,-1.68E-02,2.435523859E-2
2.033004310E-1,-8.35E-03,4.565894604E-3,-4.73E-03,1.062652125E-2
2.081405870E-1,-1.48E-03,-1.27E-04,2.399444580E-3,2.819811352E-3
2.129807440E-1,7.856965065E-3,-2.49E-03,1.636695862E-2,1.832455684E-2
2.178209000E-1,-8.57E-03,-2.00E-04,1.131439209E-2,1.419529151E-2
2.226610560E-1,-2.22E-02,4.317358136E-3,4.036903381E-3,2.293105092E-2
2.275012120E-1,-3.46E-04,1.578950882E-2,3.942489624E-3,1.627793734E-2
2.323413690E-1,-2.53E-03,8.375272155E-3,-1.02E-02,1.343595132E-2
2.371815250E-1,-2.44E-03,-1.17E-03,-1.47E-02,1.492008598E-2
2.420216810E-1,2.102613449E-3,5.948707461E-3,-2.14E-02,2.231023572E-2
2.468618370E-1,-7.62E-03,-1.09E-03,-9.24E-03,1.202809824E-2
2.516090770E-1,-6.53E-04,3.685384989E-3,3.299713135E-4,3.757267492E-3
2.563543370E-1,1.602262259E-3,5.993247032E-3,5.020141602E-3,7.980480940E-3
2.610995980E-1,2.038833499E-2,-1.19E-03,2.288818359E-4,2.042412148E-2
2.658448580E-1,1.424774528E-3,-5.97E-03,4.916191101E-3,7.863129262E-3
2.705901190E-1,-1.01E-02,-5.97E-03,7.170677185E-3,1.378339779E-2
