Time (s),Absolute acceleration (m/s^2)
5.802070815E-2,1.125749373E-2
6.795770815E-2,2.072667231E-2
7.789370837E-2,2.657265728E-2
8.783070836E-2,2.449885785E-2
9.776770836E-2,2.934582532E-2
1.077047084E-1,3.002094597E-2
1.176417083E-1,3.523423399E-2
1.275777083E-1,2.620476883E-2
1.375147083E-1,3.384990823E-2
1.474517083E-1,2.419456792E-2
1.573887083E-1,2.105161549E-2
1.673257083E-1,1.275546094E-2
1.772617083E-1,1.575824442E-2
1.871987083E-1,1.481433391E-2
1.971357083E-1,3.066469248E-2
2.070727083E-1,2.814341866E-2
2.170097083E-1,2.752677753E-2
2.269457083E-1,8.855885443E-3
2.368827083E-1,1.697264857E-2
2.468197083E-1,2.647554061E-2
2.567567083E-1,2.229715811E-2
2.666937083E-1,2.715338970E-2
2.766297082E-1,3.323462198E-2
2.865667082E-1,1.876746384E-2
2.965037082E-1,5.702696837E-3
3.064407082E-1,2.776796211E-2
3.163777082E-1,1.768976479E-2
3.263137082E-1,2.033113530E-2
3.362507082E-1,2.470431369E-2
3.461877082E-1,1.519203674E-2
3.561247082E-1,2.791287446E-2
3.660617082E-1,2.628649710E-2
3.759977082E-1,1.923097840E-2
3.859347082E-1,2.029226895E-2
3.958717082E-1,2.312884375E-2
4.058087082E-1,1.633224414E-2
4.157447082E-1,2.043862053E-2
4.256817081E-1,2.044748577E-2
4.356187081E-1,3.167184850E-2
4.455557081E-1,3.310994458E-2
4.554927084E-1,2.077847484E-2
4.654297084E-1,2.817557601E-2
4.753657083E-1,1.812522112E-2
4.853027083E-1,2.077149682E-2
4.952397083E-1,2.246711640E-2
5.051767083E-1,1.354273389E-2
5.151127083E-1,2.142129860E-2
5.250497083E-1,2.732807237E-2
5.349867083E-1,1.703067992E-2
5.449237083E-1,1.724454262E-2
5.548607083E-1,2.453252595E-2
5.647967083E-1,1.536143643E-2
5.747337083E-1,2.342445438E-2
5.846707083E-1,1.556826081E-2
5.946077083E-1,9.754097106E-3
6.045447083E-1,1.107609248E-2
6.144807083E-1,2.159000193E-2
6.244177083E-1,2.838852415E-2
6.343547083E-1,6.624658227E-3
