Time (s),Linear Acceleration y (m/s^2)
5.802070815E-2,-3.114939686E-3
6.795770815E-2,6.182151474E-3
7.789370837E-2,2.701523267E-3
8.783070836E-2,7.427316047E-3
9.776770836E-2,1.438680002E-2
1.077047084E-1,8.453009035E-3
1.176417083E-1,9.311051387E-3
1.275777083E-1,-1.377903678E-2
1.375147083E-1,4.212772697E-3
1.474517083E-1,1.379955685E-2
1.573887083E-1,5.856461562E-3
1.673257083E-1,2.395531163E-5
1.772617083E-1,-8.454178479E-3
1.871987083E-1,6.461904198E-4
1.971357083E-1,5.042876322E-3
2.070727083E-1,5.035293214E-3
2.170097083E-1,1.879614880E-2
2.269457083E-1,3.745232988E-3
2.368827083E-1,3.451136313E-3
2.468197083E-1,3.277090285E-3
2.567567083E-1,3.117150664E-3
2.666937083E-1,-4.347587563E-4
2.766297082E-1,-5.736739822E-3
2.865667082E-1,-8.799566198E-3
2.965037082E-1,-3.868280333E-3
3.064407082E-1,1.824925141E-2
3.163777082E-1,1.206956673E-2
3.263137082E-1,-2.601773422E-3
3.362507082E-1,4.202887248E-3
3.461877082E-1,7.903608307E-4
3.561247082E-1,9.638769552E-4
3.660617082E-1,-9.510203898E-3
3.759977082E-1,-9.560197592E-5
3.859347082E-1,1.230948530E-3
3.958717082E-1,-1.796419965E-2
4.058087082E-1,7.949728221E-3
4.157447082E-1,-2.704702690E-4
4.256817081E-1,-4.364325218E-3
4.356187081E-1,-6.861177664E-3
4.455557081E-1,1.926114863E-2
4.554927084E-1,-2.867438011E-3
4.654297084E-1,-1.149904294E-2
4.753657083E-1,4.005543720E-3
4.853027083E-1,1.437888801E-2
4.952397083E-1,-8.664203156E-3
5.051767083E-1,8.988211993E-3
5.151127083E-1,-6.858491600E-3
5.250497083E-1,-8.801393453E-3
5.349867083E-1,1.067517025E-2
5.449237083E-1,4.778801445E-3
5.548607083E-1,1.698433422E-4
5.647967083E-1,1.330596048E-2
5.747337083E-1,-1.935720742E-3
5.846707083E-1,-5.842519607E-3
5.946077083E-1,2.183149327E-3
6.045447083E-1,1.719830576E-3
6.144807083E-1,1.676795069E-2
6.244177083E-1,6.965696644E-3
6.343547083E-1,8.324973285E-4
6.442917082E-1,-2.189800534E-3
6.542287082E-1,6.629006658E-3
6.641657082E-1,-1.184355358E-2
6.741017082E-1,7.493882943E-3
6.840387082E-1,-5.740357786E-3
6.939757082E-1,1.780806072E-2
7.039127082E-1,-6.408639718E-3
7.138487082E-1,4.490880892E-3
7.237857082E-1,1.165209381E-2
7.337227082E-1,9.012752026E-4
