Time (s),Linear Acceleration z (m/s^2)
5.802070815E-2,-1.064485610E-2
6.795770815E-2,-1.678209364E-2
7.789370837E-2,-2.561255872E-2
8.783070836E-2,-1.932387829E-2
9.776770836E-2,-2.456473768E-2
1.077047084E-1,-2.830403209E-2
1.176417083E-1,-3.039850473E-2
1.275777083E-1,-2.186507821E-2
1.375147083E-1,-3.189422250E-2
1.474517083E-1,-1.827254891E-2
1.573887083E-1,-2.021791756E-2
1.673257083E-1,-1.273406625E-2
1.772617083E-1,1.784570217E-3
1.871987083E-1,-1.033963144E-2
1.971357083E-1,-2.007115245E-2
2.070727083E-1,-2.740473032E-2
2.170097083E-1,-1.212829471E-2
2.269457083E-1,-3.291397691E-3
2.368827083E-1,-3.288474083E-3
2.468197083E-1,-2.454427242E-2
2.567567083E-1,-2.200190306E-2
2.666937083E-1,-2.424372554E-2
2.766297082E-1,-3.247309685E-2
2.865667082E-1,-1.644997180E-2
2.965037082E-1,-5.736118555E-4
3.064407082E-1,-1.374446511E-2
3.163777082E-1,-7.755162120E-3
3.263137082E-1,-1.942620456E-2
3.362507082E-1,-2.227262914E-2
3.461877082E-1,-1.508757055E-2
3.561247082E-1,-9.848465323E-3
3.660617082E-1,-2.152769387E-2
3.759977082E-1,-1.449524760E-2
3.859347082E-1,-1.957998633E-2
3.958717082E-1,-7.146466970E-3
4.058087082E-1,-1.253993869E-2
4.157447082E-1,-1.927651584E-2
4.256817081E-1,-1.792756319E-2
4.356187081E-1,-3.064993501E-2
4.455557081E-1,-2.466764867E-2
4.554927084E-1,-1.403974950E-2
4.654297084E-1,-1.867776096E-2
4.753657083E-1,-1.628800392E-2
4.853027083E-1,-7.603719234E-3
4.952397083E-1,-1.942912817E-2
5.051767083E-1,-9.102945328E-3
5.151127083E-1,-1.868828595E-2
5.250497083E-1,-2.062780738E-2
5.349867083E-1,-4.609944820E-3
5.449237083E-1,-1.389181495E-2
5.548607083E-1,-2.406772435E-2
5.647967083E-1,-7.447013855E-3
5.747337083E-1,-1.403448701E-2
5.846707083E-1,-1.432918668E-2
5.946077083E-1,-4.148599505E-3
6.045447083E-1,-1.058813810E-2
6.144807083E-1,-1.342988491E-2
6.244177083E-1,-2.645046473E-2
6.343547083E-1,-4.296534061E-3
6.442917082E-1,-1.566819906E-2
6.542287082E-1,-1.416780353E-2
6.641657082E-1,-1.881049275E-2
6.741017082E-1,-2.569675863E-2
6.840387082E-1,-4.892950058E-3
6.939757082E-1,-2.165516317E-2
7.039127082E-1,-2.150313556E-2
7.138487082E-1,-2.674165606E-2
7.237857082E-1,-1.551266313E-2
7.337227082E-1,-6.677520275E-3
7.436597082E-1,-2.793799639E-2
7.535967082E-1,-9.674218297E-3
7.635327082E-1,-2.254861772E-2
7.734697082E-1,-1.730249584E-2
7.834067082E-1,-1.266682327E-2
7.933437082E-1,-2.224865556E-2
8.032807081E-1,-9.525699019E-3
8.132167084E-1,-1.012679279E-2
8.231537084E-1,-8.781933188E-3
8.330907084E-1,-8.330528140E-3
8.430277084E-1,5.022758245E-4
8.529647083E-1,-9.522190690E-3
8.629007083E-1,-7.572728992E-3
8.728377083E-1,-5.926153064E-3
8.827747083E-1,-6.374634504E-3
8.927117083E-1,-1.984311104E-2
9.026487083E-1,-1.520042181E-2
9.125847083E-1,-2.597742498E-2
9.225217083E-1,-2.208376408E-2
9.324587083E-1,3.808876276E-3
9.423957083E-1,-6.367617846E-3
9.523327083E-1,-1.116291940E-2
9.622687083E-1,-1.326382399E-2
9.722057083E-1,-1.910051465E-2
9.821427083E-1,-1.101673901E-2
9.920797083E-1,-1.625467479E-2
1.002016708E0,-1.191370189E-2
1.011952708E0,-6.905561686E-4
1.021889708E0,-8.323511481E-3
1.031826708E0,-1.326323926E-2
1.041763708E0,-1.386491776E-2
1.051700708E0,-1.416195631E-2
1.061636708E0,-1.850175977E-2
1.071573708E0,-1.521094680E-2
