"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
5.802070815E-2,1.927525504E-3,-3.114939686E-3,-1.064485610E-2,1.125749373E-2
6.795770815E-2,-1.047555636E-2,6.182151474E-3,-1.678209364E-2,2.072667231E-2
7.789370837E-2,6.542531820E-3,2.701523267E-3,-2.561255872E-2,2.657265728E-2
8.783070836E-2,1.310025726E-2,7.427316047E-3,-1.932387829E-2,2.449885785E-2
9.776770836E-2,7.125385017E-3,1.438680002E-2,-2.456473768E-2,2.934582532E-2
1.077047084E-1,5.355894221E-3,8.453009035E-3,-2.830403209E-2,3.002094597E-2
1.176417083E-1,1.518836650E-2,9.311051387E-3,-3.039850473E-2,3.523423399E-2
1.275777083E-1,-4.329712442E-3,-1.377903678E-2,-2.186507821E-2,2.620476883E-2
1.375147083E-1,1.052745954E-2,4.212772697E-3,-3.189422250E-2,3.384990823E-2
1.474517083E-1,-7.814301224E-3,1.379955685E-2,-1.827254891E-2,2.419456792E-2
1.573887083E-1,-3.289104486E-4,5.856461562E-3,-2.021791756E-2,2.105161549E-2
1.673257083E-1,7.380830683E-4,2.395531163E-5,-1.273406625E-2,1.275546094E-2
1.772617083E-1,1.317818055E-2,-8.454178479E-3,1.784570217E-3,1.575824442E-2
1.871987083E-1,1.058956793E-2,6.461904198E-4,-1.033963144E-2,1.481433391E-2
1.971357083E-1,2.262833628E-2,5.042876322E-3,-2.007115245E-2,3.066469248E-2
2.070727083E-1,3.959620236E-3,5.035293214E-3,-2.740473032E-2,2.814341866E-2
2.170097083E-1,1.604159403E-2,1.879614880E-2,-1.212829471E-2,2.752677753E-2
2.269457083E-1,7.318923287E-3,3.745232988E-3,-3.291397691E-3,8.855885443E-3
2.368827083E-1,1.628945659E-2,3.451136313E-3,-3.288474083E-3,1.697264857E-2
2.468197083E-1,9.369825041E-3,3.277090285E-3,-2.454427242E-2,2.647554061E-2
2.567567083E-1,1.833819305E-3,3.117150664E-3,-2.200190306E-2,2.229715811E-2
2.666937083E-1,1.222126544E-2,-4.347587563E-4,-2.424372554E-2,2.715338970E-2
2.766297082E-1,4.138586149E-3,-5.736739822E-3,-3.247309685E-2,3.323462198E-2
2.865667082E-1,2.045424557E-3,-8.799566198E-3,-1.644997180E-2,1.876746384E-2
2.965037082E-1,4.150678008E-3,-3.868280333E-3,-5.736118555E-4,5.702696837E-3
3.064407082E-1,1.578335267E-2,1.824925141E-2,-1.374446511E-2,2.776796211E-2
3.163777082E-1,1.034943466E-2,1.206956673E-2,-7.755162120E-3,1.768976479E-2
3.263137082E-1,-5.404480929E-3,-2.601773422E-3,-1.942620456E-2,2.033113530E-2
3.362507082E-1,9.826944829E-3,4.202887248E-3,-2.227262914E-2,2.470431369E-2
3.461877082E-1,1.593274903E-3,7.903608307E-4,-1.508757055E-2,1.519203674E-2
3.561247082E-1,2.609994699E-2,9.638769552E-4,-9.848465323E-3,2.791287446E-2
3.660617082E-1,1.170872957E-2,-9.510203898E-3,-2.152769387E-2,2.628649710E-2
3.759977082E-1,1.263761003E-2,-9.560197592E-5,-1.449524760E-2,1.923097840E-2
3.859347082E-1,5.185082434E-3,1.230948530E-3,-1.957998633E-2,2.029226895E-2
3.958717082E-1,1.269483965E-2,-1.796419965E-2,-7.146466970E-3,2.312884375E-2
4.058087082E-1,-6.803966314E-3,7.949728221E-3,-1.253993869E-2,1.633224414E-2
4.157447082E-1,6.788224513E-3,-2.704702690E-4,-1.927651584E-2,2.043862053E-2
4.256817081E-1,8.812197098E-3,-4.364325218E-3,-1.792756319E-2,2.044748577E-2
4.356187081E-1,-4.075746853E-3,-6.861177664E-3,-3.064993501E-2,3.167184850E-2
4.455557081E-1,-1.080665038E-2,1.926114863E-2,-2.466764867E-2,3.310994458E-2
4.554927084E-1,1.504686845E-2,-2.867438011E-3,-1.403974950E-2,2.077847484E-2
4.654297084E-1,1.768548389E-2,-1.149904294E-2,-1.867776096E-2,2.817557601E-2
4.753657083E-1,-6.868783613E-3,4.005543720E-3,-1.628800392E-2,1.812522112E-2
4.853027083E-1,1.291844083E-2,1.437888801E-2,-7.603719234E-3,2.077149682E-2
4.952397083E-1,-7.225778969E-3,-8.664203156E-3,-1.942912817E-2,2.246711640E-2
5.051767083E-1,4.444555412E-3,8.988211993E-3,-9.102945328E-3,1.354273389E-2
5.151127083E-1,7.910821396E-3,-6.858491600E-3,-1.868828595E-2,2.142129860E-2
5.250497083E-1,1.561577969E-2,-8.801393453E-3,-2.062780738E-2,2.732807237E-2
5.349867083E-1,1.244319925E-2,1.067517025E-2,-4.609944820E-3,1.703067992E-2
