Time (s),Absolute acceleration (m/s^2)
3.004816663E-2,8.895447648E-2
3.998616664E-2,9.511472861E-2
4.992416664E-2,8.230757726E-2
5.986316665E-2,8.453437625E-2
6.980216666E-2,8.339208189E-2
7.974016666E-2,8.972033621E-2
8.967916667E-2,8.732006172E-2
9.961716668E-2,8.440375439E-2
1.095561666E-1,8.182589291E-2
1.194951666E-1,9.042059343E-2
1.294331666E-1,9.928606006E-2
1.393721666E-1,8.968346721E-2
1.493101666E-1,7.903443214E-2
1.592491666E-1,8.670461437E-2
1.691881666E-1,9.236752303E-2
1.791261666E-1,8.186600171E-2
1.890651666E-1,9.635419814E-2
1.990041666E-1,8.577724446E-2
2.089421666E-1,8.023487970E-2
2.188811667E-1,8.195196034E-2
2.288191667E-1,8.241393414E-2
2.387581667E-1,8.420412191E-2
2.486971667E-1,9.580152524E-2
2.586351667E-1,8.534652187E-2
2.685741666E-1,8.551189800E-2
2.785127083E-1,9.642889446E-2
2.884507083E-1,9.510707321E-2
2.983897083E-1,9.237219243E-2
3.083277083E-1,8.947526389E-2
3.182667083E-1,7.577378942E-2
3.282057083E-1,8.163102647E-2
3.381437083E-1,8.397011191E-2
3.480827083E-1,8.187953070E-2
3.580207083E-1,9.452852576E-2
3.679597083E-1,9.165957124E-2
3.778987083E-1,7.491029101E-2
3.878367083E-1,8.383834780E-2
3.977757083E-1,8.365521842E-2
4.077147082E-1,8.955862423E-2
4.176527082E-1,8.633420472E-2
4.275917083E-1,9.492281005E-2
4.375297083E-1,8.612118435E-2
4.474687083E-1,8.813056627E-2
4.574077083E-1,8.843745956E-2
4.673457083E-1,9.284135200E-2
4.772847083E-1,8.110921850E-2
4.872227083E-1,8.218301493E-2
4.971617083E-1,8.142327172E-2
5.071007083E-1,8.814754980E-2
5.170387083E-1,8.124298052E-2
5.269777083E-1,9.437840521E-2
5.369167083E-1,8.466229480E-2
5.468547083E-1,8.840110509E-2
5.567937082E-1,8.184470010E-2
5.667317082E-1,7.506356690E-2
5.766707083E-1,8.848220021E-2
5.866097083E-1,8.374112965E-2
5.965477083E-1,8.165329901E-2
6.064867083E-1,8.461652863E-2
6.164257083E-1,7.797818676E-2
6.263637083E-1,8.579346318E-2
6.363027083E-1,9.488054023E-2
6.462407083E-1,9.393641365E-2
6.561797083E-1,8.186019265E-2
6.661187083E-1,8.639186206E-2
6.760567083E-1,8.015778645E-2
6.859957083E-1,9.311525056E-2
6.959337083E-1,9.474266611E-2
7.058727083E-1,8.896683801E-2
7.158117082E-1,7.629588770E-2
7.257497082E-1,7.258852070E-2
7.356887083E-1,7.923226148E-2
7.456277083E-1,8.218363750E-2
7.555657083E-1,8.060942210E-2
7.655047083E-1,8.442666011E-2
7.754427083E-1,7.545730095E-2
7.853817083E-1,8.441825959E-2
7.953207083E-1,7.596442976E-2
8.052587083E-1,8.330382069E-2
8.151977083E-1,8.516536366E-2
8.251357083E-1,9.995971474E-2
8.350747083E-1,8.720362499E-2
8.450137083E-1,8.246470508E-2
8.549517083E-1,8.272951521E-2
8.648907082E-1,8.285905272E-2
8.748297082E-1,7.480122297E-2
8.847677083E-1,8.195611670E-2
8.947067083E-1,8.314667534E-2
9.046447083E-1,8.950112370E-2
9.145837083E-1,9.497128147E-2
9.245227083E-1,8.719408029E-2
9.344607083E-1,9.297184480E-2
9.443997083E-1,8.294528044E-2
9.543377083E-1,8.227185762E-2
9.642767083E-1,7.684283571E-2
9.742157083E-1,8.149276821E-2
9.841537083E-1,7.640351643E-2
9.940927083E-1,8.005111746E-2
1.004031708E0,8.627592791E-2
1.013969708E0,8.291204410E-2
1.023908708E0,8.989329366E-2
1.033846708E0,8.894676773E-2
1.043785708E0,9.553004800E-2
1.053724708E0,9.408316389E-2
1.063662708E0,8.419783422E-2
1.073601708E0,8.092737734E-2
1.083539708E0,8.758701389E-2
1.093478708E0,8.869706459E-2
1.103417708E0,8.873002130E-2
1.113355708E0,8.490327077E-2
1.123294708E0,8.195916783E-2
1.133233708E0,7.447812806E-2
1.143171708E0,7.758456624E-2
1.153110708E0,8.022247365E-2
1.163048708E0,7.602158884E-2
1.172987708E0,7.482818274E-2
1.182926708E0,8.874854601E-2
1.192864708E0,9.158919643E-2
1.202803708E0,8.414451931E-2
1.212742708E0,8.310270944E-2
1.222680708E0,7.877035267E-2
1.232619708E0,8.083338406E-2
1.242557708E0,7.958741227E-2
1.252496708E0,8.315429677E-2
1.262435708E0,8.977232920E-2
1.272373917E0,8.571974586E-2
1.282312917E0,8.107835953E-2
1.292250917E0,8.284919494E-2
1.302189917E0,8.388138851E-2
1.312128917E0,8.427721013E-2
1.322066917E0,8.140556304E-2
1.332005917E0,8.657240855E-2
1.341944917E0,8.852182249E-2
1.351882917E0,8.889142435E-2
1.361821917E0,8.800007328E-2
1.371759917E0,7.914009220E-2
1.381698917E0,8.949596339E-2
1.391637917E0,8.623020940E-2
1.401575917E0,8.103703596E-2
1.411514917E0,7.935875448E-2
1.421453917E0,8.021137393E-2
1.431391917E0,8.152250495E-2
1.441330917E0,8.252760551E-2
1.451268917E0,8.739612466E-2
1.461207917E0,8.797438574E-2
1.471146917E0,7.991843500E-2
1.481084917E0,9.317699114E-2
1.491023917E0,8.094884542E-2
1.500961917E0,8.301793124E-2
1.510900917E0,7.765168858E-2
1.520839917E0,8.533647022E-2
1.530777917E0,9.609593159E-2
1.540716917E0,8.405654105E-2
1.550655917E0,8.365221706E-2
1.560593917E0,8.046996664E-2
1.570532917E0,7.902957630E-2
1.580470917E0,9.034386372E-2
1.590409917E0,8.826386971E-2
1.600348917E0,8.020673464E-2
1.610286917E0,9.015168772E-2
1.620225917E0,7.174594819E-2
1.630163917E0,7.765442046E-2
1.640102917E0,8.758526739E-2
1.650041917E0,8.444686937E-2
1.659979917E0,8.609981141E-2
1.669918917E0,8.723515626E-2
1.679857917E0,8.075700270E-2
1.689795917E0,7.910080254E-2
1.699734917E0,8.547483029E-2
1.709672917E0,8.360257415E-2
1.719611917E0,8.862076230E-2
1.729550917E0,8.571576505E-2
1.739488917E0,8.148662952E-2
1.749427917E0,8.047781703E-2
1.759366917E0,8.318280090E-2
1.769304917E0,7.907577141E-2
1.779243917E0,8.060642720E-2
1.789181917E0,8.794962644E-2
1.799120917E0,8.530455922E-2
1.809059917E0,7.421216266E-2
1.818997917E0,7.938154687E-2
1.828936917E0,8.346009367E-2
1.838875917E0,8.118075075E-2
1.848813917E0,7.851306170E-2
1.858752917E0,8.520363904E-2
1.868690917E0,8.625151781E-2
1.878629917E0,8.859585880E-2
1.888568917E0,8.550475251E-2
1.898506917E0,7.538706025E-2
1.908445917E0,8.799765519E-2
1.918383917E0,8.215994921E-2
1.928322917E0,7.105014720E-2
1.938261917E0,7.567073090E-2
1.948199917E0,7.727046218E-2
1.958138917E0,8.181726560E-2
1.968077917E0,9.125051755E-2
1.978015917E0,8.330965240E-2
1.987954917E0,8.343970678E-2
1.997892917E0,8.206674373E-2
2.007831917E0,7.779616341E-2
2.017770917E0,8.263682072E-2
2.027708917E0,7.818866319E-2
2.037647917E0,8.136512254E-2
2.047586917E0,7.843776515E-2
2.057524917E0,7.784852173E-2
2.067463917E0,8.614727955E-2
2.077401917E0,8.666016226E-2
2.087340917E0,8.590992509E-2
2.097279917E0,8.155144551E-2
2.107217917E0,9.694053618E-2
2.117156917E0,8.828258583E-2
2.127095917E0,8.666776076E-2
2.137033917E0,8.036831112E-2
2.146972917E0,7.484063492E-2
2.156910917E0,7.369867647E-2
2.166849917E0,7.658998552E-2
2.176788917E0,8.552178997E-2
2.186726917E0,8.683857403E-2
2.196665917E0,8.587669139E-2
2.206603917E0,8.352791789E-2
2.216542917E0,9.085345766E-2
2.226481917E0,7.980780554E-2
2.236419917E0,8.515014254E-2
2.246358917E0,8.301053891E-2
2.256297917E0,7.847857028E-2
2.266235917E0,8.863747132E-2
2.276174417E0,8.906713792E-2
2.286112417E0,7.676771562E-2
2.296051417E0,8.853248090E-2
2.305990417E0,8.839178538E-2
2.315928417E0,8.745820013E-2
2.325867417E0,7.875047606E-2
2.335806417E0,9.030012870E-2
2.345744417E0,8.574363077E-2
2.355683417E0,8.436188933E-2
2.365621417E0,8.322602540E-2
2.375560417E0,8.000506204E-2
2.385499417E0,7.847911141E-2
2.395437417E0,8.321433015E-2
2.405376417E0,7.991732084E-2
2.415315417E0,8.172749421E-2
2.425253417E0,7.827875652E-2
2.435192417E0,7.563615216E-2
2.445130417E0,7.259195798E-2
2.455069417E0,7.973911535E-2
2.465008417E0,8.144035863E-2
2.474946417E0,7.842818132E-2
2.484885417E0,8.093879613E-2
2.494824417E0,8.695286148E-2
2.504762417E0,9.537032421E-2
2.514701417E0,7.522925303E-2
2.524639417E0,7.512125012E-2
2.534578417E0,8.942879609E-2
2.544517417E0,8.583775568E-2
2.554455417E0,7.540877738E-2
2.564394417E0,7.982702316E-2
2.574333417E0,8.589300411E-2
2.584271417E0,8.691913263E-2
2.594210417E0,8.568798181E-2
2.604148417E0,7.266166283E-2
2.614087417E0,8.415082347E-2
2.624026417E0,8.762745289E-2
2.633964417E0,8.444298980E-2
2.643903417E0,8.938418616E-2
2.653841417E0,8.603160992E-2
2.663780417E0,8.368972854E-2
2.673719417E0,8.275118699E-2
2.683657417E0,8.008004441E-2
2.693596417E0,6.946248557E-2
2.703535417E0,7.732735963E-2
2.713473417E0,8.690905186E-2
2.723412417E0,8.771996996E-2
2.733350417E0,6.757944900E-2
2.743289417E0,7.938666803E-2
2.753228417E0,9.131274639E-2
