Time (s),Linear Acceleration x (m/s^2)
3.004816663E-2,-3.232413903E-3
3.998616664E-2,5.565818399E-5
4.992416664E-2,1.830324680E-3
5.986316665E-2,1.969926953E-3
6.980216666E-2,3.604077548E-3
7.974016666E-2,-4.305524155E-3
8.967916667E-2,-2.360849865E-3
9.961716668E-2,-2.427435033E-3
1.095561666E-1,-4.685812443E-3
1.194951666E-1,-5.845900029E-3
1.294331666E-1,1.474119611E-3
1.393721666E-1,-6.223264709E-4
1.493101666E-1,4.182257541E-3
1.592491666E-1,-3.314092197E-3
1.691881666E-1,-8.299391717E-5
1.791261666E-1,6.676021926E-3
1.890651666E-1,-1.625343226E-3
1.990041666E-1,-3.016213104E-3
2.089421666E-1,1.978149600E-3
2.188811667E-1,-1.448501498E-3
2.288191667E-1,-3.243487068E-3
2.387581667E-1,-1.497179568E-3
2.486971667E-1,3.679396994E-3
2.586351667E-1,1.680599414E-3
2.685741666E-1,-5.085908175E-3
2.785127083E-1,-3.399936631E-3
2.884507083E-1,7.313295342E-3
2.983897083E-1,2.624486201E-3
3.083277083E-1,1.970000044E-3
3.182667083E-1,-1.017415524E-2
3.282057083E-1,-7.013406269E-3
3.381437083E-1,4.204842411E-3
3.480827083E-1,6.113483235E-3
3.580207083E-1,8.073506467E-3
3.679597083E-1,-2.812328003E-3
3.778987083E-1,1.915584393E-3
3.878367083E-1,4.664616287E-3
3.977757083E-1,7.320713997E-4
4.077147082E-1,-1.092917696E-3
4.176527082E-1,-5.257304683E-3
4.275917083E-1,-1.819580421E-4
4.375297083E-1,3.717403896E-3
4.474687083E-1,-9.358687922E-3
4.574077083E-1,1.138672158E-3
4.673457083E-1,7.621443607E-3
4.772847083E-1,6.333009638E-3
4.872227083E-1,8.280315176E-3
4.971617083E-1,-4.827607423E-5
5.071007083E-1,-1.538914070E-4
5.170387083E-1,7.084998116E-4
5.269777083E-1,-1.011385582E-3
5.369167083E-1,8.303046227E-5
5.468547083E-1,1.303454004E-3
5.567937082E-1,6.411252692E-3
5.667317082E-1,6.440452226E-3
5.766707083E-1,1.031814292E-3
5.866097083E-1,-1.028671414E-3
5.965477083E-1,-3.843119033E-3
6.064867083E-1,-1.041429307E-2
6.164257083E-1,9.557639435E-4
6.263637083E-1,8.873807564E-3
6.363027083E-1,3.083967716E-3
6.462407083E-1,9.507207200E-3
6.561797083E-1,-2.424547970E-3
6.661187083E-1,1.246852957E-2
6.760567083E-1,-2.374042645E-3
6.859957083E-1,-9.033217281E-4
6.959337083E-1,-2.181742340E-5
7.058727083E-1,1.675410010E-3
7.158117082E-1,7.619250901E-3
7.257497082E-1,7.061426528E-3
7.356887083E-1,-6.083954796E-3
7.456277083E-1,-4.441252649E-3
7.555657083E-1,8.866535090E-3
7.655047083E-1,5.449020267E-3
7.754427083E-1,-1.582037285E-4
7.853817083E-1,5.103522912E-4
7.953207083E-1,-3.164220750E-3
8.052587083E-1,-5.143320523E-3
8.151977083E-1,5.505007356E-3
8.251357083E-1,5.832597613E-3
8.350747083E-1,9.266959727E-3
8.450137083E-1,3.007259555E-3
8.549517083E-1,1.920627616E-3
8.648907082E-1,8.726713546E-3
8.748297082E-1,5.500950851E-3
8.847677083E-1,5.924179628E-3
8.947067083E-1,1.033970453E-2
9.046447083E-1,1.012997221E-2
9.145837083E-1,7.153410539E-3
9.245227083E-1,-3.266620114E-3
9.344607083E-1,2.723633051E-3
9.443997083E-1,8.681653440E-4
9.543377083E-1,4.620762169E-3
9.642767083E-1,8.922193274E-3
9.742157083E-1,1.017590940E-2
9.841537083E-1,2.181669250E-3
9.940927083E-1,7.833332084E-3
1.004031708E0,9.941728413E-4
1.013969708E0,9.706633799E-3
1.023908708E0,-7.927545346E-3
1.033846708E0,-3.975010291E-4
1.043785708E0,-6.419621520E-3
1.053724708E0,5.083934739E-3
1.063662708E0,6.652779244E-3
1.073601708E0,8.776378334E-3
1.083539708E0,2.377404794E-3
1.093478708E0,2.588050738E-3
1.103417708E0,-4.239487164E-3
1.113355708E0,7.881717794E-3
1.123294708E0,-1.497873925E-3
1.133233708E0,9.032851830E-4
1.143171708E0,3.224739432E-3
1.153110708E0,-4.835281894E-4
1.163048708E0,5.584127493E-3
1.172987708E0,3.487206325E-3
1.182926708E0,1.069780994E-2
1.192864708E0,1.007511802E-2
1.202803708E0,-4.574788436E-3
1.212742708E0,7.389930412E-3
1.222680708E0,1.084716976E-2
1.232619708E0,7.048453018E-4
1.242557708E0,4.548512511E-3
1.252496708E0,4.104708843E-3
1.262435708E0,9.265680648E-3
1.272373917E0,1.332993407E-2
1.282312917E0,9.737514406E-3
1.292250917E0,8.171154968E-3
1.302189917E0,2.291487269E-3
1.312128917E0,2.104595639E-3
1.322066917E0,-1.092490118E-2
1.332005917E0,-4.709566757E-4
1.341944917E0,1.992000192E-3
1.351882917E0,-9.326308966E-5
1.361821917E0,-7.318886742E-3
1.371759917E0,7.055835128E-3
1.381698917E0,1.199899815E-2
1.391637917E0,5.035804845E-3
1.401575917E0,7.348159365E-3
1.411514917E0,1.020894617E-2
1.421453917E0,1.599396206E-3
1.431391917E0,1.740496829E-3
1.441330917E0,3.416528106E-3
1.451268917E0,7.890890613E-3
1.461207917E0,-1.665798649E-3
1.471146917E0,8.021173887E-3
1.481084917E0,3.886717334E-3
1.491023917E0,5.192254409E-3
1.500961917E0,4.060087278E-3
1.510900917E0,6.303079203E-3
1.520839917E0,2.119177133E-3
1.530777917E0,-8.845010027E-4
1.540716917E0,6.681576781E-3
1.550655917E0,1.115721837E-2
1.560593917E0,5.042273328E-3
1.570532917E0,3.361783549E-3
1.580470917E0,2.645207271E-3
1.590409917E0,6.125287302E-3
1.600348917E0,9.001788497E-4
1.610286917E0,5.268414393E-3
1.620225917E0,5.851856880E-3
1.630163917E0,3.602177203E-3
1.640102917E0,6.395721026E-3
1.650041917E0,6.851548031E-3
1.659979917E0,5.721756332E-3
1.669918917E0,3.329002596E-3
1.679857917E0,1.341234326E-2
1.689795917E0,1.185979787E-2
1.699734917E0,1.070175681E-2
1.709672917E0,2.654307000E-3
1.719611917E0,1.396925401E-2
1.729550917E0,4.525671825E-3
1.739488917E0,8.496004343E-3
1.749427917E0,8.377086595E-3
1.759366917E0,5.495651811E-4
1.769304917E0,1.735819057E-3
1.779243917E0,6.875850521E-3
1.789181917E0,2.187333740E-3
1.799120917E0,2.478598170E-3
1.809059917E0,4.071050808E-3
1.818997917E0,5.615556277E-3
1.828936917E0,8.042516224E-3
1.838875917E0,5.376295522E-3
1.848813917E0,3.213812448E-3
1.858752917E0,-4.132665843E-3
1.868690917E0,1.638309427E-2
1.878629917E0,-2.165625952E-3
1.888568917E0,2.509990409E-3
1.898506917E0,9.045532979E-3
1.908445917E0,1.655032463E-2
1.918383917E0,2.169243917E-3
1.928322917E0,6.328222230E-3
1.938261917E0,7.909674793E-3
1.948199917E0,9.226394668E-3
1.958138917E0,4.882498160E-3
1.968077917E0,2.235171273E-3
1.978015917E0,6.965386011E-3
1.987954917E0,1.202874586E-2
1.997892917E0,-1.571512297E-3
2.007831917E0,6.745859608E-4
2.017770917E0,3.974352479E-3
2.027708917E0,1.023138486E-2
2.037647917E0,6.790408082E-3
2.047586917E0,4.243689850E-3
2.057524917E0,7.479063906E-3
2.067463917E0,4.386288822E-3
2.077401917E0,6.017917804E-3
2.087340917E0,1.436134636E-2
2.097279917E0,4.196363948E-3
2.107217917E0,9.347870573E-4
2.117156917E0,4.184194431E-3
2.127095917E0,6.332680732E-3
2.137033917E0,4.089286812E-3
2.146972917E0,1.962252483E-3
2.156910917E0,3.451501764E-3
2.166849917E0,4.438950308E-3
2.176788917E0,1.234537259E-2
2.186726917E0,8.549725637E-3
2.196665917E0,-1.265922189E-4
2.206603917E0,7.403781004E-3
2.216542917E0,7.693364359E-3
2.226481917E0,1.182964817E-4
2.236419917E0,1.528268483E-2
2.246358917E0,1.709703930E-2
2.256297917E0,5.436010212E-3
2.266235917E0,2.546937503E-3
2.276174417E0,9.081200995E-3
2.286112417E0,1.282842569E-3
2.296051417E0,6.794391498E-3
2.305990417E0,2.843172066E-3
2.315928417E0,2.641114220E-4
2.325867417E0,3.936491758E-3
2.335806417E0,3.515382595E-3
2.345744417E0,1.391973540E-2
2.355683417E0,2.021455541E-3
2.365621417E0,1.091017351E-3
2.375560417E0,-6.221072003E-3
2.385499417E0,4.432262555E-3
2.395437417E0,2.270071842E-3
2.405376417E0,8.359654583E-3
2.415315417E0,4.663154483E-3
2.425253417E0,6.718121879E-3
2.435192417E0,2.686722502E-3
2.445130417E0,7.164337523E-3
2.455069417E0,8.076503165E-3
2.465008417E0,7.975967601E-4
2.474946417E0,2.708137929E-3
2.484885417E0,6.591383480E-3
2.494824417E0,7.078931630E-3
2.504762417E0,5.002731532E-3
2.514701417E0,7.450485639E-3
2.524639417E0,2.035306133E-3
2.534578417E0,2.763942294E-3
2.544517417E0,1.607812542E-2
2.554455417E0,6.469213217E-3
2.564394417E0,2.909318693E-3
2.574333417E0,9.735358246E-3
2.584271417E0,7.238414437E-3
2.594210417E0,2.098382972E-3
2.604148417E0,2.491279319E-4
2.614087417E0,-1.781829335E-3
2.624026417E0,5.827773660E-3
2.633964417E0,6.439977139E-3
2.643903417E0,1.131790716E-2
2.653841417E0,5.988206640E-3
2.663780417E0,-2.104157098E-3
2.673719417E0,4.145054631E-3
2.683657417E0,1.883022711E-3
2.693596417E0,4.247819446E-3
2.703535417E0,9.967711978E-3
2.713473417E0,5.852478147E-3
2.723412417E0,-1.964299008E-4
2.733350417E0,1.038012341E-2
2.743289417E0,2.450823896E-3
2.753228417E0,4.296972603E-3
2.763166417E0,-1.212420166E-3
2.773105417E0,-9.620131552E-4
2.783044417E0,-4.249573611E-3
2.792982417E0,-5.580801889E-3
2.802921417E0,3.121316805E-4
2.812859417E0,5.999206714E-3
2.822798417E0,1.430382438E-2
2.832737417E0,4.347075932E-3
2.842675417E0,-1.197400130E-3
2.852614417E0,4.629496448E-3
