Time (s),Linear Acceleration y (m/s^2)
3.004816663E-2,2.684509240E-2
3.998616664E-2,2.606219133E-2
4.992416664E-2,2.794211228E-2
5.986316665E-2,2.360588111E-2
6.980216666E-2,2.584868574E-2
7.974016666E-2,2.782250474E-2
8.967916667E-2,2.379036533E-2
9.961716668E-2,1.907938245E-2
1.095561666E-1,2.614992241E-2
1.194951666E-1,2.509292398E-2
1.294331666E-1,3.191018357E-2
1.393721666E-1,2.852009584E-2
1.493101666E-1,2.987757721E-2
1.592491666E-1,2.652584813E-2
1.691881666E-1,2.846166023E-2
1.791261666E-1,1.840951080E-2
1.890651666E-1,2.838938316E-2
1.990041666E-1,2.227494519E-2
2.089421666E-1,2.265875094E-2
2.188811667E-1,1.927562962E-2
2.288191667E-1,2.204975429E-2
2.387581667E-1,2.018732931E-2
2.486971667E-1,2.517667620E-2
2.586351667E-1,2.007156815E-2
2.685741666E-1,1.685120956E-2
2.785127083E-1,1.985418877E-2
2.884507083E-1,2.858162408E-2
2.983897083E-1,3.016180670E-2
3.083277083E-1,2.489314563E-2
3.182667083E-1,1.861567541E-2
3.282057083E-1,1.791241982E-2
3.381437083E-1,1.519182001E-2
3.480827083E-1,1.805520151E-2
3.580207083E-1,2.188402684E-2
3.679597083E-1,1.048177360E-2
3.778987083E-1,9.748752024E-3
3.878367083E-1,2.282871762E-2
3.977757083E-1,1.392126573E-2
4.077147082E-1,1.182097327E-2
4.176527082E-1,1.651596311E-2
4.275917083E-1,1.308658940E-2
4.375297083E-1,1.209250792E-2
4.474687083E-1,7.853482137E-3
4.574077083E-1,1.753651237E-2
4.673457083E-1,1.064056661E-2
4.772847083E-1,1.002908033E-2
4.872227083E-1,2.092891158E-2
4.971617083E-1,1.197934602E-2
5.071007083E-1,1.831812979E-2
5.170387083E-1,9.527380094E-3
5.269777083E-1,1.715557541E-2
5.369167083E-1,2.471849204E-2
5.468547083E-1,1.659938643E-2
5.567937082E-1,1.401518206E-2
5.667317082E-1,8.995009381E-3
5.766707083E-1,1.922247478E-2
5.866097083E-1,1.610770868E-2
5.965477083E-1,1.201584544E-2
6.064867083E-1,1.502421048E-2
6.164257083E-1,1.730982313E-2
6.263637083E-1,1.144416134E-2
6.363027083E-1,1.553311924E-2
6.462407083E-1,1.694937883E-2
6.561797083E-1,1.067125993E-2
6.661187083E-1,1.680835130E-2
6.760567083E-1,1.563124283E-2
6.859957083E-1,1.669510718E-2
6.959337083E-1,1.190552493E-2
7.058727083E-1,1.187842674E-2
7.158117082E-1,9.758591792E-3
7.257497082E-1,1.281134999E-2
7.356887083E-1,4.266612763E-3
7.456277083E-1,1.017682303E-2
7.555657083E-1,8.810557136E-3
7.655047083E-1,9.818306481E-3
7.754427083E-1,1.165988705E-2
7.853817083E-1,1.108360740E-2
7.953207083E-1,1.637714655E-2
8.052587083E-1,1.036717731E-2
8.151977083E-1,9.606628139E-3
8.251357083E-1,1.490871884E-2
8.350747083E-1,1.966885488E-2
8.450137083E-1,9.114356535E-3
8.549517083E-1,1.254346529E-2
8.648907082E-1,1.590073552E-2
8.748297082E-1,7.091886867E-3
8.847677083E-1,4.837081740E-3
8.947067083E-1,-1.118745944E-3
9.046447083E-1,2.607858181E-4
9.145837083E-1,1.461751836E-2
9.245227083E-1,1.344606525E-2
9.344607083E-1,1.362588541E-2
9.443997083E-1,1.643752819E-2
9.543377083E-1,1.680276903E-2
9.642767083E-1,6.254145317E-3
9.742157083E-1,9.828383792E-3
9.841537083E-1,8.398830928E-3
9.940927083E-1,1.419859277E-3
1.004031708E0,2.304515596E-3
1.013969708E0,9.870428927E-3
1.023908708E0,5.392366229E-3
1.033846708E0,1.633008560E-3
1.043785708E0,6.818840168E-3
1.053724708E0,6.477965768E-3
1.063662708E0,1.627472891E-2
1.073601708E0,1.134938163E-2
1.083539708E0,6.972000673E-3
1.093478708E0,7.636673776E-3
1.103417708E0,-3.474525176E-4
1.113355708E0,6.574563598E-3
1.123294708E0,9.139865013E-3
1.133233708E0,3.341829926E-3
1.143171708E0,4.347697198E-3
1.153110708E0,9.572449336E-3
1.163048708E0,9.992416464E-3
1.172987708E0,5.426270943E-3
1.182926708E0,1.309025304E-2
1.192864708E0,9.197642813E-3
1.202803708E0,1.603900390E-2
1.212742708E0,8.602103898E-3
1.222680708E0,7.240881231E-3
1.232619708E0,7.006170340E-3
1.242557708E0,1.174668166E-2
1.252496708E0,8.411886664E-3
1.262435708E0,9.744640701E-3
1.272373917E0,9.707931150E-3
1.282312917E0,1.743415869E-2
1.292250917E0,6.734475810E-3
1.302189917E0,7.440746371E-3
1.312128917E0,1.219040310E-2
1.322066917E0,8.492550831E-3
1.332005917E0,6.160142189E-3
1.341944917E0,7.840038110E-3
1.351882917E0,1.445128385E-2
1.361821917E0,4.841056019E-3
1.371759917E0,6.214649202E-3
1.381698917E0,1.208825042E-2
1.391637917E0,1.349230394E-2
1.401575917E0,2.125380663E-3
1.411514917E0,8.123125574E-3
1.421453917E0,6.615676833E-3
1.431391917E0,1.439185238E-2
1.441330917E0,9.826812353E-3
1.451268917E0,3.702630540E-3
1.461207917E0,4.195258459E-3
1.471146917E0,2.431701673E-3
1.481084917E0,7.803292014E-5
1.491023917E0,8.167281188E-3
1.500961917E0,1.572580327E-2
1.510900917E0,1.189989698E-2
1.520839917E0,5.088448059E-3
1.530777917E0,5.452857502E-3
1.540716917E0,8.492532559E-3
1.550655917E0,7.067474741E-3
1.560593917E0,1.060426363E-2
1.570532917E0,7.956132749E-3
1.580470917E0,1.510309308E-2
1.590409917E0,1.080608393E-2
1.600348917E0,-1.289676502E-4
1.610286917E0,1.093012713E-2
1.620225917E0,6.473900126E-3
1.630163917E0,5.834945636E-3
1.640102917E0,6.922134887E-3
1.650041917E0,8.118794980E-3
1.659979917E0,2.408358492E-3
1.669918917E0,9.743836708E-3
1.679857917E0,1.123327785E-2
1.689795917E0,6.482469952E-3
1.699734917E0,8.527451400E-3
1.709672917E0,8.029789394E-3
1.719611917E0,6.281188689E-4
1.729550917E0,5.549418787E-3
1.739488917E0,1.456003292E-2
1.749427917E0,1.668722257E-3
1.759366917E0,7.176443087E-3
1.769304917E0,1.329655926E-2
1.779243917E0,8.386579184E-3
1.789181917E0,6.859405227E-3
1.799120917E0,1.429747467E-2
1.809059917E0,9.967346527E-3
1.818997917E0,3.311113771E-3
1.828936917E0,6.003619535E-3
1.838875917E0,3.913788116E-3
1.848813917E0,6.005647788E-3
1.858752917E0,-9.731959552E-5
1.868690917E0,-2.139907340E-3
1.878629917E0,9.129001983E-3
1.888568917E0,3.397762198E-3
1.898506917E0,1.101827390E-2
1.908445917E0,1.227463955E-2
1.918383917E0,-1.966080582E-3
1.928322917E0,2.267595911E-3
1.938261917E0,2.166521307E-3
1.948199917E0,-2.560897730E-4
1.958138917E0,1.899952227E-3
1.968077917E0,7.342924280E-3
1.978015917E0,1.012367732E-2
1.987954917E0,1.738093989E-3
1.997892917E0,6.404327396E-3
2.007831917E0,2.005503606E-3
2.017770917E0,4.691915475E-3
2.027708917E0,1.108173447E-2
2.037647917E0,5.378945041E-3
2.047586917E0,8.042360907E-3
2.057524917E0,5.210325960E-3
2.067463917E0,2.463532453E-3
2.077401917E0,-2.822469268E-4
2.087340917E0,2.708064839E-3
2.097279917E0,3.419113671E-3
2.107217917E0,7.586689219E-3
2.117156917E0,6.399037493E-3
2.127095917E0,1.231626442E-2
2.137033917E0,1.050210181E-2
2.146972917E0,1.814272245E-3
2.156910917E0,-1.840091357E-3
2.166849917E0,-1.409407379E-3
2.176788917E0,6.371592125E-3
2.186726917E0,8.109211028E-3
2.196665917E0,4.932976076E-3
2.206603917E0,5.165265854E-3
2.216542917E0,-7.926174905E-4
2.226481917E0,8.978089001E-3
2.236419917E0,9.808183489E-3
2.246358917E0,1.291889308E-2
2.256297917E0,5.349361785E-3
2.266235917E0,9.033290371E-3
2.276174417E0,8.012147248E-4
2.286112417E0,4.492342696E-3
2.296051417E0,1.123194396E-2
2.305990417E0,1.060635583E-2
2.315928417E0,5.856306246E-3
2.325867417E0,5.860563749E-3
2.335806417E0,6.928731278E-3
2.345744417E0,5.560829993E-3
2.355683417E0,7.852792349E-3
2.365621417E0,6.971096182E-3
2.375560417E0,1.276654570E-2
2.385499417E0,9.000326693E-3
2.395437417E0,4.223507820E-3
2.405376417E0,4.364581034E-4
2.415315417E0,1.976386299E-3
2.425253417E0,1.615485186E-3
2.435192417E0,1.207669303E-3
2.445130417E0,3.797254935E-3
2.455069417E0,1.044915710E-3
2.465008417E0,5.151168583E-3
2.474946417E0,9.197679358E-3
2.484885417E0,6.772363940E-3
2.494824417E0,7.030655555E-3
2.504762417E0,-2.037325250E-3
2.514701417E0,-2.532392554E-4
2.524639417E0,8.925473196E-3
2.534578417E0,1.462626178E-3
2.544517417E0,2.605647203E-3
2.554455417E0,-4.442550000E-3
2.564394417E0,4.525744915E-3
2.574333417E0,5.101019572E-3
2.584271417E0,3.872373383E-3
2.594210417E0,2.215007516E-3
2.604148417E0,2.613129811E-3
2.614087417E0,4.925502604E-3
2.624026417E0,7.187598478E-4
2.633964417E0,1.262175403E-2
2.643903417E0,7.598401923E-3
2.653841417E0,7.434615931E-3
2.663780417E0,-4.255850231E-3
2.673719417E0,1.106168034E-2
2.683657417E0,9.361456214E-3
2.693596417E0,-4.499980621E-4
2.703535417E0,1.377558326E-3
2.713473417E0,7.398874825E-3
2.723412417E0,-4.669403695E-3
2.733350417E0,6.159941191E-3
2.743289417E0,6.699904148E-3
2.753228417E0,2.078036489E-3
2.763166417E0,6.403432041E-3
2.773105417E0,9.959818237E-4
2.783044417E0,1.629829137E-3
2.792982417E0,6.608623629E-3
2.802921417E0,5.757817207E-3
2.812859417E0,2.413712349E-3
2.822798417E0,9.478592388E-3
2.832737417E0,3.121289397E-3
2.842675417E0,4.988095220E-3
2.852614417E0,1.702151885E-3
2.862553417E0,3.291891050E-3
2.872491417E0,3.434700156E-3
2.882430417E0,4.611333534E-3
2.892368417E0,6.108942507E-3
2.902307417E0,5.928172180E-3
2.912246417E0,6.713654241E-3
2.922184417E0,-1.702215839E-3
2.932123417E0,3.799456777E-3
2.942062417E0,-1.449378580E-4
2.952000417E0,7.292528590E-3
2.961939417E0,8.563740682E-3
2.971877417E0,6.670668069E-3
2.981816417E0,6.426455453E-3
2.991755417E0,5.616287179E-3
3.001693417E0,1.220139404E-2
3.011632417E0,7.997072395E-3
3.021571417E0,1.345205865E-2
3.031509417E0,9.380733753E-3
3.041448417E0,1.936890185E-5
3.051386417E0,-2.631548541E-3
3.061325417E0,-7.552501280E-4
3.071264417E0,-7.620931976E-4
3.081202417E0,-2.454140363E-3
3.091141417E0,2.999740401E-3
3.101080417E0,4.164761575E-3
3.111018417E0,4.485051949E-3
3.120957417E0,1.079546758E-2
3.130895417E0,4.054815648E-3
3.140834417E0,1.201135953E-2
3.150773417E0,1.266661313E-2
3.160711417E0,8.539036196E-3
3.170650417E0,1.007728332E-2
3.180589417E0,3.965271022E-3
3.190527417E0,1.118490128E-3
3.200466417E0,7.368871300E-3
3.210404417E0,3.587367302E-3
3.220343417E0,1.441749791E-3
3.230282417E0,5.993578769E-3
3.240220417E0,4.512049640E-3
3.250159417E0,9.640048631E-3
3.260098417E0,7.803885872E-3
3.270036417E0,1.006472094E-2
3.279975583E0,6.417291770E-3
3.289913583E0,2.001392283E-3
3.299852583E0,3.838697076E-3
3.309791583E0,4.066720214E-3
3.319729583E0,6.427533533E-3
3.329668583E0,6.928201374E-3
3.339607583E0,6.462635100E-4
3.349545583E0,1.605234286E-3
3.359484583E0,9.611689635E-3
3.369422583E0,7.657148167E-3
3.379361583E0,2.678801352E-3
3.389300583E0,3.810264990E-3
3.399238583E0,7.600832172E-3
3.409177583E0,1.115686205E-2
3.419116583E0,2.283538710E-3
3.429054583E0,4.403940104E-3
3.438993583E0,5.592404958E-3
3.448931583E0,4.169813935E-3
3.458870583E0,5.430811672E-3
3.468809583E0,7.091329554E-3
3.478747583E0,5.416805763E-3
3.488686583E0,5.835566903E-3
3.498625583E0,1.220304770E-3
3.508563583E0,5.538510075E-3
3.518502583E0,4.853463080E-4
3.528440583E0,4.455304239E-3
3.538379583E0,2.574483370E-3
3.548318583E0,5.296079032E-3
3.558256583E0,5.229110140E-3
3.568195583E0,5.495989854E-3
3.578134583E0,-2.235134728E-3
3.588072583E0,5.786386337E-3
3.598011583E0,1.170561410E-2
3.607949583E0,5.186133105E-3
3.617888583E0,5.924846577E-3
3.627827583E0,6.121605383E-3
3.637765583E0,5.055466108E-4
3.647704583E0,1.815231554E-3
3.657643583E0,4.094531033E-3
3.667581583E0,8.961497527E-4
3.677520583E0,4.701024340E-3
3.687459583E0,8.167911591E-3
3.697397583E0,1.012428945E-2
3.707336583E0,2.655732259E-4
3.717274583E0,-1.349665280E-3
3.727213583E0,1.008546028E-2
3.737152583E0,9.818187710E-3
3.747090583E0,3.999842685E-3
3.757029583E0,6.154267564E-3
3.766968583E0,-6.911408901E-4
3.776906583E0,6.134670256E-3
3.786845583E0,1.680215690E-3
3.796783583E0,-1.327491542E-3
3.806722583E0,4.004630093E-3
3.816661583E0,-1.676058685E-3
3.826599583E0,1.685861908E-3
3.836538583E0,9.621355813E-3
