Time (s),Linear Acceleration z (m/s^2)
3.004816663E-2,8.474545062E-2
3.998616664E-2,9.147442639E-2
4.992416664E-2,7.739783943E-2
5.986316665E-2,8.114765882E-2
6.980216666E-2,7.920287490E-2
7.974016666E-2,8.518866956E-2
8.967916667E-2,8.398355842E-2
9.961716668E-2,8.218320072E-2
1.095561666E-1,7.739316165E-2
1.194951666E-1,8.667210817E-2
1.294331666E-1,9.400685549E-2
1.393721666E-1,8.502553225E-2
1.493101666E-1,7.304984987E-2
1.592491666E-1,8.248082399E-2
1.691881666E-1,8.787312627E-2
1.791261666E-1,7.948938847E-2
1.890651666E-1,9.206265628E-2
1.990041666E-1,8.277961671E-2
2.089421666E-1,7.694351077E-2
2.188811667E-1,7.963966191E-2
2.288191667E-1,7.934320807E-2
2.387581667E-1,8.173471928E-2
2.486971667E-1,9.236086428E-2
2.586351667E-1,8.293573737E-2
2.685741666E-1,8.368067265E-2
2.785127083E-1,9.430155516E-2
2.884507083E-1,9.041549563E-2
2.983897083E-1,8.726969361E-2
3.083277083E-1,8.592015624E-2
3.182667083E-1,7.274345577E-2
3.282057083E-1,7.933209836E-2
3.381437083E-1,8.247731566E-2
3.480827083E-1,7.962972164E-2
3.580207083E-1,9.160540402E-2
3.679597083E-1,9.101483524E-2
3.778987083E-1,7.424852908E-2
3.878367083E-1,8.053545535E-2
3.977757083E-1,8.248550177E-2
4.077147082E-1,8.876833498E-2
4.176527082E-1,8.457646608E-2
4.275917083E-1,9.401621103E-2
4.375297083E-1,8.518691540E-2
4.474687083E-1,8.727963388E-2
4.574077083E-1,8.667386234E-2
4.673457083E-1,9.191413701E-2
4.772847083E-1,8.023724735E-2
4.872227083E-1,7.904090703E-2
4.971617083E-1,8.053720951E-2
5.071007083E-1,8.622304201E-2
5.170387083E-1,8.067929685E-2
5.269777083E-1,9.280057490E-2
5.369167083E-1,8.097341180E-2
5.468547083E-1,8.681887329E-2
5.567937082E-1,8.038050413E-2
5.667317082E-1,7.424385130E-2
5.766707083E-1,8.636279047E-2
5.866097083E-1,8.217092156E-2
5.965477083E-1,8.067286491E-2
6.064867083E-1,8.261823356E-2
6.164257083E-1,7.602666736E-2
6.263637083E-1,8.456243277E-2
6.363027083E-1,9.354960322E-2
6.462407083E-1,9.190419674E-2
6.561797083E-1,8.112543941E-2
6.661187083E-1,8.381866693E-2
6.760567083E-1,7.858307004E-2
6.859957083E-1,9.160189569E-2
6.959337083E-1,9.399165273E-2
7.058727083E-1,8.815437734E-2
7.158117082E-1,7.528465569E-2
7.257497082E-1,7.109921873E-2
7.356887083E-1,7.888303220E-2
7.456277083E-1,8.143007934E-2
7.555657083E-1,7.963439941E-2
7.655047083E-1,8.367657959E-2
7.754427083E-1,7.455083013E-2
7.853817083E-1,8.368593514E-2
7.953207083E-1,7.411053479E-2
8.052587083E-1,8.249602675E-2
8.151977083E-1,8.444256485E-2
8.251357083E-1,9.866942525E-2
8.350747083E-1,8.444958150E-2
8.450137083E-1,8.190428853E-2
8.549517083E-1,8.175050676E-2
8.648907082E-1,8.084945083E-2
8.748297082E-1,7.426080823E-2
8.847677083E-1,8.159847915E-2
8.947067083E-1,8.249368787E-2
9.046447083E-1,8.892562509E-2
9.145837083E-1,9.356656015E-2
9.245227083E-1,8.608914077E-2
9.344607083E-1,9.192758560E-2
9.443997083E-1,8.129559338E-2
9.543377083E-1,8.040506244E-2
9.642767083E-1,7.606642842E-2
9.742157083E-1,8.025537372E-2
9.841537083E-1,7.590913832E-2
9.940927083E-1,7.965427995E-2
1.004031708E0,8.623941422E-2
1.013969708E0,8.174816787E-2
1.023908708E0,8.938053846E-2
1.033846708E0,8.893088758E-2
1.043785708E0,9.506987929E-2
1.053724708E0,9.372209609E-2
1.063662708E0,8.234166026E-2
1.073601708E0,7.964550912E-2
1.083539708E0,8.727671027E-2
1.093478708E0,8.832979381E-2
1.103417708E0,8.862800181E-2
1.113355708E0,8.428059697E-2
1.123294708E0,8.143417239E-2
1.133233708E0,7.439763308E-2
1.143171708E0,7.739550054E-2
1.153110708E0,7.964784801E-2
1.163048708E0,7.515484750E-2
1.172987708E0,7.454966068E-2
1.182926708E0,8.712351322E-2
1.192864708E0,9.056752324E-2
1.202803708E0,8.247497678E-2
1.212742708E0,8.232528806E-2
1.222680708E0,7.768318355E-2
1.232619708E0,8.052609980E-2
1.242557708E0,7.858423948E-2
1.252496708E0,8.262583494E-2
1.262435708E0,8.875956416E-2
1.272373917E0,8.411862910E-2
1.282312917E0,7.858073115E-2
1.292250917E0,8.216975212E-2
1.302189917E0,8.351928949E-2
1.312128917E0,8.336433828E-2
1.322066917E0,8.022087514E-2
1.332005917E0,8.635168076E-2
1.341944917E0,8.815145373E-2
1.351882917E0,8.770881951E-2
1.361821917E0,8.756146967E-2
1.371759917E0,7.857956171E-2
1.381698917E0,8.786026239E-2
1.391637917E0,8.501910031E-2
1.401575917E0,8.067520380E-2
1.411514917E0,7.827901483E-2
1.421453917E0,7.992208242E-2
1.431391917E0,8.022321403E-2
1.441330917E0,8.186920524E-2
1.451268917E0,8.696037591E-2
1.461207917E0,8.785850823E-2
1.471146917E0,7.947769403E-2
1.481084917E0,9.309585929E-2
1.491023917E0,8.036822498E-2
1.500961917E0,8.141370714E-2
1.510900917E0,7.647514880E-2
1.520839917E0,8.515826404E-2
1.530777917E0,9.593702137E-2
1.540716917E0,8.335907578E-2
1.550655917E0,8.260303080E-2
1.560593917E0,7.960867167E-2
1.570532917E0,7.855617285E-2
1.580470917E0,8.903321385E-2
1.590409917E0,8.738546848E-2
1.600348917E0,8.020157933E-2
1.610286917E0,8.933142185E-2
1.620225917E0,7.121323943E-2
1.630163917E0,7.735106170E-2
1.640102917E0,8.707673550E-2
1.650041917E0,8.377598226E-2
1.659979917E0,8.587571740E-2
