"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
3.004816663E-2,-3.232413903E-3,2.684509240E-2,8.474545062E-2,8.895447648E-2
3.998616664E-2,5.565818399E-5,2.606219133E-2,9.147442639E-2,9.511472861E-2
4.992416664E-2,1.830324680E-3,2.794211228E-2,7.739783943E-2,8.230757726E-2
5.986316665E-2,1.969926953E-3,2.360588111E-2,8.114765882E-2,8.453437625E-2
6.980216666E-2,3.604077548E-3,2.584868574E-2,7.920287490E-2,8.339208189E-2
7.974016666E-2,-4.305524155E-3,2.782250474E-2,8.518866956E-2,8.972033621E-2
8.967916667E-2,-2.360849865E-3,2.379036533E-2,8.398355842E-2,8.732006172E-2
9.961716668E-2,-2.427435033E-3,1.907938245E-2,8.218320072E-2,8.440375439E-2
1.095561666E-1,-4.685812443E-3,2.614992241E-2,7.739316165E-2,8.182589291E-2
1.194951666E-1,-5.845900029E-3,2.509292398E-2,8.667210817E-2,9.042059343E-2
1.294331666E-1,1.474119611E-3,3.191018357E-2,9.400685549E-2,9.928606006E-2
1.393721666E-1,-6.223264709E-4,2.852009584E-2,8.502553225E-2,8.968346721E-2
1.493101666E-1,4.182257541E-3,2.987757721E-2,7.304984987E-2,7.903443214E-2
1.592491666E-1,-3.314092197E-3,2.652584813E-2,8.248082399E-2,8.670461437E-2
1.691881666E-1,-8.299391717E-5,2.846166023E-2,8.787312627E-2,9.236752303E-2
1.791261666E-1,6.676021926E-3,1.840951080E-2,7.948938847E-2,8.186600171E-2
1.890651666E-1,-1.625343226E-3,2.838938316E-2,9.206265628E-2,9.635419814E-2
1.990041666E-1,-3.016213104E-3,2.227494519E-2,8.277961671E-2,8.577724446E-2
2.089421666E-1,1.978149600E-3,2.265875094E-2,7.694351077E-2,8.023487970E-2
2.188811667E-1,-1.448501498E-3,1.927562962E-2,7.963966191E-2,8.195196034E-2
2.288191667E-1,-3.243487068E-3,2.204975429E-2,7.934320807E-2,8.241393414E-2
2.387581667E-1,-1.497179568E-3,2.018732931E-2,8.173471928E-2,8.420412191E-2
2.486971667E-1,3.679396994E-3,2.517667620E-2,9.236086428E-2,9.580152524E-2
2.586351667E-1,1.680599414E-3,2.007156815E-2,8.293573737E-2,8.534652187E-2
2.685741666E-1,-5.085908175E-3,1.685120956E-2,8.368067265E-2,8.551189800E-2
2.785127083E-1,-3.399936631E-3,1.985418877E-2,9.430155516E-2,9.642889446E-2
2.884507083E-1,7.313295342E-3,2.858162408E-2,9.041549563E-2,9.510707321E-2
2.983897083E-1,2.624486201E-3,3.016180670E-2,8.726969361E-2,9.237219243E-2
3.083277083E-1,1.970000044E-3,2.489314563E-2,8.592015624E-2,8.947526389E-2
3.182667083E-1,-1.017415524E-2,1.861567541E-2,7.274345577E-2,7.577378942E-2
3.282057083E-1,-7.013406269E-3,1.791241982E-2,7.933209836E-2,8.163102647E-2
3.381437083E-1,4.204842411E-3,1.519182001E-2,8.247731566E-2,8.397011191E-2
3.480827083E-1,6.113483235E-3,1.805520151E-2,7.962972164E-2,8.187953070E-2
3.580207083E-1,8.073506467E-3,2.188402684E-2,9.160540402E-2,9.452852576E-2
3.679597083E-1,-2.812328003E-3,1.048177360E-2,9.101483524E-2,9.165957124E-2
3.778987083E-1,1.915584393E-3,9.748752024E-3,7.424852908E-2,7.491029101E-2
3.878367083E-1,4.664616287E-3,2.282871762E-2,8.053545535E-2,8.383834780E-2
3.977757083E-1,7.320713997E-4,1.392126573E-2,8.248550177E-2,8.365521842E-2
4.077147082E-1,-1.092917696E-3,1.182097327E-2,8.876833498E-2,8.955862423E-2
4.176527082E-1,-5.257304683E-3,1.651596311E-2,8.457646608E-2,8.633420472E-2
4.275917083E-1,-1.819580421E-4,1.308658940E-2,9.401621103E-2,9.492281005E-2
4.375297083E-1,3.717403896E-3,1.209250792E-2,8.518691540E-2,8.612118435E-2
4.474687083E-1,-9.358687922E-3,7.853482137E-3,8.727963388E-2,8.813056627E-2
4.574077083E-1,1.138672158E-3,1.753651237E-2,8.667386234E-2,8.843745956E-2
4.673457083E-1,7.621443607E-3,1.064056661E-2,9.191413701E-2,9.284135200E-2
4.772847083E-1,6.333009638E-3,1.002908033E-2,8.023724735E-2,8.110921850E-2
4.872227083E-1,8.280315176E-3,2.092891158E-2,7.904090703E-2,8.218301493E-2
4.971617083E-1,-4.827607423E-5,1.197934602E-2,8.053720951E-2,8.142327172E-2
5.071007083E-1,-1.538914070E-4,1.831812979E-2,8.622304201E-2,8.814754980E-2
5.170387083E-1,7.084998116E-4,9.527380094E-3,8.067929685E-2,8.124298052E-2
5.269777083E-1,-1.011385582E-3,1.715557541E-2,9.280057490E-2,9.437840521E-2
5.369167083E-1,8.303046227E-5,2.471849204E-2,8.097341180E-2,8.466229480E-2
5.468547083E-1,1.303454004E-3,1.659938643E-2,8.681887329E-2,8.840110509E-2
5.567937082E-1,6.411252692E-3,1.401518206E-2,8.038050413E-2,8.184470010E-2
5.667317082E-1,6.440452226E-3,8.995009381E-3,7.424385130E-2,7.506356690E-2
5.766707083E-1,1.031814292E-3,1.922247478E-2,8.636279047E-2,8.848220021E-2
5.866097083E-1,-1.028671414E-3,1.610770868E-2,8.217092156E-2,8.374112965E-2
5.965477083E-1,-3.843119033E-3,1.201584544E-2,8.067286491E-2,8.165329901E-2
6.064867083E-1,-1.041429307E-2,1.502421048E-2,8.261823356E-2,8.461652863E-2
6.164257083E-1,9.557639435E-4,1.730982313E-2,7.602666736E-2,7.797818676E-2
6.263637083E-1,8.873807564E-3,1.144416134E-2,8.456243277E-2,8.579346318E-2
6.363027083E-1,3.083967716E-3,1.553311924E-2,9.354960322E-2,9.488054023E-2
6.462407083E-1,9.507207200E-3,1.694937883E-2,9.190419674E-2,9.393641365E-2
6.561797083E-1,-2.424547970E-3,1.067125993E-2,8.112543941E-2,8.186019265E-2
6.661187083E-1,1.246852957E-2,1.680835130E-2,8.381866693E-2,8.639186206E-2
6.760567083E-1,-2.374042645E-3,1.563124283E-2,7.858307004E-2,8.015778645E-2
6.859957083E-1,-9.033217281E-4,1.669510718E-2,9.160189569E-2,9.311525056E-2
6.959337083E-1,-2.181742340E-5,1.190552493E-2,9.399165273E-2,9.474266611E-2
7.058727083E-1,1.675410010E-3,1.187842674E-2,8.815437734E-2,8.896683801E-2
7.158117082E-1,7.619250901E-3,9.758591792E-3,7.528465569E-2,7.629588770E-2
7.257497082E-1,7.061426528E-3,1.281134999E-2,7.109921873E-2,7.258852070E-2
7.356887083E-1,-6.083954796E-3,4.266612763E-3,7.888303220E-2,7.923226148E-2
7.456277083E-1,-4.441252649E-3,1.017682303E-2,8.143007934E-2,8.218363750E-2
7.555657083E-1,8.866535090E-3,8.810557136E-3,7.963439941E-2,8.060942210E-2
7.655047083E-1,5.449020267E-3,9.818306481E-3,8.367657959E-2,8.442666011E-2
7.754427083E-1,-1.582037285E-4,1.165988705E-2,7.455083013E-2,7.545730095E-2
7.853817083E-1,5.103522912E-4,1.108360740E-2,8.368593514E-2,8.441825959E-2
7.953207083E-1,-3.164220750E-3,1.637714655E-2,7.411053479E-2,7.596442976E-2
8.052587083E-1,-5.143320523E-3,1.036717731E-2,8.249602675E-2,8.330382069E-2
8.151977083E-1,5.505007356E-3,9.606628139E-3,8.444256485E-2,8.516536366E-2
8.251357083E-1,5.832597613E-3,1.490871884E-2,9.866942525E-2,9.995971474E-2
8.350747083E-1,9.266959727E-3,1.966885488E-2,8.444958150E-2,8.720362499E-2
8.450137083E-1,3.007259555E-3,9.114356535E-3,8.190428853E-2,8.246470508E-2
8.549517083E-1,1.920627616E-3,1.254346529E-2,8.175050676E-2,8.272951521E-2
8.648907082E-1,8.726713546E-3,1.590073552E-2,8.084945083E-2,8.285905272E-2
8.748297082E-1,5.500950851E-3,7.091886867E-3,7.426080823E-2,7.480122297E-2
8.847677083E-1,5.924179628E-3,4.837081740E-3,8.159847915E-2,8.195611670E-2
8.947067083E-1,1.033970453E-2,-1.118745944E-3,8.249368787E-2,8.314667534E-2
9.046447083E-1,1.012997221E-2,2.607858181E-4,8.892562509E-2,8.950112370E-2
9.145837083E-1,7.153410539E-3,1.461751836E-2,9.356656015E-2,9.497128147E-2
9.245227083E-1,-3.266620114E-3,1.344606525E-2,8.608914077E-2,8.719408029E-2
9.344607083E-1,2.723633051E-3,1.362588541E-2,9.192758560E-2,9.297184480E-2
9.443997083E-1,8.681653440E-4,1.643752819E-2,8.129559338E-2,8.294528044E-2
9.543377083E-1,4.620762169E-3,1.680276903E-2,8.040506244E-2,8.227185762E-2
9.642767083E-1,8.922193274E-3,6.254145317E-3,7.606642842E-2,7.684283571E-2
9.742157083E-1,1.017590940E-2,9.828383792E-3,8.025537372E-2,8.149276821E-2
9.841537083E-1,2.181669250E-3,8.398830928E-3,7.590913832E-2,7.640351643E-2
9.940927083E-1,7.833332084E-3,1.419859277E-3,7.965427995E-2,8.005111746E-2
1.004031708E0,9.941728413E-4,2.304515596E-3,8.623941422E-2,8.627592791E-2
1.013969708E0,9.706633799E-3,9.870428927E-3,8.174816787E-2,8.291204410E-2
1.023908708E0,-7.927545346E-3,5.392366229E-3,8.938053846E-2,8.989329366E-2
1.033846708E0,-3.975010291E-4,1.633008560E-3,8.893088758E-2,8.894676773E-2
1.043785708E0,-6.419621520E-3,6.818840168E-3,9.506987929E-2,9.553004800E-2
1.053724708E0,5.083934739E-3,6.477965768E-3,9.372209609E-2,9.408316389E-2
1.063662708E0,6.652779244E-3,1.627472891E-2,8.234166026E-2,8.419783422E-2
1.073601708E0,8.776378334E-3,1.134938163E-2,7.964550912E-2,8.092737734E-2
1.083539708E0,2.377404794E-3,6.972000673E-3,8.727671027E-2,8.758701389E-2
1.093478708E0,2.588050738E-3,7.636673776E-3,8.832979381E-2,8.869706459E-2
1.103417708E0,-4.239487164E-3,-3.474525176E-4,8.862800181E-2,8.873002130E-2
1.113355708E0,7.881717794E-3,6.574563598E-3,8.428059697E-2,8.490327077E-2
1.123294708E0,-1.497873925E-3,9.139865013E-3,8.143417239E-2,8.195916783E-2
1.133233708E0,9.032851830E-4,3.341829926E-3,7.439763308E-2,7.447812806E-2
1.143171708E0,3.224739432E-3,4.347697198E-3,7.739550054E-2,7.758456624E-2
1.153110708E0,-4.835281894E-4,9.572449336E-3,7.964784801E-2,8.022247365E-2
1.163048708E0,5.584127493E-3,9.992416464E-3,7.515484750E-2,7.602158884E-2
1.172987708E0,3.487206325E-3,5.426270943E-3,7.454966068E-2,7.482818274E-2
1.182926708E0,1.069780994E-2,1.309025304E-2,8.712351322E-2,8.874854601E-2
1.192864708E0,1.007511802E-2,9.197642813E-3,9.056752324E-2,9.158919643E-2
1.202803708E0,-4.574788436E-3,1.603900390E-2,8.247497678E-2,8.414451931E-2
1.212742708E0,7.389930412E-3,8.602103898E-3,8.232528806E-2,8.310270944E-2
1.222680708E0,1.084716976E-2,7.240881231E-3,7.768318355E-2,7.877035267E-2
1.232619708E0,7.048453018E-4,7.006170340E-3,8.052609980E-2,8.083338406E-2
1.242557708E0,4.548512511E-3,1.174668166E-2,7.858423948E-2,7.958741227E-2
1.252496708E0,4.104708843E-3,8.411886664E-3,8.262583494E-2,8.315429677E-2
1.262435708E0,9.265680648E-3,9.744640701E-3,8.875956416E-2,8.977232920E-2
1.272373917E0,1.332993407E-2,9.707931150E-3,8.411862910E-2,8.571974586E-2
