Time (s),Absolute acceleration (m/s^2)
2.731554167E-2,1.035155741E-2
3.725454167E-2,1.563023997E-2
4.719254167E-2,2.962099167E-2
5.713154167E-2,1.314052349E-2
6.707054167E-2,2.083967398E-2
7.700954167E-2,4.307570034E-2
8.694854167E-2,3.382885368E-2
9.688754167E-2,2.391433324E-2
1.068265417E-1,2.900997899E-2
1.167645417E-1,3.061790117E-2
1.267035417E-1,1.408712079E-2
1.366425417E-1,3.728624328E-2
1.465815417E-1,2.590599459E-2
1.565205417E-1,2.043343930E-2
1.664595417E-1,3.221041626E-2
1.763985417E-1,3.301174736E-2
1.863375417E-1,1.751858475E-2
1.962755417E-1,2.493374276E-2
2.062145417E-1,3.305474585E-2
2.161535417E-1,3.140246131E-2
2.260925417E-1,3.534519901E-2
2.360315417E-1,2.310077675E-2
2.459705417E-1,2.371671969E-2
2.559095417E-1,2.711533427E-2
2.658485417E-1,2.852985765E-2
2.757865417E-1,2.008473436E-2
2.857255417E-1,8.504945407E-3
2.956645417E-1,2.485144410E-2
3.056035417E-1,2.655014327E-2
3.155425417E-1,2.405919961E-2
3.254815417E-1,2.567259145E-2
3.354205417E-1,1.800413286E-2
3.453595417E-1,2.157824636E-2
3.552975417E-1,4.969370807E-2
3.652365417E-1,1.688594924E-2
3.751755417E-1,3.067013307E-2
3.851145417E-1,2.511566313E-2
3.950535417E-1,3.256963566E-2
4.049920417E-1,2.693504075E-2
4.149310417E-1,3.300657880E-2
4.248700417E-1,3.737365177E-2
4.348080417E-1,4.252664187E-2
4.447470417E-1,2.941651399E-2
4.546860417E-1,9.983590213E-3
4.646250417E-1,1.143909885E-2
4.745640417E-1,2.938155313E-2
4.845030417E-1,3.339274881E-2
4.944420417E-1,2.756607491E-2
5.043800417E-1,2.272950338E-2
5.143190417E-1,2.855380649E-2
5.242580417E-1,3.052973666E-2
5.341970417E-1,1.832417964E-2
5.441360417E-1,2.734837335E-2
5.540750417E-1,1.372375595E-2
5.640140417E-1,1.696669101E-2
5.739530417E-1,2.022269156E-2
5.838910417E-1,3.459110635E-2
5.938300417E-1,3.116328451E-2
6.037690417E-1,2.639032700E-2
6.137080417E-1,3.032111467E-2
6.236470417E-1,3.203955915E-2
6.335860417E-1,2.485191836E-2
6.435250417E-1,2.477191669E-2
6.534640417E-1,2.674614980E-2
6.634020417E-1,3.471063905E-2
6.733410417E-1,1.412499979E-2
6.832800417E-1,1.889837164E-2
6.932190417E-1,3.705317087E-2
7.031580417E-1,2.221110234E-2
7.130970417E-1,2.609933762E-2
7.230360417E-1,3.220624688E-2
7.329750417E-1,1.972759628E-2
7.429130417E-1,2.698525399E-2
7.528520417E-1,2.535178308E-2
7.627910417E-1,3.646700391E-2
7.727300417E-1,2.842220302E-2
7.826690417E-1,2.560244389E-2
7.926080417E-1,4.338368878E-2
8.025470417E-1,4.331004279E-2
8.124850417E-1,2.324802636E-2
8.224240417E-1,2.066775622E-2
8.323630417E-1,2.654481419E-2
8.423020417E-1,2.212818694E-2
8.522410417E-1,3.299750885E-2
8.621800417E-1,3.071944599E-2
8.721190417E-1,3.577824684E-2
8.820580417E-1,3.110321107E-2
8.919960417E-1,2.655818829E-2
9.019350417E-1,2.820108345E-2
9.118740417E-1,2.749088816E-2
9.218130417E-1,2.062717807E-2
9.317520417E-1,3.912738148E-2
9.416910417E-1,2.636458038E-2
9.516300417E-1,3.151393541E-2
9.615690417E-1,2.693448704E-2
9.715070417E-1,1.447878300E-2
9.814460417E-1,2.760408427E-2
9.913850417E-1,2.170585399E-2
1.001324042E0,2.290763711E-2
1.011263042E0,2.590775148E-2
1.021202042E0,3.763675605E-2
1.031141042E0,2.701558463E-2
1.041080042E0,2.188126278E-2
1.051018042E0,1.915711025E-2
1.060957042E0,2.159010725E-2
1.070896042E0,1.997206287E-2
1.080835042E0,2.334800171E-2
1.090774042E0,2.468048633E-2
1.100713042E0,2.417614021E-2
1.110652042E0,3.484491565E-2
1.120591042E0,3.553972388E-2
1.130529042E0,2.714153739E-2
1.140468042E0,2.274910704E-2
1.150407042E0,2.553790128E-2
1.160346042E0,3.799044049E-2
1.170285042E0,3.811884848E-2
1.180224042E0,2.333249825E-2
1.190163042E0,4.160451711E-2
1.200102042E0,2.181444893E-2
1.210040042E0,9.082470545E-3
1.219979042E0,3.733651213E-2
1.229918042E0,3.783726350E-2
1.239857042E0,3.180823524E-2
1.249796042E0,3.112788398E-2
1.259735042E0,2.379311251E-2
1.269674042E0,3.445361368E-2
1.279613042E0,3.686305688E-2
1.289551042E0,2.971317106E-2
1.299490042E0,2.216653746E-2
1.309429042E0,2.017046546E-2
1.319368042E0,2.744097030E-2
1.329307042E0,2.567190752E-2
1.339246042E0,2.217538494E-2
1.349185042E0,1.741133349E-2
1.359124042E0,3.702607589E-2
1.369062042E0,1.977247379E-2
1.379001042E0,2.129864238E-2
1.388940042E0,3.292804718E-2
1.398879042E0,2.545925328E-2
1.408818042E0,3.091608929E-2
1.418757042E0,2.020362467E-2
1.428696042E0,3.737152959E-2
1.438634042E0,2.007800067E-2
1.448573042E0,1.423854013E-2
1.458512042E0,1.500569346E-2
1.468451042E0,3.079512667E-2
1.478390042E0,1.938131891E-2
1.488329042E0,2.928639193E-2
1.498268042E0,3.152827212E-2
1.508207042E0,2.152793006E-2
1.518145042E0,1.567397581E-2
1.528084042E0,3.090281413E-2
1.538023042E0,3.741952942E-2
1.547962042E0,2.888542211E-2
1.557901042E0,1.625847042E-2
1.567840042E0,2.139541737E-2
1.577779042E0,2.937961683E-2
1.587718042E0,3.814744640E-2
1.597656042E0,3.826936182E-2
1.607595042E0,2.800772151E-2
1.617534042E0,1.620843836E-2
1.627473042E0,2.647289715E-2
1.637412042E0,1.995408539E-2
1.647351042E0,2.382869971E-2
1.657290042E0,1.643536862E-2
1.667229042E0,2.304786663E-2
1.677167042E0,3.299843997E-2
1.687106042E0,1.943276157E-2
1.697045042E0,2.730763899E-2
1.706984042E0,2.144175383E-2
1.716923042E0,2.420312586E-2
1.726862042E0,2.132175372E-2
1.736801042E0,1.138460971E-2
1.746740042E0,2.247717627E-2
1.756678042E0,2.607680727E-2
1.766617042E0,2.876732629E-2
1.776556042E0,1.169666790E-2
1.786495042E0,1.212385127E-2
1.796434042E0,2.839423843E-2
1.806373042E0,2.590156062E-2
1.816312042E0,2.485540009E-2
1.826251042E0,1.971206540E-2
1.836189042E0,2.750055160E-2
1.846128042E0,2.050281109E-2
1.856067042E0,4.124675594E-2
1.866006042E0,3.470966288E-2
1.875945042E0,3.871741944E-2
1.885884042E0,2.746822761E-2
1.895823042E0,2.673990379E-2
1.905762042E0,4.129226180E-2
1.915701042E0,3.087076387E-2
1.925639042E0,2.860000287E-2
1.935578042E0,2.220554374E-2
1.945517042E0,1.877456974E-2
1.955456042E0,2.717627194E-2
1.965395042E0,3.481908478E-2
1.975334042E0,2.169834421E-2
1.985273042E0,9.024418741E-3
1.995212042E0,2.319855329E-2
2.005150042E0,2.899432706E-2
2.015089042E0,3.075157480E-2
2.025028042E0,3.089452696E-2
2.034967042E0,4.380030937E-2
2.044906042E0,1.498848147E-2
2.054845042E0,1.533405584E-2
2.064784042E0,2.263987486E-2
2.074723042E0,1.953855611E-2
2.084661042E0,3.541430342E-2
2.094600042E0,2.420443054E-2
2.104539042E0,2.286433331E-2
2.114478042E0,2.404853337E-2
2.124417042E0,2.909460140E-2
2.134356042E0,2.948858357E-2
2.144295042E0,2.206601096E-2
2.154234042E0,3.136363664E-2
2.164172042E0,1.458264442E-2
2.174111042E0,2.031448519E-2
2.184050042E0,2.417934467E-2
2.193989042E0,2.733985392E-2
2.203928042E0,3.161775667E-2
2.213867042E0,2.982112425E-2
2.223806042E0,2.905152705E-2
2.233745042E0,3.999474793E-2
2.243683042E0,3.075971251E-2
2.253622042E0,3.878920451E-2
2.263561042E0,1.983073022E-2
2.273500042E0,4.203356344E-2
2.283439042E0,2.621368155E-2
2.293378042E0,2.928643445E-2
2.303317042E0,3.317929651E-2
2.313256042E0,2.768729879E-2
2.323195042E0,3.595343980E-2
2.333133042E0,3.242632381E-2
2.343072042E0,2.137545665E-2
2.353011042E0,3.552110904E-2
2.362950042E0,3.885675210E-2
2.372889042E0,2.962787007E-2
2.382828042E0,2.993415446E-2
2.392767042E0,1.793823256E-2
2.402706167E0,2.019707696E-2
2.412644167E0,2.641383424E-2
2.422583167E0,2.740085364E-2
2.432522167E0,1.919640521E-2
2.442461167E0,2.504558803E-2
2.452400167E0,3.480189021E-2
2.462339167E0,2.256500270E-2
2.472278167E0,1.410176601E-2
2.482217167E0,3.307553014E-2
2.492156167E0,1.910683704E-2
2.502094167E0,1.778885762E-2
2.512033167E0,3.817402261E-2
2.521972167E0,3.180769233E-2
2.531911167E0,3.029414034E-2
2.541850167E0,2.589610517E-2
2.551789167E0,2.136149258E-2
2.561728167E0,2.406113327E-2
2.571667167E0,2.522403698E-2
2.581605167E0,2.145665190E-2
2.591544167E0,3.080746654E-2
2.601483167E0,3.136035649E-2
2.611422167E0,3.766542594E-2
2.621361167E0,3.959488823E-2
2.631300167E0,1.898987372E-2
2.641239167E0,1.889293723E-2
2.651178167E0,3.767940618E-2
2.661116167E0,2.711562937E-2
2.671055167E0,3.711616680E-2
2.680994167E0,4.219337357E-2
2.690933167E0,2.644412483E-2
2.700872167E0,2.708221523E-2
2.710811167E0,4.013695943E-2
2.720750167E0,3.702915073E-2
2.730689167E0,2.526429175E-2
2.740628167E0,1.924453143E-2
2.750566167E0,2.194382006E-2
2.760505167E0,3.292793809E-2
2.770444167E0,2.982174868E-2
2.780383167E0,1.807812576E-2
2.790322167E0,3.497193738E-2
2.800261167E0,3.731860697E-2
2.810200167E0,3.382492028E-2
2.820139167E0,1.641496216E-2
2.830077167E0,3.484894560E-2
2.840016167E0,2.594906750E-2
2.849955167E0,2.036534395E-2
2.859894167E0,3.585199044E-2
2.869833167E0,3.913806967E-2
2.879772167E0,3.983815855E-2
2.889711167E0,3.279417326E-2
2.899650167E0,2.579965782E-2
2.909589167E0,3.238178487E-2
2.919527167E0,3.565931813E-2
2.929466167E0,2.838561108E-2
2.939405167E0,1.764508081E-2
2.949344167E0,3.614849361E-2
2.959283167E0,3.206960329E-2
2.969222167E0,1.812847185E-2
2.979161167E0,2.738155744E-2
2.989100167E0,3.330716838E-2
2.999038167E0,1.575770619E-2
3.008977167E0,1.361931325E-2
3.018916167E0,1.553980933E-2
3.028855167E0,3.121101651E-2
3.038794167E0,3.937076060E-2
3.048733167E0,2.330384225E-2
3.058672167E0,2.984163753E-2
3.068611167E0,2.638077073E-2
3.078550167E0,3.256576794E-2
3.088488167E0,2.834015936E-2
3.098427167E0,1.066102319E-2
3.108366167E0,1.767103411E-2
3.118305167E0,2.798668622E-2
3.128244167E0,3.319745533E-2
3.138183167E0,2.269090078E-2
3.148122167E0,3.230628315E-2
3.158061167E0,3.236139236E-2
3.168000167E0,3.835509104E-2
3.177938167E0,2.171268343E-2
