Time (s),Linear Acceleration x (m/s^2)
2.731554167E-2,-9.361465350E-3
3.725454167E-2,1.505292580E-3
4.719254167E-2,-1.929149933E-2
5.713154167E-2,5.195251107E-4
6.707054167E-2,7.214733213E-4
7.700954167E-2,-8.415020406E-3
8.694854167E-2,-1.270307600E-4
9.688754167E-2,-2.822743356E-4
1.068265417E-1,-1.189616024E-2
1.167645417E-1,-4.879501462E-4
1.267035417E-1,1.102097824E-2
1.366425417E-1,6.329172403E-3
1.465815417E-1,6.439319327E-3
1.565205417E-1,-9.259943068E-3
1.664595417E-1,-4.209995270E-4
1.763985417E-1,-1.823812343E-2
1.863375417E-1,-5.549738556E-3
1.962755417E-1,-7.163423896E-3
2.062145417E-1,-8.103290722E-3
2.161535417E-1,-5.140798911E-3
2.260925417E-1,-3.160566241E-3
2.360315417E-1,-9.458529130E-3
2.459705417E-1,3.810264990E-3
2.559095417E-1,1.465166062E-3
2.658485417E-1,-4.692536741E-3
2.757865417E-1,-4.712124914E-3
2.857255417E-1,-7.956964150E-3
2.956645417E-1,2.473664582E-3
3.056035417E-1,-6.413737759E-3
3.155425417E-1,1.035826944E-2
3.254815417E-1,-9.219378009E-3
3.354205417E-1,-1.190865867E-2
3.453595417E-1,1.438173853E-2
3.552975417E-1,2.526362613E-2
3.652365417E-1,-7.589685917E-4
3.751755417E-1,-2.760835961E-3
3.851145417E-1,1.694523096E-3
3.950535417E-1,1.089073151E-2
4.049920417E-1,2.411245555E-3
4.149310417E-1,2.422428355E-3
4.248700417E-1,-4.415524900E-3
4.348080417E-1,-1.242533326E-5
4.447470417E-1,-5.100818574E-3
4.546860417E-1,-6.268068999E-3
4.646250417E-1,-2.329092175E-3
4.745640417E-1,-2.753307670E-3
4.845030417E-1,-5.749347880E-3
4.944420417E-1,-1.304806173E-3
5.043800417E-1,-2.580083907E-4
5.143190417E-1,6.113994867E-4
5.242580417E-1,4.121044502E-3
5.341970417E-1,4.917727634E-3
5.441360417E-1,-3.007661551E-3
5.540750417E-1,-2.373823375E-3
5.640140417E-1,-5.034452677E-3
5.739530417E-1,7.312674075E-4
5.838910417E-1,1.380045220E-2
5.938300417E-1,-2.547778040E-3
6.037690417E-1,-2.065528929E-2
6.137080417E-1,6.759673655E-3
6.236470417E-1,1.136450216E-2
6.335860417E-1,5.369936675E-3
6.435250417E-1,8.350335583E-3
6.534640417E-1,-8.946970850E-4
6.634020417E-1,-1.406460017E-2
6.733410417E-1,-7.563373446E-4
6.832800417E-1,-6.939694807E-3
6.932190417E-1,-8.227032423E-3
7.031580417E-1,9.610849097E-3
7.130970417E-1,-1.022539146E-2
7.230360417E-1,-1.117549092E-2
7.329750417E-1,6.361332089E-3
7.429130417E-1,6.648284197E-4
7.528520417E-1,-8.793335259E-3
7.627910417E-1,8.254075795E-4
7.727300417E-1,-7.530994490E-3
7.826690417E-1,-3.801786527E-3
7.926080417E-1,-2.774540372E-2
8.025470417E-1,-1.007921107E-2
8.124850417E-1,-6.610788926E-3
8.224240417E-1,-9.853800908E-3
8.323630417E-1,-6.847820431E-3
8.423020417E-1,8.251152188E-4
8.522410417E-1,5.236547068E-3
8.621800417E-1,3.301118687E-3
8.721190417E-1,6.703394204E-3
8.820580417E-1,-9.530888423E-3
8.919960417E-1,-4.930664599E-3
9.019350417E-1,4.099044353E-3
9.118740417E-1,5.883322209E-3
9.218130417E-1,-2.901607677E-3
9.317520417E-1,2.252771392E-2
9.416910417E-1,-3.528502285E-3
9.516300417E-1,1.622975104E-2
9.615690417E-1,-1.269218557E-2
9.715070417E-1,-4.592987895E-4
9.814460417E-1,-7.232567221E-3
9.913850417E-1,1.005984217E-2
1.001324042E0,2.209224254E-3
1.011263042E0,-2.755061835E-3
1.021202042E0,-7.997529209E-4
1.031141042E0,-8.013974503E-3
1.041080042E0,5.086346716E-3
1.051018042E0,-1.586715057E-3
1.060957042E0,1.371829882E-3
1.070896042E0,3.929475099E-3
1.080835042E0,8.786903322E-4
1.090774042E0,-6.374926865E-3
1.100713042E0,-5.608795434E-3
1.110652042E0,8.033635765E-3
1.120591042E0,-7.257856429E-4
1.130529042E0,2.630662322E-3
1.140468042E0,5.777268335E-3
1.150407042E0,-1.530194409E-2
1.160346042E0,-2.876420796E-2
1.170285042E0,-6.948100179E-3
1.180224042E0,1.094861895E-2
1.190163042E0,2.323391140E-3
1.200102042E0,6.253597140E-3
1.210040042E0,1.787566915E-3
1.219979042E0,-1.465516895E-2
1.229918042E0,1.442508101E-3
1.239857042E0,-3.087037504E-3
1.249796042E0,-4.840325117E-3
1.259735042E0,-4.700357392E-3
1.269674042E0,-2.549678385E-3
1.279613042E0,-4.162486643E-4
1.289551042E0,-5.803580806E-3
1.299490042E0,-4.200566635E-3
1.309429042E0,-6.410375610E-3
1.319368042E0,-3.709619790E-3
1.329307042E0,-1.725147888E-3
1.339246042E0,-1.257078275E-3
1.349185042E0,2.279098481E-3
1.359124042E0,-1.785198793E-2
1.369062042E0,-1.308533773E-3
1.379001042E0,1.362401247E-4
1.388940042E0,-1.048354603E-2
1.398879042E0,-1.471459128E-2
1.408818042E0,-6.386621296E-3
1.418757042E0,2.689134479E-3
1.428696042E0,-1.195536330E-2
1.438634042E0,-1.129155815E-2
1.448573042E0,2.596236840E-3
1.458512042E0,-3.421205878E-3
1.468451042E0,-5.707905740E-3
1.478390042E0,-6.068898216E-3
1.488329042E0,-1.331630275E-2
1.498268042E0,8.782956451E-3
1.508207042E0,-7.813999727E-3
1.518145042E0,-8.775355071E-3
1.528084042E0,-2.306901991E-2
1.538023042E0,-1.516292654E-2
1.547962042E0,-8.692032248E-3
1.557901042E0,-7.423332632E-3
1.567840042E0,1.166497596E-2
1.577779042E0,-1.126539186E-2
1.587718042E0,1.358827136E-2
1.597656042E0,3.219623119E-4
1.607595042E0,2.631612495E-3
1.617534042E0,7.117450163E-3
1.627473042E0,2.066990733E-3
1.637412042E0,6.075987965E-4
1.647351042E0,-1.259270981E-3
1.657290042E0,-1.120209575E-2
1.667229042E0,6.175463721E-3
1.677167042E0,3.219696209E-3
1.687106042E0,1.768271104E-3
1.697045042E0,1.598299854E-2
1.706984042E0,9.452974275E-3
1.716923042E0,-5.123476535E-3
1.726862042E0,-1.154240370E-3
1.736801042E0,-1.594024077E-3
1.746740042E0,-3.853315115E-4
1.756678042E0,3.581785038E-3
1.766617042E0,-4.035675153E-3
1.776556042E0,-4.153277278E-3
1.786495042E0,-4.751081988E-3
1.796434042E0,-1.062029779E-2
1.806373042E0,-1.298271909E-2
1.816312042E0,-1.294792816E-3
1.826251042E0,-1.461116865E-2
1.836189042E0,-7.542104200E-3
1.846128042E0,-1.242138639E-2
1.856067042E0,-9.126188010E-3
1.866006042E0,-5.154832229E-3
1.875945042E0,-2.473123714E-2
1.885884042E0,6.903442070E-3
1.895823042E0,1.012050703E-2
1.905762042E0,-1.415830180E-3
1.915701042E0,-4.462302625E-3
1.925639042E0,-4.393305480E-3
1.935578042E0,-9.656603560E-3
1.945517042E0,-9.119756073E-3
1.955456042E0,-2.406713963E-3
1.965395042E0,-4.868830293E-3
1.975334042E0,3.370335102E-3
1.985273042E0,5.991934240E-4
1.995212042E0,-2.631393224E-3
2.005150042E0,1.231094711E-2
2.015089042E0,-2.167782113E-3
2.025028042E0,-2.137668952E-3
2.034967042E0,2.823620439E-3
2.044906042E0,-2.788317874E-3
2.054845042E0,3.354839981E-4
2.064784042E0,-1.849620491E-3
2.074723042E0,4.673240930E-3
2.084661042E0,8.365392163E-3
2.094600042E0,-6.501080543E-3
2.104539042E0,-1.181188725E-2
2.114478042E0,-2.666768879E-3
2.124417042E0,1.874975480E-2
2.134356042E0,-6.899714470E-3
2.144295042E0,-1.026171729E-2
2.154234042E0,1.456767999E-2
2.164172042E0,-3.675194308E-3
2.174111042E0,-7.304561064E-3
2.184050042E0,-1.502310500E-2
2.193989042E0,-5.849189088E-3
2.203928042E0,4.535465911E-3
2.213867042E0,-1.342082173E-2
2.223806042E0,-1.844694212E-2
2.233745042E0,-1.617559120E-3
2.243683042E0,-1.074645147E-2
2.253622042E0,-1.744611807E-2
2.263561042E0,-4.847780317E-3
2.273500042E0,-2.549254462E-2
2.283439042E0,-2.076982163E-2
2.293378042E0,-2.511422977E-2
2.303317042E0,-1.022583000E-2
2.313256042E0,1.551193222E-2
2.323195042E0,7.175045237E-3
2.333133042E0,-5.121941641E-3
2.343072042E0,-5.097894967E-3
2.353011042E0,-1.805605575E-2
2.362950042E0,-1.916512638E-2
2.372889042E0,-8.372555003E-3
2.382828042E0,-1.489731677E-2
2.392767042E0,-5.820537731E-3
2.402706167E0,9.268348441E-3
2.412644167E0,-1.099232689E-2
2.422583167E0,-1.840586543E-2
2.432522167E0,-1.000809431E-2
2.442461167E0,-2.169170827E-3
2.452400167E0,1.101863936E-2
2.462339167E0,-1.111577623E-2
2.472278167E0,2.534475625E-3
2.482217167E0,-2.011829562E-2
2.492156167E0,-5.919063315E-3
2.502094167E0,-5.683932155E-3
2.512033167E0,-6.696669906E-3
2.521972167E0,-1.085579440E-2
2.531911167E0,-1.328867465E-2
2.541850167E0,-1.478833929E-3
2.551789167E0,1.096301772E-2
2.561728167E0,-8.988120630E-3
2.571667167E0,-4.934538379E-3
2.581605167E0,-5.715507120E-3
2.591544167E0,-9.885010421E-3
2.601483167E0,1.653007865E-3
2.611422167E0,-4.881694168E-3
2.621361167E0,-2.004220873E-2
2.631300167E0,-1.453895554E-2
2.641239167E0,-4.186167866E-3
2.651178167E0,4.119728878E-3
2.661116167E0,-8.977376372E-3
2.671055167E0,-2.640017867E-3
2.680994167E0,-1.799151711E-2
2.690933167E0,-1.315053418E-2
2.700872167E0,1.003433369E-2
2.710811167E0,8.148533553E-3
