Time (s),Linear Acceleration y (m/s^2)
2.731554167E-2,-1.144592464E-4
3.725454167E-2,-1.450091209E-3
4.719254167E-2,-8.668277934E-3
5.713154167E-2,5.752198398E-4
6.707054167E-2,1.484675663E-2
7.700954167E-2,2.830454372E-3
8.694854167E-2,-1.434506552E-2
9.688754167E-2,-2.144135607E-2
1.068265417E-1,6.998386234E-6
1.167645417E-1,-4.923629668E-3
1.267035417E-1,-6.146739274E-3
1.366425417E-1,5.339933150E-3
1.465815417E-1,-3.649667557E-3
1.565205417E-1,-9.238564186E-3
1.664595417E-1,8.318870254E-3
1.763985417E-1,-3.939506728E-3
1.863375417E-1,-3.539027274E-4
1.962755417E-1,9.966268446E-3
2.062145417E-1,1.019717865E-3
2.161535417E-1,-6.003683489E-3
2.260925417E-1,5.789529216E-3
2.360315417E-1,5.996794738E-3
2.459705417E-1,-1.603142079E-2
2.559095417E-1,-1.659744954E-2
2.658485417E-1,-9.194746614E-4
2.757865417E-1,-6.110596173E-3
2.857255417E-1,-3.992186487E-4
2.956645417E-1,1.969778946E-2
3.056035417E-1,-7.409865763E-3
3.155425417E-1,8.378603216E-3
3.254815417E-1,4.834751990E-3
3.354205417E-1,6.576619260E-3
3.453595417E-1,6.340300385E-3
3.552975417E-1,1.230076930E-2
3.652365417E-1,1.189446090E-2
3.751755417E-1,-1.261902228E-3
3.851145417E-1,3.382943161E-3
3.950535417E-1,6.210674923E-3
4.049920417E-1,1.741538364E-3
4.149310417E-1,-1.030396342E-2
4.248700417E-1,1.166318525E-3
4.348080417E-1,-1.189449744E-2
4.447470417E-1,-5.694292691E-3
4.546860417E-1,6.902272627E-4
4.646250417E-1,-7.458671741E-4
4.745640417E-1,3.926277403E-3
4.845030417E-1,-1.526678771E-2
4.944420417E-1,7.186374217E-3
5.043800417E-1,1.302174926E-3
5.143190417E-1,5.905230995E-3
5.242580417E-1,9.607505221E-3
5.341970417E-1,-1.128896344E-2
5.441360417E-1,-8.867028449E-3
5.540750417E-1,1.551595218E-3
5.640140417E-1,1.226535710E-2
5.739530417E-1,-6.560046058E-3
5.838910417E-1,-1.567218248E-3
5.938300417E-1,-5.970098544E-3
6.037690417E-1,9.266557731E-4
6.137080417E-1,4.070356451E-3
6.236470417E-1,7.003484275E-3
6.335860417E-1,1.926332306E-2
6.435250417E-1,7.031167187E-3
6.534640417E-1,-1.073055435E-2
6.634020417E-1,1.640167745E-2
6.733410417E-1,1.857715230E-3
6.832800417E-1,-3.271754701E-3
6.932190417E-1,-4.673752561E-4
7.031580417E-1,-1.614781693E-3
7.130970417E-1,-6.302384846E-4
7.230360417E-1,-1.261803556E-2
7.329750417E-1,-7.462910973E-3
7.429130417E-1,-1.035560165E-2
7.528520417E-1,-1.782286149E-3
7.627910417E-1,3.508950658E-3
7.727300417E-1,-4.636823740E-3
7.826690417E-1,-2.282204814E-3
7.926080417E-1,1.879368201E-3
8.025470417E-1,-1.048566565E-2
8.124850417E-1,-6.945103481E-3
8.224240417E-1,8.427756373E-3
8.323630417E-1,7.121232580E-3
8.423020417E-1,-8.901654929E-4
8.522410417E-1,-6.945085209E-3
8.621800417E-1,-5.534170344E-3
8.721190417E-1,7.995135505E-3
8.820580417E-1,-4.407795612E-3
8.919960417E-1,6.073685624E-3
9.019350417E-1,1.418987677E-2
9.118740417E-1,-1.107817132E-2
9.218130417E-1,-1.113393914E-2
9.317520417E-1,1.857605595E-3
9.416910417E-1,-1.303329751E-2
9.516300417E-1,-9.358103201E-3
9.615690417E-1,-1.190118520E-2
9.715070417E-1,3.115597498E-3
9.814460417E-1,-3.542827964E-3
9.913850417E-1,-7.510090694E-3
1.001324042E0,7.323856875E-3
1.011263042E0,1.144948779E-2
1.021202042E0,5.046786647E-3
1.031141042E0,1.430082768E-3
1.041080042E0,4.892292246E-4
1.051018042E0,-1.729277484E-3
1.060957042E0,-2.316045575E-4
1.070896042E0,4.767965823E-3
1.080835042E0,3.721387312E-3
1.090774042E0,1.587769384E-2
1.100713042E0,4.784959294E-3
1.110652042E0,-1.280589564E-2
1.120591042E0,1.308265166E-2
1.130529042E0,-1.747137073E-2
1.140468042E0,9.789298810E-3
1.150407042E0,8.355196081E-3
1.160346042E0,-1.337172339E-2
1.170285042E0,-6.466892604E-3
1.180224042E0,7.702190001E-3
1.190163042E0,-1.384441596E-2
1.200102042E0,6.947204825E-3
1.210040042E0,2.250026856E-3
1.219979042E0,-2.928504869E-3
1.229918042E0,1.106287720E-2
1.239857042E0,-6.047866512E-3
1.249796042E0,-6.608523130E-3
1.259735042E0,2.899561152E-3
1.269674042E0,5.502942558E-3
1.279613042E0,4.276799709E-3
1.289551042E0,-2.016558498E-4
1.299490042E0,1.168717710E-2
1.309429042E0,7.449590284E-3
1.319368042E0,-1.269755770E-2
1.329307042E0,-2.055314574E-3
1.339246042E0,4.717953857E-3
1.349185042E0,5.386144426E-3
1.359124042E0,-4.541185219E-3
1.369062042E0,9.197743312E-3
1.379001042E0,5.440724529E-3
1.388940042E0,-1.233059010E-2
1.398879042E0,-1.150825230E-2
1.408818042E0,-1.005169261E-2
1.418757042E0,-6.449771225E-3
1.428696042E0,1.353471452E-2
1.438634042E0,-3.364122435E-3
1.448573042E0,-1.377794042E-2
1.458512042E0,-2.122521009E-3
1.468451042E0,9.677434266E-3
1.478390042E0,-3.598120697E-3
1.488329042E0,6.526716929E-3
1.498268042E0,-8.218078874E-3
1.508207042E0,1.356097218E-3
1.518145042E0,3.426230829E-3
1.528084042E0,-1.583111711E-2
1.538023042E0,-1.884656277E-2
1.547962042E0,-7.123918645E-3
1.557901042E0,4.513301309E-3
1.567840042E0,4.578059223E-3
1.577779042E0,1.360325485E-2
1.587718042E0,-6.729158498E-3
1.597656042E0,-5.635491628E-3
1.607595042E0,1.617851481E-3
1.617534042E0,1.154331733E-3
1.627473042E0,9.691211767E-3
1.637412042E0,2.699878737E-3
1.647351042E0,-7.014374714E-3
1.657290042E0,6.652943697E-3
1.667229042E0,3.968998622E-3
1.677167042E0,3.819638807E-3
1.687106042E0,1.436752249E-3
1.697045042E0,1.551339403E-4
1.706984042E0,-3.871934842E-3
1.716923042E0,5.353107657E-3
1.726862042E0,-1.294135004E-3
1.736801042E0,-4.527553897E-3
1.746740042E0,-1.267438810E-3
1.756678042E0,-5.314844940E-3
1.766617042E0,8.408113383E-3
1.776556042E0,5.597722270E-3
1.786495042E0,-7.400254402E-3
1.796434042E0,-4.119948149E-3
1.806373042E0,3.689666167E-3
1.816312042E0,-1.255981922E-3
1.826251042E0,-1.764671411E-3
1.836189042E0,2.883042768E-3
1.846128042E0,-1.411165198E-2
1.856067042E0,-6.972950846E-3
1.866006042E0,8.772906549E-3
1.875945042E0,-8.518077582E-3
1.885884042E0,3.871971387E-3
1.895823042E0,5.184506848E-3
1.905762042E0,-2.355879731E-4
1.915701042E0,-1.199629381E-2
1.925639042E0,-1.034655673E-2
1.935578042E0,-6.381578073E-3
1.945517042E0,1.763300970E-5
1.955456042E0,1.150158282E-2
1.965395042E0,8.185937461E-3
1.975334042E0,1.692567933E-3
1.985273042E0,1.087125298E-3
1.995212042E0,1.397027727E-3
2.005150042E0,1.085201198E-2
2.015089042E0,-8.076430075E-3
2.025028042E0,-5.417481847E-3
2.034967042E0,-2.169792093E-3
2.044906042E0,1.147327865E-2
2.054845042E0,-5.064949561E-3
2.064784042E0,-9.135178104E-4
2.074723042E0,5.320947971E-3
2.084661042E0,1.630824991E-3
2.094600042E0,-5.339476336E-3
2.104539042E0,-5.948153213E-3
2.114478042E0,-1.213591436E-2
2.124417042E0,5.211586766E-3
2.134356042E0,9.609021842E-3
2.144295042E0,-4.851306919E-3
2.154234042E0,-1.378535908E-3
2.164172042E0,-2.706164494E-4
2.174111042E0,-1.468875390E-3
2.184050042E0,4.322535899E-3
2.193989042E0,1.174329210E-2
2.203928042E0,1.609003913E-2
2.213867042E0,1.933328865E-2
2.223806042E0,1.414932998E-2
2.233745042E0,2.738671359E-3
2.243683042E0,1.295615081E-3
2.253622042E0,8.501011021E-3
2.263561042E0,2.577818111E-3
2.273500042E0,-9.408846069E-3
2.283439042E0,1.750016827E-3
2.293378042E0,4.888875280E-3
2.303317042E0,2.136293029E-2
2.313256042E0,9.571289029E-3
2.323195042E0,-1.079268102E-3
2.333133042E0,8.994260207E-3
2.343072042E0,3.818414547E-3
2.353011042E0,-3.241550177E-4
2.362950042E0,-2.064743210E-3
2.372889042E0,1.960388683E-3
2.382828042E0,5.596625917E-3
2.392767042E0,3.883702364E-3
2.402706167E0,1.703896914E-3
2.412644167E0,-8.347704336E-3
2.422583167E0,2.675557975E-3
2.432522167E0,-2.473006770E-4
2.442461167E0,-1.164390771E-2
2.452400167E0,-1.255378928E-3
2.462339167E0,9.876531959E-3
2.472278167E0,-4.170161113E-3
2.482217167E0,-4.328401387E-4
2.492156167E0,8.001549169E-5
2.502094167E0,1.195448622E-2
2.512033167E0,-2.734925486E-3
2.521972167E0,5.431241076E-3
2.531911167E0,-6.007940993E-3
2.541850167E0,1.645552665E-3
2.551789167E0,1.253630245E-2
2.561728167E0,-9.033034556E-3
2.571667167E0,-9.929686803E-3
2.581605167E0,8.369485214E-3
2.591544167E0,1.362951251E-2
2.601483167E0,6.706226449E-3
2.611422167E0,1.238080306E-2
2.621361167E0,9.325504974E-3
2.631300167E0,-3.334228545E-3
2.641239167E0,-4.965272807E-3
2.651178167E0,1.490221381E-2
2.661116167E0,7.458214927E-3
2.671055167E0,-4.563605636E-3
2.680994167E0,-6.370833814E-3
2.690933167E0,3.557245005E-3
2.700872167E0,1.026891667E-2
2.710811167E0,1.121422872E-3
2.720750167E0,3.107283488E-3
2.730689167E0,2.600969430E-3
2.740628167E0,3.322680295E-4
2.750566167E0,2.861170527E-3
2.760505167E0,-3.949282542E-3
2.770444167E0,-1.482634619E-4
2.780383167E0,1.392203774E-3
2.790322167E0,-1.150923902E-2
2.800261167E0,-1.060644720E-2
2.810200167E0,-7.328735646E-3
2.820139167E0,7.817325331E-3
