Time (s),Linear Acceleration z (m/s^2)
2.731554167E-2,-4.416401982E-3
3.725454167E-2,-1.548985898E-2
4.719254167E-2,-2.073890448E-2
5.713154167E-2,-1.311764359E-2
6.707054167E-2,-1.460634470E-2
7.700954167E-2,-4.215082347E-2
8.694854167E-2,-3.063648641E-2
9.688754167E-2,-1.058696866E-2
1.068265417E-1,-2.645865083E-2
1.167645417E-1,-3.021548688E-2
1.267035417E-1,-6.261198521E-3
1.366425417E-1,-3.635506332E-2
1.465815417E-1,-2.482610822E-2
1.565205417E-1,-1.569801986E-2
1.664595417E-1,-3.111478865E-2
1.763985417E-1,-2.723282218E-2
1.863375417E-1,-1.661252439E-2
1.962755417E-1,-2.170369506E-2
2.062145417E-1,-3.202987790E-2
2.161535417E-1,-3.039148808E-2
2.260925417E-1,-3.472427487E-2
2.360315417E-1,-2.020446897E-2
2.459705417E-1,-1.705749750E-2
2.559095417E-1,-2.139203846E-2
2.658485417E-1,-2.812627673E-2
2.757865417E-1,-1.854327500E-2
2.857255417E-1,-2.976817489E-3
2.956645417E-1,-1.494899154E-2
3.056035417E-1,-2.467525005E-2
3.155425417E-1,-2.003373027E-2
3.254815417E-1,-2.346721530E-2
3.354205417E-1,-1.179324925E-2
3.453595417E-1,-1.478468478E-2
3.552975417E-1,-4.098664284E-2
3.652365417E-1,-1.196164906E-2
3.751755417E-1,-3.051954210E-2
3.851145417E-1,-2.482903183E-2
3.950535417E-1,-3.005995095E-2
4.049920417E-1,-2.677030742E-2
4.149310417E-1,-3.126330793E-2
4.248700417E-1,-3.709356666E-2
4.348080417E-1,-4.082935274E-2
4.447470417E-1,-2.840577364E-2
4.546860417E-1,-7.739959359E-3
4.646250417E-1,-1.117461383E-2
4.745640417E-1,-2.898757160E-2
4.845030417E-1,-2.913667560E-2
4.944420417E-1,-2.658085763E-2
5.043800417E-1,-2.269070506E-2
5.143190417E-1,-2.792981029E-2
5.242580417E-1,-2.868410110E-2
5.341970417E-1,-1.357021809E-2
5.441360417E-1,-2.569558918E-2
5.540750417E-1,-1.342754602E-2
5.640140417E-1,-1.058696866E-2
5.739530417E-1,-1.911513269E-2
5.838910417E-1,-3.168021441E-2
5.938300417E-1,-3.047978103E-2
6.037690417E-1,-1.639968574E-2
6.137080417E-1,-2.927642405E-2
6.236470417E-1,-2.912615061E-2
6.335860417E-1,-1.475486398E-2
6.435250417E-1,-2.223696113E-2
6.534640417E-1,-2.448287666E-2
6.634020417E-1,-2.716616392E-2
6.733410417E-1,-1.398186207E-2
6.832800417E-1,-1.727092087E-2
6.932190417E-1,-3.612526774E-2
7.031580417E-1,-1.995888591E-2
7.130970417E-1,-2.400457442E-2
7.230360417E-1,-2.744332194E-2
7.329750417E-1,-1.711772382E-2
7.429130417E-1,-2.491030812E-2
7.528520417E-1,-2.371104419E-2
7.627910417E-1,-3.628840506E-2
7.727300417E-1,-2.701121271E-2
7.826690417E-1,-2.521553278E-2
7.926080417E-1,-3.329872370E-2
8.025470417E-1,-4.079485416E-2
8.124850417E-1,-2.117861509E-2
8.224240417E-1,-1.609446108E-2
8.323630417E-1,-2.463782787E-2
8.423020417E-1,-2.209487379E-2
8.522410417E-1,-3.183048785E-2
8.621800417E-1,-3.003597736E-2
8.721190417E-1,-3.422316849E-2
8.820580417E-1,-2.927700877E-2
8.919960417E-1,-2.537983954E-2
9.019350417E-1,-2.402387023E-2
9.118740417E-1,-2.446241140E-2
9.218130417E-1,-1.712006271E-2
9.317520417E-1,-3.193749189E-2
9.416910417E-1,-2.264451206E-2
9.516300417E-1,-2.534066319E-2
9.615690417E-1,-2.056056440E-2
9.715070417E-1,-1.413213551E-2
9.814460417E-1,-2.640310228E-2
9.913850417E-1,-1.770712316E-2
1.001324042E0,-2.159259796E-2
1.011263042E0,-2.307662129E-2
1.021202042E0,-3.728827894E-2
1.031141042E0,-2.575990856E-2
1.041080042E0,-2.127626359E-2
1.051018042E0,-1.901280642E-2
1.060957042E0,-2.154523551E-2
1.070896042E0,-1.899234116E-2
1.080835042E0,-2.303276718E-2
1.090774042E0,-1.778723001E-2
1.100713042E0,-2.302458107E-2
1.110652042E0,-3.139487028E-2
1.120591042E0,-3.303618371E-2
1.130529042E0,-2.060324907E-2
1.140468042E0,-1.970570147E-2
1.150407042E0,-1.866080403E-2
1.160346042E0,-2.090671957E-2
1.170285042E0,-3.691815019E-2
1.180224042E0,-1.911045492E-2
1.190163042E0,-3.916465044E-2
1.200102042E0,-1.971037924E-2
1.210040042E0,-8.615872264E-3
1.219979042E0,-3.421498239E-2
1.229918042E0,-3.615508854E-2
1.239857042E0,-3.107502759E-2
1.249796042E0,-3.003071487E-2
1.259735042E0,-2.314327955E-2
1.269674042E0,-3.391560495E-2
1.279613042E0,-3.661175609E-2
1.289551042E0,-2.914018393E-2
1.299490042E0,-1.836084187E-2
1.309429042E0,-1.761415243E-2
1.319368042E0,-2.404199660E-2
1.329307042E0,-2.553128242E-2
1.339246042E0,-2.163118958E-2
1.349185042E0,-1.639968574E-2
1.359124042E0,-3.211875558E-2
1.369062042E0,-1.745393872E-2
1.379001042E0,-2.059155464E-2
1.388940042E0,-2.867591500E-2
1.398879042E0,-1.729781806E-2
1.408818042E0,-2.853031933E-2
1.418757042E0,-1.895667315E-2
1.428696042E0,-3.271867990E-2
1.438634042E0,-1.625759840E-2
1.448573042E0,-2.482727766E-3
1.458512042E0,-1.445548654E-2
1.468451042E0,-2.867240667E-2
1.478390042E0,-1.805152416E-2
1.488329042E0,-2.525412440E-2
1.498268042E0,-2.914369226E-2
1.508207042E0,-2.001384974E-2
1.518145042E0,-1.252707481E-2
1.528084042E0,-1.312173665E-2
1.538023042E0,-2.855019987E-2
1.547962042E0,-2.660950899E-2
1.557901042E0,-1.374271095E-2
1.567840042E0,-1.734167218E-2
1.577779042E0,-2.347774029E-2
1.587718042E0,-3.500435650E-2
1.597656042E0,-3.785078108E-2
1.607595042E0,-2.783683956E-2
1.617534042E0,-1.451629758E-2
1.627473042E0,-2.454836547E-2
1.637412042E0,-1.976125002E-2
1.647351042E0,-2.273806751E-2
1.657290042E0,-1.001861930E-2
1.667229042E0,-2.184753656E-2
1.677167042E0,-3.261810780E-2
1.687106042E0,-1.929873526E-2
1.697045042E0,-2.214106679E-2
1.706984042E0,-1.885200799E-2
1.716923042E0,-2.304095328E-2
1.726862042E0,-2.125112057E-2
1.736801042E0,-1.032325923E-2
1.746740042E0,-2.243810534E-2
1.756678042E0,-2.527692854E-2
1.766617042E0,-2.721352637E-2
