"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.731554167E-2,-9.361465350E-3,-1.144592464E-4,-4.416401982E-3,1.035155741E-2
3.725454167E-2,1.505292580E-3,-1.450091209E-3,-1.548985898E-2,1.563023997E-2
4.719254167E-2,-1.929149933E-2,-8.668277934E-3,-2.073890448E-2,2.962099167E-2
5.713154167E-2,5.195251107E-4,5.752198398E-4,-1.311764359E-2,1.314052349E-2
6.707054167E-2,7.214733213E-4,1.484675663E-2,-1.460634470E-2,2.083967398E-2
7.700954167E-2,-8.415020406E-3,2.830454372E-3,-4.215082347E-2,4.307570034E-2
8.694854167E-2,-1.270307600E-4,-1.434506552E-2,-3.063648641E-2,3.382885368E-2
9.688754167E-2,-2.822743356E-4,-2.144135607E-2,-1.058696866E-2,2.391433324E-2
1.068265417E-1,-1.189616024E-2,6.998386234E-6,-2.645865083E-2,2.900997899E-2
1.167645417E-1,-4.879501462E-4,-4.923629668E-3,-3.021548688E-2,3.061790117E-2
1.267035417E-1,1.102097824E-2,-6.146739274E-3,-6.261198521E-3,1.408712079E-2
1.366425417E-1,6.329172403E-3,5.339933150E-3,-3.635506332E-2,3.728624328E-2
1.465815417E-1,6.439319327E-3,-3.649667557E-3,-2.482610822E-2,2.590599459E-2
1.565205417E-1,-9.259943068E-3,-9.238564186E-3,-1.569801986E-2,2.043343930E-2
1.664595417E-1,-4.209995270E-4,8.318870254E-3,-3.111478865E-2,3.221041626E-2
1.763985417E-1,-1.823812343E-2,-3.939506728E-3,-2.723282218E-2,3.301174736E-2
1.863375417E-1,-5.549738556E-3,-3.539027274E-4,-1.661252439E-2,1.751858475E-2
1.962755417E-1,-7.163423896E-3,9.966268446E-3,-2.170369506E-2,2.493374276E-2
2.062145417E-1,-8.103290722E-3,1.019717865E-3,-3.202987790E-2,3.305474585E-2
2.161535417E-1,-5.140798911E-3,-6.003683489E-3,-3.039148808E-2,3.140246131E-2
2.260925417E-1,-3.160566241E-3,5.789529216E-3,-3.472427487E-2,3.534519901E-2
2.360315417E-1,-9.458529130E-3,5.996794738E-3,-2.020446897E-2,2.310077675E-2
2.459705417E-1,3.810264990E-3,-1.603142079E-2,-1.705749750E-2,2.371671969E-2
2.559095417E-1,1.465166062E-3,-1.659744954E-2,-2.139203846E-2,2.711533427E-2
2.658485417E-1,-4.692536741E-3,-9.194746614E-4,-2.812627673E-2,2.852985765E-2
