Time (s),Linear Acceleration x (m/s^2)
1.786891667E-2,-2.584597226E-3
2.780291667E-2,8.445937559E-3
3.773691667E-2,-7.397513520E-3
4.767091667E-2,-1.649901532E-3
5.760491667E-2,1.435655896E-3
6.753891666E-2,2.468054909E-3
7.747291667E-2,1.071823865E-2
8.740691667E-2,5.760914404E-3
9.734191667E-2,-6.975600366E-3
1.072759167E-1,-1.182051189E-4
1.172099167E-1,8.713721763E-3
1.271439167E-1,6.112807151E-3
1.370779167E-1,2.301244810E-3
1.470119167E-1,9.544081204E-3
1.569459167E-1,-1.130138878E-3
1.668799167E-1,4.622772150E-3
1.768139167E-1,-2.703441884E-3
1.867479167E-1,-1.731872186E-4
1.966810417E-1,-9.926927648E-4
2.066150417E-1,1.993005183E-3
2.165490417E-1,-3.654052969E-3
2.264830417E-1,8.745004367E-3
2.364180417E-1,7.321517989E-3
2.463520417E-1,-2.610726971E-3
2.562860417E-1,7.765029296E-3
2.662200417E-1,3.666898571E-3
2.761540417E-1,1.517060101E-3
2.860880417E-1,-8.449957520E-4
2.960220417E-1,-8.292758781E-3
3.059560417E-1,7.627181187E-3
3.158900417E-1,5.805225335E-3
3.258240417E-1,7.957822960E-3
3.357580417E-1,3.045211639E-3
3.456920417E-1,-1.425441541E-3
3.556260417E-1,9.827415347E-3
3.655600417E-1,5.762357935E-3
3.754950417E-1,1.507960372E-3
3.854290417E-1,5.603057854E-3
3.953630417E-1,-6.245739944E-4
4.052970417E-1,-7.836200874E-3
4.152310417E-1,1.093526172E-2
4.251650417E-1,7.116847169E-3
4.350990417E-1,1.698177606E-3
4.450330417E-1,-2.933602910E-3
4.549670417E-1,4.797640443E-4
4.649010417E-1,1.366640478E-3
4.748350417E-1,4.386782181E-3
4.847690417E-1,5.223025382E-3
4.947030417E-1,-3.502756264E-3
5.046370417E-1,3.285587020E-3
5.145720417E-1,2.658199053E-3
5.245060417E-1,3.084223531E-4
5.344400417E-1,-1.308661681E-3
5.443740417E-1,-3.287012279E-3
5.543080417E-1,4.559183680E-4
5.642420417E-1,1.387014370E-3
5.741760417E-1,2.761804406E-3
5.841100417E-1,5.445164759E-3
5.940440417E-1,7.246107180E-3
6.039780417E-1,2.358730249E-3
6.139120417E-1,1.649335083E-3
6.238460417E-1,4.618185740E-3
6.337800417E-1,2.087730076E-3
6.437140417E-1,-8.666669950E-4
6.536490417E-1,-2.030226365E-3
6.635830417E-1,6.409845706E-3
6.735170417E-1,1.173243821E-3
6.834510417E-1,-8.607832342E-4
6.933850417E-1,-9.201507457E-4
7.033190417E-1,3.897534683E-3
7.132530417E-1,-2.578110471E-3
7.231870417E-1,2.364577465E-3
7.331210417E-1,4.710407294E-3
7.430550417E-1,3.258306105E-3
7.529890417E-1,5.605360195E-3
7.629230417E-1,-5.831775349E-3
7.728570417E-1,-2.181961611E-3
7.827910417E-1,5.027801469E-3
7.927260417E-1,4.231045246E-3
8.026600417E-1,-2.341590598E-3
8.125940417E-1,5.662151277E-3
8.225280417E-1,-4.582316726E-3
8.324620417E-1,3.291982412E-3
8.423960417E-1,1.130650509E-3
8.523300417E-1,-1.971132942E-3
8.622640417E-1,-7.978891209E-4
8.721980417E-1,2.201549783E-3
8.821320417E-1,4.445601515E-3
8.920660417E-1,5.592002962E-3
9.020000417E-1,8.723040763E-3
9.119340417E-1,-3.850464597E-3
9.218680417E-1,-4.480666537E-3
9.318030417E-1,-8.607284166E-3
9.417370417E-1,1.057341043E-3
9.516710417E-1,-4.822491109E-4
