Time (s),Linear Acceleration y (m/s^2)
1.786891667E-2,4.203654695E-3
2.780291667E-2,1.344110426E-3
3.773691667E-2,4.628802091E-4
4.767091667E-2,1.854736805E-3
5.760491667E-2,1.810699962E-3
6.753891666E-2,7.195547037E-4
7.747291667E-2,2.014292702E-3
8.740691667E-2,1.063719990E-2
9.734191667E-2,5.501224939E-3
1.072759167E-1,-5.956138317E-3
1.172099167E-1,1.028305963E-3
1.271439167E-1,1.720817294E-3
1.370779167E-1,-3.581127226E-3
1.470119167E-1,5.131498184E-3
1.569459167E-1,2.561902720E-3
1.668799167E-1,5.346511267E-3
1.768139167E-1,2.046452388E-3
1.867479167E-1,1.360117178E-3
1.966810417E-1,-3.790658545E-3
2.066150417E-1,1.172311921E-3
2.165490417E-1,4.397197533E-3
2.264830417E-1,5.089453049E-4
2.364180417E-1,-1.196303777E-4
2.463520417E-1,4.708031863E-3
2.562860417E-1,3.313196842E-3
2.662200417E-1,2.570911087E-3
2.761540417E-1,9.837903790E-3
2.860880417E-1,2.905243915E-3
2.960220417E-1,3.837253544E-3
3.059560417E-1,7.581993174E-3
3.158900417E-1,9.819649514E-3
3.258240417E-1,1.353758331E-3
3.357580417E-1,-1.199739017E-3
3.456920417E-1,-1.144153923E-3
3.556260417E-1,-8.345255814E-4
3.655600417E-1,3.648114391E-3
3.754950417E-1,7.095358651E-3
3.854290417E-1,2.528573591E-3
3.953630417E-1,1.563508920E-3
4.052970417E-1,-3.122139070E-3
4.152310417E-1,-4.532926027E-3
4.251650417E-1,8.767808508E-3
4.350990417E-1,9.440329671E-4
4.450330417E-1,-4.071306624E-4
4.549670417E-1,2.074829657E-3
4.649010417E-1,1.358929463E-4
4.748350417E-1,5.527628772E-3
4.847690417E-1,1.211469993E-3
4.947030417E-1,4.002382569E-3
5.046370417E-1,9.774863496E-3
5.145720417E-1,7.629629709E-3
5.245060417E-1,5.930648111E-3
5.344400417E-1,1.081734896E-5
5.443740417E-1,7.667691428E-3
5.543080417E-1,-5.191030148E-3
5.642420417E-1,1.593877897E-3
5.741760417E-1,3.845805097E-3
5.841100417E-1,-2.300495636E-3
5.940440417E-1,-6.090606004E-4
6.039780417E-1,2.817352954E-3
6.139120417E-1,4.145255629E-3
6.238460417E-1,-1.490290817E-3
6.337800417E-1,-8.477366343E-3
6.437140417E-1,-5.651023295E-3
6.536490417E-1,5.591491330E-3
6.635830417E-1,8.277190570E-3
6.735170417E-1,5.974867679E-3
6.834510417E-1,6.977811344E-3
6.933850417E-1,-5.076114088E-5
7.033190417E-1,-1.028251145E-3
7.132530417E-1,2.443953417E-3
7.231870417E-1,6.363707520E-3
7.331210417E-1,2.812328003E-3
7.430550417E-1,-6.830278784E-4
7.529890417E-1,6.666410565E-3
7.629230417E-1,3.298889436E-3
7.728570417E-1,3.806665298E-3
7.827910417E-1,-8.362980187E-4
7.927260417E-1,-5.737543814E-3
8.026600417E-1,-1.864494346E-3
8.125940417E-1,4.320142195E-3
8.225280417E-1,1.333530620E-3
8.324620417E-1,2.537088599E-3
8.423960417E-1,-1.798932441E-4
8.523300417E-1,-2.118373141E-3
8.622640417E-1,-2.752193045E-3
8.721980417E-1,2.968631387E-3
8.821320417E-1,8.531654086E-3
8.920660417E-1,1.198459938E-3
9.020000417E-1,2.719814088E-3
9.119340417E-1,-1.023536827E-3
9.218680417E-1,1.197454948E-3
9.318030417E-1,5.661438648E-3
9.417370417E-1,7.631767597E-3
9.516710417E-1,2.094417829E-3
9.616050417E-1,-1.817881074E-3
9.715390417E-1,-5.624180920E-3
9.814730417E-1,-7.532273568E-3
9.914070417E-1,-2.372617386E-3
1.001341042E0,2.713290788E-3
1.011275042E0,4.215915576E-3
1.021209042E0,7.022140548E-4
1.031143042E0,5.651480108E-3
1.041077042E0,2.017033584E-3
1.051011042E0,-3.341135569E-3
1.060945042E0,2.114225272E-3
1.070880042E0,-2.088990882E-3
1.080814042E0,-3.794568870E-3
1.090748042E0,2.255490348E-3
1.100682042E0,3.955531754E-3
1.110616042E0,-9.543569572E-4
1.120550042E0,-3.206594791E-3
1.130484042E0,2.213372122E-3
1.140418042E0,3.690068163E-3
1.150352042E0,5.906893797E-3
1.160286042E0,3.088316582E-3
1.170220042E0,2.710531633E-3
1.180154042E0,3.216900509E-3
1.190088042E0,7.100931779E-3
1.200023667E0,-2.270126659E-3
1.209957667E0,1.477701031E-3
1.219891667E0,3.120951355E-4
1.229825667E0,-4.551052395E-3
1.239759667E0,-2.501036860E-3
1.249693667E0,-1.260202881E-3
1.259627667E0,1.809000615E-3
1.269561667E0,2.480626423E-3
1.279495667E0,-8.072812110E-4
1.289429667E0,-8.387885671E-3
1.299363667E0,-2.479858976E-3
1.309297667E0,-1.267913897E-3
1.319231667E0,-5.327105820E-3
1.329165667E0,1.328414306E-5
1.339100667E0,2.623536028E-3
1.349034667E0,2.434634417E-4
1.358968667E0,-1.847939417E-3
1.368902667E0,6.334727257E-4
1.378836667E0,2.256988697E-3
1.388770667E0,-2.763540298E-4
1.398704667E0,2.235737722E-3
1.408638667E0,-5.380114485E-3
1.418572667E0,1.222780701E-3
1.428506667E0,-4.285643622E-3
1.438440667E0,-1.696898527E-3
1.448374667E0,1.038520318E-3
1.458308667E0,5.538775027E-4
1.468242667E0,9.723919630E-4
1.478176667E0,-1.984398812E-5
1.488111667E0,2.014548518E-4
1.498045667E0,-2.842386346E-3
1.507979667E0,-3.497621678E-3
1.517913667E0,-6.819479708E-3
1.527847667E0,-1.404556017E-3
1.537781667E0,1.542751305E-3
1.547715667E0,8.059582785E-3
1.557649667E0,9.885266237E-4
1.567583667E0,3.957761005E-3
1.577517667E0,-4.514361117E-3
1.587451667E0,9.751693904E-4
1.597385667E0,3.756543696E-3
1.607320667E0,-6.014592201E-3
1.617254667E0,-1.616188679E-3
1.627188667E0,-4.793602210E-3
1.637122667E0,9.447309785E-3
1.647056667E0,9.480931275E-3
1.656990667E0,-5.075200461E-4
1.666924667E0,-2.886587642E-3
1.676858667E0,-1.002331534E-2
1.686792667E0,-4.530075509E-3
1.696726667E0,-3.600751944E-3
1.706660667E0,-5.549738556E-3
1.716594667E0,5.896460172E-3
1.726528667E0,2.440737449E-3
1.736462667E0,-6.819552798E-3
1.746396667E0,-2.890443150E-3
1.756331667E0,-2.051696610E-3
1.766265667E0,2.663260549E-3
1.776199667E0,1.621871442E-4
1.786133667E0,6.249211729E-3
1.796067667E0,1.798548717E-3
1.806001667E0,-3.700063247E-3
1.815935667E0,-2.192376964E-3
1.825869667E0,3.678757455E-3
1.835803667E0,5.713953953E-3
1.845737667E0,-1.556766350E-3
1.855671667E0,-2.906614356E-4
1.865605667E0,7.538760323E-3
1.875539667E0,3.870911580E-3
1.885473667E0,-1.618070751E-3
1.895408667E0,2.713272516E-3
1.905342667E0,-1.277178079E-3
1.915276667E0,-7.794886641E-4
1.925210667E0,4.575756881E-3
1.935144667E0,1.154660638E-3
1.945078667E0,-3.335635532E-3
1.955012667E0,2.640200593E-4
1.964946667E0,-6.797205471E-4
1.974880667E0,3.815509211E-3
1.984814667E0,3.073552363E-3
1.994748667E0,-1.336805061E-2
2.004682667E0,5.939528570E-3
2.014616667E0,1.170301940E-3
2.024550667E0,-4.282226656E-3
2.034485667E0,8.188696615E-3
2.044419667E0,-4.446368963E-3
2.054353667E0,2.728036735E-3
2.064287667E0,-6.161010135E-3
2.074221667E0,2.338301539E-3
2.084155667E0,-1.898718830E-3
2.094089667E0,-5.937536862E-3
2.104023667E0,-2.084934376E-3
2.113957667E0,-1.998158041E-3
2.123891667E0,-2.469955254E-3
2.133825667E0,6.842375211E-3
2.143759667E0,-5.874697566E-3
2.153693667E0,-3.368909843E-3
2.163627667E0,-4.712289367E-3
2.173562667E0,-3.929511644E-4
2.183496667E0,-7.637742721E-4
2.193430667E0,-1.096298117E-3
2.203364458E0,-4.292130377E-3
2.213298458E0,5.496748164E-4
2.223232458E0,-2.809751574E-3
2.233166458E0,-2.204053123E-3
2.243100458E0,-1.816254817E-3
2.253034458E0,-2.462554872E-3
2.262968458E0,-4.468990378E-3
2.272902458E0,-6.869016588E-4
2.282836458E0,2.608388085E-3
2.292770458E0,2.521958929E-3
2.302705458E0,6.578830238E-3
2.312639458E0,-3.444211017E-3
2.322573458E0,-1.166225335E-2
2.332507458E0,-5.820592549E-3
2.342441458E0,-2.825484239E-4
2.352375458E0,-7.354171034E-3
2.362309458E0,-6.550580878E-3
2.372243458E0,-9.812961761E-3
2.382177458E0,3.898941670E-3
2.392111458E0,-1.063224804E-3
2.402045458E0,1.975956894E-3
2.411979458E0,-1.525739562E-3
2.421913458E0,7.048453018E-4
2.431847458E0,4.406425171E-4
2.441782458E0,-4.663903657E-3
2.451716458E0,-3.708322439E-3
2.461650458E0,-8.005843218E-3
2.471584458E0,1.409580968E-3
2.481518458E0,5.009382740E-3
2.491452458E0,-1.947378628E-3
2.501386458E0,-1.948657706E-3
2.511320458E0,4.068529196E-3
2.521254458E0,-1.047747955E-3
2.531188458E0,2.885911558E-3
2.541122458E0,2.653941549E-3
2.551056458E0,-5.945156515E-4
2.560990458E0,2.996186391E-3
2.570924458E0,-5.873528123E-4
2.580859458E0,1.624393053E-3
2.590793458E0,-5.362993106E-4
2.600727458E0,-3.060560580E-3
2.610661458E0,3.984512016E-4
2.620595458E0,4.420787394E-3
2.630529458E0,2.350781690E-3
2.640463458E0,8.060258869E-3
2.650397458E0,-2.712742612E-4
2.660331458E0,-7.959705032E-4
2.670265458E0,1.045774519E-3
2.680199458E0,4.306054059E-3
2.690133458E0,-1.282239575E-3
2.700067458E0,-8.989911340E-4
2.710001458E0,-1.062238086E-3
2.719936458E0,-7.404767722E-3
