Time (s),Linear Acceleration z (m/s^2)
1.786891667E-2,6.131741166E-2
2.780291667E-2,6.281546831E-2
3.773691667E-2,5.742842853E-2
4.767091667E-2,6.191675127E-2
5.760491667E-2,5.803010702E-2
6.753891666E-2,6.536602378E-2
7.747291667E-2,6.446555257E-2
8.740691667E-2,6.222197592E-2
9.734191667E-2,6.222548425E-2
1.072759167E-1,5.893467128E-2
1.172099167E-1,6.941112757E-2
1.271439167E-1,6.911058068E-2
1.370779167E-1,5.982988000E-2
1.470119167E-1,6.986077845E-2
1.569459167E-1,6.297392786E-2
1.668799167E-1,6.582210660E-2
1.768139167E-1,6.147587121E-2
1.867479167E-1,5.533103228E-2
1.966810417E-1,6.686700404E-2
2.066150417E-1,6.313472629E-2
2.165490417E-1,6.268390596E-2
2.264830417E-1,6.164310157E-2
2.364180417E-1,6.268916845E-2
2.463520417E-1,5.984859109E-2
2.562860417E-1,7.092146337E-2
2.662200417E-1,6.029122531E-2
2.761540417E-1,6.971108973E-2
2.860880417E-1,6.476902306E-2
2.960220417E-1,5.847975791E-2
3.059560417E-1,6.447607756E-2
3.158900417E-1,6.358203828E-2
3.258240417E-1,7.001865327E-2
3.357580417E-1,5.909839332E-2
3.456920417E-1,7.361936867E-2
3.556260417E-1,7.287560284E-2
3.655600417E-1,6.808264017E-2
3.754950417E-1,6.119403541E-2
3.854290417E-1,6.269501567E-2
3.953630417E-1,5.805758893E-2
4.052970417E-1,7.093315780E-2
4.152310417E-1,6.210210800E-2
4.251650417E-1,6.749031723E-2
4.350990417E-1,6.165479600E-2
4.450330417E-1,6.824109972E-2
4.549670417E-1,5.866277575E-2
4.649010417E-1,6.420418203E-2
4.748350417E-1,6.330838859E-2
4.847690417E-1,6.180506945E-2
4.947030417E-1,5.551755846E-2
5.046370417E-1,6.450531363E-2
5.145720417E-1,6.450355947E-2
5.245060417E-1,6.434977770E-2
5.344400417E-1,7.033557236E-2
5.443740417E-1,6.045611680E-2
5.543080417E-1,6.869192004E-2
5.642420417E-1,4.923706412E-2
5.741760417E-1,4.983114123E-2
5.841100417E-1,5.806752920E-2
5.940440417E-1,6.749967277E-2
6.039780417E-1,6.151387811E-2
6.139120417E-1,6.779378772E-2
6.238460417E-1,6.599927723E-2
6.337800417E-1,5.237351060E-2
6.437140417E-1,6.090869129E-2
6.536490417E-1,6.584724963E-2
