"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.786891667E-2,-2.584597226E-3,4.203654695E-3,6.131741166E-2,6.151565515E-2
2.780291667E-2,8.445937559E-3,1.344110426E-3,6.281546831E-2,6.339498051E-2
3.773691667E-2,-7.397513520E-3,4.628802091E-4,5.742842853E-2,5.790476550E-2
4.767091667E-2,-1.649901532E-3,1.854736805E-3,6.191675127E-2,6.196649345E-2
5.760491667E-2,1.435655896E-3,1.810699962E-3,5.803010702E-2,5.807609718E-2
6.753891666E-2,2.468054909E-3,7.195547037E-4,6.536602378E-2,6.541655844E-2
7.747291667E-2,1.071823865E-2,2.014292702E-3,6.446555257E-2,6.538153778E-2
8.740691667E-2,5.760914404E-3,1.063719990E-2,6.222197592E-2,6.338700533E-2
9.734191667E-2,-6.975600366E-3,5.501224939E-3,6.222548425E-2,6.285645048E-2
1.072759167E-1,-1.182051189E-4,-5.956138317E-3,5.893467128E-2,5.923499840E-2
1.172099167E-1,8.713721763E-3,1.028305963E-3,6.941112757E-2,6.996349756E-2
1.271439167E-1,6.112807151E-3,1.720817294E-3,6.911058068E-2,6.940172898E-2
1.370779167E-1,2.301244810E-3,-3.581127226E-3,5.982988000E-2,5.998111987E-2
1.470119167E-1,9.544081204E-3,5.131498184E-3,6.986077845E-2,7.069618183E-2
1.569459167E-1,-1.130138878E-3,2.561902720E-3,6.297392786E-2,6.303614954E-2
1.668799167E-1,4.622772150E-3,5.346511267E-3,6.582210660E-2,6.620049035E-2
1.768139167E-1,-2.703441884E-3,2.046452388E-3,6.147587121E-2,6.156930490E-2
1.867479167E-1,-1.731872186E-4,1.360117178E-3,5.533103228E-2,5.534801754E-2
1.966810417E-1,-9.926927648E-4,-3.790658545E-3,6.686700404E-2,6.698171960E-2
2.066150417E-1,1.993005183E-3,1.172311921E-3,6.313472629E-2,6.317705318E-2
2.165490417E-1,-3.654052969E-3,4.397197533E-3,6.268390596E-2,6.294409834E-2
2.264830417E-1,8.745004367E-3,5.089453049E-4,6.164310157E-2,6.226239714E-2
2.364180417E-1,7.321517989E-3,-1.196303777E-4,6.268916845E-2,6.311537672E-2
2.463520417E-1,-2.610726971E-3,4.708031863E-3,5.984859109E-2,6.009022645E-2
2.562860417E-1,7.765029296E-3,3.313196842E-3,7.092146337E-2,7.142217387E-2
2.662200417E-1,3.666898571E-3,2.570911087E-3,6.029122531E-2,6.045732031E-2
2.761540417E-1,1.517060101E-3,9.837903790E-3,6.971108973E-2,7.041819263E-2
2.860880417E-1,-8.449957520E-4,2.905243915E-3,6.476902306E-2,6.483965460E-2
2.960220417E-1,-8.292758781E-3,3.837253544E-3,5.847975791E-2,5.918932714E-2
3.059560417E-1,7.627181187E-3,7.581993174E-3,6.447607756E-2,6.536685009E-2
3.158900417E-1,5.805225335E-3,9.819649514E-3,6.358203828E-2,6.459722711E-2
3.258240417E-1,7.957822960E-3,1.353758331E-3,7.001865327E-2,7.048241918E-2
3.357580417E-1,3.045211639E-3,-1.199739017E-3,5.909839332E-2,5.918895827E-2
3.456920417E-1,-1.425441541E-3,-1.144153923E-3,7.361936867E-2,7.364205602E-2
3.556260417E-1,9.827415347E-3,-8.345255814E-4,7.287560284E-2,7.353997562E-2
3.655600417E-1,5.762357935E-3,3.648114391E-3,6.808264017E-2,6.842338343E-2
3.754950417E-1,1.507960372E-3,7.095358651E-3,6.119403541E-2,6.162246367E-2
3.854290417E-1,5.603057854E-3,2.528573591E-3,6.269501567E-2,6.299565804E-2
3.953630417E-1,-6.245739944E-4,1.563508920E-3,5.805758893E-2,5.808199623E-2
4.052970417E-1,-7.836200874E-3,-3.122139070E-3,7.093315780E-2,7.143295229E-2
4.152310417E-1,1.093526172E-2,-4.532926027E-3,6.210210800E-2,6.322024348E-2
4.251650417E-1,7.116847169E-3,8.767808508E-3,6.749031723E-2,6.842855324E-2
4.350990417E-1,1.698177606E-3,9.440329671E-4,6.165479600E-2,6.168540245E-2
4.450330417E-1,-2.933602910E-3,-4.071306624E-4,6.824109972E-2,6.830533999E-2
4.549670417E-1,4.797640443E-4,2.074829657E-3,5.866277575E-2,5.870141694E-2
4.649010417E-1,1.366640478E-3,1.358929463E-4,6.420418203E-2,6.421886921E-2
4.748350417E-1,4.386782181E-3,5.527628772E-3,6.330838859E-2,6.370047569E-2
4.847690417E-1,5.223025382E-3,1.211469993E-3,6.180506945E-2,6.203720064E-2
4.947030417E-1,-3.502756264E-3,4.002382569E-3,5.551755846E-2,5.577174611E-2
5.046370417E-1,3.285587020E-3,9.774863496E-3,6.450531363E-2,6.532440988E-2
5.145720417E-1,2.658199053E-3,7.629629709E-3,6.450355947E-2,6.500758768E-2
5.245060417E-1,3.084223531E-4,5.930648111E-3,6.434977770E-2,6.462322803E-2
5.344400417E-1,-1.308661681E-3,1.081734896E-5,7.033557236E-2,7.034774660E-2
5.443740417E-1,-3.287012279E-3,7.667691428E-3,6.045611680E-2,6.102900949E-2
5.543080417E-1,4.559183680E-4,-5.191030148E-3,6.869192004E-2,6.888929187E-2
5.642420417E-1,1.387014370E-3,1.593877897E-3,4.923706412E-2,4.928237757E-2
5.741760417E-1,2.761804406E-3,3.845805097E-3,4.983114123E-2,5.005557329E-2
5.841100417E-1,5.445164759E-3,-2.300495636E-3,5.806752920E-2,5.836762842E-2
5.940440417E-1,7.246107180E-3,-6.090606004E-4,6.749967277E-2,6.789022646E-2
6.039780417E-1,2.358730249E-3,2.817352954E-3,6.151387811E-2,6.162352056E-2
6.139120417E-1,1.649335083E-3,4.145255629E-3,6.779378772E-2,6.794042319E-2
6.238460417E-1,4.618185740E-3,-1.490290817E-3,6.599927723E-2,6.617743726E-2
6.337800417E-1,2.087730076E-3,-8.477366343E-3,5.237351060E-2,5.309622368E-2
6.437140417E-1,-8.666669950E-4,-5.651023295E-3,6.090869129E-2,6.117641580E-2
6.536490417E-1,-2.030226365E-3,5.591491330E-3,6.584724963E-2,6.611540575E-2
6.635830417E-1,6.409845706E-3,8.277190570E-3,6.046079457E-2,6.136045702E-2
6.735170417E-1,1.173243821E-3,5.974867679E-3,6.016609490E-2,6.047341995E-2
6.834510417E-1,-8.607832342E-4,6.977811344E-3,6.421061397E-2,6.459437859E-2
6.933850417E-1,-9.201507457E-4,-5.076114088E-5,6.585894406E-2,6.586539127E-2
7.033190417E-1,3.897534683E-3,-1.028251145E-3,7.558929563E-2,7.569669537E-2
7.132530417E-1,-2.578110471E-3,2.443953417E-3,6.720731199E-2,6.730113184E-2
7.231870417E-1,2.364577465E-3,6.363707520E-3,6.106948972E-2,6.144567173E-2
7.331210417E-1,4.710407294E-3,2.812328003E-3,6.496081173E-2,6.519205616E-2
7.430550417E-1,3.258306105E-3,-6.830278784E-4,6.152440310E-2,6.161440791E-2
7.529890417E-1,5.605360195E-3,6.666410565E-3,5.897969484E-2,5.961933828E-2
7.629230417E-1,-5.831775349E-3,3.298889436E-3,7.185877204E-2,7.217046068E-2
7.728570417E-1,-2.181961611E-3,3.806665298E-3,6.526954472E-2,6.541685658E-2
7.827910417E-1,5.027801469E-3,-8.362980187E-4,5.269569218E-2,5.294161082E-2
7.927260417E-1,4.231045246E-3,-5.737543814E-3,6.437433600E-2,6.476786463E-2
8.026600417E-1,-2.341590598E-3,-1.864494346E-3,6.362296879E-2,6.369333987E-2
8.125940417E-1,5.662151277E-3,4.320142195E-3,6.526720583E-2,6.565463992E-2
8.225280417E-1,-4.582316726E-3,1.333530620E-3,6.721198976E-2,6.738121027E-2
8.324620417E-1,3.291982412E-3,2.537088599E-3,5.673494875E-2,5.688697898E-2
8.423960417E-1,1.130650509E-3,-1.798932441E-4,5.687937498E-2,5.689089585E-2
8.523300417E-1,-1.971132942E-3,-2.118373141E-3,7.573898435E-2,7.579423870E-2
8.622640417E-1,-7.978891209E-4,-2.752193045E-3,7.244700193E-2,7.250365013E-2
8.721980417E-1,2.201549783E-3,2.968631387E-3,5.837918580E-2,5.849605908E-2
8.821320417E-1,4.445601515E-3,8.531654086E-3,7.155120850E-2,7.219506861E-2
8.920660417E-1,5.592002962E-3,1.198459938E-3,6.436731935E-2,6.462088365E-2
9.020000417E-1,8.723040763E-3,2.719814088E-3,6.271723509E-2,6.337933737E-2
9.119340417E-1,-3.850464597E-3,-1.023536827E-3,6.601331055E-2,6.613343236E-2
9.218680417E-1,-4.480666537E-3,1.197454948E-3,6.481287718E-2,6.497860663E-2
9.318030417E-1,-8.607284166E-3,5.661438648E-3,6.211497188E-2,6.296353675E-2
9.417370417E-1,1.057341043E-3,7.631767597E-3,6.045904040E-2,6.094798941E-2
9.516710417E-1,-4.822491109E-4,2.094417829E-3,7.288437366E-2,7.291605499E-2
9.616050417E-1,7.820833661E-4,-1.817881074E-3,6.705177605E-2,6.708097359E-2
9.715390417E-1,-1.256018467E-3,-5.624180920E-3,5.807396114E-2,5.835918056E-2
