Time (s),Absolute acceleration (m/s^2)
2.438204167E-2,2.187793406E-2
3.431704166E-2,2.647598750E-2
4.425204167E-2,2.356368946E-2
5.418704166E-2,2.796763791E-2
6.412204167E-2,1.284585271E-2
7.405704167E-2,1.025427685E-2
8.399204166E-2,1.771076132E-2
9.392704167E-2,3.297939111E-2
1.038620417E-1,2.622533230E-2
1.137970417E-1,3.187471555E-2
1.237320417E-1,2.516319747E-2
1.336670417E-1,2.981888339E-2
1.436010417E-1,2.380714305E-2
1.535360417E-1,2.254393078E-2
1.634710417E-1,2.245027481E-2
1.734060417E-1,2.717572149E-2
1.833410417E-1,1.984614257E-2
1.932760417E-1,1.156765062E-2
2.032110417E-1,4.084748483E-2
2.131460417E-1,2.154063624E-2
2.230810417E-1,1.989264581E-2
2.330160417E-1,1.805818172E-2
2.429510417E-1,2.544747868E-2
2.528860417E-1,1.777637958E-2
2.628200417E-1,2.920927008E-2
2.727550417E-1,2.916251910E-2
2.826900417E-1,2.694256459E-2
2.926250417E-1,2.626270192E-2
3.025600417E-1,2.858126371E-2
3.124950417E-1,1.697325583E-2
3.224300417E-1,1.547118601E-2
3.323650417E-1,2.735383693E-2
3.423000417E-1,2.149251498E-2
3.522350417E-1,1.645941418E-2
3.621700417E-1,1.865280680E-2
3.721050417E-1,1.488648682E-2
3.820400417E-1,2.916413678E-2
3.919740417E-1,2.834599558E-2
4.019090417E-1,2.975340900E-2
4.118440417E-1,2.093390581E-2
4.217790417E-1,1.904994309E-2
4.317140417E-1,1.654144244E-2
4.416490417E-1,1.733513200E-2
4.515840417E-1,1.203079061E-2
4.615190417E-1,2.114769484E-2
4.714540417E-1,2.089585908E-2
4.813890417E-1,8.248438286E-3
4.913240417E-1,1.837408572E-2
5.012590417E-1,4.196350162E-2
5.111930417E-1,3.201432059E-2
5.211280417E-1,1.517828202E-2
5.310630417E-1,3.214423448E-2
5.409980417E-1,2.874113392E-2
5.509330417E-1,1.128645949E-2
5.608680417E-1,2.575174371E-2
5.708030417E-1,2.775905150E-2
5.807380417E-1,1.032779873E-2
5.906730417E-1,1.968939125E-2
6.006080417E-1,1.951298057E-2
6.105430417E-1,4.095059297E-2
6.204780417E-1,2.748088994E-2
6.304120417E-1,2.805108602E-2
6.403470417E-1,2.809580023E-2
6.502811250E-1,2.521294394E-2
6.602161250E-1,2.466453936E-2
6.701511250E-1,1.744417879E-2
6.800861250E-1,1.282055470E-2
6.900211250E-1,2.785768009E-2
6.999561250E-1,2.961067041E-2
7.098911250E-1,2.479959457E-2
7.198261250E-1,2.256959366E-2
7.297611250E-1,3.048405287E-2
7.396961250E-1,1.692148930E-2
7.496311250E-1,2.158508083E-2
7.595651250E-1,2.427919698E-2
7.695001250E-1,3.710955184E-2
7.794351250E-1,2.512293210E-2
7.893701250E-1,1.590065122E-2
7.993051250E-1,2.125818590E-2
8.092401250E-1,3.139648778E-2
8.191751250E-1,1.563351355E-2
8.291101250E-1,2.875884183E-2
8.390451250E-1,2.671556151E-2
8.489801250E-1,2.766463993E-2
8.589151250E-1,1.412446984E-2
8.688501250E-1,3.596574703E-2
8.787841250E-1,1.086512539E-2
8.887191250E-1,8.597959957E-3
8.986541250E-1,2.171189239E-2
9.085891250E-1,3.445708273E-2
9.185241250E-1,2.287722470E-2
9.284591250E-1,2.650016546E-2
9.383941250E-1,3.818487992E-2
9.483291250E-1,1.421018791E-2
9.582641250E-1,1.700952662E-2
9.681991250E-1,3.511748340E-2
9.781341250E-1,2.865133337E-2
9.880691250E-1,2.144079191E-2
9.980031250E-1,2.014489693E-2
1.007938125E0,1.798966657E-2
1.017873125E0,1.737870811E-2
1.027808125E0,2.015403205E-2
1.037743125E0,3.179591624E-2
1.047678125E0,2.705034514E-2
1.057613125E0,3.443794142E-2
1.067548125E0,3.124550192E-2
1.077483125E0,2.074386450E-2
1.087418125E0,1.374936467E-2
1.097353125E0,2.671836151E-2
1.107288125E0,1.619476050E-2
1.117222125E0,2.187319172E-2
1.127157125E0,2.531386749E-2
1.137092125E0,2.110832522E-2
1.147027125E0,2.823202246E-2
1.156962125E0,2.776882089E-2
1.166897125E0,1.719656813E-2
1.176832125E0,1.801917471E-2
1.186767125E0,1.475899035E-2
1.196702125E0,1.887343979E-2
1.206637125E0,2.641610194E-2
1.216572125E0,1.663744744E-2
1.226507125E0,3.684857390E-2
1.236441125E0,1.336917360E-2
1.246376125E0,2.140798696E-2
1.256311125E0,3.602479043E-2
1.266246125E0,2.491018227E-2
1.276181125E0,2.342314446E-2
1.286116125E0,2.209191693E-2
1.296051125E0,1.609302990E-2
1.305986125E0,1.539250781E-2
1.315921125E0,1.848438045E-2
1.325856125E0,2.817447239E-2
1.335791125E0,2.118396443E-2
1.345726125E0,2.320794732E-2
1.355660125E0,2.047239568E-2
1.365595125E0,3.067587551E-2
1.375530125E0,1.624340745E-2
1.385465125E0,2.975776300E-2
1.395400125E0,1.972504819E-2
1.405335125E0,1.809688052E-2
1.415270125E0,1.782890396E-2
1.425205125E0,2.262792351E-2
1.435140125E0,3.306764466E-2
1.445075125E0,2.888090081E-2
1.455010125E0,2.027658333E-2
1.464945125E0,2.282881068E-2
1.474879125E0,2.557352280E-2
1.484814125E0,2.422085056E-2
1.494749125E0,2.754467795E-2
1.504684125E0,2.118320159E-2
1.514619125E0,3.378448673E-2
1.524554125E0,2.145784966E-2
1.534489125E0,3.089720766E-2
1.544424125E0,2.204773646E-2
1.554359125E0,1.291863281E-2
1.564294125E0,2.806931301E-2
1.574229125E0,2.379833414E-2
1.584164125E0,2.007380389E-2
1.594098125E0,3.280017907E-2
1.604033125E0,2.495829110E-2
1.613968125E0,2.184972167E-2
1.623903125E0,2.619248744E-2
1.633838125E0,1.349346675E-2
1.643772875E0,3.138192135E-2
1.653707875E0,2.722415446E-2
1.663642875E0,1.519032447E-2
1.673577875E0,1.996538530E-2
1.683512875E0,2.275040919E-2
1.693447875E0,3.045310932E-2
1.703382875E0,3.227753276E-2
1.713316875E0,1.183715025E-2
1.723251875E0,9.100406188E-3
1.733186875E0,2.718687550E-2
1.743121875E0,2.676766731E-2
1.753056875E0,2.486418593E-2
1.762991875E0,1.979484836E-2
1.772926875E0,2.543330208E-2
1.782861875E0,2.388208711E-2
1.792796875E0,2.448910250E-2
1.802731875E0,1.531680946E-2
1.812666875E0,9.798391921E-3
1.822601875E0,3.541431164E-2
1.832535875E0,3.921994656E-2
1.842470875E0,1.620680979E-2
1.852405875E0,2.226266170E-2
1.862340875E0,2.308067185E-2
1.872275875E0,1.735894674E-2
1.882210875E0,3.182908255E-2
1.892145875E0,2.724769330E-2
1.902080875E0,2.189187787E-2
1.912015875E0,1.577049753E-2
1.921950875E0,2.916120876E-2
1.931885875E0,1.600185270E-2
1.941819875E0,2.328035245E-2
1.951754875E0,2.784258403E-2
1.961689875E0,3.598801264E-2
1.971624875E0,1.927135232E-2
1.981559875E0,2.806782631E-2
1.991494875E0,2.323352655E-2
2.001429875E0,3.206281382E-2
2.011364875E0,2.469094428E-2
2.021299875E0,1.323080838E-2
2.031234875E0,1.705633973E-2
2.041169875E0,2.157789748E-2
2.051104875E0,2.433426136E-2
2.061038875E0,2.903200206E-2
2.070973875E0,2.167754293E-2
2.080908875E0,3.105156827E-2
2.090843875E0,2.964121133E-2
2.100778875E0,2.218335750E-2
2.110713875E0,2.894685485E-2
2.120648875E0,1.019132090E-2
2.130583875E0,2.365991518E-2
2.140518875E0,2.235926978E-2
2.150453875E0,3.486815398E-2
2.160388875E0,2.669754212E-2
2.170323875E0,1.452429119E-2
2.180257875E0,1.770212922E-2
2.190192875E0,1.612548351E-2
2.200127875E0,1.624894689E-2
2.210062875E0,2.680434089E-2
2.219997875E0,1.279458393E-2
2.229932875E0,1.926937033E-2
2.239867875E0,2.448889679E-2
2.249802875E0,3.087694130E-2
2.259737875E0,1.790144399E-2
2.269672875E0,6.422270117E-3
2.279607875E0,2.478434547E-2
2.289542875E0,1.986111782E-2
2.299476875E0,2.131293014E-2
2.309411875E0,2.050204658E-2
2.319346875E0,1.840075618E-2
2.329281875E0,2.204157348E-2
2.339216875E0,2.708843299E-2
2.349151875E0,3.124239560E-2
2.359086875E0,3.302954996E-2
2.369021875E0,2.313609863E-2
2.378956875E0,2.615883190E-2
2.388891875E0,1.770823261E-2
2.398826875E0,1.613265921E-2
2.408760875E0,1.375347569E-2
2.418695875E0,2.477912843E-2
2.428630875E0,2.523087818E-2
2.438565875E0,1.990455613E-2
2.448500875E0,2.677339494E-2
2.458435875E0,2.022806262E-2
2.468370875E0,2.522298695E-2
2.478305875E0,2.732790519E-2
2.488240875E0,2.437613069E-2
2.498175875E0,3.132272522E-2
2.508110875E0,3.442576026E-2
2.518045875E0,2.793748239E-2
2.527979875E0,2.588880025E-2
2.537914875E0,2.701321431E-2
2.547849875E0,1.273534857E-2
2.557784875E0,2.759055010E-2
2.567719875E0,2.694280348E-2
2.577654875E0,2.140478785E-2
2.587589875E0,5.492408129E-3
2.597524875E0,3.451649755E-2
2.607459875E0,2.059824565E-2
2.617394875E0,1.296938555E-2
2.627329875E0,3.047313850E-2
2.637263875E0,2.750004796E-2
2.647199292E0,1.355246289E-2
2.657134292E0,2.501283130E-2
2.667069292E0,2.023208777E-2
2.677004292E0,1.869306189E-2
2.686939292E0,2.375125000E-2
2.696874292E0,2.818123897E-2
2.706809292E0,3.247157530E-2
2.716744292E0,3.842329238E-3
2.726679292E0,1.460982947E-2
2.736614292E0,2.075916515E-2
2.746549292E0,2.469258297E-2
2.756483292E0,3.234582216E-2
2.766418292E0,2.926009480E-2
2.776353292E0,2.266747974E-2
2.786288292E0,2.533021764E-2
2.796223292E0,2.644483147E-2
2.806158292E0,2.360751414E-2
2.816093292E0,2.749785695E-2
2.826028292E0,2.113193264E-2
2.835963292E0,2.185725683E-2
2.845898292E0,1.451839695E-2
2.855833292E0,1.888797044E-2
2.865767292E0,2.959978349E-2
2.875702292E0,2.054452192E-2
2.885637292E0,1.699242248E-2
2.895572292E0,3.227431024E-2
2.905507292E0,3.555501441E-2
2.915442292E0,1.718163279E-2
2.925377292E0,1.731144914E-2
2.935312292E0,1.179130113E-2
2.945247292E0,1.061592242E-2
2.955182292E0,3.331479894E-2
2.965117292E0,1.759455307E-2
2.975052292E0,2.605111043E-2
2.984986292E0,1.852997703E-2
2.994921292E0,1.559655548E-2
3.004856292E0,3.028934319E-2
3.014791292E0,2.444306819E-2
3.024726292E0,1.605691186E-2
3.034661292E0,2.170557550E-2
3.044596292E0,1.789554113E-2
3.054531292E0,1.786525141E-2
3.064466292E0,1.566368795E-2
3.074401292E0,7.969780230E-3
3.084336292E0,1.926859248E-2
3.094271292E0,3.091941782E-2
3.104205292E0,2.616202518E-2
3.114140292E0,2.928678839E-2
3.124075292E0,2.653494627E-2
3.134010292E0,3.112559408E-2
3.143945292E0,2.349399104E-2
3.153880292E0,2.057966024E-2
3.163815292E0,1.056521453E-2
3.173750292E0,2.579768159E-2
3.183685292E0,1.860217192E-2
3.193620292E0,2.537133082E-2
3.203555292E0,1.448769763E-2
3.213489292E0,2.823384666E-2
3.223424292E0,2.026978270E-2
3.233359292E0,2.481145081E-2
3.243294292E0,3.971862255E-2
3.253229292E0,3.060513153E-2
3.263164292E0,2.891016280E-2
3.273099292E0,2.006285514E-2
3.283034292E0,2.726610844E-2
3.292969292E0,1.853123023E-2
3.302904292E0,2.319986490E-2
3.312839292E0,2.707415113E-2
3.322774292E0,3.111341809E-2
3.332708292E0,1.942466126E-2
3.342643292E0,2.570532077E-2
3.352578292E0,2.124829137E-2
3.362513292E0,2.533026277E-2
3.372448292E0,1.181298601E-2
3.382383292E0,8.559326055E-3
3.392318292E0,2.315023321E-2
3.402253292E0,3.032629149E-2
3.412188292E0,1.623730992E-2
3.422123292E0,1.891596382E-2
3.432058292E0,9.127569645E-3
3.441992292E0,3.009684875E-2
3.451927292E0,2.291825661E-2
3.461862292E0,9.851488636E-3
3.471797292E0,2.459032749E-2
3.481732292E0,1.949326622E-2
3.491667292E0,1.666712107E-2
3.501602292E0,2.617242598E-2
3.511537292E0,3.547974894E-2
3.521472292E0,3.348690827E-2
3.531407292E0,2.213774689E-2
3.541342292E0,2.361145284E-2
3.551277292E0,2.056322155E-2
3.561211292E0,2.595535678E-2
3.571146292E0,1.390021012E-2
3.581081292E0,2.696613585E-2
3.591016292E0,2.339440717E-2
3.600951292E0,1.442974509E-2
3.610886292E0,2.074688032E-2
3.620821292E0,1.961697713E-2
3.630756292E0,2.286141365E-2
3.640691292E0,4.174724091E-2
3.650627000E0,1.893924810E-2
3.660562000E0,1.618235535E-2
3.670497000E0,3.530069171E-2
3.680431000E0,2.233872018E-2
3.690366000E0,2.830841211E-2
3.700301000E0,3.726246600E-2
3.710236000E0,1.677059683E-2
3.720171000E0,1.982615327E-2
3.730106000E0,1.974743361E-2
3.740041000E0,2.780151907E-2
3.749976000E0,2.430312234E-2
3.759911000E0,1.307773732E-2
3.769846000E0,2.175636593E-2
3.779781000E0,3.469038596E-2
3.789715000E0,3.945976696E-2
3.799650000E0,3.522872971E-2
3.809585000E0,2.270648317E-2
3.819520000E0,3.093233668E-2
3.829455000E0,2.256343876E-2
3.839390000E0,1.618470651E-2
3.849325000E0,3.324254089E-2
3.859260000E0,1.282904389E-2
3.869195000E0,2.969489043E-2
