Time (s),Linear Acceleration y (m/s^2)
2.438204167E-2,-1.062713172E-2
3.431704166E-2,-1.207227107E-2
4.425204167E-2,-1.564420721E-2
5.418704166E-2,-4.116476364E-3
6.412204167E-2,-5.427093208E-3
7.405704167E-2,-8.622450382E-4
8.399204166E-2,-2.045136765E-3
9.392704167E-2,-1.123809267E-2
1.038620417E-1,-1.286683459E-2
1.137970417E-1,-1.003111772E-2
1.237320417E-1,-6.407872271E-3
1.336670417E-1,-3.879006319E-3
1.436010417E-1,-9.857784323E-3
1.535360417E-1,-6.241500713E-3
1.634710417E-1,-9.761414900E-3
1.734060417E-1,-4.431458563E-4
1.833410417E-1,-1.408084447E-2
1.932760417E-1,-4.934227746E-3
2.032110417E-1,-1.171818562E-3
2.131460417E-1,-7.410304304E-3
2.230810417E-1,6.036884710E-4
2.330160417E-1,4.592439719E-3
2.429510417E-1,-2.229645655E-2
2.528860417E-1,-8.147108294E-3
2.628200417E-1,8.792933263E-3
2.727550417E-1,1.127964444E-3
2.826900417E-1,9.105302487E-3
2.926250417E-1,5.240859389E-3
3.025600417E-1,-1.668132054E-2
3.124950417E-1,1.651838422E-4
3.224300417E-1,-4.116677362E-3
3.323650417E-1,-8.493702002E-3
3.423000417E-1,-1.369686512E-2
3.522350417E-1,4.264447466E-4
3.621700417E-1,-3.631431554E-3
3.721050417E-1,-6.148694437E-3
3.820400417E-1,-1.375009306E-2
3.919740417E-1,-1.182582920E-2
4.019090417E-1,-8.546619304E-4
4.118440417E-1,4.924890473E-3
4.217790417E-1,-4.532926027E-3
4.317140417E-1,9.027370065E-4
4.416490417E-1,5.022575520E-3
4.515840417E-1,-5.160240903E-3
4.615190417E-1,-7.317534573E-3
4.714540417E-1,4.176154509E-3
4.813890417E-1,7.010025848E-3
4.913240417E-1,1.139861701E-2
5.012590417E-1,-5.630101226E-3
5.111930417E-1,5.106483065E-3
5.211280417E-1,6.073758714E-3
5.310630417E-1,-1.325053984E-2
5.409980417E-1,5.178769268E-3
5.509330417E-1,-5.446827561E-3
5.608680417E-1,7.443103530E-3
5.708030417E-1,2.039399184E-4
5.807380417E-1,-9.232936241E-4
5.906730417E-1,5.163475145E-3
6.006080417E-1,-1.710803937E-3
6.105430417E-1,-1.622942213E-2
6.204780417E-1,-9.358742740E-3
6.304120417E-1,-1.375016615E-2
6.403470417E-1,-1.448611133E-3
6.502811250E-1,-1.078263111E-4
6.602161250E-1,1.428913325E-3
6.701511250E-1,4.918750897E-3
6.800861250E-1,4.704103265E-3
6.900211250E-1,-1.149714259E-2
6.999561250E-1,3.277199920E-3
7.098911250E-1,-1.236441258E-2
7.198261250E-1,5.921329111E-3
7.297611250E-1,-6.556245368E-3
7.396961250E-1,-5.333099216E-3
7.496311250E-1,-8.773472998E-3
7.595651250E-1,-1.074608602E-3
7.695001250E-1,-7.495436110E-3
7.794351250E-1,1.527566817E-3
7.893701250E-1,-5.865908470E-3
7.993051250E-1,-9.302554652E-5
8.092401250E-1,-8.081473298E-3
8.191751250E-1,-2.907527983E-4
8.291101250E-1,1.099128535E-2
8.390451250E-1,-7.232055590E-3
8.489801250E-1,8.571762331E-3
8.589151250E-1,-1.058066463E-2
8.688501250E-1,-9.574230909E-3
8.787841250E-1,-3.263769597E-3
8.887191250E-1,1.537872534E-3
8.986541250E-1,-1.508033462E-3
9.085891250E-1,-8.570830431E-3
9.185241250E-1,-3.656099495E-3
9.284591250E-1,-2.818412762E-3
9.383941250E-1,-9.421216585E-3
9.483291250E-1,-2.109218594E-3
9.582641250E-1,-1.020892790E-2
9.681991250E-1,-3.793984149E-3
9.781341250E-1,-5.606383458E-3
9.880691250E-1,6.376735847E-3
9.980031250E-1,5.544622242E-3
1.007938125E0,2.068635263E-3
1.017873125E0,2.628816795E-3
1.027808125E0,-5.614916738E-3
1.037743125E0,-1.971905870E-2
1.047678125E0,-3.391184080E-3
1.057613125E0,-9.731393103E-3
1.067548125E0,-6.839963235E-3
1.077483125E0,-8.455768190E-3
1.087418125E0,-5.826019496E-3
1.097353125E0,-9.082918614E-3
1.107288125E0,4.362333510E-3
1.117222125E0,-4.099939708E-3
1.127157125E0,-3.096173778E-3
1.137092125E0,-1.097357925E-3
1.147027125E0,-7.625810746E-3
1.156962125E0,-9.527489729E-3
1.166897125E0,-4.885586221E-3
1.176832125E0,1.302231571E-2
1.186767125E0,4.194573238E-3
1.196702125E0,-1.439632002E-2
1.206637125E0,-1.416932015E-2
1.216572125E0,-1.347856298E-3
1.226507125E0,-7.053240426E-3
1.236441125E0,-5.580070987E-3
1.246376125E0,-1.238412866E-2
1.256311125E0,-1.614206107E-2
1.266246125E0,1.747983092E-2
1.276181125E0,8.186101913E-6
1.286116125E0,-7.190120090E-3
1.296051125E0,2.437740751E-4
1.305986125E0,-6.789750271E-3
1.315921125E0,-1.003935864E-2
1.325856125E0,-2.271186467E-3
1.335791125E0,4.933588207E-4
1.345726125E0,-1.047294796E-2
1.355660125E0,4.236965552E-3
1.365595125E0,-2.609265167E-3
1.375530125E0,-5.228196513E-3
1.385465125E0,4.343220424E-3
1.395400125E0,-5.373390187E-3
1.405335125E0,-6.384739224E-3
1.415270125E0,1.316193625E-2
1.425205125E0,4.550321493E-3
1.435140125E0,-1.233908683E-3
1.445075125E0,7.213783041E-3
1.455010125E0,9.068757389E-3
1.464945125E0,1.045847610E-3
1.474879125E0,-1.271382026E-2
1.484814125E0,-5.740613602E-3
1.494749125E0,1.371104462E-2
1.504684125E0,1.398178898E-2
1.514619125E0,-3.329514228E-3
1.524554125E0,-5.023690145E-3
1.534489125E0,-2.362311669E-3
1.544424125E0,-6.091866810E-3
1.554359125E0,6.531339884E-4
1.564294125E0,-1.273339016E-2
1.574229125E0,-6.679895706E-4
1.584164125E0,-1.722253516E-2
1.594098125E0,-2.107097151E-2
1.604033125E0,5.716128387E-3
1.613968125E0,3.499832656E-3
1.623903125E0,-9.495604131E-3
1.633838125E0,-1.323098822E-2
1.643772875E0,3.328271694E-3
1.653707875E0,5.637994967E-4
1.663642875E0,-5.472756308E-3
1.673577875E0,2.885253746E-3
