Time (s),Linear Acceleration z (m/s^2)
1.814887000E-2,0.000000000E0
2.298793300E-2,-1.195907593E-3
2.782689100E-2,1.036930084E-2
3.266584900E-2,5.982398987E-3
3.750480800E-2,-2.871513367E-3
4.234376600E-2,3.589630127E-3
4.718277600E-2,-5.127906799E-3
5.202173500E-2,-6.579399109E-3
5.686069300E-2,-7.975578308E-3
6.169965100E-2,1.004981995E-2
6.653861000E-2,-8.265495300E-3
7.137756800E-2,-9.975433350E-4
7.621652600E-2,-7.546424866E-3
8.105548500E-2,-3.423690796E-4
8.589449500E-2,1.914024353E-3
9.073345300E-2,-4.501342773E-4
9.557241200E-2,6.333351135E-3
1.004113700E-1,-7.991790771E-4
1.052503280E-1,1.510620117E-3
1.100892870E-1,-7.657051086E-3
1.149282450E-1,-7.292747498E-3
1.197672030E-1,-4.676818848E-3
1.246061620E-1,6.970405579E-3
1.294451200E-1,-9.371757507E-3
1.342841310E-1,-1.129531860E-2
1.391230890E-1,2.944946289E-3
1.439620470E-1,-1.772880554E-3
1.488010060E-1,-6.322860718E-3
1.536399640E-1,8.249282837E-4
1.584789220E-1,-1.515388489E-3
1.633178810E-1,-1.072883606E-2
1.681568390E-1,-3.438949585E-3
1.729957970E-1,-5.655288696E-3
1.778347560E-1,1.076793671E-2
1.826737660E-1,3.486633301E-3
1.875127240E-1,1.062393188E-3
1.923516830E-1,1.267528534E-2
1.971906410E-1,3.022193909E-3
2.020295990E-1,7.607460022E-3
2.068685580E-1,9.750366211E-3
2.117075160E-1,2.509117126E-3
2.165464740E-1,2.449035645E-3
2.213854330E-1,-9.293556213E-3
2.262243910E-1,-1.375961304E-2
2.310633490E-1,-1.111412048E-2
2.359023600E-1,-1.087284088E-2
2.407413180E-1,5.752563477E-3
2.455802760E-1,-1.397132874E-3
2.504192350E-1,-8.399963379E-3
2.551644430E-1,1.146316528E-3
2.599085580E-1,-8.258819580E-3
2.646526720E-1,-1.044750214E-2
2.693967870E-1,-5.554199219E-3
2.741409010E-1,-3.103256226E-3
2.788850680E-1,-1.244354248E-2
2.836291830E-1,1.597976685E-2
2.883732970E-1,-7.572174072E-4
2.931174120E-1,-5.446434021E-3
2.978615260E-1,4.055023193E-3
3.026056410E-1,3.987312317E-3
3.073497560E-1,6.275177002E-3
3.120938700E-1,1.323604584E-2
3.168379850E-1,-1.104354858E-3
3.215820990E-1,1.068973541E-2
3.263262140E-1,5.813598633E-3
3.310703810E-1,-3.700256348E-3
3.358144950E-1,-1.778697968E-2
3.405586100E-1,-8.094787598E-3
3.453027240E-1,-1.033687592E-2
3.500468390E-1,-1.018905640E-2
3.547909530E-1,-5.326271057E-3
3.595350680E-1,-5.340576172E-4
3.642791830E-1,1.832962036E-3
3.690232970E-1,-7.632255554E-3
3.737674120E-1,1.912117004E-3
3.785115780E-1,-4.739761353E-4
3.832556930E-1,1.134300232E-2
3.879998080E-1,-7.699012756E-3
3.927439220E-1,1.847267151E-3
3.974880370E-1,-2.900123596E-3
4.022321510E-1,8.952140808E-3
4.069762660E-1,4.116058350E-3
4.117203810E-1,4.066467285E-3
4.164644950E-1,1.652717590E-3
4.212086100E-1,-3.093719482E-3
4.259527240E-1,1.349639893E-2
