Time (s),Linear Acceleration x (m/s^2)
1.382209690E-1,3.837563097E-3
1.550968440E-1,1.433148980E-3
1.719773480E-1,-8.422136307E-5
1.888428480E-1,-8.267611265E-4
2.057123640E-1,-2.769157290E-4
2.226048610E-1,9.276196361E-4
2.394807480E-1,-2.857066691E-3
2.563676090E-1,-6.272643805E-4
2.732380820E-1,8.105114102E-4
2.901257580E-1,-7.560849190E-4
3.070057530E-1,-3.548637033E-4
3.239038550E-1,-1.431740820E-3
3.407871680E-1,-2.296827734E-3
3.576547000E-1,-4.206076264E-3
3.745349190E-1,-2.713724971E-3
3.914254850E-1,-5.363054574E-3
4.083278280E-1,2.006478608E-3
4.251615270E-1,5.420207977E-3
4.420643610E-1,-7.782131433E-5
4.589353220E-1,-4.906453192E-3
4.758307490E-1,-1.634947956E-3
4.926991370E-1,3.626435995E-3
5.095837210E-1,-8.928179741E-4
5.264723520E-1,-3.810301423E-4
5.433277400E-1,-2.051733434E-3
5.602325670E-1,3.531023860E-3
5.771051660E-1,-2.617061138E-3
5.939581010E-1,6.085783243E-4
6.108628370E-1,-7.075443864E-4
6.277288550E-1,-1.394122839E-3
6.446266720E-1,7.158815861E-4
6.615064540E-1,-2.975277603E-3
6.783661550E-1,-4.679627717E-3
6.952571360E-1,-4.894964397E-3
7.121337350E-1,2.048708498E-3
7.290139730E-1,-1.515150070E-3
7.458812420E-1,-3.261148930E-3
7.627715720E-1,3.513120115E-3
7.796583130E-1,1.553758979E-3
7.965352650E-1,1.313075423E-3
8.134186480E-1,-1.560933888E-3
8.303101800E-1,-4.235565662E-3
8.471880680E-1,-2.328261733E-3
8.640540970E-1,8.243098855E-4
8.809299930E-1,2.538017929E-3
8.978314110E-1,-4.204079509E-3
9.147153830E-1,-3.441363573E-3
9.315913610E-1,-3.065541387E-4
9.484698200E-1,2.473667264E-3
9.653370280E-1,6.126165390E-4
9.822326380E-1,-5.473673344E-3
9.991086350E-1,-7.540650666E-3
1.015995598E0,1.297973096E-3
1.032873640E0,7.451534271E-3
1.049754104E0,-5.126446486E-4
1.066634038E0,-1.708999276E-3
1.083512568E0,1.077242196E-3
1.100394811E0,5.550153553E-3
1.117274033E0,2.207808197E-3
1.134154862E0,1.834765077E-3
1.151036251E0,1.757018268E-3
1.167899116E0,-1.231700182E-3
1.184782600E0,1.052245498E-4
1.201661558E0,3.056675196E-4
1.218543181E0,-2.542689443E-3
1.235420225E0,-4.170276225E-3
1.252301696E0,-2.188459039E-3
1.269181670E0,-2.968527377E-3
1.286064443E0,-4.184484482E-3
1.302931244E0,-6.065092981E-3
1.319842652E0,-3.446817398E-3
1.336719350E0,-3.103390336E-3
1.353599356E0,-1.911476254E-3
