"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.382209690E-1,3.837563097E-3,-1.308694482E-3,-5.418014526E-2,5.433164559E-2
1.550968440E-1,1.433148980E-3,-1.140847802E-3,-5.882072449E-2,5.884924026E-2
1.719773480E-1,-8.422136307E-5,1.239314675E-3,-5.546188354E-2,5.547579220E-2
1.888428480E-1,-8.267611265E-4,-4.303753376E-3,-5.787467957E-2,5.804036838E-2
2.057123640E-1,-2.769157290E-4,-2.257585526E-3,-5.352878571E-2,5.357708721E-2
2.226048610E-1,9.276196361E-4,-1.887604594E-3,-5.059719086E-2,5.064088518E-2
2.394807480E-1,-2.857066691E-3,-1.788243651E-3,-5.762672424E-2,5.772521106E-2
2.563676090E-1,-6.272643805E-4,-5.836009979E-3,-5.706691742E-2,5.736798355E-2
2.732380820E-1,8.105114102E-4,-3.525033593E-3,-5.519485474E-2,5.531324236E-2
2.901257580E-1,-7.560849190E-4,8.866190910E-4,-5.312538147E-2,5.313815874E-2
3.070057530E-1,-3.548637033E-4,-1.363188028E-3,-5.346107483E-2,5.347962913E-2
3.239038550E-1,-1.431740820E-3,9.052902460E-4,-5.757522583E-2,5.760013942E-2
3.407871680E-1,-2.296827734E-3,4.530355334E-3,-5.299854279E-2,5.324138498E-2
3.576547000E-1,-4.206076264E-3,-1.906737685E-3,-4.909801483E-2,4.931472180E-2
3.745349190E-1,-2.713724971E-3,-3.529220819E-3,-4.700469971E-2,4.721505583E-2
3.914254850E-1,-5.363054574E-3,-2.012550831E-4,-5.659770966E-2,5.685159273E-2
4.083278280E-1,2.006478608E-3,-3.270670772E-3,-5.983543396E-2,5.995833888E-2
4.251615270E-1,5.420207977E-3,-5.958274007E-3,-4.862880707E-2,4.929138424E-2
4.420643610E-1,-7.782131433E-5,-2.258971334E-3,-4.693603516E-2,4.699042885E-2
4.589353220E-1,-4.906453192E-3,-1.800209284E-3,-5.252456665E-2,5.278393826E-2
4.758307490E-1,-1.634947956E-3,1.156851649E-3,-4.866027832E-2,4.870147890E-2
4.926991370E-1,3.626435995E-3,1.195937395E-3,-5.684661865E-2,5.697472559E-2
5.095837210E-1,-8.928179741E-4,-2.615600824E-4,-5.530452728E-2,5.531235193E-2
5.264723520E-1,-3.810301423E-4,-5.717068911E-3,-5.606460571E-2,5.635663292E-2
5.433277400E-1,-2.051733434E-3,-1.286134124E-3,-5.504322052E-2,5.509645974E-2
5.602325670E-1,3.531023860E-3,-2.941921353E-3,-5.310058594E-2,5.329911123E-2
5.771051660E-1,-2.617061138E-3,-5.956918001E-3,-5.751991272E-2,5.788673631E-2
5.939581010E-1,6.085783243E-4,-5.360543728E-4,-4.941558838E-2,4.942224293E-2
6.108628370E-1,-7.075443864E-4,-1.510605216E-3,-4.997634888E-2,5.000417977E-2
6.277288550E-1,-1.394122839E-3,-6.856292486E-3,-5.134105682E-2,5.181560036E-2
6.446266720E-1,7.158815861E-4,-4.688873887E-3,-5.319404602E-2,5.340509860E-2
6.615064540E-1,-2.975277603E-3,-3.180280328E-3,-5.574798584E-2,5.591783602E-2
6.783661550E-1,-4.679627717E-3,1.152142882E-3,-5.400371552E-2,5.421833305E-2
6.952571360E-1,-4.894964397E-3,6.623715162E-4,-5.408477783E-2,5.430987577E-2
7.121337350E-1,2.048708498E-3,-4.172310233E-3,-4.954624176E-2,4.976379660E-2
7.290139730E-1,-1.515150070E-3,-1.971498132E-3,-4.820919037E-2,4.827326921E-2
7.458812420E-1,-3.261148930E-3,-3.423780203E-3,-5.385589600E-2,5.406306407E-2
7.627715720E-1,3.513120115E-3,-5.917236209E-3,-5.243587494E-2,5.288550537E-2
7.796583130E-1,1.553758979E-3,-3.370001912E-3,-5.222034454E-2,5.235203400E-2
7.965352650E-1,1.313075423E-3,7.114112377E-4,-5.332565308E-2,5.334656080E-2
8.134186480E-1,-1.560933888E-3,2.883225679E-3,-4.943180084E-2,4.954041218E-2
8.303101800E-1,-4.235565662E-3,-3.780230880E-3,-5.403995514E-2,5.433734364E-2
8.471880680E-1,-2.328261733E-3,-3.001689911E-3,-5.473709106E-2,5.486875325E-2
8.640540970E-1,8.243098855E-4,-1.746132970E-3,-5.370521545E-2,5.373991658E-2
8.809299930E-1,2.538017929E-3,-4.528149962E-3,-4.883670807E-2,4.911180848E-2
