Time (s),Absolute acceleration (m/s^2)
2.130417300E-2,2.173644963E-2
2.923874300E-2,4.050856556E-2
3.717331300E-2,2.236402604E-3
4.507736600E-2,2.132135995E-2
5.301193700E-2,1.899847390E-2
6.094650700E-2,1.414701354E-2
6.888107700E-2,1.051757734E-2
7.681564700E-2,6.970573486E-3
8.475021800E-2,1.726766586E-2
9.265427100E-2,1.600530359E-2
1.005888410E-1,2.261213270E-2
1.084928940E-1,1.354464007E-2
1.164274640E-1,1.898434937E-2
1.243620340E-1,1.410207286E-2
1.322660870E-1,2.622078170E-2
1.402311750E-1,9.418241012E-3
1.481352280E-1,2.432513934E-2
1.560697980E-1,1.669257367E-2
1.640043680E-1,1.893252764E-2
1.719084210E-1,2.372795393E-2
1.798124740E-1,2.378596377E-2
1.877165260E-1,1.653721378E-2
1.956205790E-1,2.389156986E-2
2.035551490E-1,1.481013141E-2
2.114592020E-1,8.102628491E-3
2.193937720E-1,1.428125594E-2
2.273588600E-1,2.109752375E-2
2.352934310E-1,2.053456455E-2
2.432280010E-1,2.471777280E-2
2.511625710E-1,1.512053515E-2
2.590971420E-1,1.805969729E-2
2.670317120E-1,1.682594740E-2
2.749662820E-1,2.369784418E-2
2.829008530E-1,2.619362052E-2
2.908354230E-1,1.656660263E-2
2.987699930E-1,1.423141984E-2
3.066740460E-1,2.134991306E-2
3.146086160E-1,9.967267256E-3
3.225431870E-1,1.450051434E-2
3.304472390E-1,2.889741826E-2
3.383818100E-1,1.571564979E-2
3.462858620E-1,2.153987764E-2
3.542204330E-1,1.988562834E-2
3.621550030E-1,1.182810265E-2
3.701200910E-1,3.120393196E-2
3.780546610E-1,1.897993101E-2
3.859892310E-1,1.842645378E-2
3.939238020E-1,1.923015634E-2
4.018583720E-1,1.551621216E-2
4.097929420E-1,3.860560325E-2
4.177275130E-1,2.690183598E-2
4.256620830E-1,2.217012480E-2
4.335966530E-1,2.486761561E-2
4.415312240E-1,1.940089201E-2
4.494352760E-1,2.618640167E-2
4.573698470E-1,2.746591549E-2
4.652738990E-1,1.628747480E-2
4.732084700E-1,2.290668890E-2
4.811430400E-1,8.923366058E-3
4.890776100E-1,1.745078124E-2
4.970121810E-1,2.443544563E-2
5.049772690E-1,3.682654444E-2
5.129118390E-1,2.048148883E-2
5.208464090E-1,2.960048971E-2
5.287809800E-1,2.522252477E-2
5.367155500E-1,3.706864767E-2
5.446501200E-1,1.995294931E-2
5.525846900E-1,3.131212108E-2
5.605192610E-1,2.263033049E-2
5.684538310E-1,2.543499280E-2
5.763884010E-1,2.304842723E-2
5.843229720E-1,2.580322232E-2
5.922575420E-1,2.281898766E-2
6.001921120E-1,1.937847245E-2
6.080961650E-1,2.315507635E-2
6.160307350E-1,1.416753493E-2
6.239347880E-1,2.935407348E-2
6.318693580E-1,2.952918297E-2
6.398039290E-1,3.274549514E-2
6.477384990E-1,3.006402043E-2
6.557035870E-1,1.736413930E-2
6.636381570E-1,2.106972554E-2
6.715727280E-1,3.381535366E-2
6.795072980E-1,3.330310430E-2
6.874418680E-1,2.802293748E-2
6.953764380E-1,2.815490631E-2
7.032804910E-1,2.113485533E-2
7.112150620E-1,2.412237317E-2
7.191496320E-1,2.758260481E-2
7.270536850E-1,3.443936941E-2
7.349882550E-1,2.336325482E-2
7.429228250E-1,2.376437071E-2
7.508879130E-1,2.167417929E-2
7.588224830E-1,3.231134135E-2
7.667570540E-1,3.099295528E-2
7.746916240E-1,3.348479192E-2
7.825956770E-1,3.261482435E-2
7.905302470E-1,2.754340051E-2
7.984648170E-1,2.475435705E-2
8.063993880E-1,3.231234821E-2
8.143644760E-1,1.652165297E-2
8.222990460E-1,3.269849091E-2
8.302336160E-1,2.426918184E-2
8.381681870E-1,2.161378118E-2
8.460722390E-1,2.399993950E-2
8.540068100E-1,1.851231880E-2
8.619108620E-1,3.377667134E-2
8.698454330E-1,4.752744733E-2
8.777800030E-1,3.359617772E-2
8.857145730E-1,3.557234352E-2
8.936491440E-1,2.812156418E-2
9.016142310E-1,2.915229587E-2
9.095488020E-1,2.402876888E-2
9.174833720E-1,3.414688749E-2
9.254179420E-1,3.489676131E-2
9.333525130E-1,3.312638027E-2
9.412565650E-1,2.795239284E-2
9.491911360E-1,3.188653556E-2
9.571257060E-1,3.660103577E-2
9.650297590E-1,4.650667727E-2
9.729643290E-1,3.065243603E-2
9.808988990E-1,4.421346074E-2
9.888639870E-1,3.665648710E-2
9.967985580E-1,2.626856519E-2
1.004733128E0,3.724955877E-2
1.012667698E0,3.780985335E-2
1.020602269E0,3.046467769E-2
1.028536839E0,3.328025543E-2
1.036471409E0,3.146901794E-2
1.044405980E0,3.392163350E-2
1.052340550E0,3.496269251E-2
1.060244603E0,4.998842227E-2
1.068179173E0,3.513188805E-2
1.076113743E0,4.042850323E-2
1.084078831E0,4.030002856E-2
1.092013401E0,4.249343224E-2
1.099947972E0,2.113063807E-2
1.107882542E0,3.927183316E-2
1.115817112E0,2.972264663E-2
1.123751683E0,3.003895385E-2
1.131686253E0,2.936841180E-2
1.139620823E0,3.109781366E-2
1.147555394E0,3.514253902E-2
1.155489964E0,3.255363197E-2
1.163424534E0,2.767011832E-2
1.171359105E0,2.582864139E-2
1.179293675E0,3.395491097E-2
1.187228245E0,3.350852952E-2
1.195162815E0,2.387060239E-2
1.203097386E0,2.865818086E-2
1.211031956E0,3.748345740E-2
1.218936009E0,3.134944672E-2
1.226870579E0,3.174702739E-2
1.234805149E0,3.214776431E-2
1.242739720E0,3.789434156E-2
1.250704808E0,1.928432938E-2
1.258639378E0,3.585213870E-2
1.266573948E0,4.970216899E-2
1.274508519E0,2.567529213E-2
1.282443089E0,2.582210938E-2
1.290377659E0,2.997078614E-2
1.298281712E0,1.961614836E-2
1.306216282E0,2.528797131E-2
1.314150853E0,4.149980399E-2
1.322085423E0,3.359511691E-2
1.330019993E0,2.650301562E-2
1.337985081E0,4.277381743E-2
1.345919651E0,2.974267226E-2
1.353854222E0,2.788719285E-2
1.361788792E0,3.338127352E-2
1.369723362E0,3.301029873E-2
1.377657933E0,4.379041033E-2
1.385592503E0,2.637863551E-2
1.393527073E0,2.186937169E-2
1.401431126E0,2.987961922E-2
1.409365696E0,4.240625947E-2
1.417330784E0,3.482712726E-2
1.425265355E0,3.435969461E-2
1.433199925E0,3.416158165E-2
1.441134495E0,2.063809941E-2
1.449069065E0,3.687816083E-2
1.456973118E0,3.186821040E-2
1.464907688E0,2.443141666E-2
1.472842259E0,3.198184114E-2
1.480746312E0,2.673365434E-2
1.488680882E0,3.787608387E-2
1.496645970E0,2.742229129E-2
1.504580540E0,4.135679313E-2
1.512515110E0,3.306240354E-2
1.520449681E0,2.043624042E-2
1.528384251E0,2.048526272E-2
1.536318821E0,3.439568359E-2
1.544253392E0,2.659359203E-2
1.552187962E0,4.308305004E-2
1.560092015E0,2.919647131E-2
1.567996067E0,3.633104304E-2
1.575930638E0,3.121879472E-2
1.583895726E0,1.923407104E-2
1.591830296E0,2.852359005E-2
1.599764866E0,3.737434116E-2
1.607699437E0,3.064180416E-2
1.615603489E0,3.639664014E-2
1.623538060E0,2.308097231E-2
1.631442112E0,1.693359679E-2
1.639346165E0,2.397183676E-2
1.647311253E0,2.314616535E-2
1.655245823E0,3.495418075E-2
1.663180394E0,2.192715345E-2
1.671114964E0,2.957425896E-2
1.679049534E0,3.345879462E-2
1.686984105E0,3.728409647E-2
1.694918675E0,4.020943968E-2
1.702853245E0,4.267365995E-2
1.710787815E0,2.607778180E-2
1.718691868E0,2.859704071E-2
1.726626438E0,2.102827034E-2
1.734591526E0,3.991772412E-2
1.742526097E0,3.879349034E-2
1.750460667E0,1.802059904E-2
1.758395237E0,3.448931257E-2
1.766329808E0,2.721382145E-2
1.774233860E0,2.386389337E-2
1.782168431E0,2.810417236E-2
1.790103001E0,4.310753704E-2
1.798068089E0,2.184713368E-2
1.806002659E0,2.877026728E-2
1.813937230E0,2.752789699E-2
1.821871800E0,2.247118078E-2
1.829806370E0,1.484162827E-2
1.837740940E0,3.427489020E-2
1.845675511E0,3.850877339E-2
1.853579563E0,3.895671707E-2
1.861514134E0,2.579440697E-2
1.869418187E0,3.646070012E-2
1.877352757E0,2.880435464E-2
1.885317845E0,2.380852863E-2
1.893221897E0,2.182055894E-2
1.901156468E0,3.186781226E-2
1.909091038E0,2.824154322E-2
1.917025608E0,2.301855950E-2
1.924960179E0,3.530656353E-2
1.932864231E0,2.192527558E-2
1.940798802E0,2.675224942E-2
1.948763890E0,3.631842184E-2
1.956698460E0,2.765415754E-2
1.964633030E0,2.652895709E-2
1.972567601E0,3.608984671E-2
1.980502171E0,2.950091149E-2
1.988436741E0,2.920744608E-2
1.996371312E0,2.915098058E-2
2.004305882E0,3.460431616E-2
2.012240452E0,2.514748462E-2
2.020175022E0,2.237340817E-2
2.028109593E0,3.522657922E-2
2.036013646E0,2.279658543E-2
2.043948216E0,2.741952825E-2
2.051852269E0,1.822711624E-2
2.059786839E0,2.427106980E-2
2.067721409E0,2.653935626E-2
2.075686497E0,3.795017549E-2
2.083621067E0,2.124815410E-2
2.091555638E0,4.324417297E-2
2.099490208E0,3.103412277E-2
2.107424778E0,1.872783164E-2
2.115328831E0,2.397254697E-2
2.123263401E0,2.898980761E-2
2.131167454E0,1.908377281E-2
2.139102024E0,2.809941573E-2
2.147036595E0,2.623975061E-2
2.155001683E0,2.852777895E-2
2.162936253E0,1.468544370E-2
2.170840306E0,3.970926574E-2
2.178774876E0,2.752494452E-2
2.186739964E0,2.668144267E-2
