Time (s),Linear Acceleration x (m/s^2)
2.130417300E-2,5.698930472E-4
2.923874300E-2,7.565598935E-5
3.717331300E-2,-3.775269724E-4
4.507736600E-2,8.992711082E-5
5.301193700E-2,-3.214296885E-5
6.094650700E-2,7.571931928E-5
6.888107700E-2,-1.239528647E-3
7.681564700E-2,1.256628893E-4
8.475021800E-2,-4.911676049E-3
9.265427100E-2,-7.430687081E-3
1.005888410E-1,4.252133425E-3
1.084928940E-1,-3.054535016E-3
1.164274640E-1,-3.699189983E-5
1.243620340E-1,3.145309165E-6
1.322660870E-1,2.152941488E-5
1.402311750E-1,-2.060495317E-4
1.481352280E-1,-5.160867237E-3
1.560697980E-1,-5.202151369E-3
1.640043680E-1,1.433398575E-5
1.719084210E-1,2.642534673E-5
1.798124740E-1,1.204330474E-4
1.877165260E-1,1.607183367E-4
1.956205790E-1,1.023419667E-3
2.035551490E-1,-8.717740886E-3
2.114592020E-1,-6.406746805E-3
2.193937720E-1,5.704899668E-4
2.273588600E-1,-6.860779598E-3
2.352934310E-1,-7.026039064E-3
2.432280010E-1,2.426177962E-3
2.511625710E-1,-5.148701894E-5
2.590971420E-1,6.842124276E-3
2.670317120E-1,-7.730559446E-3
2.749662820E-1,-1.623155549E-4
2.829008530E-1,-8.240807801E-6
2.908354230E-1,-4.253424704E-4
2.987699930E-1,-1.659921836E-4
3.066740460E-1,-8.098781109E-6
3.146086160E-1,-2.649485366E-3
3.225431870E-1,-3.023004625E-3
3.304472390E-1,8.755621500E-3
3.383818100E-1,-5.816527177E-3
3.462858620E-1,-1.320206374E-2
3.542204330E-1,5.745125003E-3
3.621550030E-1,9.155331645E-4
3.701200910E-1,-4.039029125E-3
3.780546610E-1,5.844887346E-4
3.859892310E-1,-4.286803771E-3
3.939238020E-1,3.780191764E-4
4.018583720E-1,2.441416029E-3
4.097929420E-1,-4.741187207E-3
4.177275130E-1,-4.947365262E-3
4.256620830E-1,-1.459647249E-2
4.335966530E-1,-7.674922235E-3
4.415312240E-1,-3.176869825E-3
4.494352760E-1,-8.661188185E-4
4.573698470E-1,-8.294998668E-3
4.652738990E-1,-1.324778050E-2
4.732084700E-1,-1.395115629E-3
4.811430400E-1,7.905946113E-4
4.890776100E-1,3.184560221E-3
4.970121810E-1,-1.377084665E-2
5.049772690E-1,-1.388842613E-2
5.129118390E-1,-2.165385988E-3
5.208464090E-1,-9.526730515E-3
5.287809800E-1,-7.257339545E-3
5.367155500E-1,-9.733881801E-3
5.446501200E-1,-5.110797472E-3
5.525846900E-1,-2.840699162E-3
5.605192610E-1,-1.267280709E-2
5.684538310E-1,-7.967836224E-3
5.763884010E-1,-1.288229134E-2
5.843229720E-1,-8.232136257E-3
5.922575420E-1,-1.320805121E-2
6.001921120E-1,-1.337409299E-2
6.080961650E-1,-4.088290036E-3
6.160307350E-1,-6.795559544E-3
6.239347880E-1,-9.307862259E-3
6.318693580E-1,2.449684776E-3
6.398039290E-1,-2.154555172E-2
6.477384990E-1,-1.209279336E-2
6.557035870E-1,-5.101339892E-3
6.636381570E-1,-5.209900439E-3
6.715727280E-1,-1.720795594E-2
