Time (s),Linear Acceleration y (m/s^2)
2.130417300E-2,-8.510909975E-4
2.923874300E-2,5.720481277E-4
3.717331300E-2,1.984238625E-4
4.507736600E-2,-2.755746245E-4
5.301193700E-2,1.068823040E-4
6.094650700E-2,-1.312792301E-5
6.888107700E-2,-4.481900483E-3
7.681564700E-2,-1.146122813E-4
8.475021800E-2,-4.876405001E-4
9.265427100E-2,-7.788613439E-4
1.005888410E-1,6.156127900E-3
1.084928940E-1,-5.980625749E-3
1.164274640E-1,1.339241862E-4
1.243620340E-1,5.049258471E-5
1.322660870E-1,3.516823053E-4
1.402311750E-1,4.713386297E-4
1.481352280E-1,2.217069268E-4
1.560697980E-1,7.074035704E-3
1.640043680E-1,8.248537779E-5
1.719084210E-1,1.574233174E-4
1.798124740E-1,-5.677342415E-5
1.877165260E-1,-1.045741141E-3
1.956205790E-1,2.449445426E-3
2.035551490E-1,2.160441130E-3
2.114592020E-1,1.869216561E-3
2.193937720E-1,1.663587987E-3
2.273588600E-1,6.203331053E-3
2.352934310E-1,3.560461104E-3
2.432280010E-1,-6.389345974E-3
2.511625710E-1,5.248840898E-3
2.590971420E-1,-2.140190452E-3
2.670317120E-1,4.710860550E-3
2.749662820E-1,5.381330848E-4
2.829008530E-1,4.835426807E-6
2.908354230E-1,-6.056278944E-4
2.987699930E-1,-3.575272858E-4
3.066740460E-1,1.402571797E-5
3.146086160E-1,2.077970654E-3
3.225431870E-1,-5.649179220E-4
3.304472390E-1,8.653882891E-3
3.383818100E-1,3.493890166E-3
3.462858620E-1,-3.882307559E-3
3.542204330E-1,-1.653231680E-3
3.621550030E-1,4.094280303E-4
3.701200910E-1,1.598224044E-4
3.780546610E-1,-1.291595399E-4
3.859892310E-1,6.804782897E-3
3.939238020E-1,-3.103513271E-3
4.018583720E-1,-5.787771195E-3
4.097929420E-1,-3.726411611E-3
4.177275130E-1,-3.850232810E-3
4.256620830E-1,-1.822173595E-3
4.335966530E-1,-1.411311701E-2
4.415312240E-1,-2.432260662E-3
4.494352760E-1,-4.125051200E-4
4.573698470E-1,-7.825940847E-4
4.652738990E-1,-8.270028979E-3
4.732084700E-1,-1.572529227E-2
4.811430400E-1,5.448017269E-3
4.890776100E-1,-4.336833954E-3
4.970121810E-1,-6.828904152E-3
5.049772690E-1,-7.093705237E-3
5.129118390E-1,-7.342286408E-3
5.208464090E-1,-9.996205568E-3
5.287809800E-1,4.202581942E-3
5.367155500E-1,-7.509253919E-4
5.446501200E-1,-3.310840577E-3
5.525846900E-1,-3.600921482E-3
5.605192610E-1,-8.696831763E-3
5.684538310E-1,-4.158090800E-3
5.763884010E-1,-2.005197108E-3
5.843229720E-1,-1.183119789E-2
5.922575420E-1,-1.436617970E-2
6.001921120E-1,-7.533077151E-3
6.080961650E-1,-7.824268192E-3
6.160307350E-1,-8.093692362E-3
6.239347880E-1,-2.033419535E-2
6.318693580E-1,-1.340209693E-2
6.398039290E-1,-6.433863193E-3
6.477384990E-1,-1.381673664E-2
6.557035870E-1,-1.163604483E-2
6.636381570E-1,-1.184846833E-2
6.715727280E-1,-1.674875244E-2
6.795072980E-1,-1.217518747E-2
6.874418680E-1,-1.484166458E-2
6.953764380E-1,-1.273309812E-2
7.032804910E-1,-1.299814135E-2
7.112150620E-1,-3.669213504E-3
7.191496320E-1,-3.947149962E-3
7.270536850E-1,-2.333299443E-2
7.349882550E-1,-9.219735861E-3
7.429228250E-1,-1.412678882E-2
7.508879130E-1,-7.357794791E-3
7.588224830E-1,-4.963595420E-3
7.667570540E-1,-1.718457416E-2
7.746916240E-1,-1.031086221E-2
7.825956770E-1,-1.526465639E-2
7.905302470E-1,-2.015071735E-2
7.984648170E-1,-1.810215414E-2
8.063993880E-1,-1.589134708E-2
8.143644760E-1,-1.368990913E-2
8.222990460E-1,-9.118132293E-3
8.302336160E-1,-1.414150372E-2
8.381681870E-1,-1.440455392E-2
8.460722390E-1,-9.876970202E-3
8.540068100E-1,-5.361169577E-3
8.619108620E-1,-2.236295491E-2
8.698454330E-1,-2.484013140E-2
8.777800030E-1,-2.738704160E-2
8.857145730E-1,-1.795970276E-2
8.936491440E-1,-1.586574689E-2
9.016142310E-1,-1.131705940E-2
9.095488020E-1,-1.399470866E-2
9.174833720E-1,-1.890637353E-2
9.254179420E-1,-2.375056595E-2
9.333525130E-1,-2.159095556E-2
9.412565650E-1,-1.229172200E-2
9.491911360E-1,-1.726120710E-2
9.571257060E-1,-2.933344617E-2
9.650297590E-1,-2.223417163E-2
9.729643290E-1,-1.759378240E-2
9.808988990E-1,-2.007420734E-2
9.888639870E-1,-2.745153755E-2
9.967985580E-1,-8.532207459E-3
1.004733128E0,-1.831426844E-2
1.012667698E0,-2.315496281E-2
1.020602269E0,-1.613616943E-2
1.028536839E0,-2.109751478E-2
1.036471409E0,-2.367279679E-2
1.044405980E0,-2.389179543E-2
1.052340550E0,-2.164978161E-2
1.060244603E0,-2.885346115E-2
1.068179173E0,-2.184182033E-2
1.076113743E0,-1.479387656E-2
1.084078831E0,-2.897890657E-2
1.092013401E0,-1.934397221E-2
1.099947972E0,-1.211785525E-2
1.107882542E0,-1.923720166E-2
1.115817112E0,-2.150832117E-2
1.123751683E0,-1.677451283E-2
1.131686253E0,-2.381898463E-2
1.139620823E0,-2.356526628E-2
1.147555394E0,-1.872156560E-2
1.155489964E0,-1.865039766E-2
1.163424534E0,-1.382263005E-2
1.171359105E0,-9.058643132E-3
1.179293675E0,-2.327005938E-2
1.187228245E0,-1.351597905E-2
1.195162815E0,-1.580065116E-2
1.203097386E0,-1.096619293E-2
1.211031956E0,-2.042093873E-2
1.218936009E0,-2.027674392E-2
1.226870579E0,-2.490356565E-2
1.234805149E0,-1.998306438E-2
1.242739720E0,-1.744545624E-2
1.250704808E0,-7.882207632E-3
1.258639378E0,-7.802262902E-3
1.266573948E0,-2.431567758E-2
1.274508519E0,-1.713490114E-2
1.282443089E0,-1.948425546E-2
1.290377659E0,-1.222240925E-2
1.298281712E0,-9.890973568E-3
1.306216282E0,-1.466697827E-2
1.314150853E0,-2.646692097E-2
1.322085423E0,-1.678086817E-2
1.330019993E0,-1.679800823E-2
1.337985081E0,-2.620232105E-2
1.345919651E0,-1.173501089E-2
1.353854222E0,-2.111847326E-2
1.361788792E0,-2.798848599E-2
1.369723362E0,-1.128546894E-2
1.377657933E0,-2.062023431E-2
1.385592503E0,-8.626922965E-3
1.393527073E0,-1.344871521E-2
1.401431126E0,-1.353174075E-2
1.409365696E0,-3.005347773E-2
1.417330784E0,-1.560329646E-2
1.425265355E0,-2.514556050E-2
1.433199925E0,-2.249018848E-2
1.441134495E0,-1.537449285E-2
1.449069065E0,-1.764844730E-2
1.456973118E0,-1.753573865E-2
1.464907688E0,-1.026474312E-2
1.472842259E0,-1.258037239E-2
1.480746312E0,-7.682792842E-3
1.488680882E0,-1.967507601E-2
1.496645970E0,-1.256581023E-2
1.504580540E0,-2.189318836E-2
1.512515110E0,-1.002705470E-2
1.520449681E0,-1.000243053E-2
1.528384251E0,-1.462490857E-2
1.536318821E0,-9.891115129E-3
1.544253392E0,-9.951595217E-3
1.552187962E0,-1.231816038E-2
1.560092015E0,-1.464582607E-2
1.567996067E0,-1.460580155E-2
1.575930638E0,-1.688501984E-2
1.583895726E0,-1.204670966E-2
1.591830296E0,-1.679646596E-2
1.599764866E0,-1.435226947E-2
1.607699437E0,-1.200449467E-2
1.615603489E0,-1.435203105E-2
1.623538060E0,-9.654123336E-3
1.631442112E0,-1.205292717E-2
1.639346165E0,-1.205263659E-2
1.647311253E0,-1.208673045E-2
1.655245823E0,-9.536750615E-3
1.663180394E0,-1.423617080E-2
1.671114964E0,-1.411646232E-2
1.679049534E0,-6.870362908E-3
1.686984105E0,-1.406382024E-2
1.694918675E0,-1.643835753E-2
1.702853245E0,-1.398250088E-2
1.710787815E0,-9.156886488E-3
1.718691868E0,-1.860405132E-2
1.726626438E0,-1.371492818E-2
1.734591526E0,-8.921209723E-3
1.742526097E0,-2.792058140E-2
1.750460667E0,-1.355193928E-2
1.758395237E0,-1.116019487E-2
1.766329808E0,-1.345976070E-2
1.774233860E0,-1.341767237E-2
1.782168431E0,-1.332173869E-2
1.790103001E0,-2.286446095E-2
1.798068089E0,-1.553813368E-2
1.806002659E0,-1.073063165E-2
1.813937230E0,-8.377861232E-3
1.821871800E0,-1.082362980E-2
1.829806370E0,-8.553717285E-3
1.837740940E0,-1.082947478E-2
1.845675511E0,-2.272682264E-2
1.853579563E0,-2.026816458E-2
1.861514134E0,-1.782080531E-2
1.869418187E0,-2.487844601E-2
1.877352757E0,1.413431019E-3
1.885317845E0,-8.181620389E-3
1.893221897E0,-8.210819215E-3
1.901156468E0,-1.065124571E-2
1.909091038E0,-1.294444874E-2
1.917025608E0,-1.306567341E-2
1.924960179E0,-1.059863716E-2
1.932864231E0,-3.362379968E-3
1.940798802E0,-8.168801665E-3
1.948763890E0,-1.285622269E-2
1.956698460E0,-5.756746978E-3
1.964633030E0,-1.283872873E-2
1.972567601E0,-2.468699589E-2
1.980502171E0,-1.028745621E-2
1.988436741E0,-1.271446794E-2
1.996371312E0,-1.262281090E-2
2.004305882E0,-1.745446771E-2
2.012240452E0,-1.263047010E-2
2.020175022E0,-1.490213722E-2
2.028109593E0,-2.914383635E-2
2.036013646E0,-7.679212838E-3
2.043948216E0,-5.284950137E-3
2.051852269E0,-1.246874779E-2
2.059786839E0,-7.703494281E-3
2.067721409E0,-1.011389866E-2
2.075686497E0,-1.255988702E-2
2.083621067E0,-1.013710350E-2
2.091555638E0,-1.487873495E-2
2.099490208E0,-2.198132128E-2
2.107424778E0,-7.629737258E-3
2.115328831E0,-1.721859723E-2
2.123263401E0,-1.007943600E-2
2.131167454E0,-1.243434101E-2
2.139102024E0,-1.235554740E-2
2.147036595E0,-7.500465959E-3
2.155001683E0,-7.486157119E-3
2.162936253E0,2.008080482E-3
2.170840306E0,-2.421915531E-2
2.178774876E0,-7.583972067E-3
2.186739964E0,-1.476075873E-2
2.194613499E0,-1.481977850E-2
2.202548069E0,-7.801745087E-3
2.210482640E0,-1.254927740E-2
2.218386692E0,-1.489167288E-2
2.226321263E0,-2.192452550E-2
2.234255833E0,-9.930949658E-3
2.242190403E0,-1.482896507E-2
2.250094456E0,-1.722729951E-2
2.258029026E0,-1.243314147E-2
2.265994114E0,-1.239265874E-2
2.273928685E0,-1.714284718E-2
2.281863255E0,-1.239594817E-2
2.289797825E0,-7.580529898E-3
2.297732396E0,-7.621914148E-3
2.305666966E0,-1.708468050E-2
2.313601536E0,-1.932597533E-2
2.321536106E0,-1.441267133E-2
2.329440159E0,-1.444163173E-2
2.337374730E0,-7.300410420E-3
2.345309300E0,-9.710658342E-3
2.353243870E0,-1.194380969E-2
2.361208958E0,-7.146190852E-3
2.369143528E0,-1.194644347E-2
2.377078099E0,-2.145357057E-2
2.385012669E0,-4.984322935E-3
2.392947239E0,-1.445515826E-2
2.400881810E0,-1.445515826E-2
2.408785862E0,-1.679128408E-2
2.416720433E0,-7.154222578E-3
2.424655003E0,-4.747372121E-3
2.432620091E0,-2.394187078E-2
2.440554661E0,-1.190516725E-2
2.448489231E0,-3.094051778E-2
2.456423802E0,-1.404423639E-2
2.464358372E0,-1.403186098E-2
2.472292942E0,-1.881922409E-2
2.480227513E0,-6.823744625E-3
2.488162083E0,-6.865240633E-3
2.496096653E0,-1.169635728E-2
2.504031224E0,-1.874733344E-2
2.511965794E0,2.800483257E-3
2.519900364E0,-1.152633876E-2
2.527804417E0,-9.173743427E-3
2.535738987E0,-2.101650089E-2
2.543643040E0,-8.921205997E-3
2.551577610E0,-6.692770869E-3
2.559512181E0,-1.628316194E-2
2.567477269E0,-1.145287603E-2
2.575411839E0,-1.146330684E-2
2.583346409E0,-1.389113814E-2
2.591280980E0,-1.629120484E-2
2.599215550E0,-1.961134374E-3
2.607150120E0,-1.383640990E-2
2.615084690E0,-1.378812268E-2
