Time (s),Linear Acceleration z (m/s^2)
2.130417300E-2,2.171230316E-2
2.923874300E-2,-4.050445557E-2
3.717331300E-2,-2.195358276E-3
4.507736600E-2,-2.131938934E-2
5.301193700E-2,-1.899814606E-2
6.094650700E-2,-1.414680481E-2
6.888107700E-2,-9.433746338E-3
7.681564700E-2,-6.968498230E-3
8.475021800E-2,-1.654720306E-2
9.265427100E-2,-1.415443420E-2
1.005888410E-1,-2.133846283E-2
1.084928940E-1,-1.176261902E-2
1.164274640E-1,-1.898384094E-2
1.243620340E-1,-1.410198212E-2
1.322660870E-1,-2.621841431E-2
1.402311750E-1,-9.404182434E-3
1.481352280E-1,-2.377033234E-2
1.560697980E-1,-1.419639587E-2
1.640043680E-1,-1.893234253E-2
1.719084210E-1,-2.372741699E-2
1.798124740E-1,-2.378559113E-2
1.877165260E-1,-1.650333405E-2
1.956205790E-1,-2.374362946E-2
2.035551490E-1,-1.177597046E-2
2.114592020E-1,-4.594802856E-3
2.193937720E-1,-1.417255402E-2
2.273588600E-1,-1.896190643E-2
2.352934310E-1,-1.896381378E-2
2.432280010E-1,-2.375411987E-2
2.511625710E-1,-1.418018341E-2
2.590971420E-1,-1.657581329E-2
2.670317120E-1,-1.418304443E-2
2.749662820E-1,-2.369117737E-2
2.829008530E-1,-2.619361877E-2
2.908354230E-1,-1.655006409E-2
2.987699930E-1,-1.422595978E-2
3.066740460E-1,-2.134990692E-2
3.146086160E-1,-9.381294250E-3
3.225431870E-1,-1.417064667E-2
3.304472390E-1,-2.614402771E-2
3.383818100E-1,-1.417541504E-2
3.462858620E-1,-1.657104492E-2
3.542204330E-1,-1.896572113E-2
3.621550030E-1,-1.178550720E-2
3.701200910E-1,-3.094100952E-2
3.780546610E-1,-1.897048950E-2
3.859892310E-1,-1.657867432E-2
3.939238020E-1,-1.897430420E-2
4.018583720E-1,-1.418781281E-2
4.097929420E-1,-3.813171387E-2
4.177275130E-1,-2.616119385E-2
4.256620830E-1,-1.658725739E-2
4.335966530E-1,-1.898193359E-2
4.415312240E-1,-1.898384094E-2
4.494352760E-1,-2.616882324E-2
4.573698470E-1,-2.617168427E-2
4.652738990E-1,-4.624366760E-3
4.732084700E-1,-1.659774780E-2
4.811430400E-1,-7.022857666E-3
4.890776100E-1,-1.660060883E-2
4.970121810E-1,-1.899528503E-2
5.049772690E-1,-3.336143494E-2
5.129118390E-1,-1.899719238E-2
5.208464090E-1,-2.618217468E-2
5.287809800E-1,-2.378749847E-2
5.367155500E-1,-3.575992584E-2
5.446501200E-1,-1.900100708E-2
5.525846900E-1,-3.097438812E-2
5.605192610E-1,-1.661014557E-2
5.684538310E-1,-2.379417419E-2
5.763884010E-1,-1.900672913E-2
5.843229720E-1,-2.140235901E-2
5.922575420E-1,-1.182651520E-2
6.001921120E-1,-1.182842255E-2
6.080961650E-1,-2.140617371E-2
6.160307350E-1,-9.435653687E-3
6.239347880E-1,-1.901435852E-2
6.318693580E-1,-2.619838715E-2
6.398039290E-1,-2.380466461E-2
6.477384990E-1,-2.380561829E-2
6.557035870E-1,-1.183605194E-2
6.636381570E-1,-1.662540436E-2
6.715727280E-1,-2.380847931E-2
6.795072980E-1,-3.099250793E-2
6.874418680E-1,-2.141571045E-2
6.953764380E-1,-2.381134033E-2
7.032804910E-1,-1.663017273E-2
7.112150620E-1,-2.381324768E-2
7.191496320E-1,-2.381515503E-2
7.270536850E-1,-2.381610870E-2
7.349882550E-1,-1.663494110E-2
7.429228250E-1,-1.902866364E-2
7.508879130E-1,-1.663684845E-2
7.588224830E-1,-2.860736847E-2
7.667570540E-1,-2.142620087E-2
7.746916240E-1,-3.100395203E-2
7.825956770E-1,-2.142810822E-2
7.905302470E-1,-1.424503326E-2
7.984648170E-1,-1.664161682E-2
8.063993880E-1,-2.621936798E-2
8.143644760E-1,-4.671096802E-3
8.222990460E-1,-2.861404419E-2
8.302336160E-1,-1.664447784E-2
8.381681870E-1,-4.673957825E-3
8.460722390E-1,-1.904010773E-2
8.540068100E-1,-1.185989380E-2
8.619108620E-1,-2.383136749E-2
8.698454330E-1,-3.819656372E-2
8.777800030E-1,-1.904296875E-2
8.857145730E-1,-2.622699738E-2
8.936491440E-1,-2.144050598E-2
9.016142310E-1,-2.144145966E-2
9.095488020E-1,-1.904773712E-2
9.174833720E-1,-1.904869080E-2
9.254179420E-1,-2.144336700E-2
9.333525130E-1,-1.904964447E-2
9.412565650E-1,-1.905059814E-2
9.491911360E-1,-1.665782928E-2
9.571257060E-1,-2.144622803E-2
9.650297590E-1,-3.341674805E-2
9.729643290E-1,-1.905250549E-2
9.808988990E-1,-3.581333160E-2
9.888639870E-1,-1.187133789E-2
9.967985580E-1,-2.384281158E-2
1.004733128E0,-3.102684021E-2
1.012667698E0,-2.623844147E-2
1.020602269E0,-2.145099640E-2
1.028536839E0,-2.384471893E-2
1.036471409E0,-1.666355133E-2
1.044405980E0,-1.905727386E-2
1.052340550E0,-2.145290375E-2
1.060244603E0,-3.581905365E-2
1.068179173E0,-1.666545868E-2
1.076113743E0,-3.342533112E-2
1.084078831E0,-2.384757996E-2
1.092013401E0,-3.581905365E-2
1.099947972E0,-1.427078247E-2
1.107882542E0,-3.103065491E-2
1.115817112E0,-1.666450500E-2
