Time (s),Absolute acceleration (m/s^2)
2.077179166E-2,2.219558626E-1
3.070979167E-2,2.484189130E-2
4.064779167E-2,8.343015466E-2
5.058579167E-2,1.567410296E-1
6.052479167E-2,1.190634361E-1
7.046279166E-2,1.052237620E-1
8.040079167E-2,4.355663677E-2
9.033879166E-2,5.166188530E-2
1.002777917E-1,4.336957886E-2
1.102157917E-1,3.964888204E-2
1.201537917E-1,6.444936386E-2
1.300917917E-1,2.723590605E-2
1.400307917E-1,5.259699192E-2
1.499687083E-1,1.777276589E-2
1.599067083E-1,4.136733710E-2
1.698447083E-1,2.870059825E-2
1.797837083E-1,2.594454977E-2
1.897217083E-1,2.230136648E-2
1.996597083E-1,2.673351401E-2
2.095977083E-1,1.422479095E-2
2.195367083E-1,4.307426215E-2
2.294747083E-1,3.165775682E-2
2.394127083E-1,3.115181428E-2
2.493507083E-1,3.381488523E-2
2.592897083E-1,3.848874729E-2
2.692277083E-1,1.664222812E-2
2.791657083E-1,4.332915720E-2
2.891037083E-1,3.543787750E-2
2.990427083E-1,2.651313652E-2
3.089807083E-1,3.088636123E-2
3.189187083E-1,2.604324950E-2
3.288567083E-1,2.855251020E-2
3.387957083E-1,1.411469241E-2
3.487337083E-1,3.046938811E-2
3.586717083E-1,3.757179576E-2
3.686097083E-1,2.813470900E-2
3.785487083E-1,3.181246373E-2
3.884867083E-1,2.464463650E-2
3.984247083E-1,2.665351542E-2
4.083637083E-1,2.192241800E-2
4.183017083E-1,3.253664140E-2
4.282397083E-1,3.875539278E-2
4.381777083E-1,2.501963140E-2
4.481157083E-1,3.060232659E-2
4.580547083E-1,2.726620010E-2
4.679927083E-1,2.330545697E-2
4.779307083E-1,3.226012743E-2
4.878697083E-1,2.819947180E-2
4.978077083E-1,2.620349480E-2
5.077457083E-1,3.046853355E-2
5.176837083E-1,1.819511442E-2
5.276227083E-1,3.452288316E-2
5.375607083E-1,2.311477095E-2
5.474987083E-1,3.211917843E-2
5.574367083E-1,3.097867916E-2
5.673757083E-1,2.995224376E-2
5.773137083E-1,2.350939074E-2
5.872517083E-1,1.873164749E-2
5.971897083E-1,2.026200403E-2
6.071287083E-1,2.913676787E-2
6.170667083E-1,2.661574672E-2
6.270047083E-1,3.015867041E-2
6.369427083E-1,4.786156656E-2
6.468817083E-1,3.313548160E-2
6.568197083E-1,3.417165630E-2
6.667577083E-1,1.995898941E-2
6.766957083E-1,1.970558303E-2
6.866347083E-1,2.210972178E-2
6.965727083E-1,2.753444052E-2
7.065107083E-1,3.760919409E-2
7.164487083E-1,2.658858614E-2
7.263877083E-1,1.077695442E-2
7.363257083E-1,2.288347316E-2
7.462637083E-1,2.675629428E-2
7.562017083E-1,2.576285881E-2
7.661407083E-1,2.932238654E-2
7.760787083E-1,1.099185954E-2
7.860167083E-1,2.849041378E-2
7.959547083E-1,2.195515226E-2
8.058937083E-1,2.883337170E-2
8.158317083E-1,2.366381366E-2
8.257697083E-1,2.153378551E-2
8.357077083E-1,1.892258051E-2
8.456467083E-1,1.718457009E-2
8.555847083E-1,2.614759022E-2
8.655227083E-1,2.044747467E-2
8.754607083E-1,1.385408887E-2
8.853997083E-1,1.896444675E-2
8.953377083E-1,3.973079380E-2
9.052757083E-1,2.586876174E-2
9.152137083E-1,2.468242027E-2
9.251527083E-1,7.989583520E-3
9.350907083E-1,2.997942526E-2
9.450287083E-1,2.338816270E-2
9.549667083E-1,1.940958592E-2
9.649057083E-1,3.935116728E-2
9.748437083E-1,3.123973793E-2
9.847817083E-1,2.615159961E-2
9.947207083E-1,3.326422279E-2
1.004658708E0,2.410514718E-2
1.014596708E0,1.980072418E-2
1.024534708E0,1.944027752E-2
1.034473708E0,2.863838514E-2
1.044411708E0,1.811065535E-2
1.054349708E0,1.413105972E-2
1.064287708E0,2.737184713E-2
1.074226708E0,3.945985262E-2
1.084164708E0,2.887518077E-2
1.094102708E0,2.018391105E-2
1.104040708E0,1.325109908E-2
1.113979708E0,2.923058373E-2
1.123917708E0,2.725193183E-2
1.133855708E0,1.966715025E-2
1.143793708E0,1.879267238E-2
1.153733417E0,2.496209629E-2
1.163671417E0,1.514206414E-2
1.173609417E0,1.565549177E-2
1.183547417E0,2.819774929E-2
1.193486417E0,1.922030120E-2
1.203424417E0,1.499051336E-2
1.213362417E0,2.189707777E-2
1.223300417E0,1.914836703E-2
1.233239417E0,2.546788033E-2
1.243177417E0,1.279384979E-2
1.253115417E0,1.725924318E-2
1.263053417E0,3.463394978E-2
1.272992417E0,2.471693444E-2
1.282930417E0,2.836346470E-2
1.292868417E0,1.680697736E-2
1.302807417E0,3.133950850E-2
1.312745417E0,1.183936982E-2
1.322683417E0,1.816339661E-2
1.332621417E0,4.317093598E-3
1.342560417E0,2.743937530E-2
1.352498417E0,1.625716952E-2
1.362436417E0,1.599222245E-2
1.372374417E0,1.382378819E-2
1.382313417E0,1.755063767E-2
1.392251417E0,1.374082268E-2
1.402189417E0,1.625975318E-2
1.412127417E0,1.855099962E-2
