Time (s),Linear Acceleration y (m/s^2)
2.077179166E-2,1.336142452E-2
3.070979167E-2,-1.425661953E-2
4.064779167E-2,-3.867232859E-2
5.058579167E-2,-1.001412425E-2
6.052479167E-2,-2.117890974E-2
7.046279166E-2,-7.965408352E-3
8.040079167E-2,-3.472518850E-2
9.033879166E-2,-2.228540851E-2
1.002777917E-1,-3.418588107E-2
1.102157917E-1,-3.241961767E-2
1.201537917E-1,-2.049926228E-2
1.300917917E-1,-1.405795353E-2
1.400307917E-1,-2.388102229E-2
1.499687083E-1,-1.453292560E-2
1.599067083E-1,-9.479860046E-3
1.698447083E-1,-5.934665787E-3
1.797837083E-1,-1.740919839E-2
1.897217083E-1,-1.090295813E-2
1.996597083E-1,-6.654227343E-3
2.095977083E-1,-1.185119607E-2
2.195367083E-1,-1.890463978E-2
2.294747083E-1,-2.342272621E-2
2.394127083E-1,-1.789093587E-2
2.493507083E-1,-1.979744109E-2
2.592897083E-1,-2.650583968E-3
2.692277083E-1,-1.208017852E-2
2.791657083E-1,-3.108289620E-2
2.891037083E-1,-2.450440857E-2
2.990427083E-1,-1.549190551E-2
3.089807083E-1,-1.358998213E-2
3.189187083E-1,-1.640794493E-2
3.288567083E-1,-1.447971822E-2
3.387957083E-1,-9.462537670E-3
3.487337083E-1,-1.328929135E-2
3.586717083E-1,-1.015537334E-2
3.686097083E-1,-2.530262888E-2
3.785487083E-1,-9.308849545E-3
3.884867083E-1,-9.527343549E-3
3.984247083E-1,-1.824333111E-2
4.083637083E-1,-7.641796942E-3
4.183017083E-1,-2.547208850E-2
4.282397083E-1,-1.623522823E-2
4.381777083E-1,-7.183315849E-3
4.481157083E-1,-1.559041054E-2
4.580547083E-1,-1.183315193E-2
4.679927083E-1,7.701536757E-4
4.779307083E-1,-1.367605726E-2
4.878697083E-1,-8.382248590E-3
4.978077083E-1,-1.027118475E-2
5.077457083E-1,-8.345895354E-3
5.176837083E-1,-1.753214752E-2
5.276227083E-1,-1.387614852E-2
5.375607083E-1,-1.628472400E-2
5.474987083E-1,-1.412312714E-2
5.574367083E-1,1.976648967E-3
5.673757083E-1,-4.875805839E-3
5.773137083E-1,-1.228688901E-2
5.872517083E-1,-6.583437205E-3
5.971897083E-1,-4.303854501E-3
6.071287083E-1,-1.156546365E-2
6.170667083E-1,-1.424542075E-2
6.270047083E-1,-1.534540078E-3
6.369427083E-1,-1.996603504E-2
6.468817083E-1,-2.712066527E-3
6.568197083E-1,-1.236346698E-2
6.667577083E-1,-1.470032956E-2
6.766957083E-1,1.136743947E-2
6.866347083E-1,-8.240200079E-3
6.965727083E-1,-2.755192027E-3
