Time (s),Linear Acceleration z (m/s^2)
2.077179166E-2,-2.135058171E-1
3.070979167E-2,2.030737996E-2
4.064779167E-2,7.285162926E-2
5.058579167E-2,-1.458465153E-1
6.052479167E-2,1.171589059E-1
7.046279166E-2,-1.009387296E-1
8.040079167E-2,2.270824671E-2
9.033879166E-2,-3.926288366E-2
1.002777917E-1,-2.668727696E-2
1.102157917E-1,-9.473074079E-3
1.201537917E-1,-4.734490514E-2
1.300917917E-1,1.463090301E-2
1.400307917E-1,-3.311979890E-2
1.499687083E-1,-3.350454569E-4
1.599067083E-1,-1.919407010E-2
1.698447083E-1,-1.021099269E-2
1.797837083E-1,-4.970718026E-3
1.897217083E-1,-1.814215600E-2
1.996597083E-1,-2.083245993E-2
2.095977083E-1,-2.868643999E-3
2.195367083E-1,5.816225410E-3
2.294747083E-1,-1.499050677E-2
2.394127083E-1,-1.079629898E-2
2.493507083E-1,-2.022493422E-2
2.592897083E-1,-5.403996706E-3
2.692277083E-1,-7.199091911E-3
2.791657083E-1,-2.590959728E-2
2.891037083E-1,-2.306492686E-2
2.990427083E-1,-1.138628304E-2
3.089807083E-1,-1.482736945E-2
3.189187083E-1,-3.449857235E-3
3.288567083E-1,-1.078285038E-2
3.387957083E-1,-2.847594023E-3
3.487337083E-1,-2.455187380E-2
3.586717083E-1,-3.023829103E-2
3.686097083E-1,-1.152544677E-2
3.785487083E-1,-2.813972533E-2
3.884867083E-1,-1.930575192E-2
3.984247083E-1,-1.825676143E-2
4.083637083E-1,-3.436993361E-3
4.183017083E-1,-2.020154536E-2
4.282397083E-1,-3.337239861E-2
4.381777083E-1,-1.840118766E-2
4.481157083E-1,-1.510686636E-2
4.580547083E-1,-1.854970694E-2
4.679927083E-1,-1.660258412E-2
4.779307083E-1,-2.019452870E-2
4.878697083E-1,-1.046300769E-2
4.978077083E-1,-1.270775378E-2
5.077457083E-1,-2.812452257E-2
5.176837083E-1,-4.623393416E-3
5.276227083E-1,-2.961965561E-2
5.375607083E-1,-1.045832992E-2
5.474987083E-1,-2.363035262E-2
5.574367083E-1,-2.931793928E-2
5.673757083E-1,-2.542544782E-2
5.773137083E-1,-1.344918072E-2
5.872517083E-1,-3.569140434E-3
5.971897083E-1,-1.883738995E-2
6.071287083E-1,-2.198026836E-2
6.170667083E-1,-1.539337993E-2
6.270047083E-1,-2.392505229E-2
6.369427083E-1,-2.437411845E-2
6.468817083E-1,-1.209788918E-2
6.568197083E-1,-1.359419167E-2
6.667577083E-1,-4.463179708E-3
6.766957083E-1,-7.905435562E-3
6.866347083E-1,-1.254520118E-2
6.965727083E-1,-1.359185278E-2
7.065107083E-1,-2.766142309E-2
