"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.077179166E-2,-5.917046025E-2,1.336142452E-2,-2.135058171E-1,2.219558626E-1
3.070979167E-2,1.216010721E-3,-1.425661953E-2,2.030737996E-2,2.484189130E-2
4.064779167E-2,-1.255714229E-2,-3.867232859E-2,7.285162926E-2,8.343015466E-2
5.058579167E-2,-5.653549018E-2,-1.001412425E-2,-1.458465153E-1,1.567410296E-1
6.052479167E-2,-1.160329697E-3,-2.117890974E-2,1.171589059E-1,1.190634361E-1
7.046279166E-2,-2.863503474E-2,-7.965408352E-3,-1.009387296E-1,1.052237620E-1
8.040079167E-2,-1.325433597E-2,-3.472518850E-2,2.270824671E-2,4.355663677E-2
9.033879166E-2,-2.511447645E-2,-2.228540851E-2,-3.926288366E-2,5.166188530E-2
1.002777917E-1,1.874946244E-4,-3.418588107E-2,-2.668727696E-2,4.336957886E-2
1.102157917E-1,-2.076687518E-2,-3.241961767E-2,-9.473074079E-3,3.964888204E-2
1.201537917E-1,-3.862590718E-2,-2.049926228E-2,-4.734490514E-2,6.444936386E-2
1.300917917E-1,-1.816879738E-2,-1.405795353E-2,1.463090301E-2,2.723590605E-2
1.400307917E-1,-3.315447563E-2,-2.388102229E-2,-3.311979890E-2,5.259699192E-2
1.499687083E-1,-1.022511737E-2,-1.453292560E-2,-3.350454569E-4,1.777276589E-2
1.599067083E-1,-3.539740817E-2,-9.479860046E-3,-1.919407010E-2,4.136733710E-2
1.698447083E-1,-2.615797604E-2,-5.934665787E-3,-1.021099269E-2,2.870059825E-2
1.797837083E-1,-1.858309545E-2,-1.740919839E-2,-4.970718026E-3,2.594454977E-2
1.897217083E-1,-7.024145960E-3,-1.090295813E-2,-1.814215600E-2,2.230136648E-2
1.996597083E-1,-1.537565099E-2,-6.654227343E-3,-2.083245993E-2,2.673351401E-2
2.095977083E-1,-7.325620176E-3,-1.185119607E-2,-2.868643999E-3,1.422479095E-2
2.195367083E-1,-3.826458123E-2,-1.890463978E-2,5.816225410E-3,4.307426215E-2
2.294747083E-1,-1.512858785E-2,-2.342272621E-2,-1.499050677E-2,3.165775682E-2
2.394127083E-1,-2.310389307E-2,-1.789093587E-2,-1.079629898E-2,3.115181428E-2
2.493507083E-1,-1.850567009E-2,-1.979744109E-2,-2.022493422E-2,3.381488523E-2
2.592897083E-1,-3.801519291E-2,-2.650583968E-3,-5.403996706E-3,3.848874729E-2
2.692277083E-1,-8.899781993E-3,-1.208017852E-2,-7.199091911E-3,1.664222812E-2
2.791657083E-1,-1.549071323E-2,-3.108289620E-2,-2.590959728E-2,4.332915720E-2
2.891037083E-1,-1.110793730E-2,-2.450440857E-2,-2.306492686E-2,3.543787750E-2
2.990427083E-1,-1.825650105E-2,-1.549190551E-2,-1.138628304E-2,2.651313652E-2
3.089807083E-1,-2.343989784E-2,-1.358998213E-2,-1.482736945E-2,3.088636123E-2
3.189187083E-1,-1.992808753E-2,-1.640794493E-2,-3.449857235E-3,2.604324950E-2
3.288567083E-1,-2.212043708E-2,-1.447971822E-2,-1.078285038E-2,2.855251020E-2
3.387957083E-1,-1.007849844E-2,-9.462537670E-3,-2.847594023E-3,1.411469241E-2
3.487337083E-1,-1.220589365E-2,-1.328929135E-2,-2.455187380E-2,3.046938811E-2
3.586717083E-1,-1.985331169E-2,-1.015537334E-2,-3.023829103E-2,3.757179576E-2
3.686097083E-1,-4.301499627E-3,-2.530262888E-2,-1.152544677E-2,2.813470900E-2
