Time (s),Absolute acceleration (m/s^2)
1.013104164E-2,6.935908836E-1
2.006804163E-2,3.062362149E-1
3.000504163E-2,3.544751892E-1
3.994204162E-2,3.103853818E-1
4.987904162E-2,3.793178182E-1
5.981604161E-2,9.359932277E-2
6.975204160E-2,4.261003914E-1
7.968904171E-2,3.106948667E-1
8.962604171E-2,1.750653160E-1
9.956304170E-2,2.005135837E-1
1.095000417E-1,4.272844892E-1
1.194370417E-1,2.992394651E-1
1.293730417E-1,3.357913375E-1
1.393100417E-1,3.770923438E-2
1.492470417E-1,4.134274653E-1
1.591840417E-1,2.487241959E-1
1.691210417E-1,4.514365451E-1
1.790580417E-1,3.429032584E-1
1.889950417E-1,3.376089527E-1
1.989310416E-1,2.991348273E-1
2.088680416E-1,1.094502725E-1
2.188050416E-1,3.971721391E-1
2.287420416E-1,1.544762727E-1
2.386790416E-1,3.439918522E-2
2.486160416E-1,3.965664934E-1
2.585530416E-1,2.013907359E-1
2.684890417E-1,9.643176136E-2
2.784260417E-1,3.695552998E-1
2.883630417E-1,2.918364120E-1
2.983000417E-1,3.126399222E-1
3.082370417E-1,8.539859596E-2
3.181740417E-1,5.253004876E-2
3.281110417E-1,3.409603103E-1
3.380470417E-1,1.732347083E-1
3.479840417E-1,3.484728416E-1
3.579210417E-1,1.557340567E-1
3.678580417E-1,2.894715328E-1
3.777950417E-1,1.082797324E-1
3.877320417E-1,2.525127325E-1
3.976690416E-1,3.334456406E-2
4.076050416E-1,1.352378222E-1
4.175420416E-1,1.256951924E-1
4.274790416E-1,4.407842697E-2
4.374160416E-1,1.108237768E-1
4.473530416E-1,1.247146382E-1
4.572900416E-1,7.733292802E-2
4.672270416E-1,8.041370418E-2
4.771628333E-1,8.415246509E-2
4.870998333E-1,9.607115026E-2
4.970368333E-1,9.491573668E-2
5.069738333E-1,1.012369557E-1
5.169108333E-1,8.877556338E-2
5.268478333E-1,9.073324886E-2
5.367848333E-1,9.241949860E-2
5.467208333E-1,9.941292781E-2
5.566578333E-1,8.739564608E-2
5.665948333E-1,9.502613476E-2
5.765318333E-1,9.694334830E-2
5.864688333E-1,8.131905605E-2
5.964058334E-1,8.859990881E-2
6.063428334E-1,9.059256745E-2
6.162788334E-1,9.430996964E-2
6.262158334E-1,8.775248353E-2
6.361528334E-1,9.578192188E-2
6.460898333E-1,9.945673840E-2
6.560268333E-1,8.949029250E-2
6.659638333E-1,8.703055221E-2
6.759008333E-1,9.438683778E-2
6.858368333E-1,8.773441823E-2
6.957738333E-1,8.180131494E-2
7.057108333E-1,9.175513015E-2
7.156478333E-1,8.818866105E-2
7.255848333E-1,8.339338068E-2
7.355218333E-1,9.729592277E-2
7.454588333E-1,8.878809337E-2
7.553948333E-1,7.505634481E-2
7.653318333E-1,9.790202584E-2
7.752688333E-1,8.839044855E-2
7.852058334E-1,8.643014818E-2
7.951428334E-1,8.904365543E-2
8.050798334E-1,9.455080693E-2
8.150168334E-1,9.079495925E-2
8.249538334E-1,9.292087848E-2
8.348898333E-1,8.824138922E-2
8.448268333E-1,8.364737223E-2
8.547638333E-1,8.664125153E-2
8.647008333E-1,8.923078031E-2
8.746378333E-1,8.747486516E-2
8.845748333E-1,8.546934087E-2
8.945108333E-1,9.340662703E-2
9.044478333E-1,9.303656652E-2
9.143848333E-1,8.236163661E-2
9.243218333E-1,9.178788938E-2
9.342588333E-1,8.988777431E-2
9.441958333E-1,8.799980491E-2
9.541328333E-1,8.824637065E-2
9.640698333E-1,8.364700467E-2
9.740058333E-1,9.299203681E-2
9.839428334E-1,8.674621133E-2
9.938798334E-1,9.501644683E-2
1.003816833E0,8.766678186E-2
1.013753833E0,8.171540564E-2
1.023690833E0,8.312558249E-2
1.033627833E0,8.107109271E-2
1.043563833E0,8.330965746E-2
1.053500833E0,8.854742369E-2
1.063437833E0,9.292247869E-2
1.073374833E0,9.399395227E-2
1.083311833E0,8.690975126E-2
1.093248833E0,8.299469964E-2
1.103185833E0,8.768653822E-2
1.113121833E0,8.450417451E-2
1.123058833E0,8.767379152E-2
1.132995833E0,7.736990506E-2
1.142932833E0,7.822131264E-2
1.152869833E0,9.608586893E-2
1.162806833E0,8.573786941E-2
1.172743833E0,8.823909032E-2
1.182679833E0,8.816556304E-2
1.192616833E0,8.732942248E-2
1.202553833E0,8.280526216E-2
1.212490833E0,8.099518080E-2
1.222427833E0,8.358068056E-2
1.232364833E0,9.574937113E-2
1.242301833E0,8.758438895E-2
1.252237833E0,9.592261047E-2
1.262174833E0,8.135142575E-2
1.272111833E0,7.388172665E-2
1.282048833E0,8.356592986E-2
1.291985833E0,9.205933336E-2
1.301922833E0,7.978465682E-2
1.311859833E0,8.336276506E-2
1.321795833E0,9.301244539E-2
1.331732833E0,8.193473867E-2
1.341669833E0,9.013099244E-2
1.351606833E0,8.870032732E-2
1.361543833E0,9.012568947E-2
1.371480833E0,8.743588405E-2
1.381417833E0,8.445046359E-2
1.391353833E0,8.864153936E-2
1.401290833E0,8.549621281E-2
1.411227833E0,8.867560615E-2
1.421164833E0,8.588931545E-2
1.431101833E0,8.927010177E-2
1.441038833E0,7.972076342E-2
1.450975833E0,8.700144956E-2
1.460911833E0,9.778554043E-2
1.470848667E0,9.053171247E-2
1.480785667E0,8.239335434E-2
1.490722667E0,7.812031528E-2
1.500659667E0,8.698707453E-2
1.510596667E0,8.407862395E-2
1.520533667E0,8.453846963E-2
1.530469667E0,9.078185245E-2
1.540406667E0,8.897462052E-2
1.550343667E0,7.995278206E-2
1.560280667E0,8.884613481E-2
1.570217667E0,8.464233094E-2
1.580154667E0,7.941759396E-2
1.590091667E0,8.206016366E-2
1.600027667E0,8.867295419E-2
1.609964667E0,8.547167379E-2
1.619901667E0,8.636517919E-2
1.629838667E0,9.361983057E-2
1.639775667E0,7.741681400E-2
1.649712667E0,8.062020982E-2
1.659649667E0,8.045169028E-2
1.669585667E0,8.508822538E-2
1.679522667E0,8.577935523E-2
1.689459667E0,8.777614279E-2
1.699396667E0,8.441566811E-2
1.709333667E0,9.367283172E-2
1.719270667E0,8.692484288E-2
1.729207667E0,9.196813468E-2
1.739143667E0,8.559362443E-2
1.749080667E0,8.014240126E-2
1.759017667E0,8.501521222E-2
1.768954667E0,9.144760333E-2
1.778891667E0,7.908389814E-2
1.788828667E0,8.651848996E-2
1.798765667E0,8.389305528E-2
1.808701667E0,7.660769881E-2
1.818638667E0,8.445031896E-2
1.828575667E0,8.999027713E-2
1.838512667E0,8.267157255E-2
1.848449667E0,8.090152160E-2
1.858386667E0,8.989941781E-2
1.868322667E0,9.010530597E-2
1.878259667E0,9.075627973E-2
1.888196667E0,8.063150700E-2
1.898133667E0,8.879521371E-2
1.908070667E0,8.442734570E-2
1.918007667E0,8.981082201E-2
1.927944667E0,8.264698161E-2
1.937880667E0,8.162779307E-2
1.947817667E0,7.595460076E-2
1.957754667E0,8.285443228E-2
1.967691667E0,7.525007765E-2
1.977628667E0,8.676548059E-2
1.987565667E0,8.114455236E-2
1.997502667E0,8.694975290E-2
2.007438667E0,8.467814473E-2
2.017375667E0,8.597222714E-2
2.027312667E0,8.318116992E-2
2.037249667E0,9.283621109E-2
2.047186667E0,9.462169350E-2
2.057123667E0,8.865172411E-2
2.067060667E0,8.195722042E-2
2.076996667E0,8.429563148E-2
2.086933667E0,8.129791075E-2
2.096870667E0,7.360613442E-2
2.106807667E0,8.197508102E-2
2.116744667E0,8.700917750E-2
2.126681667E0,9.250685147E-2
2.136618667E0,8.974153186E-2
2.146554667E0,8.083943395E-2
2.156491667E0,8.893778193E-2
2.166428667E0,9.936853086E-2
2.176365667E0,8.757295605E-2
2.186302667E0,8.714318704E-2
2.196239667E0,8.930467783E-2
2.206176667E0,9.021939832E-2
2.216112667E0,8.696276379E-2
2.226049667E0,7.639488576E-2
2.235986667E0,8.514823675E-2
2.245923667E0,7.825202605E-2
2.255860667E0,8.708805721E-2
2.265797667E0,7.967376096E-2
2.275734667E0,9.090429102E-2
2.285670667E0,8.440724855E-2
