Time (s),Linear Acceleration x (m/s^2)
1.013104164E-2,-7.913831798E-2
2.006804163E-2,7.858469630E-2
3.000504163E-2,9.608492852E-2
3.994204162E-2,9.529286834E-2
4.987904162E-2,-2.586623652E-2
5.981604161E-2,1.942377431E-2
6.975204160E-2,1.062972003E-1
7.968904171E-2,9.909936919E-2
8.962604171E-2,2.319444269E-3
9.956304170E-2,4.363923222E-3
1.095000417E-1,1.103613715E-1
1.194370417E-1,1.057203542E-1
1.293730417E-1,-2.104463163E-2
1.393100417E-1,3.548052999E-2
1.492470417E-1,1.074198292E-1
1.591840417E-1,7.963169508E-2
1.691210417E-1,-4.379806635E-2
1.790580417E-1,9.026548714E-2
1.889950417E-1,9.431994648E-2
1.989310416E-1,-1.709746870E-2
2.088680416E-1,5.144939471E-2
2.188050416E-1,9.846188564E-2
2.287420416E-1,2.749059303E-3
2.386790416E-1,2.630919965E-2
2.486160416E-1,1.008894486E-1
2.585530416E-1,-1.791696511E-3
2.684890417E-1,4.619368888E-2
2.784260417E-1,9.292660980E-2
2.883630417E-1,-1.641508036E-2
2.983000417E-1,8.540833301E-2
3.082370417E-1,4.441433547E-2
3.181740417E-1,3.283811842E-2
3.281110417E-1,8.392970008E-2
3.380470417E-1,1.954212561E-3
3.479840417E-1,8.046181697E-2
3.579210417E-1,3.328956915E-3
3.678580417E-1,7.434531877E-2
3.777950417E-1,2.046420411E-2
3.877320417E-1,6.922436384E-2
3.976690416E-1,1.907094967E-2
4.076050416E-1,4.238355179E-2
4.175420416E-1,4.367078891E-2
4.274790416E-1,3.635937564E-2
4.374160416E-1,4.309317537E-2
4.473530416E-1,3.928453663E-2
4.572900416E-1,3.359096571E-2
4.672270416E-1,3.995176789E-2
4.771628333E-1,3.571028902E-2
4.870998333E-1,4.395705580E-2
4.970368333E-1,3.870881430E-2
5.069738333E-1,4.103332006E-2
5.169108333E-1,4.004631006E-2
5.268478333E-1,3.399882727E-2
5.367848333E-1,3.587625858E-2
5.467208333E-1,4.275929935E-2
5.566578333E-1,3.233965242E-2
5.665948333E-1,4.350946971E-2
5.765318333E-1,3.395909362E-2
5.864688333E-1,2.349115234E-2
5.964058334E-1,2.521030683E-2
6.063428334E-1,2.664028910E-2
6.162788334E-1,3.785833678E-2
6.262158334E-1,3.551434334E-2
6.361528334E-1,2.816287665E-2
6.460898333E-1,2.839279099E-2
6.560268333E-1,3.520659707E-2
6.659638333E-1,3.620419602E-2
6.759008333E-1,3.945503779E-2
6.858368333E-1,3.209575958E-2
6.957738333E-1,2.064637229E-2
7.057108333E-1,3.192556906E-2
7.156478333E-1,3.303262970E-2
7.255848333E-1,2.100455993E-2
7.355218333E-1,2.830515585E-2
7.454588333E-1,2.675139533E-2
7.553948333E-1,2.415594421E-2
7.653318333E-1,3.813849150E-2
7.752688333E-1,3.254038551E-2
7.852058334E-1,2.808402146E-2
7.951428334E-1,2.802714815E-2
8.050798334E-1,3.078931801E-2
8.150168334E-1,2.370362554E-2
8.249538334E-1,3.246243482E-2
8.348898333E-1,3.680589278E-2
8.448268333E-1,2.923303588E-2
8.547638333E-1,2.087494360E-2
8.647008333E-1,2.212057413E-2
8.746378333E-1,2.700167444E-2
8.845748333E-1,2.612602648E-2
8.945108333E-1,2.603241622E-2
9.044478333E-1,2.977655285E-2
9.143848333E-1,1.972624895E-2
9.243218333E-1,2.267759451E-2
9.342588333E-1,2.254193910E-2
9.441958333E-1,1.807526934E-2
9.541328333E-1,3.118959647E-2
9.640698333E-1,2.722523907E-2
9.740058333E-1,2.403043007E-2
9.839428334E-1,2.645019064E-2
9.938798334E-1,1.560601758E-2
1.003816833E0,2.421098113E-2
1.013753833E0,2.684801144E-2
1.023690833E0,2.435529772E-2
1.033627833E0,1.966551100E-2
1.043563833E0,1.808229513E-2
1.053500833E0,2.069660353E-2
1.063437833E0,1.943531343E-2
1.073374833E0,2.167555533E-2
1.083311833E0,1.680331721E-2
1.093248833E0,2.103576944E-2
1.103185833E0,2.217320820E-2
1.113121833E0,1.748692981E-2
1.123058833E0,2.890997722E-2
1.132995833E0,2.151673034E-2
1.142932833E0,3.204053993E-2
1.152869833E0,3.441666565E-2
1.162806833E0,2.739888310E-2
1.172743833E0,2.636959956E-2
1.182679833E0,2.947629833E-2
1.192616833E0,2.042488159E-2
1.202553833E0,2.584453787E-2
1.212490833E0,1.521753405E-2
1.222427833E0,1.712342486E-2
1.232364833E0,2.515761794E-2
1.242301833E0,1.659062474E-2
1.252237833E0,1.651389831E-2
1.262174833E0,1.845695548E-2
1.272111833E0,1.795753931E-2
1.282048833E0,1.853631316E-2
1.291985833E0,1.597493120E-2
1.301922833E0,1.641369165E-2
1.311859833E0,2.063547271E-2
1.321795833E0,1.976897931E-2
1.331732833E0,1.930418048E-2
1.341669833E0,1.838379219E-2
1.351606833E0,1.726902966E-2
1.361543833E0,1.541871482E-2
1.371480833E0,1.737726711E-2
1.381417833E0,1.266188968E-2
1.391353833E0,1.991577183E-2
1.401290833E0,1.410679149E-2
1.411227833E0,1.890606732E-2
1.421164833E0,2.296562470E-2
1.431101833E0,1.628603049E-2
1.441038833E0,8.731117230E-3
1.450975833E0,1.410711125E-2
1.460911833E0,2.675140447E-2
1.470848667E0,1.770931587E-2
1.480785667E0,1.482685782E-2
1.490722667E0,1.904344034E-2
1.500659667E0,1.338214788E-2
1.510596667E0,1.945876624E-2
1.520533667E0,2.080879698E-2
1.530469667E0,2.247864299E-2
1.540406667E0,1.384257043E-2
1.550343667E0,1.802137446E-2
1.560280667E0,1.650518230E-2
1.570217667E0,1.588661998E-2
1.580154667E0,1.518550227E-2
1.590091667E0,1.804880155E-2
1.600027667E0,1.430800879E-2
1.609964667E0,9.315619525E-3
1.619901667E0,8.023649817E-3
1.629838667E0,1.787521234E-2
1.639775667E0,1.041404639E-2
1.649712667E0,1.909911680E-2
1.659649667E0,2.416923749E-2
1.669585667E0,1.930249027E-2
1.679522667E0,1.668161290E-2
1.689459667E0,1.696524854E-2
1.699396667E0,1.027303713E-2
1.709333667E0,9.763589334E-3
1.719270667E0,1.721941056E-2
1.729207667E0,1.969922385E-2
1.739143667E0,2.330024075E-2
1.749080667E0,2.276735840E-2
1.759017667E0,1.856553096E-2
1.768954667E0,1.215182975E-2
1.778891667E0,4.380286289E-3
1.788828667E0,8.561091162E-3
1.798765667E0,1.751166170E-2
1.808701667E0,8.664687378E-3
1.818638667E0,1.213323743E-2
1.828575667E0,1.800335772E-2
1.838512667E0,1.655213362E-2
1.848449667E0,1.529883776E-2
1.858386667E0,1.280230508E-2
1.868322667E0,1.490252445E-2
1.878259667E0,1.891215208E-2
1.888196667E0,1.340581996E-2
1.898133667E0,1.778322833E-2
1.908070667E0,1.509476993E-2
1.918007667E0,1.308918410E-2
1.927944667E0,1.176965939E-2
1.937880667E0,1.112411764E-2
1.947817667E0,1.911479465E-2
1.957754667E0,1.583252409E-2
1.967691667E0,1.304781505E-2
1.977628667E0,6.262824778E-3
1.987565667E0,1.871807020E-2
1.997502667E0,1.659850935E-2
2.007438667E0,9.623932242E-3
2.017375667E0,1.044745775E-2
2.027312667E0,1.599679431E-2
2.037249667E0,1.192046273E-2
2.047186667E0,1.837759780E-2
2.057123667E0,1.234443155E-2
2.067060667E0,8.699734127E-3
2.076996667E0,6.281161280E-3
2.086933667E0,2.794640176E-3
2.096870667E0,1.513851441E-2
2.106807667E0,1.087409436E-2
2.116744667E0,1.141692610E-2
2.126681667E0,1.474798436E-2
2.136618667E0,1.788879798E-2
2.146554667E0,8.456599591E-3
2.156491667E0,1.608214539E-2
2.166428667E0,2.224321034E-2
2.176365667E0,1.675400874E-2
2.186302667E0,6.549292663E-3
2.196239667E0,1.467043567E-2
2.206176667E0,1.172212335E-2
2.216112667E0,3.839464523E-3
2.226049667E0,1.129186878E-2
2.235986667E0,1.170101856E-2
2.245923667E0,9.268512893E-3
2.255860667E0,1.047073698E-2
2.265797667E0,9.918111144E-3
2.275734667E0,1.023620881E-2
2.285670667E0,1.180184648E-2
2.295607667E0,1.598961320E-2
2.305544667E0,1.545874083E-2
2.315481667E0,8.744739415E-3
2.325418667E0,8.541786214E-3
2.335355667E0,1.687312748E-2
2.345291667E0,1.125538764E-2
2.355228667E0,1.270688583E-2
2.365165667E0,1.463334239E-2
2.375102667E0,1.929644206E-2
2.385039667E0,9.826711854E-3
2.394976667E0,9.070538962E-3
2.404913667E0,1.353855176E-2
2.414849667E0,1.844415556E-2
2.424786667E0,1.401115296E-2
2.434723667E0,1.661732093E-2
2.444660667E0,8.127465304E-3
2.454597667E0,9.836387169E-3
2.464534667E0,1.106293201E-2
2.474472458E0,1.297568416E-2
2.484408458E0,9.405447375E-3
2.494345458E0,1.425045026E-2
2.504282458E0,1.102534538E-2
2.514219458E0,1.344936345E-2
2.524156458E0,1.276088121E-2
2.534093458E0,7.994541647E-3
2.544029458E0,7.621553242E-3
2.553966458E0,8.008821644E-3
2.563903458E0,1.041670505E-2
2.573840458E0,4.756582025E-3
2.583777458E0,4.229126628E-3
2.593714458E0,1.098591322E-2
2.603651458E0,1.005474413E-2
2.613587458E0,1.676243238E-2
2.623524458E0,1.165852575E-2
2.633461458E0,1.141796764E-2
2.643398458E0,1.162516007E-2
2.653335458E0,1.000515243E-2
2.663272458E0,8.521220461E-4
2.673209458E0,1.312164528E-2
2.683145458E0,9.292760566E-3
2.693082458E0,6.669973712E-3
2.703019458E0,9.540901780E-3
2.712956458E0,1.738008108E-2
2.722893458E0,2.041135076E-2
2.732830458E0,4.863092713E-3
2.742766458E0,1.328240717E-2
2.752703458E0,2.140245382E-3
2.762640458E0,3.646871857E-3
2.772577458E0,1.420400145E-2
2.782514458E0,1.775084023E-2
2.792451458E0,1.047676692E-2
2.802388458E0,1.212533455E-2
2.812324458E0,1.366000939E-2
2.822261458E0,1.075025216E-2
2.832198458E0,1.001500133E-2
2.842135458E0,1.047439149E-2
2.852072458E0,1.346186187E-2
2.862009458E0,1.821235914E-2
2.871946458E0,7.277462874E-3
2.881882458E0,7.797243800E-3
2.891819458E0,9.720886387E-3
2.901756458E0,1.897808857E-2
2.911693458E0,1.002199972E-2
2.921630458E0,1.190655733E-2
2.931567458E0,9.285835270E-3
2.941504458E0,1.327646859E-2
2.951440458E0,1.706926502E-2
2.961377458E0,1.471205140E-2
2.971314458E0,-1.069839466E-3
2.981251458E0,7.542323470E-3
2.991188458E0,7.775974553E-3
3.001125458E0,1.030155145E-2
3.011061458E0,4.482256249E-4
3.020998458E0,8.212396111E-3
3.030935458E0,4.838278592E-3
3.040872458E0,1.903433148E-2
3.050809458E0,1.236605711E-2
3.060746458E0,1.121768223E-2
3.070683458E0,2.646468077E-3
3.080619458E0,4.424734265E-3
3.090556458E0,1.137287099E-2
3.100493458E0,8.502180465E-3
3.110430458E0,1.125956291E-2
3.120367458E0,1.446078558E-2
3.130304458E0,8.610609770E-3
3.140240458E0,6.757243406E-3
3.150177458E0,7.016275059E-3
3.160114458E0,9.567671064E-3
3.170051458E0,8.878887333E-3
3.179988458E0,8.490522578E-3
3.189925458E0,3.792686798E-3
3.199862458E0,1.238030970E-2
3.209798458E0,5.271210093E-3
3.219735458E0,7.838996574E-3
3.229672458E0,2.993573416E-3
3.239609458E0,1.494847991E-2
3.249546458E0,1.157474611E-2
3.259483458E0,1.333185269E-2
3.269419458E0,8.846654557E-3
3.279356458E0,1.051340338E-2
3.289293458E0,7.970431019E-3
3.299230458E0,5.748160165E-3
3.309167458E0,7.819189131E-4
3.319104458E0,2.211526595E-3
3.329041458E0,7.800843492E-3
3.338977458E0,4.616687391E-3
3.348914458E0,3.717824165E-3
3.358851458E0,2.733226139E-3
3.368788458E0,6.379568093E-3
3.378725458E0,1.290367205E-2
3.388662458E0,4.694966991E-3
3.398599458E0,5.583396591E-3
3.408535458E0,2.650579400E-3
3.418472458E0,1.134135084E-2
3.428409458E0,6.273167040E-3
3.438346458E0,-9.896412492E-5
3.448283458E0,5.943566803E-3
3.458220458E0,6.472155098E-3
3.468156458E0,8.191108592E-3
3.478093417E0,6.917786021E-3
3.488030417E0,-2.258596681E-3
3.497967417E0,-4.810559135E-3
3.507904417E0,1.002528878E-2
3.517841417E0,1.156597529E-3
3.527777417E0,7.052655704E-3
3.537714417E0,4.438000135E-3
3.547651417E0,9.267471358E-4
3.557588417E0,4.651240781E-3
3.567525417E0,3.301612046E-3
3.577462417E0,1.854663715E-3
3.587399417E0,2.861353252E-3
3.597335417E0,4.816168807E-3
3.607272417E0,-6.647187844E-4
3.617209417E0,5.129853655E-3
3.627146417E0,7.279984485E-3
3.637083417E0,7.078675814E-3
3.647020417E0,6.467093602E-3
3.656956417E0,9.505781941E-3
3.666893417E0,3.583996017E-3
3.676830417E0,4.229071811E-3
3.686767417E0,1.128075907E-2
3.696704417E0,-1.724051535E-3
3.706641417E0,1.543144165E-2
3.716578417E0,1.384227807E-2
3.726514417E0,7.820303757E-3
3.736451417E0,9.431650210E-3
3.746388417E0,5.200879052E-3
3.756325417E0,4.015611894E-3
3.766262417E0,5.485583637E-3
3.776199417E0,1.540571390E-2
3.786135417E0,7.660144866E-3
3.796072417E0,1.129296513E-2
3.806009417E0,4.319319930E-3
3.815946417E0,6.605234072E-3
3.825883417E0,1.056337880E-2
3.835820417E0,1.086906027E-3
3.845757417E0,1.243816059E-2
3.855693417E0,5.538537484E-3
3.865630417E0,9.596413784E-3
3.875567417E0,1.320710599E-2
3.885504417E0,1.688469401E-2
3.895441417E0,5.425448678E-3
3.905378417E0,6.099303737E-3
3.915314417E0,9.925118666E-3
3.925251417E0,2.844140511E-3
3.935188417E0,3.547377829E-3
3.945125417E0,5.382307190E-3
3.955062417E0,2.792008929E-3
3.964999417E0,7.350388616E-3
3.974936417E0,3.286592010E-3
3.984872417E0,-4.057145398E-3
3.994809417E0,8.165344298E-3
4.004746417E0,-2.635997906E-4
4.014683417E0,1.272834694E-2
4.024620417E0,7.382000126E-3
4.034557417E0,1.046922036E-2
4.044493417E0,9.320406932E-3
4.054430417E0,7.116171084E-3
4.064367417E0,1.005520094E-3
4.074304417E0,4.745380953E-3
4.084241417E0,1.147040986E-3
4.094178417E0,2.578987554E-3
4.104115417E0,1.174913932E-2
4.114051417E0,5.885679368E-3
4.123988417E0,9.534415025E-3
4.133925417E0,1.226230558E-2
4.143862417E0,-4.100853335E-3
4.153799417E0,1.147053776E-2
4.163736417E0,1.830611559E-2
4.173672417E0,1.469666591E-2
4.183609417E0,4.196875580E-3
4.193546417E0,7.399834134E-3
4.203483417E0,8.577189278E-3
4.213420417E0,3.461624756E-3
4.223357417E0,1.972868834E-3
4.233294417E0,9.736052603E-3
4.243230417E0,7.129857223E-3
4.253167417E0,1.369381361E-3
4.263104417E0,2.489214521E-3
4.273041417E0,5.982304607E-3
4.282978417E0,5.936696324E-3
4.292915417E0,5.242887642E-3
4.302851417E0,-1.309812851E-3
4.312788417E0,1.502478607E-3
4.322725417E0,3.305230010E-3
4.332662417E0,7.010062393E-3
4.342599417E0,1.385775492E-2
4.352536417E0,5.429176278E-3
4.362472417E0,4.958566781E-3
4.372409417E0,-6.281627230E-3
4.382346417E0,4.472571798E-4
4.392283417E0,-5.091097578E-4
4.402220417E0,6.501336358E-3
4.412157417E0,6.788672190E-3
4.422093417E0,5.424845684E-3
4.432030417E0,5.102481376E-3
4.441967417E0,9.377563465E-3
4.451904417E0,4.639783893E-3
4.461841417E0,6.841260586E-3
4.471778417E0,1.257315818E-3
4.481715042E0,4.335765224E-3
4.491651042E0,4.992754720E-3
4.501588042E0,7.170367464E-3
4.511525042E0,3.920503277E-3
4.521462042E0,-4.447355680E-4
4.531399042E0,2.286261320E-4
4.541336042E0,1.886457950E-3
4.551272042E0,7.630451974E-3
4.561209042E0,6.860081311E-3
4.571146042E0,1.718204319E-3
4.581083042E0,3.823183682E-3
4.591020042E0,5.805481151E-3
4.600957042E0,3.721898943E-3
4.610893042E0,3.802846335E-3
4.620830042E0,1.283573471E-3
4.630767042E0,5.786824878E-3
4.640704042E0,1.770315802E-2
4.650641042E0,1.583334636E-3
4.660578042E0,1.005666275E-3
4.670515042E0,1.211875644E-2
4.680451042E0,7.553999629E-3
4.690388042E0,8.955303133E-3
4.700325042E0,2.038924098E-3
4.710262042E0,-1.478687748E-3
4.720199042E0,-4.198849015E-4
4.730136042E0,1.819726601E-3
4.740072042E0,3.311442677E-3
4.750009042E0,-2.937604599E-3
4.759946042E0,6.184344180E-3
4.769883042E0,-1.717747506E-3
4.779820042E0,1.095749941E-3
4.789757042E0,7.436927408E-5
4.799693042E0,9.408553708E-3
4.809630042E0,6.955628470E-4
4.819567042E0,5.253175087E-3
4.829504042E0,7.163076717E-3
4.839441042E0,5.523097180E-3
4.849378042E0,-3.779311292E-4
4.859314042E0,1.637896467E-3
4.869251042E0,1.583444271E-3
4.879188042E0,4.178000037E-3
4.889125042E0,3.733849190E-3
4.899062042E0,5.094478000E-3
4.908999042E0,8.671164997E-3
4.918936042E0,5.003371071E-3
4.928872042E0,9.396548644E-3
4.938809042E0,5.389725845E-3
4.948746042E0,-9.902990609E-4
4.958683042E0,3.473940454E-3
4.968620042E0,2.512036934E-3
4.978557042E0,5.933717899E-3
4.988493042E0,-9.080360457E-4
4.998430042E0,1.002914429E-2
5.008367042E0,4.993302897E-3
5.018304042E0,-5.465538651E-3
5.028241042E0,2.565045599E-3
5.038178042E0,1.087092407E-2
5.048114042E0,8.011745252E-3
5.058051042E0,3.997850977E-3
5.067988042E0,6.730254851E-3
5.077925042E0,4.378760532E-3
5.087862042E0,7.803529557E-3
5.097799042E0,7.729653642E-4
5.107735042E0,9.277301989E-3
5.117672042E0,7.265969440E-3
5.127609042E0,2.823364623E-3
5.137546042E0,-5.463747941E-3
5.147483042E0,-4.546392895E-4
5.157420042E0,3.354712073E-3
5.167356042E0,7.994075697E-3
5.177293042E0,1.099678539E-2
5.187230042E0,3.526547123E-3
5.197167042E0,6.180360764E-3
5.207104042E0,6.942435689E-3
5.217041042E0,7.519464511E-3
5.226977042E0,1.054260291E-2
5.236914042E0,1.187363019E-2
5.246851042E0,2.783530466E-3
5.256788042E0,1.277506985E-3
5.266725042E0,4.372931588E-3
