Time (s),Linear Acceleration y (m/s^2)
1.013104164E-2,4.059065843E-2
2.006804163E-2,-3.061006431E-2
3.000504163E-2,-4.479592111E-2
3.994204162E-2,-4.652958401E-2
4.987904162E-2,1.456069987E-2
5.981604161E-2,-3.404851947E-3
6.975204160E-2,-4.552477654E-2
7.968904171E-2,-4.715295201E-2
8.962604171E-2,3.107411396E-3
9.956304170E-2,2.444501594E-4
1.095000417E-1,-5.304142708E-2
1.194370417E-1,-4.218859283E-2
1.293730417E-1,7.910825964E-3
1.393100417E-1,-8.485954441E-3
1.492470417E-1,-5.263722003E-2
1.591840417E-1,-4.374316648E-2
1.691210417E-1,1.363104740E-2
1.790580417E-1,-4.234102244E-2
1.889950417E-1,-4.476995582E-2
1.989310416E-1,9.206660315E-3
2.088680416E-1,-2.888378352E-2
2.188050416E-1,-4.234146098E-2
2.287420416E-1,-5.603715666E-3
2.386790416E-1,-1.659063388E-2
2.486160416E-1,-4.569427270E-2
2.585530416E-1,3.430269063E-3
2.684890417E-1,-2.265629785E-2
2.784260417E-1,-3.817393111E-2
2.883630417E-1,1.077844670E-2
2.983000417E-1,-3.588410664E-2
3.082370417E-1,-1.433165347E-2
3.181740417E-1,-5.721884239E-3
3.281110417E-1,-3.133378515E-2
3.380470417E-1,-4.189164564E-4
3.479840417E-1,-3.228971355E-2
3.579210417E-1,6.622428540E-3
3.678580417E-1,-3.309041664E-2
3.777950417E-1,2.349612247E-3
3.877320417E-1,-2.617001764E-2
3.976690416E-1,-9.175743163E-3
4.076050416E-1,-2.475486355E-2
4.175420416E-1,-1.732087802E-2
4.274790416E-1,-9.506220482E-3
4.374160416E-1,-2.144504713E-2
4.473530416E-1,-1.438789638E-2
4.572900416E-1,-1.662003441E-2
4.672270416E-1,-7.004854716E-3
4.771628333E-1,-1.518304462E-2
4.870998333E-1,-1.109872794E-2
4.970368333E-1,-1.531908374E-2
5.069738333E-1,-1.771476109E-2
5.169108333E-1,-1.411755402E-2
5.268478333E-1,-1.666900484E-2
5.367848333E-1,-1.518713767E-2
5.467208333E-1,-1.685220541E-2
5.566578333E-1,-1.663001122E-2
5.665948333E-1,-1.272434525E-2
5.765318333E-1,-6.721301302E-3
5.864688333E-1,-1.454688583E-2
5.964058334E-1,-1.282517318E-2
6.063428334E-1,-1.080941867E-2
6.162788334E-1,-7.362448499E-3
6.262158334E-1,-5.159217641E-3
6.361528334E-1,-8.452479132E-3
6.460898333E-1,-1.579976141E-2
6.560268333E-1,-1.368891656E-2
6.659638333E-1,-8.056677449E-3
6.759008333E-1,-1.111440578E-2
6.858368333E-1,-1.738263924E-2
6.957738333E-1,-1.167853419E-2
7.057108333E-1,-9.667219911E-3
7.156478333E-1,-1.014621651E-2
7.255848333E-1,-2.130593821E-2
7.355218333E-1,-2.087602168E-2
7.454588333E-1,-8.004692048E-3
7.553948333E-1,-7.578064576E-3
7.653318333E-1,-1.496499829E-2
7.752688333E-1,-1.212507874E-2
7.852058334E-1,-1.106760979E-2
7.951428334E-1,-1.551591564E-2
8.050798334E-1,-1.284976803E-2
8.150168334E-1,-1.086401705E-2
8.249538334E-1,-8.216653615E-3
8.348898333E-1,-1.441095633E-2
8.448268333E-1,-9.064865336E-3
8.547638333E-1,-4.288658593E-3
8.647008333E-1,-1.073481185E-2
8.746378333E-1,-9.724888075E-3
8.845748333E-1,-7.978854664E-3
8.945108333E-1,-5.800712015E-3
9.044478333E-1,-4.564519264E-3
9.143848333E-1,-1.945204195E-3
9.243218333E-1,-1.165050410E-2
9.342588333E-1,-2.491918858E-3
9.441958333E-1,-1.050921896E-2
9.541328333E-1,-3.237840850E-3
9.640698333E-1,-7.410724573E-3
9.740058333E-1,-1.045319533E-2
9.839428334E-1,-9.713723548E-3
9.938798334E-1,-5.375071261E-3
1.003816833E0,-1.303249352E-2
1.013753833E0,-5.857320372E-3
1.023690833E0,-8.207809702E-3
1.033627833E0,-7.302934807E-3
1.043563833E0,-5.193624850E-3
1.053500833E0,2.248802595E-4
1.063437833E0,-4.894283954E-3
1.073374833E0,-8.791361824E-3
1.083311833E0,-1.464828020E-2
1.093248833E0,-8.713009134E-3
1.103185833E0,-3.871806934E-3
1.113121833E0,-1.970274132E-3
1.123058833E0,-4.441033378E-3
1.132995833E0,2.803027276E-3
1.142932833E0,-3.486256152E-3
1.152869833E0,-1.285143083E-2
1.162806833E0,-9.397005457E-3
1.172743833E0,-7.860101368E-3
1.182679833E0,-1.113430459E-2
1.192616833E0,-1.518732039E-2
1.202553833E0,-9.041403383E-3
1.212490833E0,-8.937944211E-3
1.222427833E0,-7.717867848E-3
1.232364833E0,-1.295324547E-2
1.242301833E0,-1.062738754E-2
1.252237833E0,-7.753736861E-3
