Time (s),Linear Acceleration z (m/s^2)
1.013104164E-2,-6.878646952E-1
2.006804163E-2,2.943944442E-1
3.000504163E-2,3.382509005E-1
3.994204162E-2,2.917076486E-1
4.987904162E-2,-3.781546390E-1
5.981604161E-2,-9.149839997E-2
6.975204160E-2,4.101096725E-1
7.968904171E-2,2.906668442E-1
8.962604171E-2,-1.750223672E-1
9.956304170E-2,-2.004659414E-1
1.095000417E-1,4.093641526E-1
1.194370417E-1,2.767446238E-1
1.293730417E-1,-3.350378555E-1
1.393100417E-1,9.544994831E-3
1.492470417E-1,3.957430637E-1
1.591840417E-1,2.315362912E-1
1.691210417E-1,-4.491000760E-1
1.790580417E-1,3.280884397E-1
1.889950417E-1,3.210595018E-1
1.989310416E-1,-2.985038674E-1
2.088680416E-1,9.218486309E-2
2.188050416E-1,3.824371397E-1
2.287420416E-1,-1.543501210E-1
2.386790416E-1,-1.469288349E-2
2.486160416E-1,3.807864708E-1
2.585530416E-1,-2.013535488E-1
2.684890417E-1,8.155930281E-2
2.784260417E-1,3.556381810E-1
2.883630417E-1,-2.911749673E-1
2.983000417E-1,2.985991770E-1
3.082370417E-1,7.151846409E-2
3.181740417E-1,-4.059955716E-2
3.281110417E-1,3.289801401E-1
3.380470417E-1,-1.732231790E-1
3.479840417E-1,3.375153208E-1
3.579210417E-1,-1.555575711E-1
3.678580417E-1,2.777977073E-1
3.777950417E-1,-1.063023806E-1
3.877320417E-1,2.414245176E-1
3.976690416E-1,-2.576750994E-2
4.076050416E-1,1.260162681E-1
4.175420416E-1,1.165852940E-1
4.274790416E-1,2.303335190E-2
4.374160416E-1,9.982483506E-2
4.473530416E-1,1.174881041E-1
4.572900416E-1,6.764468372E-2
4.672270416E-1,6.943451643E-2
4.771628333E-1,7.467186749E-2
4.870998333E-1,8.470101178E-2
4.970368333E-1,8.529918194E-2
5.069738333E-1,9.083707988E-2
5.169108333E-1,7.796209574E-2
5.268478333E-1,8.245451152E-2
5.367848333E-1,8.380697250E-2
5.467208333E-1,8.815086901E-2
5.566578333E-1,7.947067738E-2
5.665948333E-1,8.351636589E-2
5.765318333E-1,9.055173576E-2
5.864688333E-1,7.648099601E-2
5.964058334E-1,8.396367788E-2
6.063428334E-1,8.590963125E-2
6.162788334E-1,8.606341302E-2
6.262158334E-1,8.007878780E-2
6.361528334E-1,9.115692258E-2
6.460898333E-1,9.399925411E-2
6.560268333E-1,8.112719357E-2
6.659638333E-1,7.873158932E-2
6.759008333E-1,8.502143919E-2
6.858368333E-1,7.978116453E-2
6.957738333E-1,7.828661621E-2
7.057108333E-1,8.547693729E-2
7.156478333E-1,8.113654912E-2
7.255848333E-1,7.784164310E-2
7.355218333E-1,9.071662724E-2
7.454588333E-1,8.428293586E-2
7.553948333E-1,7.065775394E-2
7.653318333E-1,8.891743898E-2
7.752688333E-1,8.128331423E-2
7.852058334E-1,8.098744512E-2
7.951428334E-1,8.308133304E-2
8.050798334E-1,8.846895754E-2
8.150168334E-1,8.697031617E-2
8.249538334E-1,8.667737067E-2
8.348898333E-1,7.889355719E-2
8.448268333E-1,7.784690559E-2
8.547638333E-1,8.397946537E-2
8.647008333E-1,8.577631474E-2
8.746378333E-1,8.263285160E-2
8.845748333E-1,8.098627567E-2
8.945108333E-1,8.951794803E-2
9.044478333E-1,8.802456915E-2
9.143848333E-1,7.994079351E-2
9.243218333E-1,8.817601204E-2
9.342588333E-1,8.697967172E-2
9.441958333E-1,8.547986090E-2
9.541328333E-1,8.248725593E-2
9.640698333E-1,7.874445319E-2
9.740058333E-1,8.922324836E-2
9.839428334E-1,8.204228282E-2
9.938798334E-1,9.357182264E-2
1.003816833E0,8.324330091E-2
1.013753833E0,7.695637465E-2
1.023690833E0,7.905260146E-2
1.033627833E0,7.831000507E-2
1.043563833E0,8.115759909E-2
1.053500833E0,8.609440327E-2
1.063437833E0,9.073533833E-2
1.073374833E0,9.103705466E-2
1.083311833E0,8.400226951E-2
1.093248833E0,7.981040061E-2
1.103185833E0,8.474837422E-2
1.113121833E0,8.265156269E-2
1.123058833E0,8.265097797E-2
1.132995833E0,7.426490128E-2
1.142932833E0,7.127288103E-2
1.152869833E0,8.878529191E-2
1.162806833E0,8.069683850E-2
1.172743833E0,8.383913219E-2
1.182679833E0,8.234282970E-2
1.192616833E0,8.353800058E-2
1.202553833E0,7.814745247E-2
1.212490833E0,7.904909313E-2
1.222427833E0,8.144294322E-2
1.232364833E0,9.147267222E-2
1.242301833E0,8.533952773E-2
1.252237833E0,9.417174697E-2
1.262174833E0,7.920404434E-2
1.272111833E0,7.142315447E-2
1.282048833E0,8.130085588E-2
1.291985833E0,8.997929335E-2
1.301922833E0,7.665641248E-2
1.311859833E0,8.069859266E-2
1.321795833E0,9.087391734E-2
1.331732833E0,7.949523568E-2
1.341669833E0,8.802749276E-2
1.351606833E0,8.698434949E-2
1.361543833E0,8.863618791E-2
1.371480833E0,8.563715100E-2
1.381417833E0,8.339123547E-2
1.391353833E0,8.623824477E-2
1.401290833E0,8.429346085E-2
1.411227833E0,8.623882949E-2
1.421164833E0,8.235276997E-2
1.431101833E0,8.774448752E-2
1.441038833E0,7.921164572E-2
1.450975833E0,8.579619527E-2
1.460911833E0,9.387821674E-2
1.470848667E0,8.863969624E-2
1.480785667E0,8.085295916E-2
1.490722667E0,7.576120377E-2
1.500659667E0,8.549330950E-2
1.510596667E0,8.160081804E-2
1.520533667E0,8.160023332E-2
1.530469667E0,8.788715959E-2
1.540406667E0,8.789066792E-2
1.550343667E0,7.771300435E-2
1.560280667E0,8.698961198E-2
1.570217667E0,8.309770525E-2
1.580154667E0,7.740894914E-2
1.590091667E0,7.920755267E-2
1.600027667E0,8.743809342E-2
1.609964667E0,8.489572406E-2
1.619901667E0,8.579327166E-2
1.629838667E0,9.088034928E-2
1.639775667E0,7.650730848E-2
1.649712667E0,7.830298841E-2
1.659649667E0,7.650906265E-2
1.669585667E0,8.279248059E-2
1.679522667E0,8.413909435E-2
1.689459667E0,8.608680189E-2
1.699396667E0,8.369061291E-2
1.709333667E0,9.312275648E-2
1.719270667E0,8.503956556E-2
1.729207667E0,8.982843518E-2
1.739143667E0,8.234049082E-2
1.749080667E0,7.679674566E-2
1.759017667E0,8.218378544E-2
1.768954667E0,9.056401491E-2
1.778891667E0,7.889355719E-2
1.788828667E0,8.578391612E-2
1.798765667E0,8.204403698E-2
