"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.013104164E-2,-7.913831798E-2,4.059065843E-2,-6.878646952E-1,6.935908836E-1
2.006804163E-2,7.858469630E-2,-3.061006431E-2,2.943944442E-1,3.062362149E-1
3.000504163E-2,9.608492852E-2,-4.479592111E-2,3.382509005E-1,3.544751892E-1
3.994204162E-2,9.529286834E-2,-4.652958401E-2,2.917076486E-1,3.103853818E-1
4.987904162E-2,-2.586623652E-2,1.456069987E-2,-3.781546390E-1,3.793178182E-1
5.981604161E-2,1.942377431E-2,-3.404851947E-3,-9.149839997E-2,9.359932277E-2
6.975204160E-2,1.062972003E-1,-4.552477654E-2,4.101096725E-1,4.261003914E-1
7.968904171E-2,9.909936919E-2,-4.715295201E-2,2.906668442E-1,3.106948667E-1
8.962604171E-2,2.319444269E-3,3.107411396E-3,-1.750223672E-1,1.750653160E-1
9.956304170E-2,4.363923222E-3,2.444501594E-4,-2.004659414E-1,2.005135837E-1
1.095000417E-1,1.103613715E-1,-5.304142708E-2,4.093641526E-1,4.272844892E-1
1.194370417E-1,1.057203542E-1,-4.218859283E-2,2.767446238E-1,2.992394651E-1
1.293730417E-1,-2.104463163E-2,7.910825964E-3,-3.350378555E-1,3.357913375E-1
1.393100417E-1,3.548052999E-2,-8.485954441E-3,9.544994831E-3,3.770923438E-2
1.492470417E-1,1.074198292E-1,-5.263722003E-2,3.957430637E-1,4.134274653E-1
1.591840417E-1,7.963169508E-2,-4.374316648E-2,2.315362912E-1,2.487241959E-1
1.691210417E-1,-4.379806635E-2,1.363104740E-2,-4.491000760E-1,4.514365451E-1
1.790580417E-1,9.026548714E-2,-4.234102244E-2,3.280884397E-1,3.429032584E-1
1.889950417E-1,9.431994648E-2,-4.476995582E-2,3.210595018E-1,3.376089527E-1
1.989310416E-1,-1.709746870E-2,9.206660315E-3,-2.985038674E-1,2.991348273E-1
2.088680416E-1,5.144939471E-2,-2.888378352E-2,9.218486309E-2,1.094502725E-1
2.188050416E-1,9.846188564E-2,-4.234146098E-2,3.824371397E-1,3.971721391E-1
2.287420416E-1,2.749059303E-3,-5.603715666E-3,-1.543501210E-1,1.544762727E-1
2.386790416E-1,2.630919965E-2,-1.659063388E-2,-1.469288349E-2,3.439918522E-2
2.486160416E-1,1.008894486E-1,-4.569427270E-2,3.807864708E-1,3.965664934E-1
2.585530416E-1,-1.791696511E-3,3.430269063E-3,-2.013535488E-1,2.013907359E-1
2.684890417E-1,4.619368888E-2,-2.265629785E-2,8.155930281E-2,9.643176136E-2
2.784260417E-1,9.292660980E-2,-3.817393111E-2,3.556381810E-1,3.695552998E-1
2.883630417E-1,-1.641508036E-2,1.077844670E-2,-2.911749673E-1,2.918364120E-1
2.983000417E-1,8.540833301E-2,-3.588410664E-2,2.985991770E-1,3.126399222E-1
3.082370417E-1,4.441433547E-2,-1.433165347E-2,7.151846409E-2,8.539859596E-2
3.181740417E-1,3.283811842E-2,-5.721884239E-3,-4.059955716E-2,5.253004876E-2
3.281110417E-1,8.392970008E-2,-3.133378515E-2,3.289801401E-1,3.409603103E-1
3.380470417E-1,1.954212561E-3,-4.189164564E-4,-1.732231790E-1,1.732347083E-1
3.479840417E-1,8.046181697E-2,-3.228971355E-2,3.375153208E-1,3.484728416E-1
3.579210417E-1,3.328956915E-3,6.622428540E-3,-1.555575711E-1,1.557340567E-1
3.678580417E-1,7.434531877E-2,-3.309041664E-2,2.777977073E-1,2.894715328E-1
3.777950417E-1,2.046420411E-2,2.349612247E-3,-1.063023806E-1,1.082797324E-1
3.877320417E-1,6.922436384E-2,-2.617001764E-2,2.414245176E-1,2.525127325E-1
3.976690416E-1,1.907094967E-2,-9.175743163E-3,-2.576750994E-2,3.334456406E-2
4.076050416E-1,4.238355179E-2,-2.475486355E-2,1.260162681E-1,1.352378222E-1
4.175420416E-1,4.367078891E-2,-1.732087802E-2,1.165852940E-1,1.256951924E-1
4.274790416E-1,3.635937564E-2,-9.506220482E-3,2.303335190E-2,4.407842697E-2
4.374160416E-1,4.309317537E-2,-2.144504713E-2,9.982483506E-2,1.108237768E-1
4.473530416E-1,3.928453663E-2,-1.438789638E-2,1.174881041E-1,1.247146382E-1
4.572900416E-1,3.359096571E-2,-1.662003441E-2,6.764468372E-2,7.733292802E-2
4.672270416E-1,3.995176789E-2,-7.004854716E-3,6.943451643E-2,8.041370418E-2
4.771628333E-1,3.571028902E-2,-1.518304462E-2,7.467186749E-2,8.415246509E-2
4.870998333E-1,4.395705580E-2,-1.109872794E-2,8.470101178E-2,9.607115026E-2
4.970368333E-1,3.870881430E-2,-1.531908374E-2,8.529918194E-2,9.491573668E-2
5.069738333E-1,4.103332006E-2,-1.771476109E-2,9.083707988E-2,1.012369557E-1
5.169108333E-1,4.004631006E-2,-1.411755402E-2,7.796209574E-2,8.877556338E-2
5.268478333E-1,3.399882727E-2,-1.666900484E-2,8.245451152E-2,9.073324886E-2
5.367848333E-1,3.587625858E-2,-1.518713767E-2,8.380697250E-2,9.241949860E-2
5.467208333E-1,4.275929935E-2,-1.685220541E-2,8.815086901E-2,9.941292781E-2
5.566578333E-1,3.233965242E-2,-1.663001122E-2,7.947067738E-2,8.739564608E-2
5.665948333E-1,4.350946971E-2,-1.272434525E-2,8.351636589E-2,9.502613476E-2
5.765318333E-1,3.395909362E-2,-6.721301302E-3,9.055173576E-2,9.694334830E-2
5.864688333E-1,2.349115234E-2,-1.454688583E-2,7.648099601E-2,8.131905605E-2
5.964058334E-1,2.521030683E-2,-1.282517318E-2,8.396367788E-2,8.859990881E-2
6.063428334E-1,2.664028910E-2,-1.080941867E-2,8.590963125E-2,9.059256745E-2
6.162788334E-1,3.785833678E-2,-7.362448499E-3,8.606341302E-2,9.430996964E-2
6.262158334E-1,3.551434334E-2,-5.159217641E-3,8.007878780E-2,8.775248353E-2
6.361528334E-1,2.816287665E-2,-8.452479132E-3,9.115692258E-2,9.578192188E-2
6.460898333E-1,2.839279099E-2,-1.579976141E-2,9.399925411E-2,9.945673840E-2
6.560268333E-1,3.520659707E-2,-1.368891656E-2,8.112719357E-2,8.949029250E-2
6.659638333E-1,3.620419602E-2,-8.056677449E-3,7.873158932E-2,8.703055221E-2
6.759008333E-1,3.945503779E-2,-1.111440578E-2,8.502143919E-2,9.438683778E-2
6.858368333E-1,3.209575958E-2,-1.738263924E-2,7.978116453E-2,8.773441823E-2
6.957738333E-1,2.064637229E-2,-1.167853419E-2,7.828661621E-2,8.180131494E-2
7.057108333E-1,3.192556906E-2,-9.667219911E-3,8.547693729E-2,9.175513015E-2
7.156478333E-1,3.303262970E-2,-1.014621651E-2,8.113654912E-2,8.818866105E-2
7.255848333E-1,2.100455993E-2,-2.130593821E-2,7.784164310E-2,8.339338068E-2
7.355218333E-1,2.830515585E-2,-2.087602168E-2,9.071662724E-2,9.729592277E-2
7.454588333E-1,2.675139533E-2,-8.004692048E-3,8.428293586E-2,8.878809337E-2
7.553948333E-1,2.415594421E-2,-7.578064576E-3,7.065775394E-2,7.505634481E-2
7.653318333E-1,3.813849150E-2,-1.496499829E-2,8.891743898E-2,9.790202584E-2
7.752688333E-1,3.254038551E-2,-1.212507874E-2,8.128331423E-2,8.839044855E-2
7.852058334E-1,2.808402146E-2,-1.106760979E-2,8.098744512E-2,8.643014818E-2
7.951428334E-1,2.802714815E-2,-1.551591564E-2,8.308133304E-2,8.904365543E-2
8.050798334E-1,3.078931801E-2,-1.284976803E-2,8.846895754E-2,9.455080693E-2
8.150168334E-1,2.370362554E-2,-1.086401705E-2,8.697031617E-2,9.079495925E-2
8.249538334E-1,3.246243482E-2,-8.216653615E-3,8.667737067E-2,9.292087848E-2
8.348898333E-1,3.680589278E-2,-1.441095633E-2,7.889355719E-2,8.824138922E-2
8.448268333E-1,2.923303588E-2,-9.064865336E-3,7.784690559E-2,8.364737223E-2
8.547638333E-1,2.087494360E-2,-4.288658593E-3,8.397946537E-2,8.664125153E-2
8.647008333E-1,2.212057413E-2,-1.073481185E-2,8.577631474E-2,8.923078031E-2
8.746378333E-1,2.700167444E-2,-9.724888075E-3,8.263285160E-2,8.747486516E-2
8.845748333E-1,2.612602648E-2,-7.978854664E-3,8.098627567E-2,8.546934087E-2
8.945108333E-1,2.603241622E-2,-5.800712015E-3,8.951794803E-2,9.340662703E-2
9.044478333E-1,2.977655285E-2,-4.564519264E-3,8.802456915E-2,9.303656652E-2
9.143848333E-1,1.972624895E-2,-1.945204195E-3,7.994079351E-2,8.236163661E-2
9.243218333E-1,2.267759451E-2,-1.165050410E-2,8.817601204E-2,9.178788938E-2
9.342588333E-1,2.254193910E-2,-2.491918858E-3,8.697967172E-2,8.988777431E-2
9.441958333E-1,1.807526934E-2,-1.050921896E-2,8.547986090E-2,8.799980491E-2
9.541328333E-1,3.118959647E-2,-3.237840850E-3,8.248725593E-2,8.824637065E-2
9.640698333E-1,2.722523907E-2,-7.410724573E-3,7.874445319E-2,8.364700467E-2
9.740058333E-1,2.403043007E-2,-1.045319533E-2,8.922324836E-2,9.299203681E-2
9.839428334E-1,2.645019064E-2,-9.713723548E-3,8.204228282E-2,8.674621133E-2
9.938798334E-1,1.560601758E-2,-5.375071261E-3,9.357182264E-2,9.501644683E-2
1.003816833E0,2.421098113E-2,-1.303249352E-2,8.324330091E-2,8.766678186E-2
1.013753833E0,2.684801144E-2,-5.857320372E-3,7.695637465E-2,8.171540564E-2
1.023690833E0,2.435529772E-2,-8.207809702E-3,7.905260146E-2,8.312558249E-2
1.033627833E0,1.966551100E-2,-7.302934807E-3,7.831000507E-2,8.107109271E-2
1.043563833E0,1.808229513E-2,-5.193624850E-3,8.115759909E-2,8.330965746E-2
1.053500833E0,2.069660353E-2,2.248802595E-4,8.609440327E-2,8.854742369E-2
1.063437833E0,1.943531343E-2,-4.894283954E-3,9.073533833E-2,9.292247869E-2
1.073374833E0,2.167555533E-2,-8.791361824E-3,9.103705466E-2,9.399395227E-2
1.083311833E0,1.680331721E-2,-1.464828020E-2,8.400226951E-2,8.690975126E-2
1.093248833E0,2.103576944E-2,-8.713009134E-3,7.981040061E-2,8.299469964E-2
1.103185833E0,2.217320820E-2,-3.871806934E-3,8.474837422E-2,8.768653822E-2
1.113121833E0,1.748692981E-2,-1.970274132E-3,8.265156269E-2,8.450417451E-2
1.123058833E0,2.890997722E-2,-4.441033378E-3,8.265097797E-2,8.767379152E-2
1.132995833E0,2.151673034E-2,2.803027276E-3,7.426490128E-2,7.736990506E-2
1.142932833E0,3.204053993E-2,-3.486256152E-3,7.127288103E-2,7.822131264E-2
1.152869833E0,3.441666565E-2,-1.285143083E-2,8.878529191E-2,9.608586893E-2
1.162806833E0,2.739888310E-2,-9.397005457E-3,8.069683850E-2,8.573786941E-2
1.172743833E0,2.636959956E-2,-7.860101368E-3,8.383913219E-2,8.823909032E-2
1.182679833E0,2.947629833E-2,-1.113430459E-2,8.234282970E-2,8.816556304E-2
1.192616833E0,2.042488159E-2,-1.518732039E-2,8.353800058E-2,8.732942248E-2
1.202553833E0,2.584453787E-2,-9.041403383E-3,7.814745247E-2,8.280526216E-2
1.212490833E0,1.521753405E-2,-8.937944211E-3,7.904909313E-2,8.099518080E-2
1.222427833E0,1.712342486E-2,-7.717867848E-3,8.144294322E-2,8.358068056E-2
1.232364833E0,2.515761794E-2,-1.295324547E-2,9.147267222E-2,9.574937113E-2
1.242301833E0,1.659062474E-2,-1.062738754E-2,8.533952773E-2,8.758438895E-2
1.252237833E0,1.651389831E-2,-7.753736861E-3,9.417174697E-2,9.592261047E-2
1.262174833E0,1.845695548E-2,2.028453927E-3,7.920404434E-2,8.135142575E-2
1.272111833E0,1.795753931E-2,-5.896551535E-3,7.142315447E-2,7.388172665E-2
1.282048833E0,1.853631316E-2,-5.462651588E-3,8.130085588E-2,8.356592986E-2
1.291985833E0,1.597493120E-2,-1.111076955E-2,8.997929335E-2,9.205933336E-2
1.301922833E0,1.641369165E-2,-1.483160868E-2,7.665641248E-2,7.978465682E-2
1.311859833E0,2.063547271E-2,-3.356338330E-3,8.069859266E-2,8.336276506E-2
1.321795833E0,1.976897931E-2,-1.560000591E-3,9.087391734E-2,9.301244539E-2
1.331732833E0,1.930418048E-2,-4.599730466E-3,7.949523568E-2,8.193473867E-2
