Time (s),Absolute acceleration (m/s^2)
1.074462500E-2,1.618443535E-2
2.068062511E-2,1.867023888E-2
3.061762510E-2,2.696383844E-2
4.055362509E-2,1.494265183E-2
5.049062509E-2,3.750442396E-2
6.042662507E-2,8.568643292E-3
7.036362507E-2,1.233154413E-2
8.029962506E-2,2.324844211E-2
9.023662505E-2,1.520570730E-2
1.001726250E-1,3.032030659E-2
1.101096250E-1,4.806206141E-2
1.200456250E-1,8.745881725E-3
1.299826250E-1,1.496559846E-2
1.399186250E-1,4.248869138E-2
1.498556250E-1,1.315157050E-2
1.597916251E-1,1.016905270E-2
1.697286251E-1,3.494422879E-2
1.796646251E-1,9.224010149E-3
1.896012501E-1,6.086493440E-3
1.995372501E-1,3.757035859E-2
2.094742501E-1,2.128064936E-2
2.194102501E-1,1.112339309E-2
2.293472501E-1,3.656336059E-2
2.392832501E-1,1.753452669E-2
2.492202501E-1,2.551733238E-2
2.591562500E-1,3.794523381E-2
2.690932500E-1,1.323743045E-2
2.790292500E-1,1.189708925E-2
2.889662500E-1,2.303355463E-2
2.989022500E-1,1.132402383E-2
3.088392500E-1,1.548326141E-2
3.187752501E-1,2.512358945E-2
3.287122501E-1,9.735719788E-3
3.386482501E-1,3.291629716E-2
3.485852501E-1,2.170816084E-2
3.585212501E-1,2.088640589E-2
3.684582501E-1,3.805429412E-2
3.783942501E-1,1.905300695E-2
3.883312501E-1,2.178343532E-2
3.982672500E-1,2.924508921E-2
4.082042500E-1,1.244189086E-2
4.181402500E-1,1.115120066E-2
4.280772500E-1,2.170326431E-2
4.380132500E-1,2.027268592E-2
4.479502500E-1,1.736968130E-2
4.578862501E-1,1.744945697E-2
4.678232501E-1,2.527111616E-2
4.777592501E-1,2.850636941E-2
4.876962501E-1,1.899339503E-2
4.976322501E-1,2.745127780E-2
5.075692501E-1,1.795419193E-2
5.175052501E-1,2.034511263E-2
5.274422501E-1,1.613027861E-2
5.373782500E-1,1.776631911E-2
5.473152500E-1,2.394419461E-2
5.572512500E-1,1.160667535E-2
5.671882500E-1,2.087260233E-2
5.771252500E-1,2.319397389E-2
5.870612500E-1,2.851606778E-2
5.969982500E-1,3.077968369E-2
6.069342501E-1,3.107106733E-2
6.168712501E-1,2.965332390E-2
6.268072501E-1,3.768329836E-2
6.367442501E-1,1.738279227E-2
6.466802501E-1,1.592396589E-2
6.566172501E-1,2.492336465E-2
6.665532500E-1,2.611941892E-2
6.764902500E-1,1.859892259E-2
6.864262500E-1,1.472934025E-2
6.963632500E-1,2.280750004E-2
7.062992500E-1,1.568977981E-2
7.162362500E-1,8.103033379E-3
7.261722500E-1,1.774940236E-2
7.361092501E-1,2.459692279E-2
7.460452501E-1,2.308111597E-2
7.559822501E-1,2.944326162E-2
7.659182501E-1,2.036695528E-2
7.758552501E-1,2.531465926E-2
7.857912501E-1,2.624881368E-2
7.957282501E-1,1.310744773E-2
8.056642500E-1,1.756042239E-2
8.156012500E-1,1.629877334E-2
8.255372500E-1,2.696592531E-2
8.354742500E-1,2.206638542E-2
8.454102500E-1,2.546812666E-2
8.553472500E-1,1.596911311E-2
8.652832501E-1,2.260398741E-2
8.752202501E-1,1.109701625E-2
8.851562501E-1,1.834160978E-2
8.950932501E-1,1.395915806E-2
9.050292501E-1,1.734532912E-2
9.149662501E-1,1.203339363E-2
9.249022501E-1,2.205705096E-2
9.348392501E-1,6.469561587E-3
9.447752500E-1,1.073485676E-2
9.547122500E-1,2.977127781E-2
9.646482500E-1,1.620488929E-2
9.745852500E-1,1.284527052E-2
9.845212500E-1,2.847046498E-2
9.944582500E-1,2.310452325E-2
1.004394250E0,1.639067470E-2
1.014331250E0,1.161928666E-2
1.024267250E0,1.052521871E-2
1.034204250E0,2.187541629E-2
1.044141250E0,2.188112027E-2
1.054077250E0,3.514659714E-2
1.064014250E0,2.652388407E-2
1.073950250E0,1.100103453E-2
1.083887250E0,2.708314221E-2
1.093823250E0,1.431655786E-2
1.103760250E0,1.256627828E-2
1.113696250E0,2.220699840E-2
1.123633250E0,2.377637528E-2
1.133569250E0,2.428708537E-2
1.143506250E0,1.204631549E-2
1.153442250E0,1.262343511E-2
1.163379250E0,3.065437030E-2
1.173315250E0,2.378292205E-2
1.183252500E0,8.119776639E-3
1.193188500E0,2.379161895E-2
1.203125500E0,1.951862619E-2
1.213061500E0,1.534966978E-2
1.222998500E0,2.290673941E-2
1.232934500E0,1.824364276E-2
1.242871500E0,9.706482934E-3
1.252807500E0,2.853496890E-2
1.262744500E0,2.071386332E-2
1.272680500E0,2.431031751E-2
1.282617500E0,2.434357630E-2
1.292553500E0,1.964305351E-2
1.302490500E0,2.147186405E-2
1.312426500E0,1.980280190E-2
1.322363500E0,4.981623789E-3
1.332299500E0,1.758013591E-2
1.342236500E0,2.655028381E-2
1.352172500E0,2.206369818E-2
1.362109500E0,9.084502634E-3
1.372045500E0,1.685895258E-2
1.381982500E0,2.108751758E-2
1.391919500E0,1.447795896E-2
1.401855500E0,1.899576641E-2
1.411792500E0,1.699117936E-2
1.421728500E0,1.570163349E-2
1.431665500E0,2.839391096E-2
1.441601500E0,2.244333884E-2
1.451538500E0,1.562227393E-2
1.461474500E0,9.749324004E-3
1.471411500E0,3.422694782E-2
1.481347500E0,2.025088236E-2
1.491284500E0,1.340572623E-2
1.501220500E0,2.609280344E-2
1.511157500E0,2.724276728E-2
1.521093500E0,1.479141213E-2
1.531030500E0,1.325911935E-2
1.540966500E0,1.653205577E-2
1.550903500E0,8.084787639E-3
1.560839500E0,1.785983164E-2
1.570776500E0,2.712549311E-2
1.580712500E0,2.184363536E-2
1.590649500E0,2.164165535E-2
1.600585500E0,3.069353120E-2
1.610522500E0,3.027946159E-2
1.620458500E0,1.601997798E-2
1.630395500E0,3.546514106E-3
1.640331500E0,1.654647005E-2
1.650268500E0,7.531124067E-3
1.660204500E0,2.379213540E-2
1.670141500E0,1.510999832E-2
1.680077500E0,1.895608443E-2
1.690014500E0,2.272277959E-2
1.699950500E0,1.249985933E-2
1.709887500E0,1.330753279E-2
1.719823500E0,5.535127867E-3
1.729760500E0,1.456863596E-2
1.739697500E0,2.261406473E-2
1.749633500E0,2.559142294E-2
1.759570500E0,2.086305188E-2
1.769506500E0,2.207974559E-2
1.779443500E0,2.033182560E-2
1.789379500E0,1.317723697E-2
1.799316500E0,1.474265310E-2
1.809252500E0,1.545910584E-2
1.819189500E0,2.200847543E-2
1.829125500E0,2.699837437E-2
1.839062500E0,2.013153139E-2
1.848998500E0,7.196472405E-3
1.858935500E0,1.048947930E-2
1.868871500E0,1.042489592E-2
1.878808500E0,2.594153602E-2
1.888744500E0,2.562281881E-2
1.898681500E0,1.874872985E-2
1.908617500E0,2.852887570E-2
1.918554500E0,1.100587992E-2
1.928490500E0,2.963388843E-2
1.938427500E0,3.500628729E-2
1.948363500E0,1.961323980E-2
1.958300500E0,8.809615587E-3
1.968236500E0,4.461069013E-2
1.978173500E0,8.826285290E-3
1.988109500E0,2.710325772E-2
1.998046500E0,1.356512027E-2
2.007982500E0,1.238873267E-2
2.017919500E0,1.543379751E-2
2.027856500E0,1.569967823E-2
2.037792500E0,4.075644174E-2
2.047729500E0,1.500886321E-2
2.057665500E0,4.257177962E-3
2.067602500E0,9.864878238E-3
2.077538500E0,2.687929003E-2
2.087475500E0,1.537484843E-2
2.097411500E0,2.430609249E-2
2.107348500E0,1.867690072E-2
2.117284500E0,1.698314948E-2
2.127221500E0,3.159469567E-2
