Time (s),Linear Acceleration x (m/s^2)
1.074462500E-2,-8.624480347E-3
2.068062511E-2,-1.021568874E-2
3.061762510E-2,-3.887797699E-3
4.055362509E-2,-7.334412698E-3
5.049062509E-2,-4.990242245E-3
6.042662507E-2,-4.572286239E-3
7.036362507E-2,-8.896945179E-3
8.029962506E-2,-1.351523484E-2
9.023662505E-2,1.345499139E-3
1.001726250E-1,-2.393257144E-2
1.101096250E-1,-2.088577694E-2
1.200456250E-1,1.607689660E-3
1.299826250E-1,3.195670091E-3
1.399186250E-1,-1.620524755E-2
1.498556250E-1,4.777922079E-3
1.597916251E-1,-7.332960031E-3
1.697286251E-1,-2.249365389E-2
1.796646251E-1,-4.391430260E-4
1.896012501E-1,-4.332326559E-3
1.995372501E-1,-2.415978145E-2
2.094742501E-1,-1.576445657E-2
2.194102501E-1,-5.739853007E-4
2.293472501E-1,-1.200118857E-2
2.392832501E-1,-1.245341017E-2
2.492202501E-1,-2.462906162E-2
2.591562500E-1,-2.403391556E-2
2.690932500E-1,-1.197615632E-2
2.790292500E-1,-9.632939467E-3
2.889662500E-1,-1.205330417E-3
2.989022500E-1,-8.897121053E-3
3.088392500E-1,-1.254416079E-2
3.187752501E-1,-1.830258099E-2
3.287122501E-1,-7.365767250E-4
3.386482501E-1,-2.676362424E-2
3.485852501E-1,6.307980814E-4
3.585212501E-1,-2.071310364E-2
3.684582501E-1,-3.333079659E-2
3.783942501E-1,-1.162879745E-2
3.883312501E-1,-1.263408457E-2
3.982672500E-1,-2.225149237E-2
4.082042500E-1,-4.940367322E-3
4.181402500E-1,-9.470617563E-3
4.280772500E-1,-8.951501300E-3
4.380132500E-1,-1.998200297E-2
4.479502500E-1,-1.490498210E-2
4.578862501E-1,-4.079232342E-4
4.678232501E-1,-6.687002586E-3
4.777592501E-1,-1.994100622E-2
4.876962501E-1,-5.789024436E-3
4.976322501E-1,-2.413014337E-2
5.075692501E-1,-6.977563523E-3
5.175052501E-1,3.063567557E-3
5.274422501E-1,-7.348278137E-3
5.373782500E-1,-1.507093910E-2
5.473152500E-1,-1.938676783E-2
5.572512500E-1,-5.055202298E-3
5.671882500E-1,-1.607276472E-2
5.771252500E-1,-9.403303777E-3
5.870612500E-1,-2.374523213E-2
5.969982500E-1,-2.994323733E-2
6.069342501E-1,-2.808596749E-2
6.168712501E-1,-9.675718930E-3
6.268072501E-1,-1.238609410E-2
6.367442501E-1,-3.731937425E-3
6.466802501E-1,-1.005732170E-2
6.566172501E-1,-8.083172645E-3
6.665532500E-1,-1.066413021E-2
6.764902500E-1,-1.492981221E-2
6.864262500E-1,-8.625185554E-3
6.963632500E-1,-4.178989038E-3
7.062992500E-1,-4.114368169E-3
7.162362500E-1,-6.425170664E-3
7.261722500E-1,-1.736365634E-2
7.361092501E-1,-1.983376006E-2
7.460452501E-1,-1.821654013E-2
7.559822501E-1,-1.024967911E-2
7.659182501E-1,-1.223090991E-2
7.758552501E-1,-2.337581601E-2
7.857912501E-1,-9.935387839E-3
7.957282501E-1,-8.598981577E-3
8.056642500E-1,-1.500510197E-2
8.156012500E-1,-2.938550203E-3
8.255372500E-1,-2.230587604E-2
8.354742500E-1,-1.928803668E-2
8.454102500E-1,-1.128737031E-2
8.553472500E-1,-1.127428259E-2
8.652832501E-1,-9.121206456E-3
8.752202501E-1,5.804773089E-3
8.851562501E-1,-1.743192144E-2
8.950932501E-1,6.028313743E-3
9.050292501E-1,-1.240679005E-2
9.149662501E-1,-7.700040692E-3
9.249022501E-1,-2.074406419E-2
9.348392501E-1,-5.647287701E-3
9.447752500E-1,-6.719775544E-3
9.547122500E-1,-1.388793203E-2
9.646482500E-1,7.873344398E-4
9.745852500E-1,-1.201002678E-2
9.845212500E-1,-2.475539345E-2
9.944582500E-1,-9.414307277E-3
1.004394250E0,8.463342162E-4
1.014331250E0,-9.070235181E-3
1.024267250E0,-1.043480972E-2
1.034204250E0,-1.307626998E-2
1.044141250E0,-1.501221113E-2
1.054077250E0,-1.829041033E-3
1.064014250E0,-1.553026302E-2
1.073950250E0,1.545106180E-3
1.083887250E0,-1.811609021E-4
1.093823250E0,-6.819735523E-3
1.103760250E0,7.392744385E-3
1.113696250E0,-1.109780860E-2
1.123633250E0,-1.877109257E-2
1.133569250E0,-1.978885070E-2
1.143506250E0,-1.066602256E-2
1.153442250E0,-1.065584818E-2
1.163379250E0,-2.002151964E-2
