Time (s),Linear Acceleration y (m/s^2)
1.074462500E-2,1.367555933E-2
2.068062511E-2,4.433957334E-3
3.061762510E-2,-1.104589286E-3
4.055362509E-2,-5.729330303E-3
5.049062509E-2,-1.564559592E-3
6.042662507E-2,6.671330449E-3
7.036362507E-2,-2.712153322E-3
8.029962506E-2,-3.590309182E-3
9.023662505E-2,1.173853667E-2
1.001726250E-1,1.279283990E-3
1.101096250E-1,-1.163463439E-3
1.200456250E-1,-4.498427454E-3
1.299826250E-1,8.584589660E-3
1.399186250E-1,7.091896003E-3
1.498556250E-1,-4.931591931E-3
1.597916251E-1,9.578013327E-5
1.697286251E-1,-4.535557274E-3
1.796646251E-1,7.120844289E-3
1.896012501E-1,-3.949159202E-3
1.995372501E-1,-2.293440148E-2
2.094742501E-1,-1.361718311E-2
2.194102501E-1,-7.278463296E-3
2.293472501E-1,-5.232746378E-3
2.392832501E-1,6.510235090E-3
2.492202501E-1,1.730040363E-3
2.591562500E-1,1.437246978E-2
2.690932500E-1,-5.606502229E-3
2.790292500E-1,3.018510877E-3
2.889662500E-1,1.589617195E-2
2.989022500E-1,3.621034473E-3
3.088392500E-1,-2.052390967E-3
3.187752501E-1,-7.924964349E-3
3.287122501E-1,-4.008522145E-3
3.386482501E-1,-1.072823830E-2
3.485852501E-1,6.608614493E-3
3.585212501E-1,9.621867444E-5
3.684582501E-1,-9.955588141E-3
3.783942501E-1,-7.348004049E-3
3.883312501E-1,-3.603744074E-3
3.982672500E-1,-1.550799906E-2
4.082042500E-1,-8.742528437E-3
4.181402500E-1,5.239909217E-3
4.280772500E-1,4.192901300E-3
4.380132500E-1,-3.408506457E-3
4.479502500E-1,1.163276145E-3
4.578862501E-1,2.754198457E-3
4.678232501E-1,-3.541905200E-3
4.777592501E-1,1.862840680E-4
4.876962501E-1,-6.380390357E-3
4.976322501E-1,-1.217588556E-2
5.075692501E-1,-1.476280340E-3
5.175052501E-1,1.308041328E-2
5.274422501E-1,2.814808502E-3
5.373782500E-1,8.178244717E-3
5.473152500E-1,-4.868071983E-3
5.572512500E-1,1.029054680E-2
5.671882500E-1,5.140515687E-3
5.771252500E-1,-1.917142128E-3
5.870612500E-1,-1.193559241E-2
5.969982500E-1,-4.979356374E-3
6.069342501E-1,-9.502387815E-3
6.168712501E-1,4.279261935E-3
6.268072501E-1,-2.590048384E-2
6.367442501E-1,-7.404653518E-3
6.466802501E-1,-3.515866818E-3
6.566172501E-1,3.175266506E-3
6.665532500E-1,-4.769304288E-3
6.764902500E-1,-3.378137480E-4
6.864262500E-1,9.172613989E-3
6.963632500E-1,-1.654884456E-2
7.062992500E-1,-5.568531873E-3
7.162362500E-1,-4.131108108E-3
7.261722500E-1,-7.557434868E-4
7.361092501E-1,-1.106995324E-2
7.460452501E-1,-2.618328352E-3
7.559822501E-1,-2.288773339E-2
7.659182501E-1,-1.531161941E-2
7.758552501E-1,9.287863523E-3
7.857912501E-1,9.614859922E-3
7.957282501E-1,-2.927125292E-4
8.056642500E-1,-4.980110116E-3
8.156012500E-1,-1.356708434E-2
8.255372500E-1,-1.496088240E-2
8.354742500E-1,1.316578262E-3
8.454102500E-1,-6.049506473E-3
8.553472500E-1,-6.448807348E-3
8.652832501E-1,-1.629730922E-2
8.752202501E-1,5.634842953E-4
8.851562501E-1,2.600457799E-4
8.950932501E-1,-3.691237606E-4
9.050292501E-1,2.613202902E-3
9.149662501E-1,-8.077499019E-3
9.249022501E-1,2.558207097E-3
9.348392501E-1,2.699389947E-3
9.447752500E-1,-4.744257191E-3
9.547122500E-1,2.576027401E-3
9.646482500E-1,3.137748395E-3
9.745852500E-1,-4.554231819E-3
9.845212500E-1,6.840168801E-3
9.944582500E-1,8.126396360E-3
1.004394250E0,-1.204020732E-2
1.014331250E0,-6.993301897E-3
1.024267250E0,-9.056514781E-4
1.034204250E0,2.386413161E-3
1.044141250E0,-1.434835915E-2
1.054077250E0,-5.022794791E-3
1.064014250E0,-1.030754027E-2
1.073950250E0,-8.177248864E-3
1.083887250E0,1.344324671E-2
1.093823250E0,-5.676289662E-3
1.103760250E0,6.169474893E-3
1.113696250E0,-8.859591521E-3
1.123633250E0,-1.137657575E-2
1.133569250E0,-6.882689022E-3
1.143506250E0,5.596785801E-3
1.153442250E0,2.479137210E-3
1.163379250E0,2.156983037E-4
1.173315250E0,1.396465846E-3
1.183252500E0,8.030264480E-3
1.193188500E0,5.876817182E-3
1.203125500E0,-6.192183103E-3
1.213061500E0,-1.258759350E-2
1.222998500E0,-1.960644498E-4
1.232934500E0,-8.863373939E-3
1.242871500E0,5.540917483E-3
1.252807500E0,7.545434372E-3
1.262744500E0,2.692537741E-3
1.272680500E0,8.421128006E-3
1.282617500E0,1.791043268E-3
1.292553500E0,9.839036688E-4
1.302490500E0,7.862330619E-3
1.312426500E0,-1.551149368E-2
1.322363500E0,4.330027644E-3
1.332299500E0,2.352458197E-3
1.342236500E0,-2.048230764E-2
1.352172500E0,2.211709321E-3
1.362109500E0,4.897043109E-4
1.372045500E0,2.792822057E-3
1.381982500E0,4.810750997E-4
1.391919500E0,-5.991267292E-3
1.401855500E0,-1.816453074E-2
1.411792500E0,-1.644844604E-3
1.421728500E0,-2.807554300E-3
1.431665500E0,1.416775784E-3
1.441601500E0,4.519404341E-3
1.451538500E0,-6.890011746E-3
1.461474500E0,1.799850636E-3
1.471411500E0,-1.016135531E-2
1.481347500E0,-6.646657940E-3
1.491284500E0,-1.717971344E-3
1.501220500E0,-1.145988030E-2
1.511157500E0,-1.055758183E-2
1.521093500E0,2.047475651E-3
1.531030500E0,-2.318343348E-3
1.540966500E0,-4.460502779E-3
1.550903500E0,1.886626971E-3
1.560839500E0,-5.656482219E-3
1.570776500E0,1.833076525E-2
1.580712500E0,3.580962773E-4
1.590649500E0,-3.864301485E-3
1.600585500E0,-3.074671556E-3
1.610522500E0,4.633141821E-4
1.620458500E0,1.098931191E-2
1.630395500E0,3.084228099E-3
1.640331500E0,1.443630036E-2
1.650268500E0,6.044787588E-4
1.660204500E0,9.323641174E-3
1.670141500E0,-8.764884900E-5
1.680077500E0,-8.593282825E-3
1.690014500E0,8.242641748E-3
1.699950500E0,-5.846598954E-3
1.709887500E0,-6.324202269E-3
1.719823500E0,-2.330499161E-3
1.729760500E0,1.339875762E-3
1.739697500E0,3.431164417E-3
1.749633500E0,-5.798236085E-3
1.759570500E0,-1.346690509E-2
1.769506500E0,5.144695533E-3
1.779443500E0,7.923018322E-3
1.789379500E0,-2.241137261E-3
1.799316500E0,8.001677077E-3
1.809252500E0,-1.121521087E-2
1.819189500E0,1.582398168E-3
1.829125500E0,-1.136008934E-3
1.839062500E0,-7.980046947E-3
1.848998500E0,5.155882901E-3
1.858935500E0,5.861367742E-3
1.868871500E0,1.525712153E-3
1.878808500E0,-7.095020609E-3
1.888744500E0,-1.971142078E-3
1.898681500E0,-5.938710873E-3
1.908617500E0,-1.254437892E-3
1.918554500E0,1.178556564E-3
1.928490500E0,-6.656506844E-4
1.938427500E0,4.370862222E-3
1.948363500E0,-7.553369226E-4
1.958300500E0,-2.526380885E-3
1.968236500E0,7.506728545E-4
1.978173500E0,-2.481014715E-3
1.988109500E0,-1.232519969E-3
1.998046500E0,-7.654567170E-3
2.007982500E0,2.841605195E-3
2.017919500E0,-2.729142224E-4
2.027856500E0,-5.866817529E-3
2.037792500E0,8.346397849E-3
2.047729500E0,-1.013102288E-2
2.057665500E0,-2.748501990E-3
2.067602500E0,7.040892751E-3
2.077538500E0,2.788057490E-3
2.087475500E0,7.349091265E-3
2.097411500E0,1.336039441E-2
2.107348500E0,-1.196870226E-2
2.117284500E0,5.246464494E-3
2.127221500E0,3.212524233E-3
2.137157500E0,-1.347950402E-2
2.147094500E0,7.702071229E-3
2.157030500E0,3.731268193E-3
2.166967500E0,-3.351021018E-3
2.176903500E0,-2.627135720E-3
2.186840792E0,6.568154502E-3
2.196776792E0,-4.003885486E-3
2.206713792E0,-1.477335580E-4
2.216649792E0,4.852453521E-3
2.226586792E0,5.794979003E-3
2.236522792E0,-1.157813567E-2
2.246459792E0,-6.906018499E-4
2.256395792E0,-6.923916461E-3
2.266332792E0,1.774675632E-3
2.276268792E0,4.125672025E-3
2.286205792E0,-9.040663345E-4
2.296141792E0,1.358469451E-2
2.306078792E0,-1.195065355E-2
2.316015792E0,1.110272049E-3
2.325951792E0,-9.562481660E-5
2.335888792E0,-7.942209067E-4
2.345824792E0,-1.230435528E-2
2.355761792E0,-5.803589942E-3
2.365697792E0,-1.940065040E-3
2.375634792E0,5.745483236E-3
2.385570792E0,1.234667451E-2
2.395507792E0,1.014191789E-2
2.405443792E0,1.855691546E-3
2.415380792E0,-9.980603261E-4
2.425316792E0,-6.129197627E-3
