Time (s),Linear Acceleration z (m/s^2)
1.074462500E-2,7.303172350E-4
2.068062511E-2,-1.498524427E-2
3.061762510E-2,-2.665921032E-2
4.055362509E-2,-1.169033825E-2
5.049062509E-2,-3.713800550E-2
6.042662507E-2,2.830052376E-3
7.036362507E-2,-8.096639514E-3
8.029962506E-2,-1.857251108E-2
9.023662505E-2,9.571307302E-3
1.001726250E-1,-1.857192636E-2
1.101096250E-1,-4.327114999E-2
1.200456250E-1,7.325976491E-3
1.299826250E-1,-1.183476448E-2
1.399186250E-1,-3.863138437E-2
1.498556250E-1,1.121671379E-2
1.597916251E-1,-7.044725418E-3
1.697286251E-1,-2.635457039E-2
1.796646251E-1,-5.846630931E-3
1.896012501E-1,1.637220383E-3
1.995372501E-1,-1.737383187E-2
2.094742501E-1,-4.349743724E-3
2.194102501E-1,-8.391923904E-3
2.293472501E-1,-3.413896859E-2
2.392832501E-1,-1.048756599E-2
2.492202501E-1,-6.445970535E-3
2.591562500E-1,-2.560554206E-2
2.690932500E-1,-6.069409847E-4
2.790292500E-1,-6.295697093E-3
2.889662500E-1,-1.662538826E-2
2.989022500E-1,-5.996904373E-3
3.088392500E-1,-8.840990067E-3
3.187752501E-1,-1.527760506E-2
3.287122501E-1,-8.841574788E-3
3.386482501E-1,-1.587752938E-2
3.485852501E-1,-2.066815317E-2
3.585212501E-1,2.683287263E-3
3.684582501E-1,-1.542963266E-2
3.783942501E-1,-1.318313241E-2
3.883312501E-1,-1.737558603E-2
3.982672500E-1,-1.093838632E-2
4.082042500E-1,-7.345857024E-3
4.181402500E-1,2.683287263E-3
4.280772500E-1,-1.932153940E-2
4.380132500E-1,2.888524532E-4
4.479502500E-1,-8.842744231E-3
4.578862501E-1,-1.722589731E-2
4.678232501E-1,-2.411157846E-2
4.777592501E-1,-2.036994517E-2
4.876962501E-1,-1.692710459E-2
4.976322501E-1,-4.801733494E-3
5.075692501E-1,-1.647686899E-2
5.175052501E-1,-1.527877450E-2
5.274422501E-1,-1.408068001E-2
5.373782500E-1,-4.650290608E-3
5.473152500E-1,-1.318254769E-2
5.572512500E-1,-1.806789637E-3
5.671882500E-1,-1.228441536E-2
5.771252500E-1,-2.111546516E-2
5.870612500E-1,-1.033787727E-2
5.969982500E-1,-5.098772049E-3
6.069342501E-1,-9.289471507E-3
6.168712501E-1,-2.770176888E-2
6.268072501E-1,-2.440861702E-2
6.367442501E-1,-1.527760506E-2
6.466802501E-1,-1.183476448E-2
6.566172501E-1,-2.336138070E-2
6.665532500E-1,-2.336138070E-2
6.764902500E-1,-1.108632088E-2
6.864262500E-1,-7.643480301E-3
6.963632500E-1,-1.512791634E-2
7.062992500E-1,-1.407951057E-2
7.162362500E-1,-2.703752518E-3
7.261722500E-1,-3.601884842E-3
7.361092501E-1,-9.438575506E-3
7.460452501E-1,-1.392982185E-2
7.559822501E-1,-1.542729378E-2
7.659182501E-1,-5.547253489E-3
7.758552501E-1,-2.852856517E-3
7.857912501E-1,-2.231239021E-2
7.957282501E-1,-9.888226390E-3
8.056642500E-1,-7.642895579E-3
8.156012500E-1,-8.541027904E-3
8.255372500E-1,-2.404375076E-3
8.354742500E-1,-1.063783944E-2
8.454102500E-1,-2.201418221E-2
8.553472500E-1,-9.290640950E-3
8.652832501E-1,-1.273348153E-2
8.752202501E-1,-9.440914392E-3
8.851562501E-1,-5.698696375E-3
8.950932501E-1,-1.258496225E-2
9.050292501E-1,-1.183651865E-2
9.149662501E-1,-4.501771331E-3
9.249022501E-1,-7.046479583E-3
9.348392501E-1,1.636050940E-3
9.447752500E-1,-6.897375584E-3
9.547122500E-1,-2.620722055E-2
9.646482500E-1,-1.587869883E-2
9.745852500E-1,1.385790110E-4
9.845212500E-1,-1.228616953E-2
9.944582500E-1,-1.947181284E-2
1.004394250E0,-1.108924448E-2
1.014331250E0,-1.957647800E-3
1.024267250E0,1.036711335E-3
1.034204250E0,-1.737383187E-2
1.044141250E0,-6.895036697E-3
1.054077250E0,-3.473772347E-2
1.064014250E0,-1.887013435E-2
1.073950250E0,-7.194998860E-3
1.083887250E0,-2.351048470E-2
1.093823250E0,-1.123542488E-2
1.103760250E0,8.074420094E-3
1.113696250E0,-1.707328498E-2
1.123633250E0,-9.139782786E-3
1.133569250E0,-1.228383064E-2
1.143506250E0,-1.602137089E-4
