"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.074462500E-2,-8.624480347E-3,1.367555933E-2,7.303172350E-4,1.618443535E-2
2.068062511E-2,-1.021568874E-2,4.433957334E-3,-1.498524427E-2,1.867023888E-2
3.061762510E-2,-3.887797699E-3,-1.104589286E-3,-2.665921032E-2,2.696383844E-2
4.055362509E-2,-7.334412698E-3,-5.729330303E-3,-1.169033825E-2,1.494265183E-2
5.049062509E-2,-4.990242245E-3,-1.564559592E-3,-3.713800550E-2,3.750442396E-2
6.042662507E-2,-4.572286239E-3,6.671330449E-3,2.830052376E-3,8.568643292E-3
7.036362507E-2,-8.896945179E-3,-2.712153322E-3,-8.096639514E-3,1.233154413E-2
8.029962506E-2,-1.351523484E-2,-3.590309182E-3,-1.857251108E-2,2.324844211E-2
9.023662505E-2,1.345499139E-3,1.173853667E-2,9.571307302E-3,1.520570730E-2
1.001726250E-1,-2.393257144E-2,1.279283990E-3,-1.857192636E-2,3.032030659E-2
1.101096250E-1,-2.088577694E-2,-1.163463439E-3,-4.327114999E-2,4.806206141E-2
1.200456250E-1,1.607689660E-3,-4.498427454E-3,7.325976491E-3,8.745881725E-3
1.299826250E-1,3.195670091E-3,8.584589660E-3,-1.183476448E-2,1.496559846E-2
1.399186250E-1,-1.620524755E-2,7.091896003E-3,-3.863138437E-2,4.248869138E-2
1.498556250E-1,4.777922079E-3,-4.931591931E-3,1.121671379E-2,1.315157050E-2
1.597916251E-1,-7.332960031E-3,9.578013327E-5,-7.044725418E-3,1.016905270E-2
1.697286251E-1,-2.249365389E-2,-4.535557274E-3,-2.635457039E-2,3.494422879E-2
1.796646251E-1,-4.391430260E-4,7.120844289E-3,-5.846630931E-3,9.224010149E-3
1.896012501E-1,-4.332326559E-3,-3.949159202E-3,1.637220383E-3,6.086493440E-3
1.995372501E-1,-2.415978145E-2,-2.293440148E-2,-1.737383187E-2,3.757035859E-2
2.094742501E-1,-1.576445657E-2,-1.361718311E-2,-4.349743724E-3,2.128064936E-2
2.194102501E-1,-5.739853007E-4,-7.278463296E-3,-8.391923904E-3,1.112339309E-2
2.293472501E-1,-1.200118857E-2,-5.232746378E-3,-3.413896859E-2,3.656336059E-2
2.392832501E-1,-1.245341017E-2,6.510235090E-3,-1.048756599E-2,1.753452669E-2
2.492202501E-1,-2.462906162E-2,1.730040363E-3,-6.445970535E-3,2.551733238E-2
2.591562500E-1,-2.403391556E-2,1.437246978E-2,-2.560554206E-2,3.794523381E-2
2.690932500E-1,-1.197615632E-2,-5.606502229E-3,-6.069409847E-4,1.323743045E-2
2.790292500E-1,-9.632939467E-3,3.018510877E-3,-6.295697093E-3,1.189708925E-2
2.889662500E-1,-1.205330417E-3,1.589617195E-2,-1.662538826E-2,2.303355463E-2
2.989022500E-1,-8.897121053E-3,3.621034473E-3,-5.996904373E-3,1.132402383E-2
3.088392500E-1,-1.254416079E-2,-2.052390967E-3,-8.840990067E-3,1.548326141E-2
3.187752501E-1,-1.830258099E-2,-7.924964349E-3,-1.527760506E-2,2.512358945E-2
3.287122501E-1,-7.365767250E-4,-4.008522145E-3,-8.841574788E-3,9.735719788E-3
3.386482501E-1,-2.676362424E-2,-1.072823830E-2,-1.587752938E-2,3.291629716E-2
3.485852501E-1,6.307980814E-4,6.608614493E-3,-2.066815317E-2,2.170816084E-2
3.585212501E-1,-2.071310364E-2,9.621867444E-5,2.683287263E-3,2.088640589E-2
3.684582501E-1,-3.333079659E-2,-9.955588141E-3,-1.542963266E-2,3.805429412E-2
3.783942501E-1,-1.162879745E-2,-7.348004049E-3,-1.318313241E-2,1.905300695E-2
3.883312501E-1,-1.263408457E-2,-3.603744074E-3,-1.737558603E-2,2.178343532E-2
3.982672500E-1,-2.225149237E-2,-1.550799906E-2,-1.093838632E-2,2.924508921E-2
4.082042500E-1,-4.940367322E-3,-8.742528437E-3,-7.345857024E-3,1.244189086E-2
4.181402500E-1,-9.470617563E-3,5.239909217E-3,2.683287263E-3,1.115120066E-2
4.280772500E-1,-8.951501300E-3,4.192901300E-3,-1.932153940E-2,2.170326431E-2
4.380132500E-1,-1.998200297E-2,-3.408506457E-3,2.888524532E-4,2.027268592E-2
4.479502500E-1,-1.490498210E-2,1.163276145E-3,-8.842744231E-3,1.736968130E-2
4.578862501E-1,-4.079232342E-4,2.754198457E-3,-1.722589731E-2,1.744945697E-2
4.678232501E-1,-6.687002586E-3,-3.541905200E-3,-2.411157846E-2,2.527111616E-2
4.777592501E-1,-1.994100622E-2,1.862840680E-4,-2.036994517E-2,2.850636941E-2
4.876962501E-1,-5.789024436E-3,-6.380390357E-3,-1.692710459E-2,1.899339503E-2
4.976322501E-1,-2.413014337E-2,-1.217588556E-2,-4.801733494E-3,2.745127780E-2
5.075692501E-1,-6.977563523E-3,-1.476280340E-3,-1.647686899E-2,1.795419193E-2
5.175052501E-1,3.063567557E-3,1.308041328E-2,-1.527877450E-2,2.034511263E-2
5.274422501E-1,-7.348278137E-3,2.814808502E-3,-1.408068001E-2,1.613027861E-2
5.373782500E-1,-1.507093910E-2,8.178244717E-3,-4.650290608E-3,1.776631911E-2
5.473152500E-1,-1.938676783E-2,-4.868071983E-3,-1.318254769E-2,2.394419461E-2
5.572512500E-1,-5.055202298E-3,1.029054680E-2,-1.806789637E-3,1.160667535E-2
5.671882500E-1,-1.607276472E-2,5.140515687E-3,-1.228441536E-2,2.087260233E-2
5.771252500E-1,-9.403303777E-3,-1.917142128E-3,-2.111546516E-2,2.319397389E-2
5.870612500E-1,-2.374523213E-2,-1.193559241E-2,-1.033787727E-2,2.851606778E-2
5.969982500E-1,-2.994323733E-2,-4.979356374E-3,-5.098772049E-3,3.077968369E-2
6.069342501E-1,-2.808596749E-2,-9.502387815E-3,-9.289471507E-3,3.107106733E-2
6.168712501E-1,-9.675718930E-3,4.279261935E-3,-2.770176888E-2,2.965332390E-2
6.268072501E-1,-1.238609410E-2,-2.590048384E-2,-2.440861702E-2,3.768329836E-2
6.367442501E-1,-3.731937425E-3,-7.404653518E-3,-1.527760506E-2,1.738279227E-2
6.466802501E-1,-1.005732170E-2,-3.515866818E-3,-1.183476448E-2,1.592396589E-2
6.566172501E-1,-8.083172645E-3,3.175266506E-3,-2.336138070E-2,2.492336465E-2
6.665532500E-1,-1.066413021E-2,-4.769304288E-3,-2.336138070E-2,2.611941892E-2
6.764902500E-1,-1.492981221E-2,-3.378137480E-4,-1.108632088E-2,1.859892259E-2
6.864262500E-1,-8.625185554E-3,9.172613989E-3,-7.643480301E-3,1.472934025E-2
6.963632500E-1,-4.178989038E-3,-1.654884456E-2,-1.512791634E-2,2.280750004E-2
7.062992500E-1,-4.114368169E-3,-5.568531873E-3,-1.407951057E-2,1.568977981E-2
7.162362500E-1,-6.425170664E-3,-4.131108108E-3,-2.703752518E-3,8.103033379E-3
7.261722500E-1,-1.736365634E-2,-7.557434868E-4,-3.601884842E-3,1.774940236E-2
7.361092501E-1,-1.983376006E-2,-1.106995324E-2,-9.438575506E-3,2.459692279E-2
7.460452501E-1,-1.821654013E-2,-2.618328352E-3,-1.392982185E-2,2.308111597E-2
7.559822501E-1,-1.024967911E-2,-2.288773339E-2,-1.542729378E-2,2.944326162E-2
7.659182501E-1,-1.223090991E-2,-1.531161941E-2,-5.547253489E-3,2.036695528E-2
7.758552501E-1,-2.337581601E-2,9.287863523E-3,-2.852856517E-3,2.531465926E-2
7.857912501E-1,-9.935387839E-3,9.614859922E-3,-2.231239021E-2,2.624881368E-2
7.957282501E-1,-8.598981577E-3,-2.927125292E-4,-9.888226390E-3,1.310744773E-2
8.056642500E-1,-1.500510197E-2,-4.980110116E-3,-7.642895579E-3,1.756042239E-2
8.156012500E-1,-2.938550203E-3,-1.356708434E-2,-8.541027904E-3,1.629877334E-2
8.255372500E-1,-2.230587604E-2,-1.496088240E-2,-2.404375076E-3,2.696592531E-2
8.354742500E-1,-1.928803668E-2,1.316578262E-3,-1.063783944E-2,2.206638542E-2
8.454102500E-1,-1.128737031E-2,-6.049506473E-3,-2.201418221E-2,2.546812666E-2
8.553472500E-1,-1.127428259E-2,-6.448807348E-3,-9.290640950E-3,1.596911311E-2
8.652832501E-1,-9.121206456E-3,-1.629730922E-2,-1.273348153E-2,2.260398741E-2
8.752202501E-1,5.804773089E-3,5.634842953E-4,-9.440914392E-3,1.109701625E-2
8.851562501E-1,-1.743192144E-2,2.600457799E-4,-5.698696375E-3,1.834160978E-2
8.950932501E-1,6.028313743E-3,-3.691237606E-4,-1.258496225E-2,1.395915806E-2
9.050292501E-1,-1.240679005E-2,2.613202902E-3,-1.183651865E-2,1.734532912E-2
9.149662501E-1,-7.700040692E-3,-8.077499019E-3,-4.501771331E-3,1.203339363E-2
9.249022501E-1,-2.074406419E-2,2.558207097E-3,-7.046479583E-3,2.205705096E-2
9.348392501E-1,-5.647287701E-3,2.699389947E-3,1.636050940E-3,6.469561587E-3
9.447752500E-1,-6.719775544E-3,-4.744257191E-3,-6.897375584E-3,1.073485676E-2
9.547122500E-1,-1.388793203E-2,2.576027401E-3,-2.620722055E-2,2.977127781E-2
9.646482500E-1,7.873344398E-4,3.137748395E-3,-1.587869883E-2,1.620488929E-2
9.745852500E-1,-1.201002678E-2,-4.554231819E-3,1.385790110E-4,1.284527052E-2
9.845212500E-1,-2.475539345E-2,6.840168801E-3,-1.228616953E-2,2.847046498E-2
9.944582500E-1,-9.414307277E-3,8.126396360E-3,-1.947181284E-2,2.310452325E-2
1.004394250E0,8.463342162E-4,-1.204020732E-2,-1.108924448E-2,1.639067470E-2
1.014331250E0,-9.070235181E-3,-6.993301897E-3,-1.957647800E-3,1.161928666E-2
1.024267250E0,-1.043480972E-2,-9.056514781E-4,1.036711335E-3,1.052521871E-2
1.034204250E0,-1.307626998E-2,2.386413161E-3,-1.737383187E-2,2.187541629E-2
1.044141250E0,-1.501221113E-2,-1.434835915E-2,-6.895036697E-3,2.188112027E-2
1.054077250E0,-1.829041033E-3,-5.022794791E-3,-3.473772347E-2,3.514659714E-2
1.064014250E0,-1.553026302E-2,-1.030754027E-2,-1.887013435E-2,2.652388407E-2
1.073950250E0,1.545106180E-3,-8.177248864E-3,-7.194998860E-3,1.100103453E-2
1.083887250E0,-1.811609021E-4,1.344324671E-2,-2.351048470E-2,2.708314221E-2
1.093823250E0,-6.819735523E-3,-5.676289662E-3,-1.123542488E-2,1.431655786E-2
1.103760250E0,7.392744385E-3,6.169474893E-3,8.074420094E-3,1.256627828E-2
1.113696250E0,-1.109780860E-2,-8.859591521E-3,-1.707328498E-2,2.220699840E-2
1.123633250E0,-1.877109257E-2,-1.137657575E-2,-9.139782786E-3,2.377637528E-2
1.133569250E0,-1.978885070E-2,-6.882689022E-3,-1.228383064E-2,2.428708537E-2
1.143506250E0,-1.066602256E-2,5.596785801E-3,-1.602137089E-4,1.204631549E-2
1.153442250E0,-1.065584818E-2,2.479137210E-3,-6.297451258E-3,1.262343511E-2
1.163379250E0,-2.002151964E-2,2.156983037E-4,-2.321169198E-2,3.065437030E-2
1.173315250E0,-2.257688307E-2,1.396465846E-3,-7.345857024E-3,2.378292205E-2
1.183252500E0,-6.089783739E-4,8.030264480E-3,1.036711335E-3,8.119776639E-3
1.193188500E0,-1.801946954E-2,5.876817182E-3,-1.438064218E-2,2.379161895E-2
1.203125500E0,-1.470960858E-2,-6.192183103E-3,-1.123659432E-2,1.951862619E-2
1.213061500E0,3.416949516E-3,-1.258759350E-2,-8.092546463E-3,1.534966978E-2
