Time Lapsed,Temperature
0.000,29.29
0.003,29.27
0.005,29.29
0.006,29.27
0.006,29.32
0.008,29.27
0.008,29.29
0.010,29.32
0.092,29.27
0.179,29.29
0.278,29.27
0.378,29.3
0.486,29.29
0.584,29.3
0.689,29.3
0.788,29.33
0.898,29.29
0.996,29.3
1.096,29.33
1.199,29.27
1.271,29.3
1.391,29.3
1.474,29.32
1.574,29.29
1.648,29.33
1.810,29.3
1.932,29.29
1.959,29.32
2.109,29.29
2.219,29.27
2.253,29.3
2.356,29.3
2.452,29.3
2.552,29.29
2.660,29.29
2.758,29.3
2.859,29.32
2.962,29.29
3.065,29.29
3.143,29.29
3.244,29.32
3.359,29.3
3.451,29.25
3.552,29.32
3.655,29.3
3.770,29.33
3.864,29.3
3.961,29.3
4.059,29.29
4.167,29.3
4.271,29.3
4.371,29.3
4.459,29.33
4.577,29.32
4.680,29.3
4.780,29.32
4.891,29.33
4.988,29.27
5.087,29.32
5.195,29.29
5.293,29.32
5.395,29.29
5.493,29.3
5.606,29.3
5.702,29.33
5.805,29.32
5.930,29.27
5.947,29.3
6.043,29.3
6.143,29.27
6.243,29.29
6.341,29.32
6.442,29.25
6.545,29.3
6.636,29.32
56.734,29.29
56.861,29.32
56.947,29.29
57.057,29.35
57.153,29.29
57.238,29.29
57.336,29.32
57.449,29.3
57.545,29.32
57.643,29.3
57.741,29.3
57.861,29.27
57.957,29.27
58.057,29.27
58.180,29.32
58.273,29.27
58.396,29.33
58.471,29.3
58.570,29.3
58.673,29.3
58.768,29.32
58.869,29.33
59.008,29.3
59.082,29.27
59.185,29.3
59.287,29.3
59.393,29.29
59.494,29.33
59.606,29.29
59.699,29.29
59.728,29.24
59.900,29.33
59.929,29.3
60.040,29.29
60.141,29.33
60.238,29.27
60.339,29.27
60.447,29.33
60.547,29.32
60.623,29.32
60.729,29.3
60.837,29.25
60.925,29.3
61.027,29.3
61.131,29.33
61.233,29.29
61.327,29.29
61.442,29.32
61.552,29.27
61.648,29.3
61.744,29.3
61.854,29.3
61.951,29.27
62.052,29.27
62.177,29.3
62.270,29.27
62.364,29.3
62.461,29.29
62.589,29.33
62.667,29.29
62.771,29.27
62.912,29.27
62.984,29.25
63.079,29.3
63.187,29.29
63.290,29.3
63.320,29.27
63.415,29.27
63.594,29.29
63.623,29.3
63.724,29.29
63.824,29.27
63.925,29.3
64.015,29.29
64.128,29.27
64.226,29.29
64.327,29.29
64.425,29.27
64.533,29.29
64.633,29.3
64.751,29.27
64.831,29.3
64.935,29.27
65.055,29.3
65.130,29.27
65.231,29.3
65.332,29.27
65.432,29.3
65.530,29.29
65.635,29.32
65.739,29.29
65.854,29.29
65.942,29.29
66.043,29.24
66.146,29.27
66.263,29.3
66.364,29.29
66.459,29.29
66.557,29.29
66.658,29.3
116.761,29.3
116.864,29.29
116.966,29.27
117.070,29.29
117.192,29.25
117.229,29.27
117.376,29.24
117.407,29.33
117.505,29.3
117.619,29.3
117.712,29.27
117.810,29.29
117.912,29.3
118.008,29.29
118.125,29.29
118.219,29.3
118.322,29.25
118.427,29.27
118.506,29.27
118.609,29.29
118.707,29.29
118.815,29.29
118.913,29.27
119.015,29.27
119.109,29.27
119.229,29.25
119.326,29.27
119.423,29.27
119.528,29.29
119.636,29.29
119.739,29.27
119.842,29.27
119.939,29.27
120.045,29.24
120.150,29.3
120.263,29.27
120.353,29.3
120.457,29.27
120.559,29.29
120.675,29.24
120.756,29.27
120.856,29.24
120.962,29.27
120.998,29.25
121.165,29.3
121.195,29.22
121.295,29.27
121.398,29.27
121.496,29.24
121.599,29.27
121.699,29.27
121.804,29.24
121.905,29.22
122.008,29.24
122.101,29.24
122.212,29.27
122.293,29.29
122.396,29.25
122.511,29.25
122.597,29.27
122.721,29.25
122.834,29.24
122.908,29.27
123.011,29.29
123.111,29.25
123.212,29.24
123.315,29.29
123.420,29.25
123.521,29.25
123.614,29.24
123.726,29.22
123.827,29.27
123.939,29.3
124.032,29.29
124.136,29.29
124.238,29.24
124.349,29.24
124.445,29.27
124.543,29.25
124.648,29.22
124.746,29.25
124.851,29.24
124.883,29.25
125.038,29.22
125.160,29.25
125.187,29.27
125.285,29.25
125.408,29.27
125.494,29.22
125.591,29.24
125.689,29.24
125.798,29.25
125.881,29.25
125.984,29.25
126.109,29.24
126.187,29.24
126.298,29.22
126.402,29.21
126.510,29.22
126.601,29.27
126.702,29.25
176.800,29.27
176.908,29.27
177.011,29.25
177.109,29.27
177.214,29.27
177.317,29.21
177.420,29.24
177.521,29.24
177.621,29.25
177.726,29.24
177.824,29.22
177.930,29.24
178.027,29.24
178.128,29.22
178.229,29.24
178.346,29.25
178.435,29.27
178.538,29.21
178.641,29.27
178.758,29.21
178.788,29.22
178.875,29.24
179.084,29.25
179.160,29.22
179.187,29.21
179.285,29.25
179.381,29.24
179.472,29.27
179.592,29.25
179.690,29.24
179.790,29.25
179.891,29.22
179.972,29.22
180.077,29.24
180.185,29.22
180.278,29.24
180.385,29.25
180.511,29.24
180.597,29.22
180.687,29.21
180.792,29.22
180.891,29.24
180.996,29.24
181.121,29.24
181.201,29.25
181.302,29.22
181.398,29.24
181.508,29.22
181.611,29.24
181.724,29.24
181.798,29.21
181.918,29.24
182.025,29.21
182.123,29.24
182.244,29.21
182.315,29.19
182.434,29.21
182.462,29.25
182.635,29.24
182.662,29.27
182.782,29.21
182.866,29.24
182.964,29.24
183.062,29.21
183.158,29.21
183.261,29.21
183.373,29.21
183.464,29.21
183.562,29.24
183.660,29.24
183.768,29.21
183.861,29.21
183.994,29.21
184.076,29.24
184.179,29.22
184.280,29.22
184.403,29.21
184.484,29.24
184.597,29.22
184.685,29.21
184.788,29.24
184.888,29.22
185.006,29.27
185.099,29.21
185.199,29.22
185.258,29.21
185.402,29.24
185.464,29.21
185.564,29.24
185.668,29.19
185.809,29.19
185.915,29.22
185.952,29.19
186.116,29.21
186.153,29.21
186.253,29.21
186.351,29.21
186.459,29.21
186.555,29.22
186.655,29.24
476.755,29.19
476.869,29.19
476.966,29.21
477.062,29.21
477.168,29.19
477.248,29.19
477.371,29.21
477.447,29.22
477.552,29.21
477.653,29.21
477.756,29.19
477.856,29.21
477.967,29.22
478.060,29.19
478.182,29.17
478.271,29.19
478.385,29.17
478.469,29.25
478.572,29.19
478.680,29.17
478.802,29.21
478.878,29.17
479.006,29.21
479.094,29.19
479.190,29.16
479.250,29.19
479.393,29.21
479.496,29.16
479.559,29.21
479.668,29.21
479.775,29.17
479.842,29.22
479.942,29.21
480.043,29.21
480.211,29.19
480.320,29.17
480.347,29.21
480.445,29.19
480.548,29.17
480.653,29.19
480.750,29.17
480.842,29.19
480.961,29.17
481.037,29.21
481.143,29.19
481.253,29.19
481.344,29.17
481.445,29.19
481.543,29.17
481.646,29.19
481.748,29.21
481.851,29.17
481.944,29.21
482.055,29.21
482.158,29.19
482.258,29.21
482.361,29.17
482.464,29.21
482.572,29.16
482.680,29.21
482.773,29.19
482.873,29.21
482.976,29.17
483.092,29.17
483.187,29.17
483.287,29.21
483.388,29.19
483.493,29.19
483.542,29.17
483.714,29.17
483.798,29.21
483.854,29.17
483.961,29.19
484.038,29.17
484.204,29.19
484.233,29.17
484.339,29.21
484.434,29.16
484.542,29.19
484.643,29.21
484.744,29.21
484.844,29.19
484.929,29.16
485.028,29.17
485.125,29.19
485.253,29.17
485.332,29.16
485.432,29.17
485.537,29.17
485.638,29.19
485.743,29.16
485.842,29.17
485.945,29.17
486.055,29.14
486.153,29.14
486.256,29.16
486.354,29.17
486.466,29.19
486.565,29.17
486.663,29.16
536.766,29.16
536.866,29.17
536.969,29.16
537.094,29.17
537.180,29.17
537.283,29.16
537.388,29.19
537.501,29.17
537.584,29.16
537.719,29.14
537.722,29.17
537.824,29.16
537.918,29.17
538.018,29.17
538.128,29.17
538.229,29.14
538.336,29.21
538.432,29.17
538.611,29.14
538.638,29.14
538.736,29.16
538.815,29.17
538.927,29.16
539.018,29.16
539.121,29.17
539.222,29.17
539.339,29.14
539.435,29.17
539.533,29.17
539.633,29.17
539.736,29.17
539.822,29.16
539.939,29.14
540.030,29.14
540.114,29.16
540.238,29.17
540.327,29.19
540.449,29.16
540.555,29.14
540.658,29.13
540.768,29.13
540.864,29.11
540.964,29.14
541.096,29.13
541.177,29.13
541.209,29.13
541.307,29.16
541.474,29.13
541.577,29.16
541.709,29.14
541.712,29.14
541.809,29.14
541.910,29.14
542.015,29.16
542.118,29.14
542.236,29.14
542.326,29.16
542.405,29.14
542.525,29.14
542.625,29.16
542.728,29.14
542.805,29.16
542.908,29.14
543.016,29.1
543.116,29.14
543.219,29.14
543.337,29.13
543.425,29.13
543.525,29.14
543.625,29.11
543.750,29.14
543.817,29.14
543.900,29.14
544.003,29.16
544.109,29.14
544.212,29.17
544.347,29.16
544.454,29.14
544.579,29.16
544.653,29.13
544.761,29.13
544.863,29.14
544.967,29.13
545.062,29.16
545.175,29.14
545.268,29.14
545.297,29.11
545.396,29.14
545.498,29.13
545.609,29.13
545.707,29.16
545.802,29.16
545.910,29.11
546.011,29.1
546.106,29.13
546.212,29.14
546.310,29.13
546.415,29.13
546.523,29.1
546.594,29.13
596.717,29.14
596.812,29.14
596.908,29.13
597.013,29.16
597.106,29.13
597.209,29.13
597.315,29.13
597.425,29.13
597.523,29.13
597.621,29.11
597.748,29.1
597.827,29.11
597.932,29.11
598.054,29.11
598.130,29.14
598.233,29.13
598.337,29.11
598.440,29.13
598.506,29.1
598.643,29.11
598.753,29.14
598.853,29.1
598.949,29.11
599.084,29.08
599.087,29.13
599.263,29.1
599.292,29.11
599.388,29.11
599.484,29.13
599.584,29.14
599.690,29.13
599.795,29.08
599.891,29.1
600.000,29.13
600.099,29.14
600.195,29.11
600.320,29.11
600.391,29.11
600.489,29.1
600.592,29.1
600.721,29.11
600.793,29.08
600.898,29.13
601.003,29.11
601.103,29.11
601.211,29.11
601.315,29.1
601.423,29.13
601.513,29.11
601.646,29.11
601.726,29.08
601.834,29.1
601.929,29.11
602.033,29.11
602.128,29.08
602.231,29.11
602.334,29.11
602.435,29.08
602.533,29.11
602.636,29.08
602.741,29.08
602.842,29.08
602.945,29.13
603.047,29.08
603.076,29.11
603.260,29.11
603.278,29.08
603.378,29.08
603.479,29.11
603.582,29.1
603.695,29.11
603.793,29.13
603.895,29.06
603.996,29.11
604.077,29.1
604.173,29.11
604.277,29.11
604.380,29.1
604.472,29.08
604.574,29.08
604.675,29.13
604.775,29.1
604.893,29.06
604.991,29.08
605.099,29.08
605.199,29.05
605.305,29.08
605.408,29.08
605.510,29.06
605.609,29.06
605.709,29.05
605.832,29.08
605.925,29.08
606.021,29.1
606.119,29.1
606.219,29.08
606.331,29.08
606.432,29.1
606.533,29.08
606.569,29.08
656.734,29.08
656.766,29.08
656.945,29.08
656.976,29.11
657.064,29.08
657.170,29.1
657.271,29.08
657.371,29.08
657.472,29.08
657.577,29.08
657.670,29.08
657.780,29.1
657.863,29.1
657.991,29.06
658.084,29.08
658.175,29.1
658.273,29.1
658.381,29.06
658.481,29.08
658.579,29.05
658.680,29.08
658.812,29.05
658.893,29.05
658.989,29.08
659.089,29.05
659.192,29.05
659.293,29.05
659.396,29.05
659.532,29.08
659.606,29.06
659.702,29.05
659.804,29.06
659.918,29.06
660.016,29.06
660.118,29.08
660.214,29.11
660.317,29.05
660.420,29.05
660.521,29.05
660.609,29.06
660.653,29.06
660.832,29.03
660.861,29.06
661.035,29.06
661.062,29.08
661.162,29.05
661.266,29.08
661.373,29.05
661.472,29.06
661.574,29.06
661.648,29.05
661.780,29.03
661.854,29.05
661.957,29.05
662.081,29.06
662.172,29.05
662.268,29.05
662.373,29.08
662.493,29.03
662.574,29.05
662.670,29.06
662.775,29.06
662.883,29.05
662.979,29.05
663.082,29.03
663.185,29.06
663.293,29.06
663.356,29.05
663.459,29.08
663.567,29.06
663.695,29.03
663.800,29.05
663.918,29.05
664.006,29.05
664.109,29.03
664.212,29.03
664.329,29.02
664.418,29.0
664.445,29.05
664.543,29.02
664.653,29.02
664.753,29.08
664.854,29.05
664.957,29.02
665.059,29.02
665.157,29.03
665.265,29.05
665.344,29.03
665.442,29.05
665.548,29.02
665.646,29.02
665.755,29.05
665.849,29.02
665.952,29.05
666.055,29.05
666.168,29.02
666.287,29.05
666.361,29.05
666.462,29.02
666.570,29.06
666.665,29.05
716.768,29.02
716.856,29.03
716.976,29.05
717.077,29.02
717.180,29.03
717.282,29.05
717.385,29.05
717.503,29.0
717.592,29.02
717.653,29.02
717.760,29.05
717.886,29.03
718.005,29.03
718.033,29.06
718.204,29.05
718.231,29.02
718.410,29.02
718.439,29.02
718.540,29.02
718.636,29.05
718.744,29.02
718.844,29.05
718.944,29.02
719.033,29.03
719.131,29.02
719.233,29.0
719.331,29.0
719.437,28.99
719.565,29.0
719.638,29.02
719.744,29.0
719.842,29.03
719.949,28.99
720.047,29.03
720.165,29.03
720.253,29.0
720.353,28.99
720.454,29.06
720.577,28.99
720.665,29.02
720.763,28.97
720.866,29.02
720.972,29.05
721.072,29.03
721.172,29.02
721.278,29.0
721.381,29.0
721.481,28.99
721.586,29.0
721.689,29.05
721.795,29.03
721.822,29.0
721.922,29.02
722.028,29.02
722.128,29.03
722.226,29.0
722.327,29.0
722.437,29.02
722.530,29.02
722.638,29.03
722.739,28.97
722.839,28.99
722.937,28.99
723.020,29.0
723.123,28.99
723.224,28.99
723.324,29.0
723.423,29.03
723.516,28.99
723.636,28.99
723.736,28.97
723.841,28.99
723.937,28.95
724.045,28.99
724.143,28.99
724.251,29.0
724.351,29.0
724.454,29.0
724.574,28.99
724.653,28.99
724.785,29.0
724.858,29.0
724.942,28.99
725.062,29.05
725.165,29.02
725.268,28.99
725.312,28.99
725.474,28.99
725.577,28.99
725.680,29.0
725.717,29.02
725.815,28.95
725.913,29.0
726.010,28.95
726.114,28.97
726.212,28.99
726.320,29.0
726.413,28.99
726.523,28.99
726.628,28.99
776.726,28.95
776.824,28.95
776.935,28.95
777.008,28.95
777.114,29.0
777.228,28.99
777.315,28.99
777.418,28.99
777.523,28.95
777.628,28.97
777.731,28.99
777.834,28.99
777.932,28.99
778.030,28.95
778.136,29.0
778.251,28.94
778.344,29.02
778.445,28.95
778.552,28.99
778.662,28.97
778.761,28.99
778.859,29.0
778.986,28.99
779.060,28.95
779.165,28.94
779.270,28.94
779.371,28.94
779.479,28.94
779.510,28.95
779.606,28.99
779.775,28.94
779.805,28.94
779.902,29.0
780.003,28.95
780.113,28.97
780.214,28.97
780.312,28.95
780.413,28.94
780.525,28.92
780.599,28.95
780.697,28.97
780.798,28.92
780.915,28.99
781.013,28.95
781.111,28.95
781.214,28.99
781.310,28.95
781.413,28.92
781.515,28.95
781.626,28.95
781.746,29.0
781.804,28.99
781.932,28.95
782.015,28.92
782.099,28.97
782.221,28.95
782.337,28.95
782.410,29.0
782.530,28.95
782.660,28.92
782.729,28.95
782.849,28.94
782.947,28.94
783.072,28.94
783.153,28.95
783.255,28.92
783.358,28.91
783.396,28.97
783.491,28.94
783.591,28.95
783.687,28.97
783.793,28.91
783.898,28.95
783.994,28.94
784.099,28.89
784.202,28.95
784.302,28.94
784.385,28.94
784.498,28.92
784.591,28.89
784.690,28.88
784.793,28.97
784.910,28.94
785.006,28.94
785.104,28.92
785.204,28.95
785.288,28.92
785.408,28.94
785.506,28.94
785.601,28.94
785.685,28.94
785.815,28.92
785.912,28.89
786.028,28.92
786.128,28.92
786.233,28.94
786.337,28.91
786.415,28.86
786.540,28.92
786.636,28.89
1076.721,28.91
1076.841,28.92
1076.940,28.91
1077.035,28.91
1077.140,28.92
1077.246,28.91
1077.280,28.91
1077.378,28.92
1077.476,28.89
1077.579,28.91
1077.682,28.91
1077.863,28.97
1077.891,28.89
1077.989,28.92
1078.094,28.92
1078.177,28.92
1078.295,28.94
1078.376,28.88
1078.479,28.86
1078.584,28.88
1078.687,28.92
1078.783,28.92
1078.881,28.88
1078.998,28.89
1079.094,28.91
1079.194,28.89
1079.275,28.91
1079.400,28.91
1079.501,28.89
1079.643,28.91
1079.709,28.92
1079.807,28.89
1079.869,28.92
1079.978,28.92
1080.084,28.92
1080.195,28.92
1080.298,28.89
1080.423,28.91
1080.511,28.84
1080.621,28.91
1080.668,28.89
1080.770,28.86
1080.866,28.86
1081.035,28.89
1081.158,28.91
1081.253,28.89
1081.280,28.89
1081.378,28.88
1081.481,28.89
1081.582,28.89
1081.685,28.92
1081.782,28.89
1081.881,28.88
1081.981,28.88
1082.067,28.91
1082.260,28.89
1082.266,28.91
1082.369,28.88
1082.479,28.89
1082.608,28.89
1082.677,28.89
1082.804,28.89
1082.866,28.83
1082.994,28.92
1083.077,28.88
1083.190,28.89
1083.319,28.89
1083.369,28.86
1083.496,28.89
1083.596,28.88
1083.685,28.86
1083.795,28.89
1083.898,28.89
1084.006,28.89
1084.104,28.84
1084.204,28.86
1084.309,28.86
1084.447,28.91
1084.523,28.89
1084.619,28.84
1084.733,28.86
1084.760,28.86
1084.859,28.89
1084.957,28.88
1085.057,28.92
1085.155,28.89
1085.265,28.89
1085.364,28.89
1085.464,28.86
1085.567,28.86
1085.667,28.86
1085.771,28.88
1085.858,28.81
1085.962,28.89
1086.062,28.88
1086.160,28.89
1086.268,28.83
1086.368,28.89
1086.467,28.89
1086.570,28.89
1086.670,28.89
1136.771,28.88
1136.873,28.89
1136.993,28.88
1137.103,28.86
1137.180,28.91
1137.263,28.89
1137.405,28.84
1137.489,28.86
1137.550,28.84
1137.695,28.86
1137.798,28.89
1137.900,28.83
1137.967,28.81
1138.069,28.84
1138.212,28.89
1138.310,28.86
1138.378,28.89
1138.484,28.89
1138.543,28.83
1138.646,28.83
1138.744,28.84
1138.854,28.83
1138.940,28.84
1139.045,28.84
1139.143,28.83
1139.241,28.86
1139.349,28.83
1139.444,28.88
1139.567,28.86
1139.653,28.83
1139.750,28.83
1139.854,28.88
1139.979,28.86
1140.055,28.81
1140.184,28.86
1140.261,28.88
1140.344,28.84
1140.466,28.86
1140.569,28.84
1140.670,28.86
1140.766,28.86
1140.868,28.86
1140.969,28.86
1141.079,28.84
1141.179,28.86
1141.277,28.81
1141.378,28.81
1141.481,28.83
1141.547,28.84
1141.695,28.8
1141.792,28.84
1141.854,28.83
1141.957,28.84
1142.062,28.83
1142.138,28.83
1142.239,28.86
1142.341,28.86
1142.440,28.86
1142.530,28.8
1142.631,28.81
1142.751,28.81
1142.849,28.86
1142.945,28.81
1143.042,28.84
1143.143,28.84
1143.241,28.83
1143.334,28.8
1143.439,28.84
1143.532,28.83
1143.631,28.86
1143.736,28.84
1143.844,28.88
1143.942,28.81
1144.043,28.8
1144.148,28.83
1144.251,28.88
1144.351,28.83
1144.459,28.83
1144.555,28.8
1144.658,28.84
1144.760,28.83
1144.861,28.76
1144.972,28.83
1145.079,28.8
1145.168,28.81
1145.273,28.83
1145.381,28.8
1145.491,28.8
1145.587,28.83
1145.685,28.84
1145.783,28.81
1145.893,28.83
1145.922,28.81
1146.097,28.81
1146.126,28.81
1146.229,28.81
1146.329,28.8
1146.430,28.81
1146.609,28.8
1146.640,28.8
1196.738,28.81
1196.841,28.8
1196.940,28.8
1197.018,28.84
1197.123,28.81
1197.219,28.8
1197.329,28.81
1197.429,28.76
1197.530,28.81
1197.652,28.8
1197.741,28.8
1197.842,28.73
1197.940,28.86
1198.038,28.78
1198.141,28.81
1198.239,28.76
1198.342,28.78
1198.454,28.8
1198.550,28.83
1198.653,28.76
1198.758,28.8
1198.864,28.8
1198.959,28.8
1199.059,28.84
1199.165,28.81
1199.263,28.8
1199.366,28.78
1199.491,28.78
1199.577,28.8
1199.679,28.76
1199.805,28.83
1199.810,28.76
1199.923,28.8
1200.087,28.8
1200.116,28.8
1200.224,28.8
1200.324,28.78
1200.420,28.8
1200.525,28.8
1200.619,28.78
1200.722,28.8
1200.829,28.81
1200.927,28.76
1201.008,28.75
1201.108,28.8
1201.212,28.75
1201.326,28.73
1201.415,28.8
1201.516,28.8
1201.619,28.81
1201.739,28.78
1201.837,28.78
1201.932,28.75
1202.033,28.8
1202.136,28.76
1202.209,28.78
1202.337,28.8
1202.439,28.75
1202.548,28.76
1202.650,28.8
1202.753,28.75
1202.839,28.78
1202.964,28.76
1203.016,28.75
1203.165,28.78
1203.263,28.78
1203.368,28.78
1203.471,28.76
1203.572,28.78
1203.603,28.76
1203.702,28.78
1203.800,28.76
1203.900,28.78
1204.006,28.75
1204.111,28.78
1204.214,28.75
1204.312,28.76
1204.410,28.76
1204.510,28.76
1204.635,28.78
1204.697,28.76
1204.819,28.75
1204.896,28.75
1205.003,28.78
1205.101,28.78
1205.204,28.75
1205.310,28.8
1205.413,28.78
1205.510,28.76
1205.614,28.78
1205.736,28.75
1205.822,28.76
1205.923,28.76
1206.043,28.78
1206.148,28.76
1206.260,28.8
1206.337,28.73
1206.435,28.75
1206.501,28.73
1206.638,28.76
1256.739,28.76
1256.844,28.76
1256.949,28.76
1257.023,28.76
1257.150,28.75
1257.253,28.76
1257.354,28.76
1257.489,28.7
1257.491,28.73
1257.599,28.76
1257.695,28.76
1257.795,28.73
1257.891,28.73
1258.008,28.73
1258.104,28.73
1258.202,28.78
1258.310,28.75
1258.403,28.75
1258.498,28.7
1258.609,28.76
1258.687,28.76
1258.793,28.75
1258.891,28.78
1258.993,28.72
1259.097,28.73
1259.226,28.73
1259.300,28.72
1259.412,28.73
1259.508,28.75
1259.606,28.73
1259.717,28.75
1259.824,28.73
1259.945,28.73
1260.025,28.72
1260.119,28.73
1260.256,28.75
1260.332,28.75
1260.430,28.73
1260.559,28.72
1260.633,28.7
1260.701,28.75
1260.839,28.7
1260.940,28.73
1261.048,28.73
1261.148,28.75
1261.253,28.73
1261.337,28.7
1261.440,28.72
1261.491,28.7
1261.587,28.69
1261.685,28.73
1261.788,28.7
1261.886,28.72
1261.984,28.69
1262.097,28.75
1262.175,28.7
1262.293,28.75
1262.395,28.72
1262.472,28.72
1262.579,28.75
1262.679,28.72
1262.788,28.73
1262.893,28.7
1262.993,28.72
1263.087,28.72
1263.195,28.76
1263.295,28.76
1263.400,28.72
1263.498,28.73
1263.601,28.72
1263.702,28.73
1263.822,28.69
1263.912,28.72
1264.040,28.73
1264.118,28.7
1264.233,28.73
1264.327,28.69
1264.425,28.7
1264.527,28.7
1264.626,28.72
1264.729,28.72
1264.832,28.73
1264.888,28.7
1265.045,28.73
1265.072,28.72
1265.168,28.72
1265.341,28.7
1265.371,28.73
1265.474,28.7
1265.572,28.72
