Time Lapsed,Absolute_Acceleration
0.000,1.427
0.112,1.428
0.182,1.428
50.283,1.427
50.386,1.427
50.489,1.427
50.592,1.427
50.694,1.427
50.796,1.427
50.882,1.428
51.003,1.428
51.104,1.427
51.207,1.427
51.315,1.427
51.413,1.428
51.510,1.428
51.616,1.428
51.717,1.426
51.820,1.428
51.940,1.427
52.030,1.428
52.128,1.427
52.229,1.428
52.352,1.428
52.434,1.427
52.461,1.429
52.560,1.427
52.676,1.427
52.771,1.428
52.868,1.427
52.970,1.428
53.072,1.428
53.176,1.428
53.278,1.427
53.356,1.428
53.459,1.426
53.560,1.428
53.684,1.428
53.778,1.429
53.869,1.428
53.970,1.428
54.072,1.427
54.189,1.428
54.258,1.428
54.380,1.427
54.514,1.429
54.553,1.427
54.687,1.427
54.790,1.427
54.880,1.428
54.994,1.427
55.096,1.427
55.198,1.427
55.303,1.427
55.405,1.427
55.506,1.427
55.614,1.427
55.712,1.428
55.813,1.428
55.916,1.428
56.050,1.428
56.052,1.428
56.150,1.428
56.250,1.428
56.351,1.427
56.453,1.428
56.557,1.427
56.657,1.428
56.760,1.427
56.860,1.428
56.964,1.428
57.048,1.426
57.170,1.428
57.249,1.427
57.351,1.427
57.452,1.427
57.554,1.427
57.659,1.428
57.761,1.427
57.864,1.428
57.963,1.427
58.067,1.428
58.186,1.427
58.274,1.428
58.375,1.428
58.476,1.427
58.599,1.427
58.681,1.427
58.785,1.427
58.887,1.428
58.991,1.428
59.089,1.427
59.193,1.427
59.296,1.427
59.402,1.428
59.499,1.427
59.603,1.427
59.706,1.428
59.809,1.427
59.915,1.427
59.944,1.427
60.050,1.427
60.137,1.427
110.239,1.428
110.342,1.427
110.460,1.427
110.552,1.427
110.650,1.428
110.760,1.428
110.859,1.427
110.938,1.427
111.036,1.428
111.139,1.427
111.241,1.427
111.366,1.429
111.445,1.428
111.548,1.427
111.666,1.427
111.784,1.427
111.864,1.427
111.980,1.428
112.060,1.428
112.163,1.428
112.274,1.427
112.369,1.428
112.436,1.427
112.537,1.427
112.641,1.428
112.742,1.428
112.855,1.429
112.981,1.427
113.087,1.427
113.188,1.428
113.291,1.428
113.393,1.428
113.494,1.427
113.597,1.427
113.700,1.429
113.803,1.428
113.830,1.427
113.928,1.429
114.029,1.428
114.132,1.427
114.233,1.428
114.338,1.428
114.435,1.427
114.548,1.428
114.645,1.428
114.747,1.428
114.847,1.427
114.927,1.428
115.035,1.427
115.134,1.428
115.239,1.427
115.337,1.427
115.444,1.428
115.542,1.428
115.652,1.427
115.748,1.427
115.849,1.427
115.951,1.427
116.055,1.428
116.156,1.428
116.273,1.427
116.361,1.427
116.464,1.427
116.565,1.427
116.685,1.428
116.777,1.427
116.875,1.427
116.975,1.428
117.079,1.428
117.180,1.427
117.283,1.427
117.386,1.427
117.418,1.427
117.516,1.428
117.693,1.427
117.717,1.428
117.819,1.429
117.921,1.427
118.024,1.427
118.134,1.427
118.231,1.429
118.334,1.427
118.432,1.429
118.521,1.429
118.619,1.428
118.716,1.427
118.845,1.427
118.922,1.427
119.023,1.427
119.146,1.427
119.235,1.428
119.331,1.428
119.433,1.427
119.536,1.427
119.623,1.428
119.739,1.428
119.842,1.427
119.949,1.427
120.037,1.427
120.151,1.428
410.252,1.427
410.359,1.427
410.455,1.428
410.560,1.427
410.657,1.429
410.764,1.428
410.864,1.427
410.969,1.427
411.048,1.428
411.173,1.427
411.277,1.429
411.378,1.427
411.416,1.428
411.510,1.427
411.608,1.428
411.711,1.427
411.812,1.427
411.914,1.428
412.016,1.427
412.119,1.428
412.222,1.427
412.324,1.428
412.403,1.428
412.519,1.428
412.611,1.427
412.710,1.428
412.813,1.427
412.932,1.428
413.016,1.428
413.137,1.427
413.255,1.428
413.325,1.427
413.428,1.427
413.531,1.427
413.632,1.427
413.759,1.428
413.836,1.428
413.900,1.427
414.006,1.429
414.143,1.427
414.247,1.427
414.356,1.428
414.429,1.428
414.553,1.427
414.655,1.427
414.743,1.427
414.864,1.427
414.961,1.428
415.067,1.429
415.172,1.427
415.198,1.427
415.298,1.428
415.396,1.427
415.507,1.428
415.603,1.428
415.703,1.428
415.872,1.427
415.900,1.427
416.011,1.426
416.113,1.427
416.195,1.428
416.293,1.428
416.396,1.428
416.499,1.427
416.606,1.427
416.703,1.427
416.805,1.427
416.930,1.428
417.011,1.428
417.113,1.427
417.216,1.429
417.319,1.429
417.421,1.427
417.540,1.428
417.665,1.428
417.728,1.427
417.830,1.428
417.890,1.427
418.034,1.428
418.139,1.428
418.198,1.428
418.298,1.429
418.444,1.427
418.507,1.427
