Time Lapsed,Absolute_Magnetic_Field
0.000,35.306
0.112,35.402
0.182,35.172
50.283,35.3
50.386,35.061
50.489,35.263
50.592,35.21
50.694,35.246
50.796,35.35
50.882,35.432
51.003,35.232
51.104,35.459
51.207,35.402
51.315,35.384
51.413,35.425
51.510,35.285
51.616,35.264
51.717,35.297
51.820,35.417
51.940,35.391
52.030,35.182
52.128,35.336
52.229,35.31
52.352,35.345
52.434,35.305
52.461,35.337
52.560,35.247
52.676,35.277
52.771,35.21
52.868,35.371
52.970,35.327
53.072,35.341
53.176,35.132
53.278,35.297
53.356,35.11
53.459,35.398
53.560,35.367
53.684,35.187
53.778,35.405
53.869,35.289
53.970,35.282
54.072,35.407
54.189,35.24
54.258,35.175
54.380,35.41
54.514,35.264
54.553,35.41
54.687,35.368
54.790,35.473
54.880,35.4
54.994,35.414
55.096,35.45
55.198,35.259
55.303,35.372
55.405,35.403
55.506,35.198
55.614,35.293
55.712,35.195
55.813,35.244
55.916,35.41
56.050,35.264
56.052,35.356
56.150,35.363
56.250,35.263
56.351,35.366
56.453,35.418
56.557,35.356
56.657,35.438
56.760,35.351
56.860,35.389
56.964,35.469
57.048,35.325
57.170,35.445
57.249,35.305
57.351,35.462
57.452,35.446
57.554,35.288
57.659,35.278
57.761,35.235
57.864,35.443
57.963,35.409
58.067,35.315
58.186,35.379
58.274,35.347
58.375,35.438
58.476,35.275
58.599,35.297
58.681,35.335
58.785,35.014
58.887,35.334
58.991,35.32
59.089,35.294
59.193,35.299
59.296,35.14
59.402,35.401
59.499,35.251
59.603,35.277
59.706,35.388
59.809,35.315
59.915,35.269
59.944,35.298
60.050,35.504
60.137,35.493
110.239,35.305
110.342,35.169
110.460,35.274
110.552,35.394
110.650,35.321
110.760,35.328
110.859,35.419
110.938,35.273
111.036,35.355
111.139,35.342
111.241,35.44
111.366,35.301
111.445,35.418
111.548,35.38
111.666,35.313
111.784,35.352
111.864,35.352
111.980,35.315
112.060,35.274
112.163,35.411
112.274,35.288
112.369,35.261
112.436,35.317
112.537,35.243
112.641,35.375
112.742,35.392
112.855,35.096
112.981,35.169
113.087,35.332
113.188,35.337
113.291,35.294
113.393,35.248
113.494,35.422
113.597,35.38
113.700,35.335
113.803,35.257
113.830,35.289
113.928,35.408
114.029,35.377
114.132,35.404
114.233,35.216
114.338,35.399
114.435,35.288
114.548,35.417
114.645,35.381
114.747,35.302
114.847,35.232
114.927,35.406
115.035,35.235
115.134,35.329
115.239,35.377
115.337,35.386
115.444,35.273
115.542,35.353
115.652,35.335
115.748,35.23
115.849,35.393
115.951,35.259
116.055,35.243
116.156,35.239
116.273,35.434
116.361,35.232
116.464,35.116
116.565,35.247
116.685,35.339
116.777,35.306
116.875,35.295
116.975,35.29
117.079,35.375
117.180,35.256
117.283,35.247
117.386,35.328
117.418,35.341
117.516,35.427
117.693,35.415
117.717,35.417
117.819,35.473
117.921,35.37
118.024,35.314
118.134,35.256
118.231,35.359
118.334,35.415
118.432,35.376
118.521,35.304
118.619,35.403
118.716,35.244
118.845,35.321
118.922,35.349
119.023,35.362
119.146,35.292
119.235,35.082
119.331,35.295
119.433,35.389
119.536,35.21
119.623,35.435
119.739,35.444
119.842,35.425
119.949,35.444
120.037,35.13
120.151,35.283
410.252,35.413
410.359,35.406
410.455,35.395
410.560,35.26
410.657,35.396
410.764,35.391
410.864,35.325
410.969,35.28
411.048,35.137
411.173,35.214
411.277,35.32
411.378,35.311
411.416,35.495
411.510,35.304
411.608,35.329
411.711,35.323
411.812,35.358
411.914,35.404
412.016,35.337
412.119,35.429
412.222,35.401
412.324,35.249
412.403,35.429
412.519,35.463
412.611,35.48
412.710,35.34
412.813,35.33
412.932,35.293
413.016,35.315
413.137,35.075
413.255,35.292
413.325,35.393
413.428,35.351
413.531,35.334
413.632,35.16
413.759,35.34
413.836,35.279
413.900,35.361
414.006,35.258
414.143,35.18
414.247,35.278
414.356,35.424
414.429,35.243
414.553,35.375
414.655,35.424
414.743,35.275
414.864,35.215
414.961,35.379
415.067,35.326
415.172,35.472
415.198,35.195
415.298,35.284
415.396,35.243
415.507,35.326
415.603,35.31
415.703,35.265
415.872,35.372
415.900,35.251
416.011,35.297
416.113,35.355
416.195,35.377
416.293,35.217
416.396,35.328
416.499,35.437
416.606,35.36
416.703,35.379
416.805,35.219
416.930,35.345
417.011,35.218
417.113,35.297
417.216,35.37
417.319,35.183
417.421,35.32
417.540,35.234
417.665,35.188
417.728,35.379
417.830,35.211
417.890,35.388
418.034,35.441
418.139,35.256
418.198,35.382
418.298,35.205
418.444,35.277
418.507,35.335
418.614,35.378
418.717,35.288
418.820,35.286
418.957,35.305
418.985,35.337
419.179,35.411
419.183,35.398
419.302,35.226
419.390,35.404
419.504,35.502
419.602,35.34
419.699,35.413
419.798,35.326
419.902,35.26
419.981,35.329
420.083,35.275
420.185,35.379
470.296,35.388
470.391,35.223
470.493,35.354
470.604,35.4
470.687,35.225
470.795,35.321
470.896,35.153
471.016,35.284
471.112,35.411
471.209,35.308
471.313,35.272
471.415,35.308
471.518,35.216
471.618,35.38
471.744,35.337
471.824,35.338
471.927,35.45
472.027,35.363
472.131,35.344
472.232,35.457
472.335,35.332
472.443,35.484
472.541,35.123
472.643,35.231
472.744,35.198
472.773,35.164
472.879,35.227
473.054,35.183
473.080,35.348
473.177,35.234
473.280,35.274
473.384,35.42
473.485,35.22
473.587,35.361
473.690,35.346
473.793,35.237
473.872,35.304
473.975,35.329
474.077,35.329
474.179,35.158
474.281,35.357
474.378,35.34
474.487,35.267
474.589,35.42
474.692,35.298
474.793,35.186
474.896,35.291
475.014,35.383
475.101,35.379
475.203,35.372
475.307,35.201
475.428,35.283
475.511,35.236
475.611,35.402
475.716,35.282
475.820,35.296
475.918,35.055
476.021,35.267
476.125,35.247
476.227,35.242
476.329,35.315
476.433,35.258
476.534,35.259
476.562,35.212
476.737,35.424
476.765,35.426
476.878,35.365
476.974,35.42
477.070,35.262
477.176,35.453
477.264,35.321
477.377,35.279
477.479,35.3
477.589,35.413
477.662,35.272
477.763,35.363
477.866,35.372
477.969,35.312
478.070,35.214
478.173,35.262
478.274,35.311
478.391,35.284
478.487,35.301
478.584,35.254
478.690,35.288
478.782,35.405
478.889,35.355
478.993,35.266
479.103,35.421
479.198,35.378
479.298,35.314
479.426,35.214
479.500,35.245
479.607,35.119
479.708,35.273
479.814,35.366
479.913,35.318
480.015,35.269
480.119,35.256
530.244,35.352
530.324,35.347
530.426,35.293
530.454,35.333
530.553,35.314
530.653,35.314
530.757,35.366
530.858,35.312
530.963,35.434
531.064,35.241
531.165,35.275
531.264,35.271
531.351,35.335
531.450,35.215
531.552,35.256
531.673,35.23
531.757,35.265
531.859,35.268
531.961,35.35
532.067,35.24
532.166,35.218
532.268,35.358
532.369,35.349
532.475,35.366
532.575,35.409
532.677,35.249
532.780,35.392
532.884,35.234
532.986,35.254
533.100,35.351
533.195,35.225
533.254,35.321
533.357,35.306
533.512,35.26
533.602,35.302
533.706,35.282
533.836,35.244
533.844,35.335
533.944,35.294
534.043,35.357
534.145,35.285
534.318,35.285
534.345,35.245
534.443,35.275
534.548,35.221
534.649,35.391
534.742,35.449
534.852,35.309
534.972,35.234
535.048,35.359
535.143,35.249
535.243,35.25
535.341,35.466
535.449,35.272
535.553,35.315
535.651,35.326
535.751,35.434
535.847,35.319
535.952,35.234
536.075,35.22
536.159,35.207
536.262,35.336
536.364,35.257
536.487,35.212
536.569,35.146
536.672,35.316
536.775,35.171
536.878,35.215
537.004,35.209
537.083,35.206
537.184,35.316
537.287,35.304
537.389,35.252
537.489,35.099
537.592,35.246
537.695,35.303
537.798,35.371
537.833,35.234
537.936,35.254
538.031,35.362
538.130,35.263
538.233,35.417
538.346,35.305
538.443,35.243
538.540,35.28
538.646,35.32
538.743,35.307
538.847,35.339
538.948,35.338
539.028,35.28
539.129,35.213
539.226,35.351
539.347,35.422
539.472,35.312
539.543,35.269
539.641,35.226
539.748,35.244
539.834,35.399
539.953,35.286
540.048,35.225
540.161,35.307
590.257,35.395
590.353,35.37
590.449,35.334
590.553,35.281
590.673,35.189
590.770,35.289
590.861,35.309
590.962,35.564
591.082,35.34
591.180,35.171
591.266,35.317
591.389,35.307
591.482,35.295
591.586,35.417
591.676,35.328
591.729,35.262
591.827,35.298
591.923,35.319
592.021,35.358
592.119,35.342
592.239,35.353
592.323,35.351
592.435,35.319
592.518,35.307
592.638,35.285
592.722,35.397
592.819,35.337
592.916,35.447
593.056,35.379
593.135,35.351
593.233,35.233
593.330,35.319
593.423,35.353
593.535,35.381
593.631,35.231
593.724,35.147
593.836,35.314
593.932,35.434
594.036,35.521
594.134,35.456
594.248,35.215
594.344,35.34
594.440,35.283
594.543,35.353
594.633,35.397
594.761,35.143
594.858,35.288
594.965,35.379
595.058,35.307
595.110,35.39
595.274,35.271
595.376,35.378
595.484,35.354
595.577,35.196
595.678,35.253
595.802,35.35
595.887,35.189
595.915,35.291
596.021,35.402
596.119,35.246
596.221,35.287
596.320,35.293
596.409,35.287
596.506,35.249
596.629,35.306
596.706,35.409
596.811,35.383
596.913,35.259
597.015,35.293
597.116,35.401
597.219,35.527
597.322,35.333
597.423,35.185
597.525,35.282
597.629,35.286
597.731,35.401
597.835,35.264
597.935,35.251
598.038,35.215
598.141,35.288
598.246,35.3
598.346,35.265
598.448,35.209
598.579,35.305
598.658,35.347
598.779,35.239
598.858,35.403
598.982,35.227
599.016,35.277
599.123,35.444
599.266,35.414
599.305,35.39
599.398,35.144
599.575,35.205
599.603,35.189
599.702,35.326
599.811,35.209
599.907,35.275
600.008,35.311
600.111,35.474
650.212,35.37
650.315,35.264
650.406,35.201
650.496,35.218
650.597,35.225
650.702,35.293
650.818,35.295
650.906,35.214
651.018,35.135
651.114,35.249
651.219,35.29
651.319,35.366
651.417,35.393
651.519,35.074
651.624,35.244
651.725,35.242
651.827,35.238
651.930,35.247
652.033,35.165
652.133,35.287
652.243,35.259
652.339,35.191
652.440,35.247
652.543,35.235
652.655,35.199
652.760,35.249
652.855,35.196
652.953,35.203
653.010,35.437
653.117,35.203
653.262,35.177
653.290,35.243
653.387,35.324
653.489,35.477
653.592,35.327
653.771,35.309
653.798,35.395
653.899,35.301
654.003,35.294
654.106,35.325
654.206,35.278
654.308,35.179
654.388,35.19
654.493,35.31
654.591,35.31
654.694,35.263
654.817,35.352
654.906,35.242
655.002,35.261
655.104,35.306
655.229,35.202
655.308,35.326
655.411,35.266
655.514,35.311
655.621,35.296
655.719,35.102
655.820,35.237
655.923,35.234
656.030,35.267
656.129,35.304
656.230,35.145
656.332,35.174
656.436,35.244
656.538,35.22
656.655,35.198
656.743,35.143
656.844,35.212
656.945,35.327
657.065,35.301
657.096,35.275
657.258,35.313
657.285,35.143
657.390,35.193
657.486,35.354
657.589,35.34
657.693,35.199
657.793,35.213
657.891,35.293
657.997,35.335
658.076,35.321
658.175,35.206
658.278,35.271
658.381,35.231
658.492,35.369
658.586,35.372
658.707,35.199
658.789,35.314
658.904,35.238
659.000,35.267
659.097,35.324
659.200,35.304
659.301,35.39
659.406,35.101
659.507,35.269
659.610,35.299
659.711,35.244
659.815,35.25
659.916,35.165
660.019,35.218
660.124,35.079
710.224,35.324
710.328,35.3
710.428,35.236
710.531,35.31
710.634,35.232
710.749,35.35
710.838,35.213
710.868,35.19
711.065,35.327
711.081,35.404
711.172,35.263
711.276,35.171
711.374,35.258
711.477,35.24
711.579,35.227
711.681,35.299
711.801,35.272
711.864,35.312
711.964,35.203
712.068,35.291
712.168,35.164
712.277,35.197
712.376,35.338
712.476,35.254
712.578,35.282
712.683,35.338
712.786,35.317
712.905,35.288
712.992,35.123
713.091,35.25
713.194,35.267
713.315,35.274
713.398,35.206
713.496,35.009
713.602,35.347
713.707,35.284
713.808,35.329
713.910,35.297
714.013,35.078
714.117,35.261
714.217,35.31
714.320,35.15
714.422,35.145
714.526,35.174
714.628,35.225
714.739,35.188
714.758,35.311
714.857,35.307
714.958,35.222
715.059,35.387
715.175,35.238
715.271,35.208
715.368,35.283
715.475,35.385
715.576,35.227
715.675,35.185
715.754,35.285
715.858,35.189
715.959,35.157
716.062,35.25
716.162,35.3
716.266,35.202
716.393,35.339
716.479,35.332
716.576,35.269
716.675,35.127
716.778,35.257
716.849,35.303
716.989,35.303
717.086,35.301
717.186,35.154
717.313,35.166
717.391,35.318
717.494,35.379
717.597,35.212
717.699,35.305
717.803,35.245
717.905,35.128
718.006,35.149
718.047,35.27
718.209,35.093
718.314,35.267
718.415,35.154
718.518,35.243
718.545,35.289
718.645,35.224
718.746,35.329
718.849,35.319
718.953,35.313
719.053,35.335
719.150,35.327
719.259,35.358
719.363,35.274
719.463,35.112
719.561,35.319
719.645,35.33
719.747,35.323
719.850,35.223
719.954,35.176
720.055,35.206
720.157,35.207
1010.258,35.239
1010.364,35.255
1010.465,35.177
1010.565,35.288
1010.668,35.282
1010.771,35.267
1010.874,35.255
1010.985,35.075
1011.078,35.184
1011.181,35.319
1011.239,35.315
1011.398,35.369
1011.494,35.188
1011.592,35.291
1011.690,35.389
1011.795,35.285
1011.898,35.321
1012.000,35.114
1012.103,35.205
1012.205,35.329
1012.308,35.244
1012.334,35.27
1012.512,35.186
1012.540,35.293
1012.636,35.368
1012.739,35.263
1012.852,35.225
1012.948,35.226
1013.053,35.167
1013.150,35.146
1013.237,35.223
1013.332,35.23
1013.433,35.285
1013.559,35.145
1013.639,35.275
1013.741,35.233
1013.842,35.21
1013.947,35.329
1014.048,35.234
1014.150,35.197
1014.355,35.225
1014.357,35.221
1014.459,35.241
1014.561,35.36
1014.662,35.196
1014.764,35.274
1014.868,35.119
1014.971,35.09
1015.074,35.334
1015.175,35.129
1015.277,35.273
1015.396,35.311
1015.450,35.339
1015.584,35.333
1015.685,35.283
1015.809,35.113
1015.890,35.236
1015.993,35.272
1016.096,35.26
1016.131,35.287
1016.226,35.116
1016.325,35.324
1016.427,35.246
1016.531,35.356
1016.633,35.291
1016.733,35.157
1016.822,35.181
1016.940,35.259
1017.041,35.269
1017.145,35.394
1017.236,35.47
1017.326,35.4
1017.426,35.392
1017.531,35.263
1017.645,35.347
1017.742,35.25
1017.838,35.237
1017.940,35.291
1018.041,35.31
1018.143,35.279
1018.248,35.232
1018.351,35.251
1018.452,35.273
1018.555,35.311
1018.656,35.035
1018.760,35.3
1018.862,35.24
1018.963,35.231
1019.073,35.28
1019.167,35.241
1019.270,35.208
1019.374,35.257
1019.484,35.26
1019.581,35.296
1019.650,35.521
1019.783,35.331
1019.886,35.295
1019.913,35.262
1020.090,35.276
1020.118,35.219
1070.216,35.25
1070.319,35.298
1070.422,35.327
1070.516,35.144
1070.628,35.246
1070.730,35.267
1070.810,35.269
1070.917,35.266
1071.019,35.306
1071.124,35.376
1071.222,35.463
1071.322,35.385
1071.421,35.32
1071.528,35.142
1071.645,35.231
1071.734,35.445
1071.830,35.268
1071.933,35.274
1072.057,35.13
1072.138,35.048
1072.239,35.233
1072.381,35.286
1072.447,35.303
1072.547,35.148
1072.654,35.258
1072.760,35.335
1072.859,35.302
1072.957,35.304
1073.059,35.195
1073.162,35.197
1073.265,35.25
1073.367,35.232
1073.483,35.247
1073.570,35.315
1073.673,35.227
1073.776,35.252
1073.894,35.287
1073.981,35.202
1074.009,35.31
1074.107,35.285
1074.217,35.15
1074.314,35.313
1074.414,35.353
1074.595,35.255
1074.603,35.26
1074.722,35.164
1074.800,35.215
1074.903,35.349
1075.006,35.288
1075.108,35.25
1075.205,35.201
1075.320,35.226
1075.416,35.346
1075.521,35.314
1075.619,35.146
1075.731,35.16
1075.830,35.314
1075.927,35.347
1076.028,35.2
1076.131,35.346
1076.234,35.228
1076.337,35.308
1076.439,35.266
1076.542,35.159
1076.643,35.26
1076.746,35.043
1076.847,35.244
1076.951,35.347
1077.052,35.14
1077.156,35.157
1077.258,35.045
1077.364,35.303
1077.462,35.411
1077.568,35.258
1077.597,35.345
1077.695,35.264
1077.793,35.321
1077.891,35.26
1078.006,35.294
1078.105,35.302
1078.203,35.348
1078.300,35.286
1078.407,35.2
1078.510,35.395
1078.627,35.365
1078.692,35.222
1078.795,35.111
1078.896,35.207
1078.998,35.221
1079.105,35.416
1079.204,35.297
1079.306,35.199
1079.409,35.23
1079.516,35.17
1079.614,35.286
1079.728,35.125
1079.817,35.042
1079.920,35.133
1080.021,35.271
1080.141,35.265
1130.228,35.156
1130.331,35.108
1130.432,35.281
1130.533,35.152
1130.637,35.332
1130.741,35.241
1130.841,35.175
1130.945,35.15
1131.003,35.3
1131.152,35.184
1131.252,35.38
1131.354,35.289
1131.382,35.361
1131.568,35.205
1131.586,35.207
1131.687,35.066
1131.866,35.248
1131.894,35.192
1132.002,35.173
1132.099,35.26
1132.198,35.186
1132.302,35.292
1132.403,35.13
1132.481,35.126
1132.583,35.197
1132.687,35.384
1132.788,35.217
1132.890,35.398
1132.991,35.108
1133.094,35.102
1133.198,35.239
1133.300,35.312
1133.406,35.206
1133.504,35.292
1133.607,35.279
1133.710,35.158
1133.815,35.232
1133.923,35.14
1134.021,35.122
1134.140,35.263
1134.229,35.263
1134.325,35.292
1134.425,35.172
1134.551,34.965
1134.633,35.245
1134.732,35.26
1134.834,35.336
1134.874,35.274
1135.040,35.245
1135.143,35.152
1135.171,35.283
1135.347,35.093
1135.376,35.146
1135.472,35.299
1135.577,35.236
1135.680,35.274
1135.783,35.234
1135.883,35.166
1135.976,35.256
1136.088,35.146
1136.190,35.214
1136.269,35.297
1136.389,35.346
1136.472,35.238
1136.577,35.039
1136.673,35.168
1136.782,35.287
1136.887,35.184
1136.986,35.304
1137.089,35.129
1137.193,35.136
1137.293,35.296
1137.394,35.199
1137.497,35.28
1137.600,35.223
1137.702,35.135
1137.815,35.149
1137.906,35.091
1138.011,35.33
1138.112,35.338
1138.227,35.349
1138.315,35.286
1138.421,35.212
1138.523,35.273
1138.625,35.194
1138.727,35.226
1138.829,35.22
1138.931,35.282
1139.035,35.188
1139.061,35.15
1139.161,35.128
1139.340,35.136
1139.368,35.159
1139.471,35.195
1139.574,35.258
1139.677,35.293
1139.775,35.195
1139.876,35.423
1139.978,35.33
1140.065,35.268
1140.161,35.293
1190.284,35.104
1190.387,35.163
1190.487,35.343
1190.570,35.325
1190.692,35.294
1190.775,35.126
1190.878,35.241
1190.980,35.286
1191.081,35.221
1191.185,35.123
1191.286,35.189
1191.388,35.121
1191.491,35.168
1191.595,35.228
1191.695,35.295
1191.807,35.248
1191.902,35.159
1192.004,35.292
1192.106,35.315
1192.226,35.309
1192.315,35.392
1192.412,35.127
1192.540,35.227
1192.637,35.142
1192.721,35.385
1192.751,35.294
1192.925,35.436
1192.961,35.115
1193.060,35.31
1193.158,35.255
1193.266,35.186
1193.359,35.381
1193.540,35.367
1193.567,35.231
1193.665,35.136
1193.770,35.177
1193.850,35.26
1193.949,35.324
1194.063,35.151
1194.154,35.349
1194.257,35.427
1194.360,35.3
1194.476,35.35
1194.562,35.231
1194.666,35.292
1194.801,35.252
1194.871,35.208
1194.976,35.286
1195.075,35.336
1195.177,35.131
1195.280,35.28
1195.384,35.363
1195.486,35.253
1195.586,35.274
1195.715,35.208
1195.793,35.245
1195.900,35.156
1195.997,35.198
1196.125,35.21
1196.204,35.208
1196.311,35.176
1196.341,35.11
1196.509,35.312
1196.634,35.237
1196.652,35.249
1196.741,35.21
1196.841,35.315
1196.943,35.354
1197.043,35.176
1197.148,35.28
1197.253,35.314
1197.429,35.223
1197.457,35.327
1197.557,35.271
1197.660,35.254
1197.739,35.217
1197.840,35.123
1197.943,35.196
1198.149,35.249
1198.153,35.241
1198.253,35.304
1198.352,35.339
1198.472,35.212
1198.560,35.31
1198.660,35.37
1198.761,35.322
1198.885,35.295
1198.966,35.141
1199.074,35.189
1199.171,35.163
1199.278,35.225
1199.376,35.302
1199.478,35.069
1199.582,35.236
1199.688,35.192
1199.788,35.377
1199.889,35.379
1199.999,35.117
1200.094,35.16
1200.195,35.192
1250.310,35.31
1250.330,35.228
1250.502,35.23
1250.530,35.295
1250.630,35.274
1250.746,35.262
1250.833,35.212
1250.936,35.277
1251.045,35.195
1251.145,35.286
1251.242,35.164
1251.326,35.311
1251.449,35.227
1251.531,35.177
1251.629,35.265
1251.731,35.159
1251.838,35.165
1251.939,35.239
1252.040,35.149
1252.148,35.223
1252.244,35.297
1252.346,35.339
1252.447,35.123
1252.561,35.288
1252.657,35.193
1252.756,35.249
1252.858,35.222
1252.963,35.298
1253.062,35.37
1253.166,35.25
1253.268,35.124
1253.369,35.196
1253.472,35.205
1253.575,35.281
1253.678,35.262
1253.779,35.048
1253.883,35.011
1253.985,35.127
1254.025,35.288
1254.189,35.287
1254.292,35.303
1254.320,35.128
1254.420,35.132
1254.520,35.176
1254.622,35.254
1254.721,35.233
1254.834,35.145
1254.928,35.328
1255.033,35.332
1255.131,35.27
1255.238,35.382
1255.322,35.244
1255.418,35.31
1255.525,35.2
1255.622,35.242
1255.726,35.346
1255.829,35.393
1255.935,35.245
1256.033,35.101
1256.160,35.135
1256.237,35.296
1256.340,35.276
1256.443,35.246
1256.559,35.152
1256.646,35.237
1256.749,35.208
1256.852,35.267
1256.970,35.238
1257.058,35.048
1257.158,35.173
1257.261,35.249
1257.363,35.164
1257.467,35.233
1257.570,34.989
1257.670,35.095
1257.773,35.172
1257.877,35.312
1257.978,35.299
1258.116,35.189
1258.119,35.138
1258.208,35.229
1258.395,35.159
1258.413,35.154
1258.514,35.162
1258.614,35.166
1258.717,35.364
1258.807,35.242
1258.905,35.203
1259.026,35.264
1259.103,35.309
1259.207,35.118
1259.310,35.198
1259.412,35.199
1259.515,35.287
1259.616,35.092
1259.719,35.234
1259.820,35.228
1259.925,35.328
1260.027,35.282
1260.128,35.467
1310.233,35.137
1310.333,35.281
1310.433,35.201
1310.538,35.312
1310.644,35.427
1310.744,35.102
1310.846,35.23
1310.967,35.134
1311.051,35.221
1311.156,35.345
1311.255,35.283
1311.380,35.243
1311.460,35.246
1311.563,35.279
1311.702,35.301
1311.766,35.357
1311.795,35.308
1311.972,35.28
1311.999,35.367
1312.097,35.223
1312.199,35.195
1312.304,35.316
1312.405,35.283
1312.507,35.328
1312.610,35.223
1312.714,35.258
1312.805,35.443
1312.896,35.263
1312.996,35.313
1313.097,35.308
1313.217,35.151
1313.303,35.277
1313.406,35.168
1313.509,35.125
1313.633,35.411
1313.713,35.286
1313.834,35.283
1313.922,35.123
1314.021,35.198
1314.123,35.295
1314.193,35.301
1314.327,35.223
1314.429,35.284
1314.555,35.218
1314.644,35.235
1314.737,35.3
1314.839,35.284
1314.940,35.271
1315.054,35.28
1315.152,35.26
1315.247,35.281
1315.347,35.41
1315.450,35.345
1315.556,35.183
1315.655,35.152
1315.762,35.282
1315.786,35.276
1315.888,35.231
1315.988,35.269
1316.170,35.298
1316.198,35.321
1316.283,35.418
1316.383,35.273
1316.485,35.285
1316.585,35.249
1316.683,35.208
1316.784,35.337
1316.891,35.267
1316.989,35.43
1317.092,35.208
1317.215,35.295
1317.297,35.495
1317.399,35.247
1317.501,35.295
1317.629,35.205
1317.724,35.301
1317.809,35.26
1317.910,35.144
1318.043,35.199
1318.114,35.086
1318.217,35.277
1318.320,35.244
1318.428,35.226
1318.526,35.322
1318.628,35.132
1318.754,35.347
1318.832,35.287
1318.959,35.344
1319.052,35.367
1319.168,35.103
1319.242,35.341
1319.339,35.34
1319.464,35.395
1319.550,35.262
1319.677,35.234
1319.679,35.308
1319.787,35.417
1319.882,35.26
1319.984,35.309
1320.164,35.349
1320.172,35.357
1610.293,35.21
1610.391,35.259
1610.471,35.269
1610.578,35.271
1610.676,35.171
1610.779,35.294
1610.891,35.296
1610.984,35.396
1611.090,35.355
1611.189,35.171
1611.302,35.27
1611.401,35.359
1611.494,35.437
1611.596,35.226
1611.699,35.241
1611.803,35.118
1611.907,35.361
1612.007,35.362
1612.130,35.318
1612.264,35.337
1612.315,35.057
1612.416,35.204
1612.476,35.267
1612.622,35.213
1612.727,35.363
1612.787,35.22
1612.929,35.168
1612.994,35.251
1613.139,35.329
1613.167,35.405
1613.264,35.263
1613.462,35.394
1613.480,35.38
1613.573,35.366
1613.668,35.34
1613.773,35.299
1613.872,35.32
1613.977,35.336
1614.079,35.35
1614.197,35.352
1614.262,35.379
1614.381,35.358
1614.464,35.237
1614.567,35.22
1614.676,35.277
1614.771,35.307
1614.875,35.205
1614.977,35.21
1615.081,35.349
1615.206,35.315
1615.302,35.18
1615.413,35.097
1615.489,35.24
1615.595,35.304
1615.711,35.238
1615.796,35.319
1615.898,35.239
1616.001,35.337
1616.105,35.296
1616.205,35.287
1616.308,35.322
1616.412,35.037
1616.516,35.329
1616.614,35.403
1616.717,35.307
1616.818,35.354
1616.923,35.258
1617.025,35.347
1617.053,35.292
1617.162,35.425
