Time Lapsed,Magnetic field X
0.000,-32.147
0.112,-32.193
0.182,-31.973
50.283,-32.1
50.386,-31.94
50.489,-32.1
50.592,-32.087
50.694,-32.06
50.796,-32.12
50.882,-32.167
51.003,-32.087
51.104,-32.187
51.207,-32.193
51.315,-32.16
51.413,-32.22
51.510,-32.06
51.616,-32.093
51.717,-32.1
51.820,-32.133
51.940,-32.14
52.030,-32.053
52.128,-32.14
52.229,-32.1
52.352,-32.153
52.434,-32.053
52.461,-32.1
52.560,-32.047
52.676,-32.047
52.771,-32.04
52.868,-32.16
52.970,-32.087
53.072,-32.12
53.176,-31.973
53.278,-32.06
53.356,-32.013
53.459,-32.193
53.560,-32.087
53.684,-31.993
53.778,-32.167
53.869,-32.1
53.970,-32.147
54.072,-32.207
54.189,-32.067
54.258,-32.047
54.380,-32.22
54.514,-32.1
54.553,-32.22
54.687,-32.187
54.790,-32.173
54.880,-32.173
54.994,-32.193
55.096,-32.22
55.198,-32.107
55.303,-32.147
55.405,-32.207
55.506,-32.06
55.614,-32.153
55.712,-32.047
55.813,-32.12
55.916,-32.16
56.050,-32.093
56.052,-32.16
56.150,-32.193
56.250,-32.087
56.351,-32.087
56.453,-32.147
56.557,-32.147
56.657,-32.193
56.760,-32.147
56.860,-32.16
56.964,-32.213
57.048,-32.087
57.170,-32.18
57.249,-32.107
57.351,-32.253
57.452,-32.247
57.554,-32.133
57.659,-32.087
57.761,-32.053
57.864,-32.193
57.963,-32.173
58.067,-32.1
58.186,-32.16
58.274,-32.127
58.375,-32.167
58.476,-32.067
58.599,-32.12
58.681,-32.147
58.785,-31.92
58.887,-32.067
58.991,-32.147
59.089,-32.1
59.193,-32.133
59.296,-31.987
59.402,-32.16
59.499,-32.053
59.603,-32.113
59.706,-32.153
59.809,-32.1
59.915,-32.107
59.944,-32.113
60.050,-32.247
60.137,-32.233
110.239,-32.127
110.342,-32.007
110.460,-32.08
110.552,-32.147
110.650,-32.14
110.760,-32.133
110.859,-32.247
110.938,-32.073
111.036,-32.233
111.139,-32.133
111.241,-32.18
111.366,-32.04
111.445,-32.187
111.548,-32.167
111.666,-32.107
111.784,-32.1
111.864,-32.113
111.980,-32.06
112.060,-32.113
112.163,-32.173
112.274,-32.047
112.369,-32.047
112.436,-32.167
112.537,-32.06
112.641,-32.153
112.742,-32.18
112.855,-31.967
112.981,-32.0
113.087,-32.127
113.188,-32.14
113.291,-32.093
113.393,-32.12
113.494,-32.233
113.597,-32.16
113.700,-32.113
113.803,-32.08
113.830,-32.027
113.928,-32.147
114.029,-32.167
114.132,-32.16
114.233,-32.013
114.338,-32.187
114.435,-32.16
114.548,-32.2
114.645,-32.2
114.747,-32.153
114.847,-31.993
114.927,-32.127
115.035,-32.047
115.134,-32.127
115.239,-32.12
115.337,-32.093
115.444,-32.073
115.542,-32.14
115.652,-32.107
115.748,-32.06
115.849,-32.133
115.951,-32.073
116.055,-32.02
116.156,-32.033
116.273,-32.193
116.361,-32.047
116.464,-32.02
116.565,-32.047
116.685,-32.087
116.777,-32.14
116.875,-32.113
116.975,-32.073
117.079,-32.173
117.180,-32.113
117.283,-32.073
117.386,-32.113
117.418,-32.147
117.516,-32.153
117.693,-32.227
117.717,-32.233
117.819,-32.28
117.921,-32.18
118.024,-32.147
118.134,-32.04
118.231,-32.133
118.334,-32.187
118.432,-32.133
118.521,-32.093
118.619,-32.167
118.716,-32.053
118.845,-32.167
118.922,-32.167
119.023,-32.133
119.146,-32.113
119.235,-31.987
119.331,-32.073
119.433,-32.18
119.536,-32.027
119.623,-32.147
119.739,-32.193
119.842,-32.193
119.949,-32.2
120.037,-31.993
120.151,-32.02
410.252,-32.193
410.359,-32.207
410.455,-32.173
410.560,-32.1
410.657,-32.193
410.764,-32.167
410.864,-32.1
410.969,-32.047
411.048,-31.987
411.173,-32.027
411.277,-32.16
411.378,-32.16
411.416,-32.293
411.510,-32.047
411.608,-32.133
411.711,-32.147
411.812,-32.16
411.914,-32.187
412.016,-32.153
412.119,-32.247
412.222,-32.207
412.324,-32.067
412.403,-32.18
412.519,-32.207
412.611,-32.207
412.710,-32.14
412.813,-32.073
412.932,-32.053
413.016,-32.1
413.137,-31.967
413.255,-32.067
413.325,-32.193
413.428,-32.14
413.531,-32.147
413.632,-32.053
413.759,-32.14
413.836,-32.087
413.900,-32.2
414.006,-32.093
414.143,-32.073
414.247,-32.1
414.356,-32.18
414.429,-32.073
414.553,-32.133
414.655,-32.187
414.743,-32.04
414.864,-32.047
414.961,-32.107
415.067,-32.127
415.172,-32.207
415.198,-32.027
415.298,-32.047
415.396,-32.133
415.507,-32.133
415.603,-32.093
415.703,-32.1
415.872,-32.087
415.900,-32.067
416.011,-32.127
416.113,-32.18
416.195,-32.167
416.293,-32.033
416.396,-32.133
416.499,-32.233
416.606,-32.14
416.703,-32.16
416.805,-32.06
416.930,-32.207
417.011,-32.04
417.113,-32.14
417.216,-32.167
417.319,-31.993
417.421,-32.133
417.540,-32.107
417.665,-32.067
417.728,-32.18
417.830,-32.007
417.890,-32.113
418.034,-32.207
418.139,-32.053
418.198,-32.12
418.298,-32.053
418.444,-32.093
418.507,-32.133
418.614,-32.153
418.717,-32.047
418.820,-32.067
418.957,-32.047
418.985,-32.06
419.179,-32.147
419.183,-32.113
419.302,-32.067
419.390,-32.173
419.504,-32.273
419.602,-32.127
419.699,-32.12
419.798,-32.093
419.902,-32.073
419.981,-32.107
420.083,-32.053
420.185,-32.107
470.296,-32.133
470.391,-32.013
470.493,-32.133
470.604,-32.167
470.687,-32.04
470.795,-32.1
470.896,-31.953
471.016,-32.067
471.112,-32.153
471.209,-32.12
471.313,-32.08
471.415,-32.08
471.518,-32.013
471.618,-32.167
471.744,-32.147
471.824,-32.113
471.927,-32.22
472.027,-32.167
472.131,-32.14
472.232,-32.213
472.335,-32.147
472.443,-32.247
472.541,-32.02
472.643,-32.013
472.744,-32.033
472.773,-32.04
472.879,-31.987
473.054,-32.013
473.080,-32.073
473.177,-32.04
473.280,-32.02
473.384,-32.14
473.485,-32.027
473.587,-32.173
473.690,-32.127
473.793,-32.047
473.872,-32.08
473.975,-32.107
